,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,38900,37700,38000,37700,15875,34800
1,22/11/2022,38100,37300,38000,38000,9918,35100
2,23/11/2022,38000,37700,37900,37900,35210,35000
3,24/11/2022,38000,37700,37900,37900,4800,35000
4,25/11/2022,38100,37700,37800,38000,39053,35100
5,28/11/2022,39000,38000,38800,38000,29100,35100
6,29/11/2022,38000,36100,37300,37500,8800,35600
7,30/11/2022,38500,37500,38000,38000,28530,36100
8,01/12/2022,38300,37600,38200,37600,42903,35700
9,02/12/2022,38300,37200,37600,38200,19638,36200
10,05/12/2022,39000,37300,37300,38400,11400,36400
11,06/12/2022,37900,37200,37900,37200,17007,35300
12,07/12/2022,37800,37200,37800,37300,7103,35400
13,08/12/2022,37900,37300,37300,37400,22500,35500
14,09/12/2022,37500,37200,37400,37300,12600,35400
15,12/12/2022,37800,36800,37300,36800,35000,34900
16,13/12/2022,37100,36600,37000,37000,79203,35100
17,14/12/2022,37500,37000,37000,37200,57600,35300
18,15/12/2022,37700,36000,36000,37500,44008,35600
19,16/12/2022,37800,37000,37000,37500,15000,35600
20,19/12/2022,37600,37200,37500,37500,33700,35600
21,20/12/2022,38000,36000,37400,37500,92800,35600
22,21/12/2022,39800,37500,37500,38900,100489,36900
23,22/12/2022,39000,38100,38100,38800,84221,36800
24,23/12/2022,39500,38200,39200,38800,81100,36800
25,26/12/2022,39200,38300,38800,39000,50800,37000
26,27/12/2022,39200,38500,38900,39200,113690,37200
27,28/12/2022,40800,39100,39400,40000,89420,38000
28,29/12/2022,41800,39800,40800,41200,70341,39100
29,30/12/2022,43000,41500,41500,42200,113885,40000
30,03/01/2023,42800,40500,42800,40700,42120,38600
31,04/01/2023,41600,40300,40500,40700,12055,38600
32,05/01/2023,40900,39600,39600,40900,20260,38800
33,06/01/2023,41400,40000,40400,40700,30100,38600
34,09/01/2023,41300,40000,40900,40900,43060,38800
35,10/01/2023,40600,40000,40200,40000,5112,38000
36,11/01/2023,40900,37100,40900,39300,56803,37300
37,12/01/2023,39900,38700,38700,39000,6090,37000
38,13/01/2023,39400,38600,38600,39200,12392,37200
39,16/01/2023,39200,38000,38900,38000,27400,36100
40,17/01/2023,39000,38000,39000,38400,53838,36400
41,18/01/2023,39600,38500,38700,39000,18641,37000
42,19/01/2023,39600,38500,39000,39300,12227,37300
43,27/01/2023,39300,37500,39300,38300,41000,36300
44,30/01/2023,39300,38500,39000,39000,29700,37000
45,31/01/2023,39000,38000,38300,38400,36600,36400
46,01/02/2023,38800,38000,38300,38000,18900,36100
47,02/02/2023,38800,37500,38000,38000,18021,36100
48,03/02/2023,38300,37600,37900,37600,11130,35700
49,06/02/2023,38200,37200,37200,38200,3000,36200
50,07/02/2023,38200,37800,38000,38000,14500,36100
51,08/02/2023,38200,37700,37800,38000,11200,36100
52,09/02/2023,38100,37900,38000,38000,2901,36100
53,10/02/2023,38100,37900,38000,38000,9600,36100
54,13/02/2023,38100,37600,37900,38000,43200,36100
55,14/02/2023,38000,37700,38000,37800,4603,35900
56,15/02/2023,38000,37600,38000,38000,56400,36100
57,16/02/2023,38000,37300,38000,38000,6900,36100
58,17/02/2023,38500,37500,38500,38000,2300,36100
59,20/02/2023,38400,38000,38100,38400,26600,36400
60,21/02/2023,38300,37000,38200,38300,12855,36300
61,22/02/2023,38000,36000,37300,37900,10400,36000
62,23/02/2023,37900,37100,37400,37200,7500,35300
63,24/02/2023,37900,37000,37300,37400,7200,35500
64,27/02/2023,37500,36900,37000,36900,7550,35000
65,28/02/2023,37100,36900,37000,37000,2900,35100
66,01/03/2023,37300,37000,37000,37100,12718,35200
67,02/03/2023,37900,37000,37900,37500,15222,35600
68,03/03/2023,37800,37000,37800,37100,3800,35200
69,06/03/2023,37800,37300,37300,37500,4140,35600
70,07/03/2023,37500,37000,37500,37300,11953,35400
71,08/03/2023,37400,37000,37200,37000,26000,35100
72,09/03/2023,38200,37000,37200,37400,53870,35500
73,10/03/2023,37500,37100,37100,37500,5500,35600
74,13/03/2023,37200,37000,37000,37200,5901,35300
75,14/03/2023,37400,36800,37100,36900,4202,35000
76,15/03/2023,37200,36900,36900,37200,6300,35300
77,16/03/2023,37100,36600,37100,37000,5700,35100
78,17/03/2023,37000,36900,36900,37000,5000,35100
79,20/03/2023,36900,36600,36800,36700,5106,34800
80,21/03/2023,37100,36700,37000,37100,7237,35200
81,22/03/2023,37400,36500,36900,37400,40517,35500
82,23/03/2023,37200,37000,37000,37200,4809,35300
83,24/03/2023,37100,37000,37000,37100,6412,35200
84,27/03/2023,37200,37000,37200,37200,5907,35300
85,28/03/2023,37200,36800,37000,37200,82500,35300
86,29/03/2023,37500,37200,37200,37300,23427,35400
87,30/03/2023,37400,37000,37200,37400,24720,35500
88,31/03/2023,38000,37200,37500,37300,6600,35400
89,03/04/2023,37500,37300,37500,37400,24201,35500
90,04/04/2023,37700,37400,37500,37600,20540,35700
91,05/04/2023,38000,37500,37600,37500,26160,35600
92,06/04/2023,38100,33000,37500,37000,107520,35100
93,07/04/2023,38000,37400,38000,37400,9850,35500
94,10/04/2023,37500,37000,37000,37200,23637,35300
95,11/04/2023,37300,37000,37000,37200,25500,35300
96,12/04/2023,37500,37000,37300,37300,3030,35400
97,13/04/2023,37300,36700,37300,36700,39300,34800
98,14/04/2023,37000,36600,36700,36700,20800,34800
99,17/04/2023,36800,36500,36800,36600,22110,34700
100,18/04/2023,37000,36700,37000,36900,10700,35000
101,19/04/2023,37000,36800,36800,36800,10015,34900
102,20/04/2023,37000,36700,36800,37000,18900,35100
103,21/04/2023,37200,36800,37000,36900,10151,35000
104,24/04/2023,37500,36800,37200,37100,14520,35200
