,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,5500,5500,5500,5500,-,5500
1,22/11/2022,5500,5500,5500,5500,-,5500
2,23/11/2022,5500,5500,5500,5500,-,5500
3,24/11/2022,5500,5500,5500,5500,-,5500
4,25/11/2022,5500,5500,5500,5500,49,5500
5,28/11/2022,5500,5500,5500,5500,-,5500
6,29/11/2022,5500,5500,5500,5500,-,5500
7,30/11/2022,5500,5500,5500,5500,-,5500
8,01/12/2022,5500,5500,5500,5500,-,5500
9,02/12/2022,5500,5500,5500,5500,300,5500
10,05/12/2022,5500,5500,5500,5500,-,5500
11,06/12/2022,5500,5500,5500,5500,-,5500
12,07/12/2022,5500,5500,5500,5500,-,5500
13,08/12/2022,5500,5500,5500,5500,-,5500
14,09/12/2022,5500,5500,5500,5500,5,5500
15,12/12/2022,5500,5500,5500,5500,-,5500
16,13/12/2022,5500,5500,5500,5500,-,5500
17,14/12/2022,5500,5500,5500,5500,-,5500
18,15/12/2022,5500,5500,5500,5500,-,5500
19,16/12/2022,6300,4700,4700,6300,778,6300
20,19/12/2022,6100,6100,6100,6100,-,6100
21,20/12/2022,6100,6100,6100,6100,-,6100
22,21/12/2022,6100,6100,6100,6100,-,6100
23,22/12/2022,6100,6100,6100,6100,-,6100
24,23/12/2022,6100,6100,6100,6100,-,6100
25,26/12/2022,6100,6100,6100,6100,-,6100
26,27/12/2022,6100,6100,6100,6100,-,6100
27,28/12/2022,6100,6100,6100,6100,-,6100
28,29/12/2022,6100,6100,6100,6100,-,6100
29,30/12/2022,6100,6100,6100,6100,-,6100
30,03/01/2023,6100,6100,6100,6100,-,6100
31,04/01/2023,6100,6100,6100,6100,-,6100
32,05/01/2023,6100,6100,6100,6100,-,6100
33,06/01/2023,7000,6100,6100,6500,800,6500
34,09/01/2023,6500,6500,6500,6500,-,6500
35,10/01/2023,6500,6500,6500,6500,-,6500
36,11/01/2023,6500,6500,6500,6500,-,6500
37,12/01/2023,6500,6500,6500,6500,-,6500
38,13/01/2023,7400,7400,7400,7400,100,7400
39,16/01/2023,7400,7400,7400,7400,-,7400
40,17/01/2023,7400,7400,7400,7400,-,7400
41,18/01/2023,7400,7400,7400,7400,-,7400
42,19/01/2023,7400,7400,7400,7400,-,7400
43,27/01/2023,8500,8500,8500,8500,100,8500
44,30/01/2023,8500,8500,8500,8500,-,8500
45,31/01/2023,8500,8500,8500,8500,-,8500
46,01/02/2023,8500,8500,8500,8500,-,8500
47,02/02/2023,8500,8500,8500,8500,-,8500
48,03/02/2023,9000,8900,8900,9000,1514,9000
49,06/02/2023,8900,8900,8900,8900,-,8900
50,07/02/2023,8900,8900,8900,8900,-,8900
51,08/02/2023,8900,8900,8900,8900,-,8900
52,09/02/2023,8900,8900,8900,8900,-,8900
53,10/02/2023,8300,8300,8300,8300,500,8300
54,13/02/2023,8300,8300,8300,8300,-,8300
55,14/02/2023,8300,8300,8300,8300,-,8300
56,15/02/2023,8300,8300,8300,8300,-,8300
57,16/02/2023,8300,8300,8300,8300,-,8300
58,17/02/2023,8300,8300,8300,8300,-,8300
59,20/02/2023,8300,8300,8300,8300,-,8300
60,21/02/2023,8300,8300,8300,8300,-,8300
61,22/02/2023,8300,8300,8300,8300,-,8300
62,23/02/2023,8300,8300,8300,8300,-,8300
63,24/02/2023,8300,8300,8300,8300,-,8300
64,27/02/2023,8300,8300,8300,8300,-,8300
65,28/02/2023,8300,8300,8300,8300,-,8300
66,01/03/2023,8300,8300,8300,8300,-,8300
67,02/03/2023,8300,8300,8300,8300,-,8300
68,03/03/2023,8300,8300,8300,8300,-,8300
69,06/03/2023,8300,8300,8300,8300,-,8300
70,07/03/2023,8300,8300,8300,8300,-,8300
71,08/03/2023,8300,8300,8300,8300,-,8300
72,09/03/2023,8300,8300,8300,8300,-,8300
73,10/03/2023,8300,8300,8300,8300,-,8300
74,13/03/2023,8300,8300,8300,8300,-,8300
75,14/03/2023,8300,8300,8300,8300,-,8300
76,15/03/2023,8300,8300,8300,8300,-,8300
77,16/03/2023,8300,8300,8300,8300,-,8300
78,17/03/2023,8300,8300,8300,8300,-,8300
79,20/03/2023,8300,8300,8300,8300,-,8300
80,21/03/2023,8300,8300,8300,8300,-,8300
81,22/03/2023,8300,8300,8300,8300,-,8300
82,23/03/2023,8300,8300,8300,8300,-,8300
83,24/03/2023,8300,8300,8300,8300,-,8300
84,27/03/2023,8300,8300,8300,8300,-,8300
85,28/03/2023,8300,8300,8300,8300,-,8300
86,29/03/2023,8300,8300,8300,8300,-,8300
87,30/03/2023,8300,8300,8300,8300,-,8300
88,31/03/2023,8300,8300,8300,8300,-,8300
89,03/04/2023,8300,8300,8300,8300,-,8300
90,04/04/2023,8300,8300,8300,8300,-,8300
91,05/04/2023,8300,8300,8300,8300,-,8300
92,06/04/2023,8300,8300,8300,8300,-,8300
93,07/04/2023,8300,8300,8300,8300,-,8300
94,10/04/2023,8300,8300,8300,8300,-,8300
95,11/04/2023,8300,8300,8300,8300,-,8300
96,12/04/2023,8300,8300,8300,8300,-,8300
97,13/04/2023,8300,8300,8300,8300,-,8300
98,14/04/2023,8300,8300,8300,8300,-,8300
99,17/04/2023,8300,8300,8300,8300,-,8300
100,18/04/2023,8300,8300,8300,8300,-,8300
