,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,1600,1600,1600,1600,-,1600
1,22/11/2022,1600,1600,1600,1600,-,1600
2,23/11/2022,1600,1600,1600,1600,-,1600
3,24/11/2022,1600,1600,1600,1600,-,1600
4,25/11/2022,1600,1600,1600,1600,-,1600
5,28/11/2022,1600,1600,1600,1600,-,1600
6,29/11/2022,1600,1600,1600,1600,-,1600
7,30/11/2022,1600,1600,1600,1600,-,1600
8,01/12/2022,1600,1600,1600,1600,-,1600
9,02/12/2022,1600,1600,1600,1600,-,1600
10,05/12/2022,1600,1600,1600,1600,-,1600
11,06/12/2022,1600,1600,1600,1600,-,1600
12,07/12/2022,1600,1600,1600,1600,-,1600
13,08/12/2022,1600,1600,1600,1600,-,1600
14,09/12/2022,1600,1600,1600,1600,-,1600
15,12/12/2022,1600,1600,1600,1600,-,1600
16,13/12/2022,1600,1600,1600,1600,-,1600
17,14/12/2022,1600,1600,1600,1600,-,1600
18,15/12/2022,1600,1600,1600,1600,-,1600
19,16/12/2022,1600,1600,1600,1600,-,1600
20,19/12/2022,1600,1600,1600,1600,-,1600
21,20/12/2022,1600,1600,1600,1600,-,1600
22,21/12/2022,1600,1600,1600,1600,-,1600
23,22/12/2022,1600,1600,1600,1600,-,1600
24,23/12/2022,1600,1600,1600,1600,-,1600
25,26/12/2022,1600,1600,1600,1600,-,1600
26,27/12/2022,1600,1600,1600,1600,-,1600
27,28/12/2022,1600,1600,1600,1600,-,1600
28,29/12/2022,1600,1600,1600,1600,-,1600
29,30/12/2022,1600,1600,1600,1600,-,1600
30,03/01/2023,1600,1600,1600,1600,-,1600
31,04/01/2023,1600,1600,1600,1600,-,1600
32,05/01/2023,1600,1600,1600,1600,-,1600
33,06/01/2023,1600,1600,1600,1600,-,1600
34,09/01/2023,1600,1600,1600,1600,-,1600
35,10/01/2023,1600,1600,1600,1600,-,1600
36,11/01/2023,1600,1600,1600,1600,-,1600
37,12/01/2023,1600,1600,1600,1600,-,1600
38,13/01/2023,1600,1600,1600,1600,-,1600
39,16/01/2023,1600,1600,1600,1600,-,1600
40,17/01/2023,1600,1600,1600,1600,-,1600
41,18/01/2023,1600,1600,1600,1600,-,1600
