,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,31900,31800,31900,31800,1100,29200
1,22/11/2022,34000,27500,34000,30700,1900,28200
2,23/11/2022,33000,27000,33000,28000,400,25700
3,24/11/2022,32000,24600,32000,28700,5100,26400
4,25/11/2022,32300,26000,32000,26500,2106,24400
5,28/11/2022,31000,26000,29900,26000,2500,23900
6,29/11/2022,33500,25600,33500,25600,2400,23500
7,30/11/2022,30500,25800,30500,29600,3300,27200
8,01/12/2022,30900,28900,30900,29000,2000,26700
9,02/12/2022,33000,26500,33000,28800,2200,26500
10,05/12/2022,32000,32000,32000,32000,100,29400
11,06/12/2022,32000,31800,32000,31800,1300,29200
12,07/12/2022,34000,28500,34000,28500,200,26200
13,08/12/2022,33000,29000,33000,29000,200,26700
14,09/12/2022,33500,26900,33500,30900,4000,28400
15,12/12/2022,33000,33000,33000,33000,100,30300
16,13/12/2022,35000,28100,35000,32900,8400,30200
17,14/12/2022,32000,27500,32000,31800,3100,29200
18,15/12/2022,34000,34000,34000,34000,100,31300
19,16/12/2022,39000,31400,36000,31400,12900,28900
20,19/12/2022,42000,32100,42000,32100,405,29500
21,20/12/2022,29800,29500,29500,29500,6601,27100
22,21/12/2022,27000,25100,25100,26700,7300,24500
23,22/12/2022,27500,24000,24000,27500,3700,25300
24,23/12/2022,25800,24000,24000,25800,3600,23700
25,26/12/2022,25700,24000,24000,25700,5200,23600
26,27/12/2022,28700,27900,28600,28700,307500,26400
27,28/12/2022,32800,32500,32500,32500,5840,29900
28,29/12/2022,37000,32500,37000,33000,4500,30300
29,30/12/2022,38500,29600,38500,36000,131100,33100
30,03/01/2023,35000,29400,35000,29400,1132,27000
31,04/01/2023,32500,32500,32500,32500,100,29900
32,05/01/2023,34000,34000,34000,34000,100,31300
33,06/01/2023,35000,35000,35000,35000,100,32200
34,09/01/2023,36000,36000,36000,36000,100,33100
35,10/01/2023,37000,30600,37000,30600,2600,28100
36,11/01/2023,34500,29200,34500,29300,3500,26900
37,12/01/2023,34000,28500,34000,28500,2100,26200
38,13/01/2023,34500,28500,34500,28500,500,26200
39,16/01/2023,34000,28500,34000,28500,2000,26200
40,17/01/2023,36500,29900,36500,34000,7300,31300
41,18/01/2023,38000,31000,35000,31000,16400,28500
42,19/01/2023,39000,30900,39000,30900,176000,28400
43,27/01/2023,36000,30500,34000,30500,1400,28000
44,30/01/2023,38000,30000,38000,30000,300,27600
45,31/01/2023,36100,32600,36100,34000,500,31300
46,01/02/2023,36500,29000,36500,29000,2900,26700
47,02/02/2023,33000,28000,33000,32700,3400,30100
48,03/02/2023,36000,28800,36000,29000,500,26700
49,06/02/2023,33500,28000,33500,31200,6500,28700
50,07/02/2023,33500,28100,33500,28100,800,25800
51,08/02/2023,32500,28000,32500,28100,2601,25800
52,09/02/2023,34000,28000,34000,28200,6400,25900
53,10/02/2023,33000,28000,33000,28000,400,25700
54,13/02/2023,32500,32500,32500,32500,124,29900
55,14/02/2023,35500,28000,35500,28000,1000,25700
56,15/02/2023,34000,34000,34000,34000,100,31300
57,16/02/2023,35000,28900,35000,28900,1306,26600
58,17/02/2023,32500,32500,32500,32500,100,29900
59,20/02/2023,34000,28300,34000,28500,604,26200
60,21/02/2023,32500,32500,32500,32500,108,29900
61,22/02/2023,33900,27700,33900,27700,1100,25500
62,23/02/2023,31000,27500,31000,27500,2601,25300
63,24/02/2023,33000,27100,33000,27800,300,25600
64,27/02/2023,29900,27500,29900,27500,400,25300
65,28/02/2023,31900,27000,31900,27400,500,25200
66,01/03/2023,31500,27000,31500,27000,700,24800
67,02/03/2023,31000,26100,31000,26100,203,24000
68,03/03/2023,31500,25400,31500,25400,300,23300
