,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,39500,39500,39500,39500,-,27800
1,22/11/2022,39500,39500,39500,39500,-,27800
2,23/11/2022,39500,39500,39500,39500,-,27800
3,24/11/2022,39500,39500,39500,39500,-,27800
4,25/11/2022,39500,39500,39500,39500,-,27800
5,28/11/2022,39500,39500,39500,39500,-,27800
6,29/11/2022,39500,39500,39500,39500,-,27800
7,30/11/2022,39500,39500,39500,39500,-,27800
8,01/12/2022,40000,40000,40000,40000,100,28100
9,02/12/2022,40000,40000,40000,40000,-,28100
10,05/12/2022,40000,40000,40000,40000,-,28100
11,06/12/2022,40000,40000,40000,40000,-,28100
12,07/12/2022,40000,40000,40000,40000,1,28100
13,08/12/2022,40000,40000,40000,40000,-,28100
14,09/12/2022,40000,40000,40000,40000,-,28100
15,12/12/2022,40000,40000,40000,40000,-,28100
16,13/12/2022,40000,40000,40000,40000,-,28100
17,14/12/2022,40000,40000,40000,40000,-,28100
18,15/12/2022,40000,40000,40000,40000,-,28100
19,16/12/2022,40000,40000,40000,40000,-,28100
20,19/12/2022,40000,40000,40000,40000,-,28100
21,20/12/2022,40000,40000,40000,40000,-,28100
22,21/12/2022,40000,40000,40000,40000,-,28100
23,22/12/2022,40000,40000,40000,40000,-,28100
24,23/12/2022,40000,40000,40000,40000,-,28100
25,26/12/2022,40000,40000,40000,40000,-,28100
26,27/12/2022,40000,40000,40000,40000,-,28100
27,28/12/2022,40000,40000,40000,40000,-,28100
28,29/12/2022,40000,40000,40000,40000,-,28100
29,30/12/2022,40000,40000,40000,40000,-,28100
30,03/01/2023,44000,44000,44000,44000,100,30900
31,04/01/2023,44000,44000,44000,44000,-,30900
32,05/01/2023,44000,44000,44000,44000,-,30900
33,06/01/2023,44000,44000,44000,44000,-,30900
34,09/01/2023,44000,44000,44000,44000,-,30900
35,10/01/2023,46000,44000,44000,46000,200,32300
36,11/01/2023,48000,48000,48000,48000,100,33700
37,12/01/2023,50000,50000,50000,50000,100,35100
38,13/01/2023,50000,50000,50000,50000,100,35100
39,16/01/2023,50000,50000,50000,50000,-,35100
40,17/01/2023,50000,50000,50000,50000,-,35100
41,18/01/2023,53000,53000,53000,53000,100,37200
42,19/01/2023,53000,53000,53000,53000,-,37200
43,27/01/2023,54000,54000,54000,54000,100,37900
44,30/01/2023,54000,54000,54000,54000,-,37900
45,31/01/2023,55000,54000,54000,55000,200,38600
46,01/02/2023,57000,54200,54200,57000,300,40000
47,02/02/2023,57000,57000,57000,57000,100,40000
48,03/02/2023,57000,57000,57000,57000,-,40000
49,06/02/2023,57000,57000,57000,57000,1500,40000
50,07/02/2023,55000,55000,55000,55000,-,40000
51,08/02/2023,55000,55000,55000,55000,-,40000
52,09/02/2023,55000,55000,55000,55000,-,40000
53,10/02/2023,55000,55000,55000,55000,-,40000
54,13/02/2023,55000,55000,55000,55000,-,40000
55,14/02/2023,55000,55000,55000,55000,-,40000
56,15/02/2023,50100,50100,50100,50100,200,36500
57,16/02/2023,47500,47400,47500,47400,400,34500
58,17/02/2023,40400,40400,40400,40400,100,29400
59,20/02/2023,46400,46400,46400,46400,100,33800
60,21/02/2023,42000,39700,39700,40000,600,29100
61,22/02/2023,40900,40900,40900,40900,-,29800
62,23/02/2023,40900,40900,40900,40900,-,29800
63,24/02/2023,39000,38200,38200,39000,200,28400
64,27/02/2023,35000,33500,33500,35000,200,25500
65,28/02/2023,34300,34300,34300,34300,-,25000
66,01/03/2023,36000,35500,35500,36000,600,26200
67,02/03/2023,41200,41200,41200,41200,200,30000
68,03/03/2023,36000,36000,36000,36000,100,26200
69,06/03/2023,41400,41400,41400,41400,100,30100
70,07/03/2023,35300,35300,35300,35300,100,25700
71,08/03/2023,40500,40500,40500,40500,200,29500
72,09/03/2023,35100,35100,35100,35100,100,25600
73,10/03/2023,36500,36500,36500,36500,100,26600
74,13/03/2023,41500,41500,41500,41500,200,30200
75,14/03/2023,35400,35400,35400,35400,100,25800
76,15/03/2023,35400,35400,35400,35400,-,25800
77,16/03/2023,40500,40500,40500,40500,100,29500
78,17/03/2023,40500,40500,40500,40500,-,29500
79,20/03/2023,36000,36000,36000,36000,100,26200
80,21/03/2023,36000,36000,36000,36000,-,26200
81,22/03/2023,36000,36000,36000,36000,-,26200
82,23/03/2023,36000,36000,36000,36000,-,26200
83,24/03/2023,41400,40000,40000,41400,400,30100
84,27/03/2023,34600,34600,34600,34600,100,25200
85,28/03/2023,34600,34600,34600,34600,-,25200
86,29/03/2023,34600,34600,34600,34600,-,25200
87,30/03/2023,34600,34600,34600,34600,-,25200
88,31/03/2023,39000,39000,39000,39000,1000,28400
89,03/04/2023,35000,35000,35000,35000,100,25500
90,04/04/2023,35000,35000,35000,35000,-,25500
91,05/04/2023,40200,39900,40200,40200,10000,29300
92,06/04/2023,40100,40100,40100,40100,-,29200
93,07/04/2023,34600,34600,34600,34600,100,25200
94,10/04/2023,39700,39700,39700,39700,3600,28900
95,11/04/2023,39700,39700,39700,39700,-,28900
96,12/04/2023,36500,36500,36500,36500,100,26600
97,13/04/2023,36500,36500,36500,36500,-,26600
98,14/04/2023,36500,36500,36500,36500,-,26600
99,17/04/2023,36500,36500,36500,36500,-,26600
100,18/04/2023,36500,36500,36500,36500,-,26600
101,19/04/2023,32500,32500,32500,32500,100,23700
102,20/04/2023,37300,37300,37300,37300,100,27200
103,21/04/2023,33500,33500,33500,33500,100,24400
104,24/04/2023,38500,38500,38500,38500,200,28000
105,25/04/2023,33700,33700,33700,33700,100,24500
106,26/04/2023,38700,38700,38700,38700,100,28200
107,27/04/2023,34100,34100,34100,34100,100,24800
108,28/04/2023,39200,39200,39200,39200,500,28500
109,04/05/2023,34100,34100,34100,34100,100,24800
110,05/05/2023,39200,35200,39200,39000,400,28400
111,08/05/2023,37000,37000,37000,37000,200,26900
112,09/05/2023,37500,37500,37500,37500,100,27300
113,10/05/2023,38000,37500,37500,38000,1200,27700
114,11/05/2023,37700,37700,37700,37700,-,27400
115,12/05/2023,37700,37700,37700,37700,-,27400
116,15/05/2023,37700,37700,37700,37700,-,27400
117,16/05/2023,37700,37700,37700,37700,-,27400
118,17/05/2023,37700,37700,37700,37700,-,27400
119,18/05/2023,37700,37700,37700,37700,-,27400
120,19/05/2023,37700,37700,37700,37700,-,27400
121,22/05/2023,37700,37700,37700,37700,-,27400
122,23/05/2023,37700,37700,37700,37700,-,27400
123,24/05/2023,37700,37700,37700,37700,-,27400
124,25/05/2023,43300,40000,40000,43300,4000,31500
125,26/05/2023,43200,43200,43200,43200,-,31500
126,29/05/2023,37000,37000,37000,37000,100,26900
127,30/05/2023,37000,37000,37000,37000,-,26900
128,31/05/2023,37000,37000,37000,37000,-,26900
129,01/06/2023,37000,37000,37000,37000,-,26900
130,02/06/2023,37000,37000,37000,37000,-,26900
131,05/06/2023,37000,37000,37000,37000,-,26900
132,06/06/2023,42500,40500,42500,40500,1000,29500
133,07/06/2023,41800,41800,41800,41800,-,30400
134,08/06/2023,41800,41800,41800,41800,-,30400
135,09/06/2023,41800,41800,41800,41800,-,30400
136,12/06/2023,41800,41800,41800,41800,-,30400
137,13/06/2023,41800,41800,41800,41800,100,30400
138,14/06/2023,41800,41800,41800,41800,-,30400
139,15/06/2023,41800,41800,41800,41800,-,30400
140,16/06/2023,41800,41800,41800,41800,-,30400
141,19/06/2023,41800,41800,41800,41800,-,30400
142,20/06/2023,41800,41800,41800,41800,-,30400
143,21/06/2023,41800,41800,41800,41800,-,30400
144,22/06/2023,41800,41800,41800,41800,-,30400
145,23/06/2023,41800,41800,41800,41800,-,30400
146,26/06/2023,43000,43000,43000,43000,100,31300
147,27/06/2023,43000,43000,43000,43000,-,31300
148,28/06/2023,43000,43000,43000,43000,-,31300
149,29/06/2023,43000,43000,43000,43000,-,31300
150,30/06/2023,42000,42000,42000,42000,300,30600
151,03/07/2023,41000,41000,41000,41000,1900,29900
152,04/07/2023,41000,41000,41000,41000,-,29900
153,05/07/2023,41000,41000,41000,41000,-,29900
154,06/07/2023,41000,41000,41000,41000,-,29900
155,07/07/2023,41000,41000,41000,41000,1100,29900
156,10/07/2023,41000,41000,41000,41000,-,29900
157,11/07/2023,41000,41000,41000,41000,-,29900
158,12/07/2023,41000,41000,41000,41000,-,29900
159,13/07/2023,41000,41000,41000,41000,300,29900
160,14/07/2023,41000,41000,41000,41000,-,29900
161,17/07/2023,41000,41000,41000,41000,-,29900
162,18/07/2023,41000,41000,41000,41000,500,29900
163,19/07/2023,44500,34900,34900,44500,200,32400
164,20/07/2023,39700,39700,39700,44500,40,28900
165,21/07/2023,45600,45600,45600,45600,100,33200
166,24/07/2023,45100,38800,38800,44000,5300,32000
167,25/07/2023,37600,37600,37600,37600,100,27400
168,26/07/2023,43200,43200,43200,43200,100,31500
169,27/07/2023,43200,43200,43200,43200,-,31500
170,28/07/2023,45000,45000,45000,45000,100,32800
171,31/07/2023,48500,45000,45000,48500,2400,35300
172,01/08/2023,54000,48200,48200,54000,1900,39300
173,02/08/2023,41300,41000,41100,41200,3000,39100
174,03/08/2023,35600,35600,35600,35600,100,33800
175,04/08/2023,40900,36100,36100,40900,300,38800
176,07/08/2023,36000,35100,35100,35800,1400,34000
177,08/08/2023,35700,35700,35700,35700,-,33900
178,09/08/2023,34600,33500,33500,34500,1300,34500
179,10/08/2023,36900,32900,34200,36900,600,36900
180,11/08/2023,34200,34200,34200,34200,-,34200
181,14/08/2023,37000,32600,32600,37000,8500,37000
182,15/08/2023,38000,33500,38000,33500,5300,33500
183,16/08/2023,33600,33600,33600,33600,-,33600
184,17/08/2023,36900,36900,36900,36900,100,36900
185,18/08/2023,36600,33600,33600,36600,2900,36600
186,21/08/2023,33300,30600,32800,30600,8100,30600
187,22/08/2023,35500,32000,32000,35000,2900,35000
188,23/08/2023,34000,32000,32000,34000,6400,34000
189,24/08/2023,33500,33200,33500,33400,7100,33400
190,25/08/2023,35000,34000,34000,35000,200,35000
191,28/08/2023,34500,34500,34500,34500,-,34500
192,29/08/2023,34000,33200,33500,33500,7700,33500
193,30/08/2023,33500,33500,33500,33500,-,33500
194,31/08/2023,34500,33000,33000,34500,500,34500
195,05/09/2023,33300,32700,33200,32700,10500,32700
196,06/09/2023,34000,32900,33000,34000,7100,34000
197,07/09/2023,34000,33800,33800,33800,900,33800
198,08/09/2023,33100,32100,33100,32500,3000,32500
199,11/09/2023,33000,32200,32900,32900,13100,32900
200,12/09/2023,32700,32200,32700,32200,1200,32200
201,13/09/2023,34500,32900,32900,34500,26000,34500
202,14/09/2023,33900,33900,33900,33900,200,33900
203,15/09/2023,33900,33900,33900,33900,-,33900
204,18/09/2023,33000,33000,33000,33000,100,33000
205,19/09/2023,34000,33000,34000,33000,1200,33000
206,20/09/2023,34000,33000,34000,33000,2900,33000
207,21/09/2023,34400,33000,34400,34300,1600,34300
208,22/09/2023,34000,33000,33000,34000,2600,34000
209,25/09/2023,33100,33000,33100,33000,1100,33000
210,26/09/2023,34000,34000,34000,34000,100,34000
211,27/09/2023,34000,32200,32200,34000,800,34000
212,28/09/2023,33700,33700,33700,33700,-,33700
213,29/09/2023,33900,33900,33900,33900,100,33900
214,02/10/2023,33900,33900,33900,33900,-,33900
215,03/10/2023,33900,32200,32200,33000,1300,33000
216,04/10/2023,33000,33000,33000,33000,-,33000
217,05/10/2023,32500,32500,32500,32500,1000,32500
218,06/10/2023,33000,33000,33000,33000,100,33000
219,09/10/2023,33000,33000,33000,33000,200,33000
220,10/10/2023,33000,32500,33000,32500,1200,32500
221,11/10/2023,32600,32600,32600,32600,-,32600
222,12/10/2023,32600,32600,32600,32600,-,32600
223,13/10/2023,32200,32200,32200,32200,700,32200
224,16/10/2023,33000,32600,33000,32600,1400,32600
225,17/10/2023,33000,33000,33000,33000,100,33000
226,18/10/2023,33000,33000,33000,33000,400,33000
227,19/10/2023,34000,32100,33000,32100,7900,32100
228,20/10/2023,34000,33300,33900,34000,3600,34000
229,23/10/2023,34000,34000,34000,34000,600,34000
230,24/10/2023,34500,34000,34000,34500,300,34500
231,25/10/2023,34300,34300,34300,34300,-,34300
232,26/10/2023,33500,33100,33100,33500,900,33500
233,27/10/2023,33300,33300,33300,33300,-,33300
234,30/10/2023,34000,34000,34000,34000,1200,34000
235,31/10/2023,34500,33600,34500,33600,2200,33600
236,01/11/2023,33900,33900,33900,33900,-,33900
237,02/11/2023,33900,33900,33900,33900,-,33900
238,03/11/2023,34500,34000,34000,34500,400,34500
239,06/11/2023,35000,34500,34500,35000,2000,35000
240,07/11/2023,35000,35000,35000,35000,-,35000
241,08/11/2023,35000,35000,35000,35000,-,35000
242,09/11/2023,35000,35000,35000,35000,-,35000
243,10/11/2023,35000,35000,35000,35000,200,35000
244,13/11/2023,35000,30500,30500,35000,400,35000
245,14/11/2023,34200,34200,34200,34200,100,34200
246,15/11/2023,34300,34300,34300,34300,100,34300
247,16/11/2023,34300,34300,34300,34300,-,34300
248,17/11/2023,34300,34300,34300,34300,-,34300
249,20/11/2023,34300,34300,34300,34300,-,34300
