,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,28200,28200,28200,28200,-,14100
1,22/11/2022,24100,24100,24100,24100,100,12100
2,23/11/2022,24100,24100,24100,24100,-,12100
3,24/11/2022,24100,24100,24100,24100,-,12100
4,25/11/2022,24100,24100,24100,24100,-,12100
5,28/11/2022,24100,24100,24100,24100,-,12100
6,29/11/2022,24100,24100,24100,24100,-,12100
7,30/11/2022,24100,24100,24100,24100,-,12100
8,01/12/2022,24100,24100,24100,24100,-,12100
9,02/12/2022,24100,24100,24100,24100,-,12100
10,05/12/2022,20600,20600,20600,20600,100,10300
11,06/12/2022,20600,20600,20600,20600,-,10300
12,07/12/2022,20600,20600,20600,20600,-,10300
13,08/12/2022,20600,20600,20600,20600,-,10300
14,09/12/2022,20600,20600,20600,20600,-,10300
15,12/12/2022,20600,20600,20600,20600,-,10300
16,13/12/2022,20600,20600,20600,20600,-,10300
17,14/12/2022,20600,20600,20600,20600,-,10300
18,15/12/2022,20600,20600,20600,20600,-,10300
19,16/12/2022,20600,20600,20600,20600,-,10300
20,19/12/2022,20600,20600,20600,20600,-,10300
21,20/12/2022,20600,20600,20600,20600,-,10300
22,21/12/2022,20600,20600,20600,20600,-,10300
23,22/12/2022,20600,20600,20600,20600,-,10300
24,23/12/2022,20600,20600,20600,20600,-,10300
25,26/12/2022,20600,20600,20600,20600,-,10300
26,27/12/2022,20600,20600,20600,20600,-,10300
27,28/12/2022,20600,20600,20600,20600,-,10300
28,29/12/2022,20600,20600,20600,20600,-,10300
29,30/12/2022,20600,20600,20600,20600,-,10300
30,03/01/2023,20600,20600,20600,20600,-,10300
31,04/01/2023,23600,23600,23600,23600,100,11800
32,05/01/2023,27100,27100,27100,27100,100,13600
33,06/01/2023,27100,27100,27100,27100,-,13600
34,09/01/2023,31100,31100,31100,31100,100,15600
35,10/01/2023,31100,31100,31100,31100,-,15600
36,11/01/2023,35700,35000,35700,35000,231,17500
37,12/01/2023,35400,35400,35400,35400,-,17700
38,13/01/2023,35400,35400,35400,35400,-,17700
39,16/01/2023,35400,35400,35400,35400,-,17700
40,17/01/2023,40600,40600,40600,40600,100,20300
41,18/01/2023,46500,46500,46500,46500,100,23300
42,19/01/2023,46500,46500,46500,46500,-,23300
43,27/01/2023,46500,46500,46500,46500,-,23300
44,30/01/2023,39600,39600,39600,39600,205,19800
45,31/01/2023,34100,34100,34100,34100,100,17100
46,01/02/2023,34100,34100,34100,34100,-,17100
47,02/02/2023,30500,30500,30500,30500,100,15300
48,03/02/2023,30500,30500,30500,30500,-,15300
49,06/02/2023,30500,30500,30500,30500,66,15300
50,07/02/2023,30500,30500,30500,30500,-,15300
51,08/02/2023,30500,30500,30500,30500,-,15300
52,09/02/2023,30500,30500,30500,30500,-,15300
53,10/02/2023,30500,30500,30500,30500,-,15300
54,13/02/2023,30500,30500,30500,30500,-,15300
55,14/02/2023,30500,30500,30500,30500,-,15300
56,15/02/2023,30500,30500,30500,30500,-,15300
57,16/02/2023,35000,35000,35000,35000,100,17500
58,17/02/2023,40100,40100,40100,40100,100,20100
59,20/02/2023,40100,40100,40100,40100,-,20100
60,21/02/2023,45900,45900,45900,45900,100,23000
61,22/02/2023,45900,39100,39100,45900,301,23000
62,23/02/2023,39100,39100,39100,39100,100,19600
63,24/02/2023,44900,35100,44900,35100,1100,17600
64,27/02/2023,44000,44000,44000,35100,3,22000
65,28/02/2023,44000,44000,44000,44000,-,22000
66,01/03/2023,44000,44000,44000,44000,-,22000
67,02/03/2023,44000,44000,44000,44000,-,22000
68,03/03/2023,44000,44000,44000,35100,1,22000
69,06/03/2023,44000,44000,44000,44000,-,22000
70,07/03/2023,44000,44000,44000,44000,-,22000
71,08/03/2023,44000,44000,44000,44000,-,22000
72,09/03/2023,44000,44000,44000,44000,-,22000
73,10/03/2023,44000,44000,44000,44000,-,22000
74,13/03/2023,44000,44000,44000,44000,-,22000
75,14/03/2023,44000,44000,44000,44000,-,22000
76,15/03/2023,44000,44000,44000,44000,-,22000
77,16/03/2023,44000,44000,44000,44000,-,22000
