,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,6400,6400,6400,6400,100,6400
1,22/11/2022,7100,5500,7100,5500,800,5500
2,23/11/2022,6700,6700,6700,6700,-,6700
3,24/11/2022,6700,6700,6700,6700,-,6700
4,25/11/2022,5700,5700,5700,5700,100,5700
5,28/11/2022,4900,4900,4900,4900,5400,4900
6,29/11/2022,4900,4900,4900,4900,200,4900
7,30/11/2022,4900,4300,4900,4300,2200,4300
8,01/12/2022,4500,4500,4500,4500,-,4500
9,02/12/2022,4200,4200,4200,4200,100,4200
10,05/12/2022,4200,3900,4200,4000,64300,4000
11,06/12/2022,4600,4000,4000,4600,3300,4600
12,07/12/2022,4100,4000,4100,4000,2800,4000
13,08/12/2022,3900,3800,3900,3800,20000,3800
14,09/12/2022,3900,3900,3900,3900,1800,3900
15,12/12/2022,4000,4000,4000,4000,100,4000
16,13/12/2022,4000,3800,4000,3800,3500,3800
17,14/12/2022,4300,4300,4300,4300,100,4300
18,15/12/2022,3900,3900,3900,3900,200,3900
19,16/12/2022,4100,3800,3800,4100,200,4100
20,19/12/2022,3900,3900,3900,3900,100,3900
21,20/12/2022,3900,3900,3900,3900,500,3900
22,21/12/2022,3900,3900,3900,3900,-,3900
23,22/12/2022,3900,3900,3900,3900,-,3900
24,23/12/2022,4300,3500,3500,4300,600,4300
25,26/12/2022,3900,3900,3900,3900,-,3900
26,27/12/2022,4300,4300,4300,4300,100,4300
27,28/12/2022,4500,4500,4500,4500,100,4500
28,29/12/2022,4500,4500,4500,4500,-,4500
29,30/12/2022,4900,4000,4900,4000,1100,4000
30,03/01/2023,4100,4100,4100,4100,6500,4100
31,04/01/2023,4100,4100,4100,4100,-,4100
32,05/01/2023,4100,4100,4100,4100,-,4100
33,06/01/2023,3900,3800,3800,3900,7700,3900
34,09/01/2023,3900,3900,3900,3900,-,3900
35,10/01/2023,4000,3800,4000,3800,4400,3800
36,11/01/2023,3800,3800,3800,3800,800,3800
37,12/01/2023,4000,3800,4000,3800,2300,3800
38,13/01/2023,3900,3900,3900,3900,300,3900
39,16/01/2023,3900,3900,3900,3900,600,3900
40,17/01/2023,3900,3900,3900,3900,-,3900
41,18/01/2023,4300,4300,4300,4300,100,4300
42,19/01/2023,3900,3900,3900,3900,800,3900
43,27/01/2023,4100,3900,3900,4000,27700,4000
44,30/01/2023,4000,4000,4000,4000,18200,4000
45,31/01/2023,4100,4000,4000,4000,5800,4000
46,01/02/2023,4000,4000,4000,4000,2700,4000
47,02/02/2023,4100,4000,4000,4000,14000,4000
48,03/02/2023,4000,4000,4000,4000,12000,4000
