,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,29500,29500,29500,29500,1000,29500
1,22/11/2022,29500,29500,29500,29500,-,29500
2,23/11/2022,29500,29500,29500,29500,-,29500
3,24/11/2022,29500,29500,29500,29500,-,29500
4,25/11/2022,29500,29500,29500,29500,-,29500
5,28/11/2022,29500,29500,29500,29500,-,29500
6,29/11/2022,29500,29500,29500,29500,-,29500
7,30/11/2022,29500,29500,29500,29500,-,29500
8,01/12/2022,29500,29500,29500,29500,1000,29500
9,02/12/2022,29500,29500,29500,29500,1000,29500
10,05/12/2022,29500,29500,29500,29500,-,29500
11,06/12/2022,29500,29500,29500,29500,-,29500
12,07/12/2022,29500,29500,29500,29500,-,29500
13,08/12/2022,29500,29500,29500,29500,-,29500
14,09/12/2022,29500,29500,29500,29500,-,29500
15,12/12/2022,29500,29500,29500,29500,-,29500
16,13/12/2022,29500,29500,29500,29500,-,29500
17,14/12/2022,29500,29500,29500,29500,-,29500
18,15/12/2022,29500,29500,29500,29500,-,29500
19,16/12/2022,30000,30000,30000,30000,100,30000
20,19/12/2022,30000,30000,30000,30000,-,30000
21,20/12/2022,30000,30000,30000,30000,-,30000
22,21/12/2022,30000,30000,30000,30000,-,30000
23,22/12/2022,30000,30000,30000,30000,-,30000
24,23/12/2022,30000,30000,30000,30000,-,30000
25,26/12/2022,30000,30000,30000,30000,-,30000
26,27/12/2022,34500,34400,34500,34400,400,34400
27,28/12/2022,36000,36000,36000,36000,200,36000
28,29/12/2022,36000,36000,36000,36000,-,36000
29,30/12/2022,37000,37000,37000,37000,500,37000
30,03/01/2023,37000,37000,37000,37000,-,37000
31,04/01/2023,37000,37000,37000,37000,-,37000
32,05/01/2023,37000,37000,37000,37000,-,37000
33,06/01/2023,37000,37000,37000,37000,-,37000
34,09/01/2023,37000,37000,37000,37000,-,37000
35,10/01/2023,37000,37000,37000,37000,-,37000
36,11/01/2023,37000,37000,37000,37000,-,37000
37,12/01/2023,37000,37000,37000,37000,-,37000
38,13/01/2023,37000,37000,37000,37000,-,37000
39,16/01/2023,37000,37000,37000,37000,-,37000
40,17/01/2023,37000,37000,37000,37000,-,37000
41,18/01/2023,37000,37000,37000,37000,-,37000
42,19/01/2023,37000,37000,37000,37000,-,37000
43,27/01/2023,37000,37000,37000,37000,-,37000
44,30/01/2023,37000,37000,37000,37000,-,37000
45,31/01/2023,37000,37000,37000,37000,-,37000
46,01/02/2023,37000,37000,37000,37000,-,37000
47,02/02/2023,37000,37000,37000,37000,-,37000
48,03/02/2023,37000,37000,37000,37000,-,37000
49,06/02/2023,37000,37000,37000,37000,-,37000
50,07/02/2023,37000,37000,37000,37000,-,37000
51,08/02/2023,37000,37000,37000,37000,-,37000
52,09/02/2023,37000,37000,37000,37000,-,37000
53,10/02/2023,37000,37000,37000,37000,-,37000
54,13/02/2023,37000,37000,37000,37000,-,37000
55,14/02/2023,37000,37000,37000,37000,-,37000
56,15/02/2023,34000,34000,34000,34000,800,34000
