,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,12900,12900,12900,12900,-,12000
1,22/11/2022,12800,12800,12800,12800,1200,11900
2,23/11/2022,12800,12800,12800,12800,-,11900
3,24/11/2022,12800,12800,12800,12800,-,11900
4,25/11/2022,12800,12800,12800,12800,-,11900
5,28/11/2022,12800,12800,12800,12800,-,11900
6,29/11/2022,12800,12800,12800,12800,-,11900
7,30/11/2022,12800,12800,12800,12800,-,11900
8,01/12/2022,12800,12800,12800,12800,-,11900
9,02/12/2022,13400,13400,13400,13400,300,12400
10,05/12/2022,13400,13400,13400,13400,-,12400
11,06/12/2022,13400,13400,13400,13400,-,12400
12,07/12/2022,13400,13400,13400,13400,-,12400
13,08/12/2022,13400,13400,13400,13400,-,12400
14,09/12/2022,13400,13400,13400,13400,-,12400
15,12/12/2022,13400,13400,13400,13400,-,12400
16,13/12/2022,12200,12200,12200,12200,100,11300
17,14/12/2022,12100,12100,12100,12100,200,11200
18,15/12/2022,12100,12100,12100,12100,-,11200
19,16/12/2022,12100,12100,12100,12100,-,11200
20,19/12/2022,13800,13700,13700,13800,300,12800
21,20/12/2022,13700,13700,13700,13700,-,12700
22,21/12/2022,14900,14900,14900,14900,100,13800
23,22/12/2022,14900,14900,14900,14900,400,13800
24,23/12/2022,14400,14400,14400,14400,-,13800
25,26/12/2022,14400,14400,14400,14400,-,13800
26,27/12/2022,14400,14400,14400,14400,-,13800
27,28/12/2022,14400,14400,14400,14400,-,13800
28,29/12/2022,14400,14400,14400,14400,-,13800
29,30/12/2022,15400,15100,15400,15100,200,14500
30,03/01/2023,15300,15300,15300,15300,-,14700
31,04/01/2023,15300,15300,15300,15300,-,14700
32,05/01/2023,15300,15300,15300,15300,-,14700
33,06/01/2023,13500,13500,13500,13500,400,13000
34,09/01/2023,15300,12000,12100,15300,1900,14700
35,10/01/2023,13300,13300,13300,13300,-,12800
36,11/01/2023,13300,13300,13300,13300,-,12800
37,12/01/2023,11400,11400,11400,11400,100,11000
38,13/01/2023,13100,13100,13100,13100,201,12600
39,16/01/2023,13600,13600,13600,13600,415,13100
40,17/01/2023,13600,13600,13600,13600,-,13100
41,18/01/2023,13600,13600,13600,13600,-,13100
42,19/01/2023,13600,13600,13600,13600,-,13100
43,27/01/2023,13600,13600,13600,13600,-,13100
44,30/01/2023,12300,12300,12300,12300,1045,11800
45,31/01/2023,12300,12300,12300,12300,-,11800
46,01/02/2023,12300,12300,12300,12300,-,11800
47,02/02/2023,12300,12300,12300,12300,-,11800
48,03/02/2023,13100,13000,13000,13100,600,12600
49,06/02/2023,13000,13000,13000,13000,-,12500
50,07/02/2023,13000,13000,13000,13000,-,12500
51,08/02/2023,13000,13000,13000,13000,-,12500
52,09/02/2023,13000,13000,13000,13000,-,12500
53,10/02/2023,13000,13000,13000,13000,-,12500
54,13/02/2023,13000,13000,13000,13000,-,12500
55,14/02/2023,12600,12600,12600,12600,100,12100
56,15/02/2023,12700,12700,12700,12700,100,12200
57,16/02/2023,12700,12700,12700,12700,-,12200
58,17/02/2023,12700,12700,12700,12700,330,12200
59,20/02/2023,13600,13000,13000,13600,300,13100
60,21/02/2023,13400,13400,13400,13400,-,12900
61,22/02/2023,13400,13400,13400,13400,-,12900
62,23/02/2023,13400,13400,13400,13400,-,12900
63,24/02/2023,13000,13000,13000,13000,100,12500
64,27/02/2023,13100,13000,13100,13000,200,12500
65,28/02/2023,13100,13100,13100,13100,-,12600
66,01/03/2023,13100,13100,13100,13100,-,12600
67,02/03/2023,13100,13100,13100,13100,-,12600
68,03/03/2023,13100,13100,13100,13100,-,12600
69,06/03/2023,13100,13100,13100,13100,-,12600
70,07/03/2023,13100,13100,13100,13100,-,12600
71,08/03/2023,13200,13200,13200,13200,100,12700
72,09/03/2023,13200,13200,13200,13200,-,12700
73,10/03/2023,13200,13200,13200,13200,-,12700
74,13/03/2023,13200,13200,13200,13200,-,12700
75,14/03/2023,13500,13500,13500,13500,100,13000
76,15/03/2023,13600,13600,13600,13600,100,13100
77,16/03/2023,13600,13600,13600,13600,-,13100
78,17/03/2023,13600,13600,13600,13600,-,13100
79,20/03/2023,13700,13700,13700,13700,400,13200
80,21/03/2023,13700,13700,13700,13700,-,13200
81,22/03/2023,13200,13200,13200,13200,2000,12700
82,23/03/2023,13200,13200,13200,13200,-,12700
83,24/03/2023,11800,11800,11800,11800,100,11300
84,27/03/2023,11800,11800,11800,11800,-,11300
85,28/03/2023,11800,11800,11800,11800,-,11300
86,29/03/2023,13000,12800,12800,13000,200,12500
87,30/03/2023,13300,13300,13300,13300,116,12800
88,31/03/2023,11600,11600,11600,11600,100,11100
89,03/04/2023,12000,12000,12000,12000,100,11500
90,04/04/2023,12000,12000,12000,12000,-,11500
91,05/04/2023,13600,13600,13600,13600,100,13100
92,06/04/2023,15300,11800,11800,15300,504,14700
93,07/04/2023,12600,12600,12600,12600,-,12100
94,10/04/2023,14400,14200,14400,14200,1000,13600
95,11/04/2023,14800,12300,12300,14800,400,14200
96,12/04/2023,14200,14200,14200,14200,104,13600
97,13/04/2023,15500,15500,15500,15500,100,14900
98,14/04/2023,15500,15500,15500,15500,-,14900
99,17/04/2023,13300,13300,13300,13300,100,12800
100,18/04/2023,13300,13300,13300,13300,1,12800
101,19/04/2023,15000,15000,15000,15000,100,14400
102,20/04/2023,15000,15000,15000,15000,-,14400
103,21/04/2023,15000,15000,15000,15000,-,14400
104,24/04/2023,15000,15000,15000,15000,-,14400
105,25/04/2023,15000,15000,15000,15000,-,14400
106,26/04/2023,15000,15000,15000,15000,5,14400
107,27/04/2023,15000,15000,15000,15000,-,14400
108,28/04/2023,15000,15000,15000,15000,-,14400
109,04/05/2023,15000,15000,15000,15000,2,14400
110,05/05/2023,15000,15000,15000,15000,-,14400
111,08/05/2023,15000,15000,15000,15000,-,14400
112,09/05/2023,15000,15000,15000,15000,-,14400
113,10/05/2023,14800,14800,14800,14800,200,14200
114,11/05/2023,15000,15000,15000,15000,200,14400
115,12/05/2023,15000,15000,15000,15000,200,14400
116,15/05/2023,15800,15000,15800,15000,2505,14400
117,16/05/2023,14800,14700,14800,14800,1000,14200
118,17/05/2023,14800,14800,14800,14800,-,14200
119,18/05/2023,14800,14800,14800,14800,-,14200
120,19/05/2023,14800,14800,14800,14800,-,14200
121,22/05/2023,14800,14800,14800,14800,-,14200
122,23/05/2023,14800,14800,14800,14800,-,14200
123,24/05/2023,15700,15700,15700,15700,100,15100
124,25/05/2023,15600,15600,15600,15600,6500,15000
125,26/05/2023,15000,15000,15000,15000,100,14400
126,29/05/2023,15800,15700,15700,15800,400,15200
127,30/05/2023,15000,15000,15000,15000,100,14400
128,31/05/2023,15000,15000,15000,15000,-,14400
129,01/06/2023,15000,15000,15000,15000,-,14400
130,02/06/2023,15800,15000,15000,15800,300,15200
131,05/06/2023,15600,15600,15600,15600,200,15000
132,06/06/2023,15500,15500,15500,15500,100,14900
133,07/06/2023,15800,15000,15600,15800,700,15200
134,08/06/2023,15300,15300,15300,15300,-,14700
135,09/06/2023,15300,15300,15300,15300,-,14700
136,12/06/2023,15500,15000,15000,15500,600,14900
137,13/06/2023,15200,15200,15200,15200,200,14600
138,14/06/2023,15200,15200,15200,15200,-,14600
139,15/06/2023,15800,15800,15800,15800,100,15200
140,16/06/2023,15600,15600,15600,15600,1000,15000
141,19/06/2023,15600,15600,15600,15600,-,15000
142,20/06/2023,15600,15600,15600,15600,-,15000
143,21/06/2023,15600,15600,15600,15600,-,15000
144,22/06/2023,15600,15600,15600,15600,-,15000
145,23/06/2023,15800,15600,15600,15800,3800,15200
146,26/06/2023,15800,15000,15000,15800,700,15200
147,27/06/2023,15800,15000,15000,15800,200,15200
148,28/06/2023,16000,15800,15800,16000,600,15400
149,29/06/2023,15800,15000,15000,15800,200,15200
150,30/06/2023,15400,15400,15400,15400,-,14800
151,03/07/2023,15400,15400,15400,15400,-,14800
152,04/07/2023,15400,15400,15400,15400,-,14800
153,05/07/2023,15400,15400,15400,15400,-,14800
154,06/07/2023,15400,15400,15400,15400,200,14800
155,07/07/2023,15000,15000,15000,15000,200,15000
156,10/07/2023,15000,15000,15000,15000,-,15000
157,11/07/2023,15000,13200,15000,13200,503,13200
158,12/07/2023,13200,13200,13200,13200,100,13200
159,13/07/2023,13200,13200,13200,13200,-,13200
160,14/07/2023,13200,13200,13200,13200,-,13200
161,17/07/2023,15000,15000,15000,15000,1000,15000
162,18/07/2023,15000,13200,13200,15000,300,15000
163,19/07/2023,14400,14000,14400,14000,800,14000
164,20/07/2023,15000,15000,15000,15000,1000,15000
165,21/07/2023,15000,15000,15000,15000,-,15000
166,24/07/2023,13500,13500,13500,13500,100,13500
167,25/07/2023,14000,14000,14000,14000,100,14000
168,26/07/2023,14000,14000,14000,14000,-,14000
169,27/07/2023,14000,14000,14000,14000,-,14000
170,28/07/2023,15000,14500,14500,15000,400,15000
171,31/07/2023,15000,13500,13500,15000,200,15000
172,01/08/2023,14300,14300,14300,14300,-,14300
173,02/08/2023,13500,13500,13500,13500,100,13500
174,03/08/2023,14000,14000,14000,14000,525,14000
175,04/08/2023,14000,14000,14000,14000,5,14000
176,07/08/2023,14000,14000,14000,14000,-,14000
177,08/08/2023,14000,14000,14000,14000,-,14000
178,09/08/2023,14000,14000,14000,14000,-,14000
179,10/08/2023,14000,14000,14000,14000,-,14000
180,11/08/2023,14000,14000,14000,14000,-,14000
181,14/08/2023,14000,14000,14000,14000,200,14000
182,15/08/2023,15000,15000,15000,15000,100,15000
183,16/08/2023,14100,14100,14100,14100,200,14100
184,17/08/2023,13500,13500,13500,13500,100,13500
185,18/08/2023,13500,13500,13500,13500,-,13500
186,21/08/2023,13500,13500,13500,13500,-,13500
187,22/08/2023,13500,13500,13500,13500,-,13500
188,23/08/2023,13500,13500,13500,13500,-,13500
189,24/08/2023,13500,13500,13500,13500,-,13500
190,25/08/2023,13500,13500,13500,13500,-,13500
191,28/08/2023,14700,14700,14700,14700,100,14700
192,29/08/2023,13600,13600,13600,13600,300,13600
193,30/08/2023,13600,13600,13600,13600,205,13600
194,31/08/2023,13600,13600,13600,13600,-,13600
195,05/09/2023,13800,13800,13800,13800,100,13800
196,06/09/2023,13800,13800,13800,13800,500,13800
197,07/09/2023,14000,13300,13800,14000,5500,14000
198,08/09/2023,13500,13500,13500,13500,-,13500
