,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,19500,19500,19500,19500,100,19500
1,22/11/2022,19500,19500,19500,19500,-,19500
2,23/11/2022,19500,19500,19500,19500,100,19500
3,24/11/2022,19500,19500,19500,19500,500,19500
4,25/11/2022,20900,20900,20900,20900,100,20900
5,28/11/2022,23200,17800,18000,23200,5336,23200
6,29/11/2022,19800,19800,19800,19800,-,19800
7,30/11/2022,21500,17600,17600,21500,200,21500
8,01/12/2022,20800,18600,18600,20800,200,20800
9,02/12/2022,22500,19000,22500,19000,1100,19000
10,05/12/2022,21500,21300,21500,21300,1406,21300
11,06/12/2022,21500,21500,21500,21500,-,21500
12,07/12/2022,21500,21500,21500,21500,-,21500
13,08/12/2022,21500,21500,21500,21500,-,21500
14,09/12/2022,21500,21000,21500,21000,2500,21000
15,12/12/2022,21300,21300,21300,21300,-,21300
16,13/12/2022,21300,21300,21300,21300,-,21300
17,14/12/2022,21300,21300,21300,21300,-,21300
18,15/12/2022,21300,21300,21300,21300,-,21300
19,16/12/2022,20000,20000,20000,20000,100,20000
20,19/12/2022,19500,19000,19500,19000,920,19000
21,20/12/2022,19500,19000,19000,19500,2300,19500
22,21/12/2022,19400,19400,19400,19400,100,19400
23,22/12/2022,19400,19400,19400,19400,-,19400
24,23/12/2022,19400,19400,19400,19400,-,19400
25,26/12/2022,19400,19400,19400,19400,-,19400
26,27/12/2022,20400,20400,20400,20400,400,20400
27,28/12/2022,20300,20200,20300,20200,1100,20200
28,29/12/2022,20200,20200,20200,20200,-,20200
29,30/12/2022,20200,20200,20200,20200,400,20200
30,03/01/2023,20000,19500,20000,19500,1200,19500
31,04/01/2023,20500,19700,20500,20000,1915,20000
32,05/01/2023,20100,20100,20100,20100,300,20100
33,06/01/2023,20300,20000,20200,20300,5600,20300
34,09/01/2023,20100,20000,20100,20000,2515,20000
35,10/01/2023,21000,20200,20200,21000,1600,21000
36,11/01/2023,20300,20300,20300,20300,100,20300
37,12/01/2023,20300,20300,20300,20300,100,20300
38,13/01/2023,20300,20300,20300,20300,-,20300
39,16/01/2023,20300,20300,20300,20300,-,20300
40,17/01/2023,21800,18000,18000,21800,300,21800
41,18/01/2023,19700,19500,19500,19700,600,19700
42,19/01/2023,21000,21000,21000,21000,100,21000
43,27/01/2023,21400,20900,21000,20900,6738,20900
44,30/01/2023,21400,21000,21400,21000,1100,21000
45,31/01/2023,21000,19600,21000,20800,4100,20800
46,01/02/2023,21000,20000,20100,21000,1000,21000
47,02/02/2023,20000,20000,20000,20000,2100,20000
48,03/02/2023,21500,20100,21500,20100,1200,20100
49,06/02/2023,20000,20000,20000,20000,1500,20000
50,07/02/2023,20000,20000,20000,20000,1600,20000
51,08/02/2023,20000,20000,20000,20000,-,20000
52,09/02/2023,20500,20400,20500,20500,1200,20500
53,10/02/2023,20400,20400,20400,20400,100,20400
54,13/02/2023,20000,20000,20000,20000,500,20000
55,14/02/2023,17500,17500,17500,17500,900,17500
56,15/02/2023,20000,20000,20000,20000,100,20000
