,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,40800,39900,39900,40500,289420,40500
1,22/11/2022,41100,39700,41100,39700,500,39700
2,23/11/2022,40000,39000,39000,39700,1900,39700
3,24/11/2022,39700,38300,39500,38300,51100,38300
4,25/11/2022,41500,32600,41500,32600,96400,32600
5,28/11/2022,36600,36600,36600,36600,100100,36600
6,29/11/2022,39400,39400,39400,39400,20100,39400
7,30/11/2022,39400,39400,39400,39400,-,39400
8,01/12/2022,44400,36500,36500,43000,3300,43000
9,02/12/2022,42500,42500,42500,42500,3000,42500
10,05/12/2022,42000,42000,42000,42000,5000,42000
11,06/12/2022,41800,41800,41800,41800,3500,41800
12,07/12/2022,41000,41000,41000,41000,2200,41000
13,08/12/2022,45000,45000,45000,45000,3100,45000
14,09/12/2022,44000,44000,44000,44000,2000,44000
15,12/12/2022,44000,44000,44000,44000,-,44000
16,13/12/2022,43000,43000,43000,43000,1300,43000
17,14/12/2022,46000,46000,46000,46000,800,46000
18,15/12/2022,46000,46000,46000,46000,-,46000
19,16/12/2022,46000,46000,46000,46000,-,46000
20,19/12/2022,46100,39100,39100,46100,34100,46100
21,20/12/2022,45800,45800,45800,45800,-,45800
22,21/12/2022,45800,45800,45800,45800,200,45800
23,22/12/2022,46000,46000,46000,46000,100,46000
24,23/12/2022,45500,45500,45500,45500,100,45500
25,26/12/2022,45000,45000,45000,45000,30000,45000
26,27/12/2022,45000,45000,45000,45000,-,45000
27,28/12/2022,38300,38300,38300,38300,1900,38300
28,29/12/2022,32600,32600,32600,32600,323000,32600
29,30/12/2022,37400,27800,27800,36000,374920,36000
30,03/01/2023,29200,24900,24900,24900,228200,24900
31,04/01/2023,22500,22500,22500,22500,275410,22500
32,05/01/2023,19200,19200,19200,19200,446240,19200
33,06/01/2023,16400,16400,16400,16400,247581,16400
34,09/01/2023,14000,14000,14000,14000,393560,14000
35,10/01/2023,12000,11900,11900,11900,850510,11900
36,11/01/2023,13600,10200,10200,10200,1002356,10200
37,12/01/2023,11800,8800,8800,10200,583083,10200
38,13/01/2023,10400,8500,9000,9000,158931,9000
39,16/01/2023,8500,7600,8500,7600,470096,7600
40,17/01/2023,7600,6600,7600,6800,705205,6800
41,18/01/2023,7400,6700,6700,7400,138001,7400
42,19/01/2023,8200,7200,7300,7800,325349,7800
43,27/01/2023,8000,7100,8000,7400,207128,7400
44,30/01/2023,7500,6900,7400,7100,274100,7100
45,31/01/2023,7200,7000,7200,7200,84801,7200
46,01/02/2023,7400,7000,7200,7100,180853,7100
47,02/02/2023,7100,6700,7100,6900,111331,6900
48,03/02/2023,6900,6500,6900,6600,136900,6600
49,06/02/2023,6700,6300,6600,6500,91853,6500
50,07/02/2023,6600,6100,6600,6100,119330,6100
51,08/02/2023,6200,5700,6200,6000,152400,6000
52,09/02/2023,6600,5800,5900,6300,76201,6300
53,10/02/2023,6300,5900,6200,6000,56602,6000
54,13/02/2023,5800,5100,5800,5400,181533,5400
55,14/02/2023,5600,5300,5400,5600,87300,5600
56,15/02/2023,6000,5600,5700,6000,165419,6000
57,16/02/2023,6300,5800,6100,6100,39402,6100
58,17/02/2023,6100,5100,6100,5300,634110,5300
59,20/02/2023,5400,5200,5300,5400,78000,5400
60,21/02/2023,5400,5000,5300,5100,523626,5100
61,22/02/2023,5100,4500,5100,4500,732250,4500
62,23/02/2023,4700,4100,4600,4200,460082,4200
63,24/02/2023,4600,4300,4300,4400,113903,4400
64,27/02/2023,4300,3800,4300,3800,535645,3800
65,28/02/2023,4000,3800,3900,3900,56410,3900
66,01/03/2023,3900,3800,3900,3900,100100,3900
67,02/03/2023,4300,3900,3900,4300,212832,4300
68,03/03/2023,4800,4800,4800,4800,96500,4800
69,06/03/2023,5500,4900,5500,5500,817326,5500
70,07/03/2023,5700,5100,5400,5300,389720,5300
71,08/03/2023,5300,4700,5100,4900,246067,4900
72,09/03/2023,5200,4800,4900,5200,166900,5200
73,10/03/2023,5200,4900,5100,5000,110700,5000
74,13/03/2023,4900,4500,4900,4700,156862,4700
75,14/03/2023,4700,4200,4700,4300,226110,4300
76,15/03/2023,4700,4400,4400,4700,153700,4700
77,16/03/2023,4600,4100,4600,4400,117003,4400
78,17/03/2023,4500,4100,4300,4200,139700,4200
79,20/03/2023,4300,3900,4200,4000,108400,4000
80,21/03/2023,4400,4000,4100,4300,285000,4300
81,22/03/2023,4300,4100,4300,4100,61000,4100
82,23/03/2023,4200,4000,4200,4200,104300,4200
83,24/03/2023,4200,4000,4100,4200,104400,4200
84,27/03/2023,4200,4000,4200,4100,107531,4100
85,28/03/2023,4600,4000,4100,4400,189403,4400
86,29/03/2023,4400,4200,4300,4200,128600,4200
87,30/03/2023,4500,4100,4200,4300,272826,4300
88,31/03/2023,4300,4100,4300,4200,173026,4200
89,03/04/2023,4300,4100,4100,4200,191003,4200
90,04/04/2023,4200,4000,4100,4200,138922,4200
91,05/04/2023,4200,4000,4100,4200,235400,4200
92,06/04/2023,4700,4200,4200,4400,527452,4400
93,07/04/2023,4600,4300,4500,4300,193401,4300
94,10/04/2023,4500,4200,4500,4200,283295,4200
95,11/04/2023,4300,4200,4300,4300,104700,4300
96,12/04/2023,4400,4100,4300,4100,150400,4100
97,13/04/2023,4300,4100,4200,4200,128951,4200
98,14/04/2023,4300,4100,4200,4200,103332,4200
99,17/04/2023,4200,4000,4200,4100,186400,4100
100,18/04/2023,4200,3900,4100,4100,181854,4100
101,19/04/2023,4000,3900,4000,3900,61212,3900
102,20/04/2023,4100,3900,4000,4000,94124,4000
103,21/04/2023,4000,3900,4000,4000,124000,4000
104,24/04/2023,4000,3900,4000,3900,105023,3900
105,25/04/2023,4000,3800,4000,3900,70600,3900
106,26/04/2023,4000,3800,3900,4000,32701,4000
107,27/04/2023,4000,3900,3900,4000,23923,4000
108,28/04/2023,4000,3800,4000,3900,200870,3900
109,04/05/2023,4000,3800,3900,3900,116800,3900
110,05/05/2023,3900,3600,3800,3800,369370,3800
111,08/05/2023,3900,3700,3800,3800,123600,3800
112,09/05/2023,3800,3700,3800,3800,74801,3800
113,10/05/2023,4000,3700,3800,3900,396748,3900
114,11/05/2023,4200,3900,3900,4200,270600,4200
115,12/05/2023,4300,4100,4100,4200,453700,4200
116,15/05/2023,4300,4100,4200,4200,220315,4200
117,16/05/2023,4200,4000,4200,4000,230854,4000
118,17/05/2023,4200,4000,4100,4100,366482,4100
119,18/05/2023,4700,4200,4200,4600,974100,4600
120,19/05/2023,4600,4300,4600,4300,370265,4300
121,22/05/2023,4400,4200,4300,4200,244800,4200
122,23/05/2023,4300,3800,4200,3800,1195039,3800
123,24/05/2023,4000,3800,3900,4000,353603,4000
124,25/05/2023,3900,3900,3900,3900,-,3900
125,26/05/2023,3700,3400,3700,3400,961871,3400
126,29/05/2023,3400,3400,3400,3400,-,3400
127,30/05/2023,3400,3400,3400,3400,-,3400
128,31/05/2023,3400,3400,3400,3400,-,3400
129,01/06/2023,3400,3400,3400,3400,-,3400
130,02/06/2023,3700,3300,3500,3400,601158,3400
131,05/06/2023,3500,3500,3500,3500,-,3500
132,06/06/2023,3500,3500,3500,3500,-,3500
133,07/06/2023,3500,3500,3500,3500,-,3500
134,08/06/2023,3500,3500,3500,3500,-,3500
135,09/06/2023,3500,3200,3400,3300,370328,3300
136,12/06/2023,3300,3300,3300,3300,-,3300
137,13/06/2023,3300,3300,3300,3300,-,3300
138,14/06/2023,3300,3300,3300,3300,-,3300
139,15/06/2023,3300,3300,3300,3300,-,3300
140,16/06/2023,3400,2900,3300,3000,390352,3000
141,19/06/2023,3100,3100,3100,3100,-,3100
142,20/06/2023,3100,3100,3100,3100,-,3100
143,21/06/2023,3100,3100,3100,3100,-,3100
144,22/06/2023,3100,3100,3100,3100,-,3100
145,23/06/2023,3100,2700,3000,2800,480643,2800
146,26/06/2023,2800,2800,2800,2800,-,2800
147,27/06/2023,2800,2800,2800,2800,-,2800
148,28/06/2023,2800,2800,2800,2800,-,2800
149,29/06/2023,2800,2800,2800,2800,-,2800
150,30/06/2023,2800,2400,2500,2400,319111,2400
151,03/07/2023,2500,2500,2500,2500,-,2500
152,04/07/2023,2500,2500,2500,2500,-,2500
153,05/07/2023,2500,2500,2500,2500,-,2500
154,06/07/2023,2500,2500,2500,2500,-,2500
155,07/07/2023,2400,2200,2400,2200,468611,2200
156,10/07/2023,2200,2200,2200,2200,-,2200
157,11/07/2023,2200,2200,2200,2200,-,2200
158,12/07/2023,2200,2200,2200,2200,-,2200
159,13/07/2023,2200,2200,2200,2200,-,2200
160,14/07/2023,2400,2100,2200,2400,296300,2400
161,17/07/2023,2300,2300,2300,2300,-,2300
162,18/07/2023,2300,2300,2300,2300,-,2300
163,19/07/2023,2300,2300,2300,2300,-,2300
164,20/07/2023,2300,2300,2300,2300,-,2300
165,21/07/2023,2500,2300,2300,2400,313712,2400
166,24/07/2023,2400,2400,2400,2400,-,2400
167,25/07/2023,2400,2400,2400,2400,-,2400
168,26/07/2023,2400,2400,2400,2400,-,2400
169,27/07/2023,2400,2400,2400,2400,-,2400
170,28/07/2023,2500,2300,2400,2400,279500,2400
171,31/07/2023,2400,2400,2400,2400,-,2400
172,01/08/2023,2400,2400,2400,2400,-,2400
173,02/08/2023,2400,2400,2400,2400,-,2400
174,03/08/2023,2400,2400,2400,2400,-,2400
175,04/08/2023,2400,2100,2400,2200,383570,2200
176,07/08/2023,2200,2200,2200,2200,-,2200
177,08/08/2023,2200,2200,2200,2200,-,2200
178,09/08/2023,2200,2200,2200,2200,-,2200
179,10/08/2023,2200,2200,2200,2200,-,2200
180,11/08/2023,2400,2200,2200,2400,539210,2400
181,14/08/2023,2300,2300,2300,2300,-,2300
182,15/08/2023,2300,2300,2300,2300,-,2300
183,16/08/2023,2300,2300,2300,2300,-,2300
184,17/08/2023,2300,2300,2300,2300,-,2300
185,18/08/2023,2300,2000,2300,2000,695900,2000
186,21/08/2023,2100,2100,2100,2100,-,2100
