,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,34900,34900,34900,34900,-,31500
1,22/11/2022,34900,34900,34900,34900,100,31500
2,23/11/2022,34900,34900,34900,34900,-,31500
3,24/11/2022,34900,34900,34900,34900,-,31500
4,25/11/2022,34900,34900,34900,34900,4900,31500
5,28/11/2022,34900,34900,34900,34900,-,31500
6,29/11/2022,34900,34900,34900,34900,-,31500
7,30/11/2022,34900,34900,34900,34900,-,31500
8,01/12/2022,34900,34900,34900,34900,-,31500
9,02/12/2022,34900,34900,34900,34900,-,31500
10,05/12/2022,34900,34900,34900,34900,-,31500
11,06/12/2022,34900,34900,34900,34900,-,31500
12,07/12/2022,34900,34900,34900,34900,-,31500
13,08/12/2022,34900,34900,34900,34900,-,31500
14,09/12/2022,34900,34900,34900,34900,-,31500
15,12/12/2022,34900,34900,34900,34900,-,31500
16,13/12/2022,34900,34900,34900,34900,-,31500
17,14/12/2022,34900,34900,34900,34900,-,31500
18,15/12/2022,34900,34900,34900,34900,-,31500
19,16/12/2022,34900,34900,34900,34900,-,31500
20,19/12/2022,34900,34900,34900,34900,-,31500
21,20/12/2022,34900,34900,34900,34900,-,31500
22,21/12/2022,34900,34900,34900,34900,-,31500
23,22/12/2022,34900,34900,34900,34900,-,31500
24,23/12/2022,34900,34900,34900,34900,-,31500
25,26/12/2022,34900,34900,34900,34900,-,31500
26,27/12/2022,34900,34900,34900,34900,-,31500
27,28/12/2022,34900,34900,34900,34900,100,31500
28,29/12/2022,34900,34900,34900,34900,-,31500
29,30/12/2022,34900,34900,34900,34900,-,31500
30,03/01/2023,34900,34900,34900,34900,-,31500
31,04/01/2023,34900,34900,34900,34900,-,31500
32,05/01/2023,34900,34900,34900,34900,-,31500
33,06/01/2023,34900,34900,34900,34900,-,31500
34,09/01/2023,34900,34900,34900,34900,-,31500
35,10/01/2023,34900,34900,34900,34900,-,31500
36,11/01/2023,29700,29700,29700,29700,100,26800
37,12/01/2023,29700,29700,29700,29700,-,26800
38,13/01/2023,29700,29700,29700,29700,-,26800
39,16/01/2023,29700,29700,29700,29700,-,26800
40,17/01/2023,29700,29700,29700,29700,-,26800
41,18/01/2023,29700,29700,29700,29700,-,26800
42,19/01/2023,34100,34100,34100,34100,200,30700
43,27/01/2023,29000,29000,29000,29000,100,26100
44,30/01/2023,29000,29000,29000,29000,-,26100
45,31/01/2023,33300,33300,33300,33300,900,30000
46,01/02/2023,33300,33300,33300,33300,-,30000
47,02/02/2023,28600,28600,28600,28600,100,25800
48,03/02/2023,28600,28600,28600,28600,-,25800
49,06/02/2023,32800,32800,32800,32800,100,29600
50,07/02/2023,32800,32800,32800,32800,200,29600
51,08/02/2023,29000,29000,29000,29000,100,26100
52,09/02/2023,29000,29000,29000,29000,-,26100
53,10/02/2023,33300,33300,33300,33300,300,30000
54,13/02/2023,29300,29300,29300,29300,100,26400
55,14/02/2023,29300,29300,29300,29300,-,26400
56,15/02/2023,29300,29300,29300,29300,-,26400
57,16/02/2023,30000,30000,30000,30000,500,27000
58,17/02/2023,30000,30000,30000,30000,-,27000
59,20/02/2023,34000,27500,27500,34000,200,30700
60,21/02/2023,28500,28500,28500,28500,100,25700
61,22/02/2023,32700,32700,32700,32700,100,29500
62,23/02/2023,32000,28800,28800,32000,800,28900
63,24/02/2023,28600,28600,28600,28600,100,25800
64,27/02/2023,32800,32800,32800,32800,200,29600
65,28/02/2023,28600,28600,28600,28600,100,25800
66,01/03/2023,32800,32800,32800,32800,100,29600
67,02/03/2023,28600,28600,28600,28600,100,25800
68,03/03/2023,32800,30300,32000,30300,700,27300
69,06/03/2023,28700,28700,28700,28700,100,25900
70,07/03/2023,28700,28700,28700,28700,-,25900
71,08/03/2023,27600,27600,27600,27600,100,24900
72,09/03/2023,27600,27600,27600,27600,-,24900
73,10/03/2023,27600,27600,27600,27600,-,24900
74,13/03/2023,27600,27600,27600,27600,-,24900
75,14/03/2023,31700,31700,31700,31700,100,28600
76,15/03/2023,29100,29100,29100,29100,100,26200
77,16/03/2023,27700,27700,27700,27700,100,25000
78,17/03/2023,27700,27700,27700,27700,-,25000
79,20/03/2023,26500,26500,26500,26500,100,23900
80,21/03/2023,30400,30400,30400,30400,100,27400
81,22/03/2023,28000,28000,28000,28000,100,25200
82,23/03/2023,32100,32100,32100,32100,100,28900
83,24/03/2023,29000,29000,29000,29000,100,26100
84,27/03/2023,29100,29100,29100,29100,100,26200
85,28/03/2023,29100,29100,29100,29100,-,26200
86,29/03/2023,32500,32400,32500,32500,700,29300
87,30/03/2023,28200,28200,28200,28200,100,25400
88,31/03/2023,30100,30100,30100,30100,200,27100
89,03/04/2023,30500,29200,29200,30500,200,27500
90,04/04/2023,29900,29900,29900,29900,-,27000
91,05/04/2023,29900,29900,29900,29900,-,27000
92,06/04/2023,29900,29900,29900,29900,-,27000
93,07/04/2023,29000,29000,29000,29000,12900,26100
94,10/04/2023,29000,29000,29000,29000,-,26100
95,11/04/2023,30200,30200,30200,30200,2300,27200
96,12/04/2023,30200,30200,30200,30200,-,27200
97,13/04/2023,30200,30200,30200,30200,-,27200
98,14/04/2023,30200,30200,30200,30200,-,27200
99,17/04/2023,30200,30200,30200,30200,-,27200
100,18/04/2023,28900,28900,28900,28900,100,26100
101,19/04/2023,28900,28900,28900,28900,-,26100
102,20/04/2023,28900,28900,28900,28900,-,26100
103,21/04/2023,28900,28900,28900,28900,-,26100
104,24/04/2023,28900,28900,28900,28900,-,26100
105,25/04/2023,28900,28900,28900,28900,-,26100
106,26/04/2023,28900,28900,28900,28900,-,26100
107,27/04/2023,28900,28900,28900,28900,-,26100
108,28/04/2023,28900,28900,28900,28900,-,26100
109,04/05/2023,28900,28900,28900,28900,-,26100
110,05/05/2023,28900,28900,28900,28900,4600,26100
