,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,1000,1000,1000,1000,-,1000
1,22/11/2022,1000,1000,1000,1000,-,1000
2,23/11/2022,1000,1000,1000,1000,-,1000
3,24/11/2022,1000,1000,1000,1000,-,1000
4,25/11/2022,1100,900,1100,1000,25300,1000
5,28/11/2022,1000,1000,1000,1000,-,1000
6,29/11/2022,1000,1000,1000,1000,-,1000
7,30/11/2022,1000,1000,1000,1000,-,1000
8,01/12/2022,1000,1000,1000,1000,-,1000
9,02/12/2022,1100,1000,1100,1100,112324,1100
10,05/12/2022,1100,1100,1100,1100,-,1100
11,06/12/2022,1100,1100,1100,1100,-,1100
12,07/12/2022,1100,1100,1100,1100,-,1100
13,08/12/2022,1100,1100,1100,1100,-,1100
14,09/12/2022,1200,1000,1100,1200,40365,1200
15,12/12/2022,1100,1100,1100,1100,-,1100
16,13/12/2022,1100,1100,1100,1100,-,1100
17,14/12/2022,1100,1100,1100,1100,-,1100
18,15/12/2022,1100,1100,1100,1100,-,1100
19,16/12/2022,1200,1200,1200,1200,27500,1200
20,19/12/2022,1200,1200,1200,1200,-,1200
21,20/12/2022,1200,1200,1200,1200,-,1200
22,21/12/2022,1200,1200,1200,1200,-,1200
23,22/12/2022,1200,1200,1200,1200,-,1200
24,23/12/2022,1200,1100,1100,1100,8601,1100
25,26/12/2022,1100,1100,1100,1100,-,1100
26,27/12/2022,1100,1100,1100,1100,-,1100
27,28/12/2022,1100,1100,1100,1100,-,1100
28,29/12/2022,1100,1100,1100,1100,-,1100
29,30/12/2022,1200,1000,1000,1200,8100,1200
30,03/01/2023,1000,1000,1000,1000,-,1000
31,04/01/2023,1000,1000,1000,1000,-,1000
32,05/01/2023,1000,1000,1000,1000,-,1000
33,06/01/2023,1100,1100,1100,1100,600,1100
34,09/01/2023,1100,1100,1100,1100,-,1100
35,10/01/2023,1100,1100,1100,1100,-,1100
36,11/01/2023,1100,1100,1100,1100,-,1100
37,12/01/2023,1100,1100,1100,1100,-,1100
38,13/01/2023,1200,1200,1200,1200,500,1200
39,16/01/2023,1200,1200,1200,1200,-,1200
40,17/01/2023,1200,1200,1200,1200,-,1200
41,18/01/2023,1200,1200,1200,1200,-,1200
42,19/01/2023,1200,1200,1200,1200,-,1200
43,27/01/2023,1300,1300,1300,1300,2245,1300
44,30/01/2023,1300,1300,1300,1300,-,1300
45,31/01/2023,1300,1300,1300,1300,-,1300
46,01/02/2023,1300,1300,1300,1300,-,1300
47,02/02/2023,1300,1300,1300,1300,-,1300
48,03/02/2023,1400,1300,1400,1300,1054,1300
49,06/02/2023,1300,1300,1300,1300,-,1300
50,07/02/2023,1300,1300,1300,1300,-,1300
51,08/02/2023,1300,1300,1300,1300,-,1300
52,09/02/2023,1300,1300,1300,1300,-,1300
53,10/02/2023,1300,1200,1300,1200,400,1200
54,13/02/2023,1200,1200,1200,1200,-,1200
55,14/02/2023,1200,1200,1200,1200,-,1200
56,15/02/2023,1200,1200,1200,1200,-,1200
57,16/02/2023,1200,1200,1200,1200,-,1200
58,17/02/2023,1200,1100,1100,1200,1000,1200
59,20/02/2023,1100,1100,1100,1100,-,1100
60,21/02/2023,1100,1100,1100,1100,-,1100
61,22/02/2023,1100,1100,1100,1100,-,1100
62,23/02/2023,1100,1100,1100,1100,-,1100
63,24/02/2023,1200,1000,1000,1000,25300,1000
64,27/02/2023,1000,1000,1000,1000,-,1000
65,28/02/2023,1000,1000,1000,1000,-,1000
66,01/03/2023,1000,1000,1000,1000,-,1000
67,02/03/2023,1000,1000,1000,1000,-,1000
68,03/03/2023,1100,900,1100,1100,3100,1100
69,06/03/2023,1100,1100,1100,1100,-,1100
70,07/03/2023,1100,1100,1100,1100,-,1100
71,08/03/2023,1100,1100,1100,1100,-,1100
72,09/03/2023,1100,1100,1100,1100,-,1100
73,10/03/2023,1200,1000,1200,1100,12408,1100
74,13/03/2023,1100,1100,1100,1100,-,1100
75,14/03/2023,1100,1100,1100,1100,-,1100
76,15/03/2023,1100,1100,1100,1100,-,1100
77,16/03/2023,1100,1100,1100,1100,-,1100
78,17/03/2023,1200,1000,1200,1100,3500,1100
79,20/03/2023,1000,1000,1000,1000,-,1000
80,21/03/2023,1000,1000,1000,1000,-,1000
81,22/03/2023,1000,1000,1000,1000,-,1000
82,23/03/2023,1000,1000,1000,1000,-,1000
83,24/03/2023,1100,900,900,1100,89264,1100
84,27/03/2023,900,900,900,900,-,900
85,28/03/2023,900,900,900,900,-,900
86,29/03/2023,900,900,900,900,-,900
87,30/03/2023,900,900,900,900,-,900
88,31/03/2023,1000,800,1000,1000,50030,1000
89,03/04/2023,900,900,900,900,-,900
90,04/04/2023,900,900,900,900,-,900
91,05/04/2023,900,900,900,900,-,900
92,06/04/2023,900,900,900,900,-,900
93,07/04/2023,1000,900,1000,1000,9341,1000
94,10/04/2023,900,900,900,900,-,900
95,11/04/2023,900,900,900,900,-,900
96,12/04/2023,900,900,900,900,-,900
97,13/04/2023,900,900,900,900,-,900
98,14/04/2023,1000,900,1000,1000,3600,1000
99,17/04/2023,900,900,900,900,-,900
100,18/04/2023,900,900,900,900,-,900
101,19/04/2023,900,900,900,900,-,900
102,20/04/2023,900,900,900,900,-,900
103,21/04/2023,1000,800,900,800,31900,800
104,24/04/2023,800,800,800,800,-,800
105,25/04/2023,800,800,800,800,-,800
106,26/04/2023,800,800,800,800,-,800
107,27/04/2023,800,800,800,800,-,800
108,28/04/2023,900,700,700,900,5600,900
109,04/05/2023,800,800,800,800,-,800
110,05/05/2023,900,800,900,800,1600,800
111,08/05/2023,900,900,900,900,-,900
112,09/05/2023,900,900,900,900,-,900
113,10/05/2023,900,900,900,900,-,900
114,11/05/2023,900,900,900,900,-,900
115,12/05/2023,1000,800,900,900,6600,900
116,15/05/2023,900,900,900,900,-,900
117,16/05/2023,900,900,900,900,-,900
118,17/05/2023,900,900,900,900,-,900
119,18/05/2023,900,900,900,900,-,900
120,19/05/2023,1000,900,1000,1000,1700,1000
121,22/05/2023,900,900,900,900,-,900
122,23/05/2023,900,900,900,900,-,900
123,24/05/2023,900,900,900,900,-,900
124,25/05/2023,900,900,900,900,-,900
125,26/05/2023,1000,800,1000,800,80200,800
126,29/05/2023,1000,1000,1000,1000,-,1000
127,30/05/2023,1000,1000,1000,1000,-,1000
128,31/05/2023,1000,1000,1000,1000,-,1000
129,01/06/2023,1000,1000,1000,1000,-,1000
130,02/06/2023,1000,900,1000,900,119000,900
131,05/06/2023,900,900,900,900,-,900
132,06/06/2023,900,900,900,900,-,900
133,07/06/2023,900,900,900,900,-,900
134,08/06/2023,900,900,900,900,-,900
135,09/06/2023,1000,900,900,1000,163401,1000
136,12/06/2023,1000,1000,1000,1000,-,1000
137,13/06/2023,1000,1000,1000,1000,-,1000
138,14/06/2023,1000,1000,1000,1000,-,1000
139,15/06/2023,1000,1000,1000,1000,-,1000
140,16/06/2023,1100,1000,1100,1100,27800,1100
141,19/06/2023,1100,1100,1100,1100,-,1100
142,20/06/2023,1100,1100,1100,1100,-,1100
143,21/06/2023,1100,1100,1100,1100,-,1100
144,22/06/2023,1100,1100,1100,1100,-,1100
145,23/06/2023,1200,1000,1100,1200,43222,1200
146,26/06/2023,1000,1000,1000,1000,-,1000
147,27/06/2023,1000,1000,1000,1000,-,1000
148,28/06/2023,1000,1000,1000,1000,-,1000
149,29/06/2023,1000,1000,1000,1000,-,1000
150,30/06/2023,1100,900,1100,900,20700,900
151,03/07/2023,900,900,900,900,-,900
152,04/07/2023,900,900,900,900,-,900
153,05/07/2023,900,900,900,900,-,900
154,06/07/2023,900,900,900,900,-,900
155,07/07/2023,1000,900,1000,1000,600,1000
156,10/07/2023,1000,1000,1000,1000,-,1000
157,11/07/2023,1000,1000,1000,1000,-,1000
158,12/07/2023,1000,1000,1000,1000,-,1000
159,13/07/2023,1000,1000,1000,1000,-,1000
160,14/07/2023,1000,900,1000,1000,23410,1000
161,17/07/2023,900,900,900,900,-,900
162,18/07/2023,900,900,900,900,-,900
163,19/07/2023,900,900,900,900,-,900
164,20/07/2023,900,900,900,900,-,900
165,21/07/2023,1000,900,1000,900,23400,900
166,24/07/2023,1000,1000,1000,1000,-,1000
167,25/07/2023,1000,1000,1000,1000,-,1000
168,26/07/2023,1000,1000,1000,1000,-,1000
169,27/07/2023,1000,1000,1000,1000,-,1000
170,28/07/2023,1000,900,1000,1000,26700,1000
171,31/07/2023,900,900,900,900,-,900
172,01/08/2023,900,900,900,900,-,900
173,02/08/2023,900,900,900,900,-,900
174,03/08/2023,900,900,900,900,-,900
175,04/08/2023,1000,800,1000,800,58600,800
176,07/08/2023,900,900,900,900,-,900
177,08/08/2023,900,900,900,900,-,900
178,09/08/2023,900,900,900,900,-,900
179,10/08/2023,900,900,900,900,-,900
180,11/08/2023,1000,900,900,1000,14200,1000
181,14/08/2023,900,900,900,900,-,900
182,15/08/2023,900,900,900,900,-,900
183,16/08/2023,900,900,900,900,-,900
184,17/08/2023,900,900,900,900,-,900
185,18/08/2023,1000,800,800,900,14300,900
186,21/08/2023,900,900,900,900,-,900
187,22/08/2023,900,900,900,900,-,900
188,23/08/2023,900,900,900,900,-,900
189,24/08/2023,900,900,900,900,-,900
190,25/08/2023,1000,1000,1000,1000,49300,1000
191,28/08/2023,1000,1000,1000,1000,-,1000
192,29/08/2023,1000,1000,1000,1000,-,1000
193,30/08/2023,1000,1000,1000,1000,-,1000
194,31/08/2023,1000,1000,1000,1000,-,1000
195,05/09/2023,1000,1000,1000,1000,-,1000
196,06/09/2023,1000,1000,1000,1000,-,1000
197,07/09/2023,1000,1000,1000,1000,-,1000
198,08/09/2023,1100,1000,1100,1100,6100,1100
199,11/09/2023,1000,1000,1000,1000,-,1000
200,12/09/2023,1000,1000,1000,1000,-,1000
201,13/09/2023,1000,1000,1000,1000,-,1000
202,14/09/2023,1000,1000,1000,1000,-,1000
203,15/09/2023,1100,900,1100,1000,22400,1000
204,18/09/2023,1000,1000,1000,1000,-,1000
205,19/09/2023,1000,1000,1000,1000,-,1000
206,20/09/2023,1000,1000,1000,1000,-,1000
207,21/09/2023,1000,1000,1000,1000,-,1000
208,22/09/2023,1100,900,1100,900,12100,900
209,25/09/2023,900,900,900,900,-,900
210,26/09/2023,900,900,900,900,-,900
211,27/09/2023,900,900,900,900,-,900
212,28/09/2023,900,900,900,900,-,900
213,29/09/2023,1000,900,1000,900,7500,900
214,02/10/2023,1000,1000,1000,1000,-,1000
215,03/10/2023,1000,1000,1000,1000,-,1000
216,04/10/2023,1000,1000,1000,1000,-,1000
