,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,6000,5500,5500,6000,1500,5900
1,22/11/2022,6600,6600,6600,6600,200,6500
2,23/11/2022,6600,6600,6600,6600,-,6500
3,24/11/2022,6600,6600,6600,6600,-,6500
4,25/11/2022,7500,7000,7000,7500,800,7400
5,28/11/2022,8100,8000,8000,8100,200,8000
6,29/11/2022,7000,6900,7000,6900,3500,6800
7,30/11/2022,6900,6900,6900,6900,500,6800
8,01/12/2022,6900,6900,6900,6900,-,6800
9,02/12/2022,6600,6600,6600,6600,300,6500
10,05/12/2022,6600,6600,6600,6600,-,6500
11,06/12/2022,6000,6000,6000,6000,285,5900
12,07/12/2022,6000,6000,6000,6000,-,5900
13,08/12/2022,6800,6800,6800,6800,100,6700
14,09/12/2022,6800,6800,6800,6800,-,6700
15,12/12/2022,6800,6800,6800,6800,-,6700
16,13/12/2022,6800,6800,6800,6800,-,6700
17,14/12/2022,7800,6100,7800,6100,4900,6000
18,15/12/2022,6100,6100,6100,6100,-,6000
19,16/12/2022,7000,7000,7000,7000,100,6900
20,19/12/2022,7000,7000,7000,7000,-,6900
21,20/12/2022,7000,7000,7000,7000,-,6900
22,21/12/2022,7000,7000,7000,7000,2000,6900
23,22/12/2022,7000,7000,7000,7000,-,6900
24,23/12/2022,7000,7000,7000,7000,-,6900
25,26/12/2022,7000,7000,7000,7000,-,6900
26,27/12/2022,7000,7000,7000,7000,-,6900
27,28/12/2022,7000,7000,7000,7000,-,6900
28,29/12/2022,7000,7000,7000,7000,-,6900
29,30/12/2022,7000,7000,7000,7000,100,6900
30,03/01/2023,7900,7900,7900,7900,100,7800
31,04/01/2023,7900,7900,7900,7900,-,7800
32,05/01/2023,7900,7900,7900,7900,-,7800
33,06/01/2023,7800,7800,7800,7800,3100,7700
34,09/01/2023,7800,7800,7800,7800,-,7700
35,10/01/2023,7800,7800,7800,7800,-,7700
36,11/01/2023,7900,7900,7900,7900,100,7800
37,12/01/2023,7900,7900,7900,7900,-,7800
38,13/01/2023,7800,6800,7800,6800,5800,6700
39,16/01/2023,7800,6800,6800,7800,200,7700
40,17/01/2023,7300,7300,7300,7300,-,7200
41,18/01/2023,7300,7300,7300,7300,600,7200
42,19/01/2023,7300,7300,7300,7300,5100,7200
43,27/01/2023,7300,7300,7300,7300,-,7200
44,30/01/2023,7300,7300,7300,7300,-,7200
45,31/01/2023,7300,7300,7300,7300,-,7200
46,01/02/2023,7300,7300,7300,7300,500,7200
47,02/02/2023,7300,7300,7300,7300,-,7200
48,03/02/2023,7300,7300,7300,7300,-,7200
49,06/02/2023,7300,7300,7300,7300,-,7200
50,07/02/2023,7300,7300,7300,7300,-,7200
51,08/02/2023,7000,7000,7000,7000,600,6900
52,09/02/2023,7000,7000,7000,7000,-,6900
53,10/02/2023,7000,7000,7000,7000,-,6900
54,13/02/2023,7000,7000,7000,7000,-,6900
55,14/02/2023,7000,7000,7000,7000,-,6900
56,15/02/2023,7000,7000,7000,7000,-,6900
57,16/02/2023,7000,7000,7000,7000,1,6900
58,17/02/2023,7000,7000,7000,7000,1,6900
59,20/02/2023,7000,7000,7000,7000,-,6900
60,21/02/2023,7000,7000,7000,7000,-,6900
61,22/02/2023,7900,7900,7900,7900,113,7800
62,23/02/2023,7900,7900,7900,7900,300,7800
63,24/02/2023,7900,7900,7900,7900,-,7800
64,27/02/2023,7800,7800,7800,7800,3400,7700
65,28/02/2023,6700,6700,6700,6700,100,6600
66,01/03/2023,6700,6700,6700,6700,-,6600
67,02/03/2023,5700,5700,5700,5700,100,5600
68,03/03/2023,5700,5700,5700,5700,-,5600
69,06/03/2023,5700,5700,5700,5700,-,5600
70,07/03/2023,5700,5700,5700,5700,-,5600
71,08/03/2023,6500,6100,6500,6100,500,6000
72,09/03/2023,7100,7100,7100,7100,100,7000
73,10/03/2023,6200,6100,6100,6200,1100,6100
74,13/03/2023,6200,6200,6200,6200,-,6100
75,14/03/2023,7100,7100,7100,7100,100,7000
76,15/03/2023,7100,7100,7100,7100,-,7000
77,16/03/2023,7100,7100,7100,7100,-,7000
78,17/03/2023,7100,7100,7100,7100,-,7000
79,20/03/2023,7100,7100,7100,7100,-,7000
80,21/03/2023,7100,7100,7100,7100,-,7000
81,22/03/2023,7200,7200,7200,7200,1500,7100
82,23/03/2023,7200,7200,7200,7200,-,7100
83,24/03/2023,7200,7200,7200,7200,-,7100
84,27/03/2023,7200,7200,7200,7200,-,7100
85,28/03/2023,7200,7200,7200,7200,-,7100
86,29/03/2023,7200,7200,7200,7200,-,7100
87,30/03/2023,7200,7200,7200,7200,-,7100
88,31/03/2023,7600,7600,7600,7600,1200,7500
89,03/04/2023,8000,6700,7700,7700,1500,7600
90,04/04/2023,7700,6700,7700,6700,2200,6600
91,05/04/2023,7000,7000,7000,7000,1600,6900
