,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,18200,18000,18000,18200,900,16900
1,22/11/2022,18500,18300,18300,18500,500,17200
2,23/11/2022,18500,18500,18500,18500,2100,17200
3,24/11/2022,18600,18500,18500,18600,900,17300
4,25/11/2022,18500,18500,18500,18500,695,17200
5,28/11/2022,18500,18500,18500,18500,-,17200
6,29/11/2022,18700,18600,18600,18700,906,17400
7,30/11/2022,18600,18600,18600,18600,-,17300
8,01/12/2022,18700,18600,18600,18700,500,17400
9,02/12/2022,18700,18700,18700,18700,-,17400
10,05/12/2022,18700,18700,18700,18700,-,17400
11,06/12/2022,18700,18700,18700,18700,500,17400
12,07/12/2022,18700,18700,18700,18700,-,17400
13,08/12/2022,18700,18700,18700,18700,-,17400
14,09/12/2022,18700,18700,18700,18700,506,17400
15,12/12/2022,18700,18700,18700,18700,-,17400
16,13/12/2022,18700,18700,18700,18700,-,17400
17,14/12/2022,18700,18700,18700,18700,-,17400
18,15/12/2022,18700,18700,18700,18700,-,17400
19,16/12/2022,18700,18700,18700,18700,2300,17400
20,19/12/2022,17500,17500,17500,17500,200,16300
21,20/12/2022,17500,17500,17500,17500,-,16300
22,21/12/2022,17500,17500,17500,17500,-,16300
23,22/12/2022,17500,17500,17500,17500,-,16300
24,23/12/2022,17500,17500,17500,17500,-,16300
25,26/12/2022,18000,18000,18000,18000,300,16700
26,27/12/2022,18000,18000,18000,18000,-,16700
27,28/12/2022,18000,18000,18000,18000,-,16700
28,29/12/2022,18000,18000,18000,18000,-,16700
29,30/12/2022,18000,18000,18000,18000,-,16700
30,03/01/2023,18000,18000,18000,18000,-,16700
31,04/01/2023,18000,18000,18000,18000,-,16700
32,05/01/2023,18000,18000,18000,18000,-,16700
33,06/01/2023,18000,18000,18000,18000,-,16700
34,09/01/2023,18000,18000,18000,18000,-,16700
35,10/01/2023,18000,18000,18000,18000,-,16700
36,11/01/2023,18000,18000,18000,18000,-,16700
37,12/01/2023,18000,18000,18000,18000,-,16700
38,13/01/2023,18000,18000,18000,18000,-,16700
39,16/01/2023,18000,18000,18000,18000,-,16700
40,17/01/2023,18000,18000,18000,18000,20,16700
41,18/01/2023,18000,18000,18000,18000,-,16700
42,19/01/2023,18000,18000,18000,18000,13,16700
43,27/01/2023,18000,18000,18000,18000,1,16700
44,30/01/2023,18000,18000,18000,18000,-,16700
45,31/01/2023,18600,18500,18500,18600,3000,17300
46,01/02/2023,18600,18600,18600,18600,-,17300
47,02/02/2023,18600,18600,18600,18600,-,17300
48,03/02/2023,18600,18600,18600,18600,-,17300
49,06/02/2023,19000,18800,18800,19000,2000,17700
50,07/02/2023,18900,18900,18900,18900,-,17600
51,08/02/2023,19000,19000,19000,19000,500,17700
52,09/02/2023,19000,19000,19000,19000,300,17700
53,10/02/2023,19000,19000,19000,19000,1000,17700
54,13/02/2023,19100,19100,19100,19100,300,17800
55,14/02/2023,19100,19100,19100,19100,-,17800
56,15/02/2023,19100,19100,19100,19100,-,17800
57,16/02/2023,16300,16300,16300,16300,100,15200
58,17/02/2023,18000,17500,17500,18000,200,16700
59,20/02/2023,17800,17800,17800,17800,-,16600
60,21/02/2023,17800,17800,17800,17800,-,16600
61,22/02/2023,17800,17800,17800,18000,100,16600
62,23/02/2023,18500,18500,18500,18500,200,17200
63,24/02/2023,18500,18000,18000,18500,300,17200
64,27/02/2023,18600,18000,18000,18600,800,17300
65,28/02/2023,18500,18500,18500,18500,-,17200
66,01/03/2023,18700,18700,18700,18700,400,17400
67,02/03/2023,18700,18700,18700,18700,-,17400
68,03/03/2023,18700,18700,18700,18700,-,17400
69,06/03/2023,18700,18700,18700,18700,-,17400
70,07/03/2023,18700,18700,18700,18700,-,17400
71,08/03/2023,18700,18700,18700,18700,-,17400
72,09/03/2023,18700,18700,18700,18700,-,17400
73,10/03/2023,18700,18700,18700,18700,-,17400
74,13/03/2023,18900,18700,18700,18900,1000,17600
75,14/03/2023,18800,18800,18800,18800,-,17500
76,15/03/2023,18800,18800,18800,18800,-,17500
77,16/03/2023,18900,18900,18900,18900,500,17600
78,17/03/2023,19000,19000,19000,19000,1000,17700
