,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,11800,11800,11800,11800,-,11800
1,22/11/2022,11800,11800,11800,11800,-,11800
2,23/11/2022,11800,11800,11800,11800,-,11800
3,24/11/2022,11800,11800,11800,11800,-,11800
4,25/11/2022,8000,8000,8000,8000,300,8000
5,28/11/2022,8000,8000,8000,8000,-,8000
6,29/11/2022,8000,8000,8000,8000,-,8000
7,30/11/2022,8000,8000,8000,8000,-,8000
8,01/12/2022,8000,8000,8000,8000,-,8000
9,02/12/2022,8000,8000,8000,8000,-,8000
10,05/12/2022,8000,8000,8000,8000,-,8000
11,06/12/2022,8000,8000,8000,8000,-,8000
12,07/12/2022,8000,8000,8000,8000,-,8000
13,08/12/2022,8000,8000,8000,8000,-,8000
14,09/12/2022,8000,8000,8000,8000,-,8000
15,12/12/2022,8000,8000,8000,8000,-,8000
16,13/12/2022,8000,8000,8000,8000,-,8000
17,14/12/2022,8000,8000,8000,8000,-,8000
18,15/12/2022,8000,8000,8000,8000,-,8000
19,16/12/2022,8100,8100,8100,8100,200,8100
20,19/12/2022,8100,8100,8100,8100,-,8100
21,20/12/2022,8100,8100,8100,8100,-,8100
22,21/12/2022,8100,8100,8100,8100,-,8100
23,22/12/2022,8100,8100,8100,8100,-,8100
24,23/12/2022,8100,8100,8100,8100,-,8100
25,26/12/2022,8100,8100,8100,8100,-,8100
26,27/12/2022,8100,8100,8100,8100,-,8100
27,28/12/2022,8100,8100,8100,8100,-,8100
28,29/12/2022,8100,8100,8100,8100,-,8100
29,30/12/2022,8100,8100,8100,8100,-,8100
30,03/01/2023,8100,8100,8100,8100,-,8100
31,04/01/2023,6900,6900,6900,6900,500,6900
32,05/01/2023,5900,5900,5900,5900,600,5900
33,06/01/2023,5500,5500,5500,5500,800,5500
34,09/01/2023,5500,5500,5500,5500,-,5500
35,10/01/2023,5500,5500,5500,5500,-,5500
36,11/01/2023,5500,5500,5500,5500,-,5500
37,12/01/2023,5500,5500,5500,5500,-,5500
38,13/01/2023,6300,5500,6300,5500,600,5500
39,16/01/2023,5500,5500,5500,5500,400,5500
40,17/01/2023,5500,5500,5500,5500,-,5500
41,18/01/2023,6300,6300,6300,6300,500,6300
42,19/01/2023,6300,6300,6300,6300,-,6300
43,27/01/2023,7200,7200,7200,7200,100,7200
44,30/01/2023,6600,6500,6500,6600,600,6600
45,31/01/2023,6500,6500,6500,6500,-,6500
46,01/02/2023,7400,7400,7400,7400,1000,7400
47,02/02/2023,7400,7400,7400,7400,-,7400
48,03/02/2023,7400,7400,7400,7400,-,7400
49,06/02/2023,7400,7400,7400,7400,-,7400
50,07/02/2023,7400,7400,7400,7400,100,7400
51,08/02/2023,7400,7400,7400,7400,-,7400
52,09/02/2023,7400,7400,7400,7400,-,7400
53,10/02/2023,7400,7400,7400,7400,-,7400
54,13/02/2023,7400,7400,7400,7400,-,7400
55,14/02/2023,7400,7400,7400,7400,-,7400
56,15/02/2023,7400,7400,7400,7400,-,7400
57,16/02/2023,7400,7400,7400,7400,100,7400
58,17/02/2023,7000,7000,7000,7000,800,7000
59,20/02/2023,7000,7000,7000,7000,-,7000
