,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,7300,6900,7100,7100,458620,7000
1,22/11/2022,7800,7100,7100,7500,1100876,7400
2,23/11/2022,7600,7200,7500,7200,308361,7100
3,24/11/2022,7300,6900,7300,7300,510207,7200
4,25/11/2022,7400,7100,7100,7400,356500,7300
5,28/11/2022,8000,7200,7400,8000,1010189,7900
6,29/11/2022,8100,7600,8000,8000,1217948,7900
7,30/11/2022,8200,7900,8000,8200,855227,8100
8,01/12/2022,8600,8100,8200,8200,1502560,8100
9,02/12/2022,8700,8000,8200,8600,1246587,8400
10,05/12/2022,8800,8500,8600,8700,1172620,8500
11,06/12/2022,8700,8000,8700,8100,1208713,8000
12,07/12/2022,8200,7700,7900,8000,749964,7900
13,08/12/2022,8200,7800,8100,8100,604146,8000
14,09/12/2022,8100,7800,8000,7800,515425,7700
15,12/12/2022,8300,7800,7900,8000,1157856,7900
16,13/12/2022,8100,7900,8000,8100,552083,8000
17,14/12/2022,8400,8100,8100,8200,760230,8100
18,15/12/2022,8400,8100,8200,8200,521366,8100
19,16/12/2022,8200,8000,8200,8200,539622,8100
20,19/12/2022,8400,7900,7900,8100,794045,8000
21,20/12/2022,8100,7700,8100,7800,832872,7700
22,21/12/2022,8000,7400,7800,7800,591101,7700
23,22/12/2022,7900,7600,7800,7800,300710,7700
24,23/12/2022,7800,7500,7700,7800,294199,7700
25,26/12/2022,8000,7600,7800,7600,798400,7500
26,27/12/2022,7800,7300,7800,7700,467920,7600
27,28/12/2022,7900,7700,7700,7800,339951,7700
28,29/12/2022,7900,7700,7800,7700,318547,7600
29,30/12/2022,7900,7700,7700,7900,336400,7800
30,03/01/2023,8300,7800,7900,8300,699104,8200
31,04/01/2023,8500,8100,8200,8300,1156462,8200
32,05/01/2023,8400,8100,8400,8300,427393,8200
33,06/01/2023,8700,8200,8300,8400,1513521,8200
34,09/01/2023,8700,8300,8400,8500,608096,8300
35,10/01/2023,8500,8200,8400,8500,743461,8300
36,11/01/2023,9000,8300,8500,8900,2079620,8700
37,12/01/2023,9200,8900,8900,9200,1549339,9000
38,13/01/2023,9300,9000,9100,9100,1155916,8900
39,16/01/2023,9300,8900,9100,9000,610763,8800
40,17/01/2023,9200,8900,9000,9200,1090535,9000
41,18/01/2023,9300,9100,9200,9300,954846,9100
42,19/01/2023,9500,9100,9300,9400,763862,9200
43,27/01/2023,9700,9400,9400,9600,1018161,9400
44,30/01/2023,9700,9100,9600,9300,1063804,9100
45,31/01/2023,9300,9000,9300,9300,953600,9100
46,01/02/2023,9500,8900,9300,8900,1534237,8700
47,02/02/2023,9100,8800,8900,8900,895529,8700
48,03/02/2023,9000,8800,8900,8900,391703,8700
49,06/02/2023,8900,8600,8900,8800,646210,8600
50,07/02/2023,9000,8700,8900,8800,525170,8600
51,08/02/2023,8900,8600,8800,8700,680285,8500
52,09/02/2023,9100,8700,8800,9000,689025,8800
53,10/02/2023,9000,8800,9000,8900,318196,8700
54,13/02/2023,9100,8500,9100,8700,708462,8500
55,14/02/2023,8900,8600,8700,8800,468871,8600
56,15/02/2023,9000,8700,8800,8900,283651,8700
57,16/02/2023,9400,9000,9000,9400,1568488,9200
58,17/02/2023,9400,9100,9400,9200,741317,9000
59,20/02/2023,9500,9100,9200,9500,1158763,9300
60,21/02/2023,9800,9400,9500,9600,2487240,9400
61,22/02/2023,9900,9200,9600,9300,2407507,9100
62,23/02/2023,9400,9000,9300,9400,1729318,9200
63,24/02/2023,9400,9000,9400,9200,933007,9000
64,27/02/2023,9200,8900,8900,8900,793283,8700
65,28/02/2023,9200,8900,9000,9000,517524,8800
66,01/03/2023,9300,8900,9000,9200,482576,9000
67,02/03/2023,9400,9100,9200,9200,321451,9000
68,03/03/2023,9400,9100,9200,9100,472558,8900
69,06/03/2023,9300,9100,9100,9200,280474,9000
70,07/03/2023,9300,9100,9300,9300,419620,9100
71,08/03/2023,9300,9100,9300,9300,572489,9100
72,09/03/2023,9400,9200,9300,9300,546333,9100
73,10/03/2023,9300,9100,9300,9200,749838,9000
74,13/03/2023,9200,8900,9200,9100,844601,8900
75,14/03/2023,9100,8800,9000,8900,904006,8700
76,15/03/2023,9100,8900,8900,9100,327536,8900
77,16/03/2023,9000,8700,9000,8900,643841,8700
78,17/03/2023,9000,8800,8900,8900,245020,8700
79,20/03/2023,8900,8600,8800,8700,552393,8500
80,21/03/2023,8800,8600,8800,8700,507870,8500
81,22/03/2023,8800,8600,8700,8700,338355,8500
82,23/03/2023,8700,8400,8700,8500,628091,8300
83,24/03/2023,8700,8500,8500,8700,455500,8500
84,27/03/2023,8700,8500,8600,8600,349054,8400
85,28/03/2023,8800,8600,8600,8700,375581,8500
86,29/03/2023,8800,8600,8700,8800,422083,8600
87,30/03/2023,8800,8600,8800,8700,465014,8500
88,31/03/2023,8800,8600,8700,8700,315920,8500
89,03/04/2023,9100,8700,8800,9100,1054778,8900
90,04/04/2023,9200,9000,9100,9100,857467,8900
91,05/04/2023,9200,9000,9200,9100,651603,8900
92,06/04/2023,9200,8900,9100,9000,704452,8800
93,07/04/2023,9100,8900,9000,9100,395809,8900
94,10/04/2023,9200,8900,9100,9100,839520,8900
95,11/04/2023,9400,9000,9000,9300,1681129,9100
96,12/04/2023,9400,9200,9200,9400,903590,9200
97,13/04/2023,9700,9400,9400,9500,2340529,9300
98,14/04/2023,9600,9200,9500,9300,818086,9100
99,17/04/2023,9400,9100,9300,9200,664922,9000
100,18/04/2023,9200,9000,9200,9100,685025,8900
101,19/04/2023,9200,9000,9100,9100,444074,8900
102,20/04/2023,9100,8900,9100,9100,589727,8900
103,21/04/2023,9300,8900,9100,9100,996125,8900
104,24/04/2023,9300,8900,9200,9000,385336,8800
105,25/04/2023,9100,8800,9000,8900,664436,8700
106,26/04/2023,9100,8900,9000,9100,368701,8900
107,27/04/2023,9100,8900,9000,9100,325311,8900
108,28/04/2023,9100,8900,9100,9100,427152,8900
109,04/05/2023,9000,8900,9000,9000,276878,8800
110,05/05/2023,9100,8900,9000,9100,482887,8900
111,08/05/2023,9300,9000,9000,9300,827897,9100
112,09/05/2023,9400,9200,9300,9300,879286,9100
113,10/05/2023,9400,9200,9200,9400,893531,9200
114,11/05/2023,9500,9200,9400,9400,1152765,9200
115,12/05/2023,9500,9200,9400,9400,1127591,9200
116,15/05/2023,9700,9400,9500,9400,1913843,9200
117,16/05/2023,9700,9400,9400,9500,978806,9300
118,17/05/2023,9600,9200,9600,9300,881940,9100
119,18/05/2023,9400,9100,9300,9300,812956,9100
120,19/05/2023,9500,9200,9300,9400,1052550,9200
121,22/05/2023,9600,9400,9400,9400,629004,9200
122,23/05/2023,9600,9300,9500,9300,1482285,9100
123,24/05/2023,9500,9200,9400,9300,759507,9100
124,25/05/2023,9500,9200,9300,9400,867324,9200
125,26/05/2023,10200,9400,9500,10100,4493619,9900
126,29/05/2023,10300,10100,10100,10200,1714464,10000
127,30/05/2023,10400,10000,10300,10300,2083384,10100
128,31/05/2023,10300,10000,10200,10200,2240182,10000
129,01/06/2023,10300,10000,10200,10200,1404888,10000
130,02/06/2023,10500,10200,10200,10500,1918728,10300
131,05/06/2023,10800,10400,10600,10500,2294925,10300
132,06/06/2023,10600,10000,10300,10400,1204092,10200
133,07/06/2023,10500,10300,10400,10400,1359306,10200
134,08/06/2023,10800,10300,10500,10400,2834071,10200
135,09/06/2023,10400,10100,10400,10400,1231598,10200
136,12/06/2023,10400,10100,10300,10400,789227,10200
137,13/06/2023,10500,10300,10300,10400,783989,10200
138,14/06/2023,10700,10300,10300,10500,1858959,10300
139,15/06/2023,10600,10300,10600,10500,2152638,10300
140,16/06/2023,10700,10100,10500,10300,2302800,10100
141,19/06/2023,10400,10000,10300,10200,1353215,10000
142,20/06/2023,10300,10000,10000,10300,786447,10100
143,21/06/2023,10500,10200,10200,10400,906135,10200
144,22/06/2023,10700,10400,10400,10500,2170980,10300
145,23/06/2023,10600,10200,10600,10300,2427074,10100
146,26/06/2023,10400,10100,10300,10400,1266536,10200
147,27/06/2023,10500,10200,10300,10400,1063469,10200
148,28/06/2023,10400,10200,10400,10400,1189361,10200
149,29/06/2023,10500,10200,10400,10300,1114682,10100
150,30/06/2023,10300,10100,10300,10300,813122,10100
151,03/07/2023,10300,10100,10300,10300,685595,10100
152,04/07/2023,10500,10200,10300,10500,1731424,10300
153,05/07/2023,10600,10300,10500,10500,1302300,10300
154,06/07/2023,10600,10200,10500,10300,1003062,10100
155,07/07/2023,10500,10200,10300,10500,1281476,10300
156,10/07/2023,11200,10400,10500,11100,5549920,10900
157,11/07/2023,11300,10900,11200,11000,1689198,10800
158,12/07/2023,11500,10800,11100,11000,1675867,10800
159,13/07/2023,11300,10900,11000,11000,1871252,10800
160,14/07/2023,11100,10700,11000,11000,2006485,10800
161,17/07/2023,11000,10800,11000,11000,1768614,10800
162,18/07/2023,11200,10800,11000,11000,2120843,10800
163,19/07/2023,11100,10700,11000,10800,2142944,10600
164,20/07/2023,10900,10700,10900,10900,1230931,10700
165,21/07/2023,10900,10700,10900,10900,1114599,10700
166,24/07/2023,11100,10800,10900,11000,1574619,10800
167,25/07/2023,11200,10900,11000,11000,1994029,10800
168,26/07/2023,11100,10900,11000,11000,955077,10800
169,27/07/2023,11100,10800,11000,10900,1415788,10700
170,28/07/2023,11100,10900,11000,11100,2125701,10900
171,31/07/2023,11400,11100,11100,11300,2563354,11100
172,01/08/2023,11500,11000,11400,11000,2295374,10800
173,02/08/2023,11400,10900,11000,11300,2404880,11100
174,03/08/2023,11300,11000,11300,11100,1473314,10900
175,04/08/2023,11300,11000,11100,11300,1764370,11100
176,07/08/2023,11500,11300,11400,11500,2422943,11300
177,08/08/2023,11700,11400,11500,11600,2219078,11400
178,09/08/2023,11600,11300,11500,11500,1157406,11300
179,10/08/2023,11600,11300,11500,11400,1703434,11200
180,11/08/2023,11500,11100,11400,11300,2142068,11100
181,14/08/2023,11500,11200,11300,11500,1694639,11300
182,15/08/2023,11500,11300,11500,11400,1102106,11200
183,16/08/2023,11500,11200,11400,11300,1055382,11100
184,17/08/2023,11300,11000,11300,11000,1657971,10800
185,18/08/2023,11100,10200,11000,10400,3574488,10200
186,21/08/2023,10600,10200,10200,10500,1032246,10300
187,22/08/2023,10500,10000,10500,10500,1041886,10300
188,23/08/2023,10400,10100,10400,10200,443545,10200
189,24/08/2023,10300,10100,10200,10300,342809,10300
190,25/08/2023,10400,10200,10200,10300,491191,10300
191,28/08/2023,10400,10200,10300,10300,906405,10300
192,29/08/2023,10400,10200,10300,10400,1307586,10400
193,30/08/2023,10400,10200,10400,10400,836564,10400
194,31/08/2023,10500,10300,10300,10500,1095898,10500
195,05/09/2023,10900,10600,10600,10800,1900251,10800
196,06/09/2023,11100,10700,10900,11000,3647836,11000
197,07/09/2023,11100,10800,11000,11000,1746334,11000
198,08/09/2023,11000,10800,11000,10900,2055127,10900
199,11/09/2023,11200,10700,11000,10800,3468257,10800
200,12/09/2023,11000,10700,10800,11000,1777177,11000
201,13/09/2023,11400,10900,11000,11200,4381187,11200
202,14/09/2023,11300,10900,11200,11000,1967070,11000
203,15/09/2023,11900,11100,11100,11600,4919862,11600
204,18/09/2023,11700,11200,11700,11400,2775090,11400
205,19/09/2023,11500,11100,11400,11300,2250688,11300
206,20/09/2023,11400,11100,11300,11300,1410817,11300
207,21/09/2023,11500,11200,11300,11300,2993482,11300
208,22/09/2023,11300,10700,11300,11000,3566078,11000
209,25/09/2023,11100,10400,10800,10600,2011657,10600
210,26/09/2023,10600,10200,10600,10400,1756737,10400
211,27/09/2023,10600,10200,10200,10600,1202063,10600
212,28/09/2023,10800,10500,10600,10800,1702089,10800
213,29/09/2023,10900,10600,10800,10700,673437,10700
214,02/10/2023,10800,10500,10700,10600,1045380,10600
215,03/10/2023,10600,10000,10600,10100,1756129,10100
216,04/10/2023,10300,9900,10100,10300,495825,10300
217,05/10/2023,10300,9900,10200,10000,858263,10000
218,06/10/2023,10200,9900,10000,10200,720289,10200
219,09/10/2023,10500,10200,10300,10500,1158724,10500
220,10/10/2023,10700,10400,10600,10500,719438,10500
221,11/10/2023,10900,10400,10600,10800,1576951,10800
222,12/10/2023,10700,10500,10700,10600,926747,10600
223,13/10/2023,10700,10400,10500,10700,923125,10700
224,16/10/2023,11100,10700,10800,10900,2390524,10900
225,17/10/2023,11000,10500,10900,10700,1368097,10700
226,18/10/2023,10800,10300,10800,10600,1351802,10600
227,19/10/2023,10700,10300,10600,10500,1237666,10500
228,20/10/2023,10700,10300,10500,10600,1365743,10600
229,23/10/2023,10800,10500,10600,10600,624866,10600
230,24/10/2023,10700,10400,10600,10600,416714,10600
231,25/10/2023,10600,10400,10600,10500,463323,10500
232,26/10/2023,10500,9800,10500,9900,2468148,9900
233,27/10/2023,10100,9800,10000,10100,711221,10100
234,30/10/2023,10300,9900,10200,10100,823997,10100
235,31/10/2023,10100,9600,10100,9800,683434,9800
236,01/11/2023,10000,9600,9800,10000,970495,10000
237,02/11/2023,10300,9900,10000,10300,1945319,10300
238,03/11/2023,10300,10100,10300,10200,648548,10200
239,06/11/2023,10200,10100,10200,10200,423495,10200
240,07/11/2023,10400,10100,10200,10300,871544,10300
