,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,13000,13000,13000,13000,-,11300
1,22/11/2022,13000,13000,13000,13000,-,11300
2,23/11/2022,13000,13000,13000,13000,-,11300
3,24/11/2022,13000,13000,13000,13000,-,11300
4,25/11/2022,13000,13000,13000,13000,-,11300
5,28/11/2022,13000,13000,13000,13000,-,11300
6,29/11/2022,13000,13000,13000,13000,-,11300
7,30/11/2022,13000,13000,13000,13000,-,11300
8,01/12/2022,13000,13000,13000,13000,-,11300
9,02/12/2022,13000,13000,13000,13000,-,11300
10,05/12/2022,13000,13000,13000,13000,-,11300
11,06/12/2022,13000,13000,13000,13000,-,11300
12,07/12/2022,13000,13000,13000,13000,-,11300
13,08/12/2022,13000,13000,13000,13000,-,11300
14,09/12/2022,13000,13000,13000,13000,-,11300
15,12/12/2022,13000,13000,13000,13000,-,11300
16,13/12/2022,13000,13000,13000,13000,-,11300
17,14/12/2022,13000,13000,13000,13000,-,11300
18,15/12/2022,13000,13000,13000,13000,-,11300
19,16/12/2022,13000,13000,13000,13000,-,11300
20,19/12/2022,13000,13000,13000,13000,-,11300
21,20/12/2022,13000,13000,13000,13000,-,11300
22,21/12/2022,13000,13000,13000,13000,-,11300
23,22/12/2022,13000,13000,13000,13000,-,11300
24,23/12/2022,13000,13000,13000,13000,-,11300
25,26/12/2022,13000,13000,13000,13000,-,11300
26,27/12/2022,13000,13000,13000,13000,1100,11300
27,28/12/2022,13000,13000,13000,13000,-,11300
28,29/12/2022,12200,12200,12200,12200,-,11300
29,30/12/2022,12200,12200,12200,12200,-,11300
30,03/01/2023,12200,12200,12200,12200,-,11300
31,04/01/2023,12200,12200,12200,12200,-,11300
32,05/01/2023,12200,12200,12200,12200,-,11300
33,06/01/2023,12200,12200,12200,12200,-,11300
34,09/01/2023,12200,12200,12200,12200,-,11300
35,10/01/2023,12200,12200,12200,12200,-,11300
36,11/01/2023,12200,12200,12200,12200,-,11300
37,12/01/2023,12200,12200,12200,12200,-,11300
38,13/01/2023,12200,12200,12200,12200,-,11300
39,16/01/2023,12200,12200,12200,12200,-,11300
40,17/01/2023,12200,12200,12200,12200,-,11300
41,18/01/2023,12200,12200,12200,12200,-,11300
42,19/01/2023,12200,12200,12200,12200,-,11300
43,27/01/2023,12200,12200,12200,12200,-,11300
44,30/01/2023,12200,12200,12200,12200,-,11300
45,31/01/2023,12200,12200,12200,12200,-,11300
