,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,15900,15900,15900,15900,-,15900
1,22/11/2022,15900,15900,15900,15900,-,15900
2,23/11/2022,17700,15700,17700,17500,1700,17500
3,24/11/2022,17200,17200,17200,17200,-,17200
4,25/11/2022,16300,14700,16300,14700,11900,14700
5,28/11/2022,12900,12900,12900,12900,400,12900
6,29/11/2022,11000,11000,11000,11000,100,11000
7,30/11/2022,11000,11000,11000,11000,3,11000
8,01/12/2022,12600,12600,12600,12600,100,12600
9,02/12/2022,14400,14400,14400,14400,100,14400
10,05/12/2022,16500,16500,16500,16500,100,16500
11,06/12/2022,16500,16500,16500,16500,-,16500
12,07/12/2022,16500,16500,16500,16500,-,16500
13,08/12/2022,16500,16500,16500,16500,-,16500
14,09/12/2022,18900,18900,18900,18900,100,18900
15,12/12/2022,17500,16100,16100,17500,200,17500
16,13/12/2022,16800,16800,16800,16800,-,16800
17,14/12/2022,16800,16800,16800,16800,-,16800
18,15/12/2022,17500,17500,17500,17500,100,17500
19,16/12/2022,14900,14900,14900,14900,100,14900
20,19/12/2022,14900,14900,14900,14900,100,14900
21,20/12/2022,14900,14900,14900,14900,-,14900
22,21/12/2022,14900,14900,14900,14900,-,14900
23,22/12/2022,14900,14900,14900,14900,-,14900
24,23/12/2022,14900,14900,14900,14900,1000,14900
25,26/12/2022,12700,12700,12700,12700,1600,12700
26,27/12/2022,12700,12700,12700,12700,-,12700
27,28/12/2022,12700,12700,12700,12700,-,12700
28,29/12/2022,12700,12700,12700,12700,-,12700
29,30/12/2022,12700,12700,12700,12700,-,12700
30,03/01/2023,14600,14600,14600,14600,100,14600
31,04/01/2023,16600,16600,16600,16600,100,16600
32,05/01/2023,16500,16500,16500,16500,100,16500
33,06/01/2023,16500,16500,16500,16500,-,16500
34,09/01/2023,16500,16500,16500,16500,-,16500
35,10/01/2023,16500,16500,16500,16500,-,16500
36,11/01/2023,16500,16500,16500,16500,-,16500
37,12/01/2023,18000,18000,18000,18000,100,18000
38,13/01/2023,18000,18000,18000,18000,-,18000
39,16/01/2023,18000,18000,18000,18000,-,18000
40,17/01/2023,18000,18000,18000,18000,-,18000
41,18/01/2023,18000,18000,18000,18000,-,18000
42,19/01/2023,18000,18000,18000,18000,-,18000
43,27/01/2023,18000,18000,18000,18000,-,18000
44,30/01/2023,18000,18000,18000,18000,-,18000
45,31/01/2023,18000,18000,18000,18000,-,18000
46,01/02/2023,18000,18000,18000,18000,-,18000
47,02/02/2023,18000,18000,18000,18000,-,18000
48,03/02/2023,18000,18000,18000,18000,-,18000
49,06/02/2023,18000,18000,18000,18000,-,18000
50,07/02/2023,18000,18000,18000,18000,-,18000
51,08/02/2023,18000,18000,18000,18000,-,18000
52,09/02/2023,18000,18000,18000,18000,-,18000
53,10/02/2023,18000,18000,18000,18000,-,18000
54,13/02/2023,18000,18000,18000,18000,-,18000
55,14/02/2023,18000,18000,18000,18000,-,18000
56,15/02/2023,18000,18000,18000,18000,-,18000
57,16/02/2023,18000,18000,18000,18000,-,18000
58,17/02/2023,17200,17000,17000,17200,2100,17200
59,20/02/2023,17000,17000,17000,17000,-,17000
60,21/02/2023,17000,16600,16800,16600,9000,16600
61,22/02/2023,14300,14300,14300,14300,5900,14300
62,23/02/2023,14300,14300,14300,14300,-,14300
63,24/02/2023,14300,14300,14300,14300,-,14300
64,27/02/2023,14300,14300,14300,14300,-,14300
65,28/02/2023,15200,15200,15200,15200,100,15200
66,01/03/2023,15200,15200,15200,15200,-,15200
67,02/03/2023,15300,15200,15300,15200,10000,15200
68,03/03/2023,15200,15200,15200,15200,-,15200
69,06/03/2023,15200,15200,15200,15200,-,15200
70,07/03/2023,15200,15200,15200,15200,-,15200
71,08/03/2023,15200,15200,15200,15200,-,15200
72,09/03/2023,15200,15200,15200,15200,-,15200
73,10/03/2023,15200,15200,15200,15200,-,15200
74,13/03/2023,15200,15200,15200,15200,-,15200
75,14/03/2023,15200,15200,15200,15200,-,15200
76,15/03/2023,15200,15200,15200,15200,-,15200
77,16/03/2023,15200,15200,15200,15200,-,15200
78,17/03/2023,15200,15200,15200,15200,-,15200
79,20/03/2023,15200,15200,15200,15200,-,15200
80,21/03/2023,15200,15200,15200,15200,-,15200
81,22/03/2023,15200,15200,15200,15200,-,15200
82,23/03/2023,15200,15200,15200,15200,-,15200
83,24/03/2023,15200,15200,15200,15200,-,15200
84,27/03/2023,15200,15200,15200,15200,-,15200
85,28/03/2023,15200,15200,15200,15200,-,15200
86,29/03/2023,15200,15200,15200,15200,-,15200
87,30/03/2023,15200,15200,15200,15200,-,15200
88,31/03/2023,15200,15200,15200,15200,-,15200
89,03/04/2023,15200,15200,15200,15200,-,15200
90,04/04/2023,15200,15200,15200,15200,-,15200
91,05/04/2023,15200,15200,15200,15200,-,15200
92,06/04/2023,15200,15200,15200,15200,-,15200
93,07/04/2023,15200,15200,15200,15200,-,15200
94,10/04/2023,15200,15200,15200,15200,-,15200
95,11/04/2023,15200,15200,15200,15200,-,15200
96,12/04/2023,15200,15200,15200,15200,-,15200
97,13/04/2023,15200,15200,15200,15200,-,15200
98,14/04/2023,15200,15200,15200,15200,-,15200
99,17/04/2023,15200,15200,15200,15200,-,15200
100,18/04/2023,15200,15200,15200,15200,-,15200
101,19/04/2023,15200,15200,15200,15200,-,15200
102,20/04/2023,15200,15200,15200,15200,-,15200
103,21/04/2023,15000,9200,15000,9200,2000,9200
104,24/04/2023,12100,12100,12100,12100,-,12100
105,25/04/2023,12100,12100,12100,12100,-,12100
106,26/04/2023,12100,12100,12100,12100,-,12100
107,27/04/2023,12100,12100,12100,12100,-,12100
108,28/04/2023,12100,12100,12100,12100,-,12100
109,04/05/2023,12100,12100,12100,12100,-,12100
110,05/05/2023,12100,12100,12100,12100,-,12100
111,08/05/2023,12100,12100,12100,12100,-,12100
112,09/05/2023,12100,12100,12100,12100,-,12100
113,10/05/2023,12100,12100,12100,12100,-,12100
114,11/05/2023,12100,12100,12100,12100,-,12100
115,12/05/2023,12100,12100,12100,12100,-,12100
116,15/05/2023,12100,12100,12100,12100,-,12100
117,16/05/2023,12100,12100,12100,12100,-,12100
118,17/05/2023,13900,13900,13900,13900,100,13900
119,18/05/2023,13900,13900,13900,13900,3605,13900
120,19/05/2023,13900,13900,13900,13900,-,13900
121,22/05/2023,13900,13900,13900,13900,-,13900
122,23/05/2023,13900,13900,13900,13900,-,13900
123,24/05/2023,13900,13900,13900,13900,-,13900
124,25/05/2023,12000,12000,12000,12000,2000,12000
125,26/05/2023,12000,12000,12000,12000,-,12000
126,29/05/2023,12000,12000,12000,12000,-,12000
127,30/05/2023,12000,12000,12000,12000,-,12000
128,31/05/2023,12000,12000,12000,12000,-,12000
129,01/06/2023,12000,12000,12000,12000,-,12000
130,02/06/2023,12000,12000,12000,12000,-,12000
131,05/06/2023,13600,13600,13600,13600,300,13600
132,06/06/2023,13600,13600,13600,13600,-,13600
133,07/06/2023,13600,13600,13600,13600,-,13600
134,08/06/2023,13600,13600,13600,13600,-,13600
135,09/06/2023,13600,13600,13600,13600,-,13600
136,12/06/2023,13600,13600,13600,13600,-,13600
137,13/06/2023,13600,13600,13600,13600,-,13600
138,14/06/2023,13600,13600,13600,13600,-,13600
139,15/06/2023,13600,13600,13600,13600,-,13600
140,16/06/2023,13600,13600,13600,13600,-,13600
141,19/06/2023,13600,13600,13600,13600,-,13600
142,20/06/2023,13600,13600,13600,13600,-,13600
143,21/06/2023,13600,13600,13600,13600,-,13600
144,22/06/2023,13600,13600,13600,13600,-,13600
145,23/06/2023,14500,13900,13900,14500,1000,14500
146,26/06/2023,15000,13900,14000,13900,2600,13900
147,27/06/2023,14300,14200,14300,14200,1100,14200
148,28/06/2023,14300,14300,14300,14300,-,14300
149,29/06/2023,14300,14300,14300,14300,-,14300
150,30/06/2023,14300,14300,14300,14300,-,14300
151,03/07/2023,14300,14300,14300,14300,-,14300
152,04/07/2023,14300,14300,14300,14300,-,14300
153,05/07/2023,14300,14300,14300,14300,-,14300
154,06/07/2023,14300,14300,14300,14300,-,14300
155,07/07/2023,15000,14300,14300,15000,300,15000
156,10/07/2023,14800,14800,14800,14800,-,14800
157,11/07/2023,14800,14800,14800,14800,200,14800
158,12/07/2023,14800,14800,14800,14800,-,14800
159,13/07/2023,14800,14800,14800,14800,400,14800
160,14/07/2023,14800,14800,14800,14800,-,14800
161,17/07/2023,14100,14000,14000,14100,3000,14100
162,18/07/2023,14100,14100,14100,14100,-,14100
163,19/07/2023,14100,14100,14100,14100,-,14100
164,20/07/2023,14000,14000,14000,14000,1500,14000
165,21/07/2023,14000,14000,14000,14000,-,14000
166,24/07/2023,14000,14000,14000,14000,-,14000
167,25/07/2023,14500,14000,14500,14000,1000,14000
168,26/07/2023,14300,14300,14300,14300,-,14300
169,27/07/2023,14300,14000,14300,14000,2000,14000
170,28/07/2023,14100,14100,14100,14100,-,14100
171,31/07/2023,14100,14100,14100,14100,800,14100
