,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,4500,4200,4300,4400,1351256,4400
1,22/11/2022,4600,4100,4400,4400,2278970,4400
2,23/11/2022,4500,3900,4500,4000,724900,4000
3,24/11/2022,4100,3800,4000,3900,701040,3900
4,25/11/2022,4400,3600,3600,4300,2110471,4300
5,28/11/2022,4700,4200,4400,4700,1706559,4700
6,29/11/2022,5100,4600,4800,4900,2025307,4900
7,30/11/2022,5300,4800,5000,5000,1444710,5000
8,01/12/2022,5700,5000,5100,5300,1459400,5300
9,02/12/2022,6000,5100,5300,5800,2294900,5800
10,05/12/2022,6100,5700,5900,5800,936622,5800
11,06/12/2022,5900,5100,5900,5100,1642270,5100
12,07/12/2022,5100,4700,5100,4800,838263,4800
13,08/12/2022,5400,5000,5000,5200,403101,5200
14,09/12/2022,5200,4800,5200,5000,418695,5000
15,12/12/2022,5200,4900,5100,4900,415101,4900
16,13/12/2022,5000,4700,4900,5000,350529,5000
17,14/12/2022,5200,4900,5000,5100,305200,5100
18,15/12/2022,5100,4900,5000,5100,201268,5100
19,16/12/2022,5400,4800,5000,5200,803208,5200
20,19/12/2022,5400,5100,5100,5100,539500,5100
21,20/12/2022,5100,4700,5100,4800,795500,4800
22,21/12/2022,4900,4500,4800,4700,310706,4700
23,22/12/2022,4900,4600,4700,4700,215400,4700
24,23/12/2022,4800,4600,4700,4700,169800,4700
25,26/12/2022,4700,4300,4700,4400,344700,4400
26,27/12/2022,4700,4300,4400,4600,296200,4600
27,28/12/2022,4700,4500,4700,4600,240500,4600
28,29/12/2022,4600,4400,4500,4400,281200,4400
29,30/12/2022,4600,4400,4500,4400,150500,4400
30,03/01/2023,4800,4600,4600,4800,254780,4800
31,04/01/2023,5000,4700,4800,4800,383400,4800
32,05/01/2023,4900,4700,4900,4800,182511,4800
33,06/01/2023,4900,4600,4900,4600,410700,4600
34,09/01/2023,4800,4600,4700,4700,244216,4700
35,10/01/2023,4700,4500,4700,4700,135740,4700
36,11/01/2023,4800,4700,4700,4700,83810,4700
37,12/01/2023,4800,4600,4700,4700,201266,4700
38,13/01/2023,4800,4600,4700,4600,101600,4600
39,16/01/2023,4700,4500,4600,4600,43300,4600
40,17/01/2023,4800,4500,4500,4700,239100,4700
41,18/01/2023,4900,4700,4700,4800,111900,4800
42,19/01/2023,4900,4700,4900,4900,128000,4900
43,27/01/2023,5000,4800,4900,4900,154300,4900
44,30/01/2023,5200,4900,4900,5100,197305,5100
45,31/01/2023,5100,4900,5100,5100,168931,5100
46,01/02/2023,5200,4800,5100,4900,500758,4900
47,02/02/2023,4900,4700,4800,4800,287820,4800
48,03/02/2023,4900,4700,4800,4800,120500,4800
49,06/02/2023,4900,4500,4700,4700,212000,4700
50,07/02/2023,4800,4600,4700,4600,73800,4600
51,08/02/2023,4800,4600,4700,4600,131600,4600
52,09/02/2023,4700,4500,4700,4600,327463,4600
53,10/02/2023,4600,4400,4600,4500,141200,4500
54,13/02/2023,4500,4200,4500,4400,139400,4400
55,14/02/2023,4500,4300,4400,4400,68400,4400
56,15/02/2023,4500,4400,4400,4500,131300,4500
57,16/02/2023,4500,4400,4500,4500,96750,4500
58,17/02/2023,4500,4400,4500,4500,164100,4500
59,20/02/2023,4700,4500,4500,4700,199200,4700
60,21/02/2023,4700,4500,4700,4600,177000,4600
61,22/02/2023,4600,4400,4500,4500,257750,4500
62,23/02/2023,4500,4300,4500,4500,168900,4500
63,24/02/2023,4500,4400,4400,4400,155900,4400
64,27/02/2023,4300,4200,4300,4300,299400,4300
65,28/02/2023,4300,4200,4300,4200,265400,4200
66,01/03/2023,4300,4100,4200,4200,147600,4200
67,02/03/2023,4200,4100,4100,4200,33600,4200
68,03/03/2023,4200,4100,4100,4200,51900,4200
69,06/03/2023,4300,4100,4100,4300,96414,4300
70,07/03/2023,4300,4200,4300,4200,50900,4200
71,08/03/2023,4300,4100,4100,4200,54300,4200
72,09/03/2023,4200,4100,4200,4200,160800,4200
73,10/03/2023,4200,4100,4100,4200,175400,4200
74,13/03/2023,4200,4100,4200,4200,24213,4200
75,14/03/2023,4200,4000,4200,4000,147300,4000
76,15/03/2023,4300,4100,4200,4300,253600,4300
77,16/03/2023,4200,4100,4200,4100,91500,4100
78,17/03/2023,4200,4100,4100,4100,93900,4100
79,20/03/2023,4100,4000,4100,4000,305600,4000
80,21/03/2023,4100,3900,4100,4000,98413,4000
81,22/03/2023,4100,3900,4100,3900,183615,3900
