,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,2400,2400,2400,2400,-,2400
1,22/11/2022,2700,2400,2700,2400,1200,2400
2,23/11/2022,2400,2400,2400,2400,-,2400
3,24/11/2022,2100,2100,2100,2100,1102,2100
4,25/11/2022,2100,2100,2100,2100,-,2100
5,28/11/2022,2400,2300,2300,2400,900,2400
6,29/11/2022,2700,2500,2500,2700,800,2700
7,30/11/2022,3100,2300,3000,3000,700,3000
8,01/12/2022,3300,2900,2900,3300,4734,3300
9,02/12/2022,3600,3600,3600,3600,421,3600
10,05/12/2022,3600,3600,3600,3600,621,3600
11,06/12/2022,3600,3600,3600,3600,-,3600
12,07/12/2022,3600,3600,3600,3600,401,3600
13,08/12/2022,3600,3600,3600,3600,-,3600
14,09/12/2022,3600,3500,3500,3600,200,3600
15,12/12/2022,3500,3100,3100,3500,4400,3500
16,13/12/2022,3100,3100,3100,3100,400,3100
17,14/12/2022,3500,2800,3100,3500,1500,3500
18,15/12/2022,3400,3000,3100,3200,700,3200
19,16/12/2022,3400,3200,3400,3200,300,3200
20,19/12/2022,3200,2900,2900,2900,1700,2900
21,20/12/2022,2800,2800,2800,2800,900,2800
22,21/12/2022,2700,2700,2700,2700,500,2700
23,22/12/2022,2600,2300,2600,2300,6800,2300
24,23/12/2022,2500,2400,2500,2400,1600,2400
25,26/12/2022,2600,2100,2600,2300,1200,2300
26,27/12/2022,2600,2100,2100,2600,7700,2600
27,28/12/2022,2500,2500,2500,2500,100,2500
28,29/12/2022,2600,2300,2600,2300,300,2300
29,30/12/2022,2500,2300,2300,2300,400,2300
30,03/01/2023,2600,2600,2600,2600,402,2600
31,04/01/2023,2600,2300,2300,2400,300,2400
32,05/01/2023,2500,2200,2300,2200,400,2200
33,06/01/2023,2600,2000,2600,2400,2100,2400
34,09/01/2023,2500,2200,2200,2500,4400,2500
35,10/01/2023,2800,2800,2800,2800,3900,2800
36,11/01/2023,3200,3200,3200,3200,12016,3200
37,12/01/2023,3500,3000,3500,3400,6700,3400
38,13/01/2023,3700,2900,3700,3400,7000,3400
39,16/01/2023,3900,2900,3400,3400,10100,3400
40,17/01/2023,3700,3400,3500,3400,1900,3400
41,18/01/2023,3900,3100,3900,3100,7000,3100
42,19/01/2023,3200,2900,3100,2900,8601,2900
43,27/01/2023,3200,2900,3000,3200,3200,3200
44,30/01/2023,3300,3100,3200,3100,11100,3100
45,31/01/2023,3100,3100,3100,3100,1400,3100
46,01/02/2023,3200,2900,3100,2900,4500,2900
47,02/02/2023,3200,3200,3200,2900,12,3200
48,03/02/2023,3200,3200,3200,3200,-,3200
49,06/02/2023,3100,2800,3100,2800,400,2800
50,07/02/2023,3000,3000,3000,3000,200,3000
51,08/02/2023,2700,2700,2700,2700,6301,2700
52,09/02/2023,2700,2700,2700,2700,3,2700
53,10/02/2023,3100,2600,2600,3100,300,3100
54,13/02/2023,2900,2900,2900,2900,-,2900
55,14/02/2023,2900,2900,2900,2900,-,2900
56,15/02/2023,2900,2800,2800,2800,2400,2800
57,16/02/2023,2800,2800,2800,2800,100,2800
58,17/02/2023,2800,2800,2800,2800,206,2800
59,20/02/2023,2900,2800,2900,2900,4100,2900
60,21/02/2023,3100,3100,3100,3100,100,3100
61,22/02/2023,3000,2800,3000,2800,200,2800
62,23/02/2023,2900,2900,2900,2900,-,2900
63,24/02/2023,2900,2900,2900,2900,200,2900
64,27/02/2023,2900,2900,2900,2900,100,2900
65,28/02/2023,2900,2900,2900,2900,1200,2900
66,01/03/2023,2900,2900,2900,2900,100,2900
67,02/03/2023,2900,2900,2900,2900,-,2900
68,03/03/2023,2900,2800,2800,2900,200,2900
69,06/03/2023,3000,2900,2900,3000,1812,3000
70,07/03/2023,2600,2600,2600,2600,100,2600
71,08/03/2023,2600,2600,2600,2600,500,2600
72,09/03/2023,2600,2500,2600,2500,600,2500
73,10/03/2023,2800,2600,2800,2600,200,2600
74,13/03/2023,2700,2700,2700,2700,1300,2700
75,14/03/2023,2800,2700,2700,2800,1100,2800
76,15/03/2023,2800,2800,2800,2800,700,2800
77,16/03/2023,2900,2900,2900,2900,1300,2900
78,17/03/2023,2700,2700,2700,2700,2900,2700
79,20/03/2023,2700,2700,2700,2700,300,2700
80,21/03/2023,2400,2400,2400,2400,100,2400
81,22/03/2023,2700,2400,2400,2700,1400,2700
82,23/03/2023,2700,2700,2700,2700,-,2700
83,24/03/2023,2700,2700,2700,2700,1000,2700
84,27/03/2023,2600,2600,2600,2600,1200,2600
85,28/03/2023,2600,2600,2600,2600,-,2600
86,29/03/2023,2600,2600,2600,2600,-,2600
87,30/03/2023,2600,2600,2600,2600,-,2600
88,31/03/2023,2600,2600,2600,2600,-,2600
89,03/04/2023,2900,2900,2900,2900,100,2900
90,04/04/2023,2900,2700,2900,2700,200,2700
91,05/04/2023,2800,2800,2800,2800,300,2800
92,06/04/2023,2800,2800,2800,2800,-,2800
93,07/04/2023,2600,2600,2600,2600,200,2600
94,10/04/2023,2900,2500,2500,2900,4932,2900
95,11/04/2023,2900,2900,2900,2900,500,2900
96,12/04/2023,2900,2900,2900,2900,-,2900
97,13/04/2023,2900,2900,2900,2900,-,2900
98,14/04/2023,2900,2900,2900,2900,-,2900
99,17/04/2023,2900,2900,2900,2900,-,2900
100,18/04/2023,2900,2900,2900,2900,3014,2900
101,19/04/2023,2900,2900,2900,2900,-,2900
102,20/04/2023,3200,3200,3200,3200,100,3200
103,21/04/2023,3200,3200,3200,3200,-,3200
104,24/04/2023,3200,3200,3200,3200,22,3200
105,25/04/2023,3200,3200,3200,3200,-,3200
106,26/04/2023,3200,3200,3200,3200,-,3200
107,27/04/2023,2800,2800,2800,2800,200,2800
108,28/04/2023,2800,2800,2800,2800,-,2800
109,04/05/2023,2800,2800,2800,2800,-,2800
110,05/05/2023,2800,2800,2800,2800,-,2800
111,08/05/2023,2800,2800,2800,2800,1,2800
112,09/05/2023,2800,2800,2800,2800,-,2800
113,10/05/2023,2600,2600,2600,2600,12300,2600
114,11/05/2023,2600,2600,2600,2600,-,2600
115,12/05/2023,2600,2600,2600,2600,-,2600
116,15/05/2023,2600,2600,2600,2600,-,2600
117,16/05/2023,2600,2600,2600,2600,-,2600
118,17/05/2023,2800,2700,2800,2700,1200,2700
119,18/05/2023,3100,3000,3100,3000,1000,3000
120,19/05/2023,3500,3100,3500,3100,700,3100
121,22/05/2023,3200,3200,3200,3200,-,3200
122,23/05/2023,3200,3200,3200,3200,-,3200
123,24/05/2023,3200,3200,3200,3200,-,3200
124,25/05/2023,3200,3200,3200,3200,100,3200
125,26/05/2023,3200,3200,3200,3200,-,3200
126,29/05/2023,3200,3100,3200,3100,1100,3100
127,30/05/2023,3100,3100,3100,3100,-,3100
