,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,5100,4800,5100,4900,1400,4900
1,22/11/2022,5200,4900,5200,4900,1607,4900
2,23/11/2022,5100,4300,5100,4900,700,4900
3,24/11/2022,4600,4600,4600,4600,700,4600
4,25/11/2022,4800,4100,4100,4800,500,4800
5,28/11/2022,5000,4900,4900,5000,1400,5000
6,29/11/2022,5300,4500,5300,5100,6700,5100
7,30/11/2022,4800,4500,4600,4800,1336,4800
8,01/12/2022,4600,4200,4300,4300,31922,4300
9,02/12/2022,4900,4300,4300,4900,11500,4900
10,05/12/2022,4700,4700,4700,4700,5000,4700
11,06/12/2022,4600,4300,4600,4300,11822,4300
12,07/12/2022,4500,3900,4200,4500,5100,4500
13,08/12/2022,4400,4100,4400,4400,4719,4400
14,09/12/2022,4300,4200,4200,4300,1300,4300
15,12/12/2022,4700,4300,4300,4500,15518,4500
16,13/12/2022,4900,4000,4000,4700,1302,4700
17,14/12/2022,4800,4300,4400,4700,4000,4700
18,15/12/2022,4700,4300,4700,4300,2000,4300
19,16/12/2022,4800,4500,4500,4700,1099,4700
20,19/12/2022,4600,4300,4300,4600,1600,4600
21,20/12/2022,4500,4500,4500,4500,505,4500
22,21/12/2022,4500,4500,4500,4500,1000,4500
23,22/12/2022,4600,4500,4500,4600,7200,4600
24,23/12/2022,4300,4300,4300,4300,1084,4300
25,26/12/2022,4900,4700,4900,4700,800,4700
26,27/12/2022,4900,4900,4900,4900,-,4900
27,28/12/2022,4600,4600,4600,4600,601,4600
28,29/12/2022,4700,4100,4700,4600,1000,4600
29,30/12/2022,4500,4000,4000,4500,3600,4500
30,03/01/2023,4700,4000,4400,4300,7640,4300
31,04/01/2023,4600,4600,4600,4600,2000,4600
32,05/01/2023,4600,4600,4600,4600,-,4600
33,06/01/2023,4600,4400,4400,4600,500,4600
34,09/01/2023,4400,4300,4400,4300,2400,4300
35,10/01/2023,4900,4900,4900,4900,100,4900
36,11/01/2023,4900,4900,4900,4900,-,4900
37,12/01/2023,4400,4200,4200,4200,20200,4200
38,13/01/2023,4600,4200,4200,4600,1200,4600
39,16/01/2023,4500,4200,4200,4500,400,4500
40,17/01/2023,4500,4400,4400,4500,300,4500
41,18/01/2023,4700,4700,4700,4700,800,4700
42,19/01/2023,4500,4400,4500,4400,400,4400
43,27/01/2023,4600,4600,4600,4600,100,4600
44,30/01/2023,4700,4500,4600,4600,8600,4600
45,31/01/2023,4600,4400,4600,4600,1800,4600
46,01/02/2023,4700,4400,4500,4600,2700,4600
47,02/02/2023,4500,4300,4300,4500,400,4500
48,03/02/2023,4500,4200,4500,4200,600,4200
49,06/02/2023,4300,4300,4300,4300,248,4300
50,07/02/2023,4400,4300,4400,4400,7400,4400
51,08/02/2023,4500,4300,4300,4500,600,4500
52,09/02/2023,4600,4600,4600,4600,2600,4600
53,10/02/2023,4600,4600,4600,4600,-,4600
54,13/02/2023,4600,4100,4600,4200,3100,4200
55,14/02/2023,4400,4200,4200,4400,900,4400
56,15/02/2023,4400,4100,4400,4200,3800,4200
57,16/02/2023,4100,4100,4100,4100,2500,4100
58,17/02/2023,4300,3800,4000,3900,1800,3900
59,20/02/2023,4300,4300,4300,4300,1200,4300
60,21/02/2023,4400,4300,4300,4300,600,4300
61,22/02/2023,4300,4000,4300,4100,10500,4100
62,23/02/2023,3900,3900,3900,3900,600,3900
63,24/02/2023,4300,3900,4300,4200,1300,4200
64,27/02/2023,4200,4200,4200,4200,600,4200
65,28/02/2023,4400,4000,4200,4000,3500,4000
66,01/03/2023,4300,3900,4000,4300,1100,4300
67,02/03/2023,4300,4000,4000,4200,2200,4200
68,03/03/2023,4200,3900,4200,3900,8700,3900
69,06/03/2023,4500,4000,4200,4000,12800,4000
70,07/03/2023,4300,4100,4300,4200,11900,4200
71,08/03/2023,4000,4000,4000,4000,3400,4000
72,09/03/2023,4600,4100,4100,4600,44849,4600
73,10/03/2023,5100,5100,5100,5100,39724,5100
74,13/03/2023,5800,4600,5800,5100,75848,5100
75,14/03/2023,6000,4700,6000,5100,9900,5100
76,15/03/2023,5300,4900,5200,5300,19500,5300
77,16/03/2023,5200,4800,5100,4800,4100,4800
78,17/03/2023,5000,4700,5000,4800,23400,4800
79,20/03/2023,5100,4300,5000,4300,13200,4300
80,21/03/2023,5100,4800,5100,4900,2301,4900
81,22/03/2023,4700,4600,4600,4700,1900,4700
82,23/03/2023,4800,4800,4800,4800,100,4800
83,24/03/2023,5000,4900,5000,4900,400,4900
84,27/03/2023,4900,4600,4600,4900,2300,4900
85,28/03/2023,4900,4700,4900,4700,1600,4700
86,29/03/2023,4700,4600,4600,4700,6300,4700
87,30/03/2023,4900,4700,4900,4700,400,4700
88,31/03/2023,4900,4700,4900,4800,11700,4800
89,03/04/2023,4800,4700,4800,4800,3801,4800
90,04/04/2023,5100,4800,4800,5100,10500,5100
91,05/04/2023,5400,5000,5000,5400,9900,5400
92,06/04/2023,5700,5100,5700,5200,6200,5200
93,07/04/2023,5500,5000,5500,5200,3700,5200
94,10/04/2023,5400,5200,5200,5200,2400,5200
95,11/04/2023,5400,5400,5400,5400,118,5400
96,12/04/2023,5300,4800,5000,5300,3000,5300
97,13/04/2023,4800,4800,4800,4800,2800,4800
98,14/04/2023,5200,4900,5200,5000,3700,5000
99,17/04/2023,5600,5000,5000,5400,3100,5400
100,18/04/2023,5400,5000,5400,5200,600,5200
101,19/04/2023,5300,5200,5300,5200,1326,5200
102,20/04/2023,5300,5000,5300,5200,1800,5200
103,21/04/2023,5700,5300,5700,5300,200,5300
104,24/04/2023,5200,4900,5200,5000,11800,5000
105,25/04/2023,5300,5000,5300,5000,200,5000
106,26/04/2023,5200,5000,5000,5000,3602,5000
107,27/04/2023,4900,4700,4900,4800,3300,4800
108,28/04/2023,5200,4800,5200,5000,2000,5000
109,04/05/2023,5000,4900,5000,4900,607,4900
110,05/05/2023,5000,4800,5000,4800,10800,4800
111,08/05/2023,5100,5000,5100,5000,250,5000
112,09/05/2023,5000,4800,5000,4800,5000,4800
113,10/05/2023,5000,4800,4800,4900,6200,4900
114,11/05/2023,4900,4800,4900,4900,3401,4900
