,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,38000,37100,38000,37100,700,35400
1,22/11/2022,37600,37600,37600,37600,-,35900
2,23/11/2022,37600,37600,37600,37600,-,35900
3,24/11/2022,35500,35500,35500,35500,705,33900
4,25/11/2022,35500,35500,35500,35500,-,33900
5,28/11/2022,35500,35500,35500,35500,-,33900
6,29/11/2022,37300,37000,37000,37300,800,35600
7,30/11/2022,37300,37300,37300,37300,300,35600
8,01/12/2022,37300,37300,37300,37300,-,35600
9,02/12/2022,37300,37300,37300,37300,-,35600
10,05/12/2022,37300,37300,37300,37300,-,35600
11,06/12/2022,37300,37300,37300,37300,-,35600
12,07/12/2022,37000,37000,37000,37000,700,35300
13,08/12/2022,37000,37000,37000,37000,100,35300
14,09/12/2022,37000,37000,37000,37000,10,35300
15,12/12/2022,37000,37000,37000,37000,1000,35300
16,13/12/2022,37000,37000,37000,37000,-,35300
17,14/12/2022,37000,37000,37000,37000,600,35300
18,15/12/2022,37000,37000,37000,37000,10,35300
19,16/12/2022,37000,37000,37000,37000,-,35300
20,19/12/2022,37000,37000,37000,37000,-,35300
21,20/12/2022,37000,37000,37000,37000,-,35300
22,21/12/2022,37000,37000,37000,37000,-,35300
23,22/12/2022,37000,37000,37000,37000,-,35300
24,23/12/2022,37000,37000,37000,37000,500,35300
25,26/12/2022,37000,37000,37000,37000,-,35300
26,27/12/2022,38000,37000,37000,38000,1000,36300
27,28/12/2022,37500,37500,37500,37500,-,35800
28,29/12/2022,37500,37500,37500,37500,-,35800
29,30/12/2022,37500,37500,37500,37500,-,35800
30,03/01/2023,37500,37500,37500,37500,-,35800
31,04/01/2023,37500,37500,37500,38000,26,35800
32,05/01/2023,37500,37500,37500,37500,-,35800
33,06/01/2023,37500,37500,37500,37500,-,35800
34,09/01/2023,37500,37500,37500,37500,-,35800
35,10/01/2023,37500,37500,37500,37500,-,35800
36,11/01/2023,37500,37500,37500,37500,-,35800
37,12/01/2023,37500,37500,37500,37500,-,35800
38,13/01/2023,37500,37500,37500,37500,-,35800
39,16/01/2023,37500,37500,37500,38000,26,35800
40,17/01/2023,37500,37500,37500,37500,-,35800
41,18/01/2023,37500,37500,37500,37500,-,35800
42,19/01/2023,37500,37500,37500,37500,-,35800
43,27/01/2023,37500,37500,37500,37500,-,35800
44,30/01/2023,37500,37500,37500,37500,-,35800
45,31/01/2023,37500,37500,37500,38000,10,35800
46,01/02/2023,37500,37500,37500,37500,-,35800
47,02/02/2023,37500,37500,37500,37500,-,35800
48,03/02/2023,37500,37500,37500,37500,-,35800
49,06/02/2023,37500,37500,37500,37500,-,35800
50,07/02/2023,37500,37500,37500,37500,-,35800
51,08/02/2023,37500,37500,37500,37500,-,35800
52,09/02/2023,37500,37500,37500,37500,-,35800
53,10/02/2023,37500,37500,37500,37500,-,35800
54,13/02/2023,37500,37500,37500,37500,-,35800
55,14/02/2023,37500,37500,37500,37500,-,35800
56,15/02/2023,37500,37500,37500,37500,-,35800
57,16/02/2023,37500,37500,37500,37500,-,35800
58,17/02/2023,37500,37500,37500,37500,-,35800
59,20/02/2023,37500,37500,37500,37500,-,35800
60,21/02/2023,37500,37500,37500,37500,-,35800
61,22/02/2023,37500,37500,37500,37500,-,35800
62,23/02/2023,37500,37500,37500,37500,-,35800
63,24/02/2023,37500,37500,37500,37500,-,35800
64,27/02/2023,37500,37500,37500,37500,-,35800
65,28/02/2023,37500,37500,37500,37500,-,35800
66,01/03/2023,37500,37500,37500,37500,-,35800
67,02/03/2023,37500,37500,37500,37500,-,35800
68,03/03/2023,37500,37500,37500,37500,-,35800
69,06/03/2023,37500,37500,37500,37500,-,35800
70,07/03/2023,37500,37500,37500,37500,-,35800
71,08/03/2023,37500,37500,37500,37500,-,35800
72,09/03/2023,37500,37500,37500,37500,-,35800
73,10/03/2023,37500,37500,37500,37500,-,35800
74,13/03/2023,37500,37500,37500,37500,-,35800
75,14/03/2023,37500,37500,37500,37500,-,35800
76,15/03/2023,37500,37500,37500,37500,-,35800
77,16/03/2023,37500,37500,37500,37500,-,35800
