,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,16400,15400,16200,16100,35706,16100
1,22/11/2022,18000,15700,16000,16200,235433,16200
2,23/11/2022,16300,15000,16300,15000,2507,15000
3,24/11/2022,16000,15000,15800,15600,13100,15600
4,25/11/2022,15700,14300,14300,15700,30604,15700
5,28/11/2022,16000,15200,15200,16000,19805,16000
6,29/11/2022,15600,15200,15600,15300,42030,15300
7,30/11/2022,16000,15400,15800,16000,21445,16000
8,01/12/2022,16800,15900,15900,16600,65800,16600
9,02/12/2022,17000,16100,16500,16800,21910,16800
10,05/12/2022,17200,16900,16900,17100,125322,17100
11,06/12/2022,17400,16100,17200,16300,13650,16300
12,07/12/2022,16500,16000,16000,16100,15305,16100
13,08/12/2022,16800,15500,16000,16200,23985,16200
14,09/12/2022,16500,15800,16500,15900,9301,15900
15,12/12/2022,16800,16000,16200,16100,26700,16100
16,13/12/2022,16200,15800,16200,15800,7042,15800
17,14/12/2022,16300,16100,16200,16100,7260,16100
18,15/12/2022,16800,15800,16800,16200,17772,16200
19,16/12/2022,16600,16000,16100,16000,4544,16000
20,19/12/2022,16200,15800,16000,15800,46514,15800
21,20/12/2022,15900,15000,15900,15900,8001,15900
22,21/12/2022,15900,15100,15500,15100,16800,15100
23,22/12/2022,15800,15200,15300,15800,11400,15800
24,23/12/2022,15800,15800,15800,15800,845,15800
25,26/12/2022,15300,15000,15300,15000,6100,15000
26,27/12/2022,16700,15000,15000,16700,147800,16700
27,28/12/2022,16400,15700,16400,15700,3100,15700
28,29/12/2022,16600,15300,16600,15300,500,15300
29,30/12/2022,16500,15100,16500,16300,14757,16300
30,03/01/2023,16200,16200,16200,16200,5040,16200
31,04/01/2023,16500,16200,16400,16200,3234,16200
32,05/01/2023,16300,16300,16300,16300,18100,16300
33,06/01/2023,16400,16000,16300,16300,26800,16300
34,09/01/2023,16300,15500,16300,15500,33458,15500
35,10/01/2023,16500,15500,16500,16100,4946,16100
36,11/01/2023,16500,15800,16500,16000,3300,16000
37,12/01/2023,16000,15800,16000,15800,5040,15800
