,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,16800,16100,16400,16200,19800,16000
1,22/11/2022,16200,16000,16200,16200,19700,16000
2,23/11/2022,16100,15700,16100,15700,10009,15500
3,24/11/2022,16200,15600,16200,15600,12044,15400
4,25/11/2022,15900,15500,15500,15800,10500,15600
5,28/11/2022,17900,15900,15900,17900,51600,17600
6,29/11/2022,18900,17400,18900,17500,13200,17200
7,30/11/2022,17700,17200,17600,17700,14004,17400
8,01/12/2022,18500,17600,18500,17600,17334,17300
9,02/12/2022,18100,17800,18100,17800,3700,17500
10,05/12/2022,17600,16200,17000,16400,33500,16100
11,06/12/2022,17500,16000,17500,16000,19647,15800
12,07/12/2022,16800,16000,16800,16700,2300,16400
13,08/12/2022,16800,15000,16800,16400,6400,16100
14,09/12/2022,16300,15600,16300,15800,5116,15600
15,12/12/2022,17200,15900,15900,16700,25500,16400
16,13/12/2022,17300,16800,17300,16900,3700,16600
17,14/12/2022,17400,17200,17400,17200,27200,16900
18,15/12/2022,17400,16900,17200,17000,14800,16700
19,16/12/2022,17000,16300,16900,17000,20900,16700
20,19/12/2022,17100,16700,17100,16900,6000,16600
21,20/12/2022,16900,16300,16400,16300,5500,16000
22,21/12/2022,16900,16300,16900,16900,6500,16600
23,22/12/2022,16700,16000,16700,16600,7200,16300
24,23/12/2022,16900,16000,16900,16000,5103,15800
25,26/12/2022,16700,16000,16000,16000,5600,15800
26,27/12/2022,16500,15800,16000,16400,4900,16100
27,28/12/2022,16400,16000,16000,16000,8300,15800
28,29/12/2022,16700,15700,16700,15700,20300,15500
29,30/12/2022,16600,16300,16600,16300,4700,16000
30,03/01/2023,16900,15800,15900,16900,17301,16600
31,04/01/2023,17000,16600,16900,16600,12400,16300
32,05/01/2023,16900,16600,16900,16700,6600,16400
33,06/01/2023,16900,16000,16900,16100,9800,15900
34,09/01/2023,16800,15600,16800,16100,16300,15900
35,10/01/2023,16900,15800,16100,16900,6500,16600
36,11/01/2023,16600,16000,16600,16400,3600,16100
37,12/01/2023,16300,15900,16300,16100,2300,15900
38,13/01/2023,16000,15900,16000,16000,3347,15800
39,16/01/2023,16500,16000,16500,16000,8004,15800
40,17/01/2023,16200,15900,16200,16200,5803,16000
41,18/01/2023,16200,16000,16000,16200,22400,16000
42,19/01/2023,17200,16200,16200,16700,11700,16400
43,27/01/2023,16900,16700,16700,16800,10500,16500
44,30/01/2023,16800,16300,16800,16700,5311,16400
45,31/01/2023,17400,16900,17000,17400,27700,17100
46,01/02/2023,18500,17500,17500,18000,56500,17700
