,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,17000,17000,17000,17000,100,16700
1,22/11/2022,14500,14500,14500,14500,100,14300
2,23/11/2022,14500,14500,14500,14500,-,14300
3,24/11/2022,14500,14500,14500,14500,-,14300
4,25/11/2022,14500,14500,14500,14500,1,14300
5,28/11/2022,14500,14500,14500,14500,42,14300
6,29/11/2022,14500,14500,14500,14500,12,14300
7,30/11/2022,13000,13000,13000,13000,421,12800
8,01/12/2022,13000,12200,12300,13000,777,12800
9,02/12/2022,13000,12300,12300,13000,400,12800
10,05/12/2022,13000,12800,13000,12800,325,12600
11,06/12/2022,12900,12900,12900,12900,-,12700
12,07/12/2022,13000,13000,13000,13000,300,12800
13,08/12/2022,14900,14900,14900,14900,600,14700
14,09/12/2022,14900,14900,14900,14900,-,14700
15,12/12/2022,14900,14900,14900,14900,-,14700
16,13/12/2022,14900,14900,14900,14900,-,14700
17,14/12/2022,14900,14900,14900,14900,-,14700
18,15/12/2022,14900,14900,14900,14900,-,14700
19,16/12/2022,13200,13200,13200,13200,100,13000
20,19/12/2022,13200,13200,13200,13200,-,13000
21,20/12/2022,13200,13200,13200,13200,1,13000
22,21/12/2022,13200,13200,13200,13200,-,13000
23,22/12/2022,13200,13200,13200,13200,-,13000
24,23/12/2022,15000,15000,15000,15000,300,14800
25,26/12/2022,16900,13100,16900,13100,200,12900
26,27/12/2022,15000,15000,15000,15000,-,14800
27,28/12/2022,15000,15000,15000,15000,-,14800
28,29/12/2022,15000,15000,15000,15000,-,14800
29,30/12/2022,15000,15000,15000,15000,-,14800
30,03/01/2023,15000,15000,15000,15000,-,14800
31,04/01/2023,13100,13100,13100,13100,107,12900
32,05/01/2023,13100,13100,13100,13100,107,12900
33,06/01/2023,13100,13100,13100,13100,-,12900
34,09/01/2023,13100,13100,13100,13100,-,12900
35,10/01/2023,13100,13100,13100,13100,-,12900
36,11/01/2023,13100,13100,13100,13100,1,12900
37,12/01/2023,13100,13100,13100,13100,-,12900
38,13/01/2023,14800,14800,14800,14800,100,14600
39,16/01/2023,14800,14800,14800,14800,-,14600
40,17/01/2023,16800,15000,15000,16800,300,16600
41,18/01/2023,17700,17700,17700,17700,200,17400
42,19/01/2023,17700,17700,17700,17700,-,17400
43,27/01/2023,17700,17700,17700,17700,-,17400
44,30/01/2023,17700,17700,17700,17700,-,17400
45,31/01/2023,19800,19800,19800,19800,103,19500
46,01/02/2023,17000,17000,17000,17000,100,16700
47,02/02/2023,19400,19400,19400,19400,100,19100
48,03/02/2023,19400,19400,19400,19400,-,19100
49,06/02/2023,19400,19400,19400,19400,-,19100
50,07/02/2023,19400,19400,19400,19400,-,19100
51,08/02/2023,19400,19400,19400,19400,1,19100
52,09/02/2023,19400,19400,19400,19400,-,19100
53,10/02/2023,19400,19400,19400,19400,1,19100
54,13/02/2023,19400,19400,19400,19400,-,19100
55,14/02/2023,17000,17000,17000,17000,100,16700
56,15/02/2023,15000,15000,15000,15000,178,14800
57,16/02/2023,15000,15000,15000,15000,-,14800
58,17/02/2023,15000,15000,15000,15000,-,14800
59,20/02/2023,15000,15000,15000,15000,-,14800
60,21/02/2023,15000,15000,15000,15000,-,14800
61,22/02/2023,15000,15000,15000,15000,-,14800
62,23/02/2023,16900,16900,16900,16900,100,16600
63,24/02/2023,16900,16900,16900,16900,-,16600
64,27/02/2023,14500,14400,14400,14500,425,14300
65,28/02/2023,14500,14500,14500,14500,-,14300
66,01/03/2023,12500,12500,12500,12500,100,12300
67,02/03/2023,12500,12500,12500,12500,-,12300
68,03/03/2023,12500,12500,12500,12500,-,12300
69,06/03/2023,12500,12500,12500,12500,-,12300
70,07/03/2023,12500,12500,12500,12500,-,12300
71,08/03/2023,12500,12500,12500,12500,-,12300
72,09/03/2023,12500,12500,12500,12500,-,12300
73,10/03/2023,13000,13000,13000,13000,100,12800
74,13/03/2023,13000,13000,13000,13000,-,12800
75,14/03/2023,13000,13000,13000,13000,-,12800
76,15/03/2023,14900,14900,14900,14900,500,14700
77,16/03/2023,13000,13000,13000,13000,100,12800
78,17/03/2023,11500,11500,11500,11500,200,11300
79,20/03/2023,11500,11500,11500,11500,35,11300
80,21/03/2023,13200,13200,13200,13200,100,13000
81,22/03/2023,13200,13200,13200,13200,-,13000
82,23/03/2023,13200,13200,13200,13200,-,13000
83,24/03/2023,13200,13200,13200,13200,-,13000
84,27/03/2023,13200,13200,13200,13200,-,13000
85,28/03/2023,13200,13200,13200,13200,-,13000
86,29/03/2023,13200,13200,13200,13200,-,13000
87,30/03/2023,13200,13200,13200,13200,-,13000
88,31/03/2023,13200,13200,13200,13200,-,13000
89,03/04/2023,13200,13200,13200,13200,-,13000
90,04/04/2023,13200,13200,13200,13200,32,13000
91,05/04/2023,13200,13200,13200,13200,-,13000
92,06/04/2023,13000,13000,13000,13000,1000,12800
93,07/04/2023,13000,13000,13000,13000,-,12800
94,10/04/2023,12900,12400,12900,12400,600,12200
95,11/04/2023,12600,12600,12600,12600,-,12400
96,12/04/2023,11300,11300,11300,11300,107,11100
97,13/04/2023,12900,11800,12100,12900,908,12700
98,14/04/2023,12500,12500,12500,12500,-,12300
99,17/04/2023,12500,12500,12500,12900,8,12300
100,18/04/2023,12500,12500,12500,12500,-,12300
101,19/04/2023,12200,12200,12200,12200,100,12000
102,20/04/2023,12200,12200,12200,12200,-,12000
103,21/04/2023,11000,11000,11000,11000,100,10800
104,24/04/2023,11000,11000,11000,11000,-,10800
105,25/04/2023,11000,11000,11000,11000,-,10800
106,26/04/2023,11000,11000,11000,11000,-,10800
107,27/04/2023,11000,11000,11000,11000,100,10800
108,28/04/2023,11000,11000,11000,11000,-,10800
109,04/05/2023,11000,11000,11000,11000,-,10800
110,05/05/2023,11000,11000,11000,11000,-,10800
111,08/05/2023,11000,11000,11000,11000,-,10800
112,09/05/2023,10500,10500,10500,10500,107,10300
113,10/05/2023,10500,10500,10500,10500,-,10300
114,11/05/2023,11000,11000,11000,11000,147,10800
115,12/05/2023,11000,11000,11000,11000,-,10800
116,15/05/2023,11000,11000,11000,11000,7,10800
117,16/05/2023,11000,11000,11000,11000,-,10800
118,17/05/2023,11000,11000,11000,11000,-,10800
119,18/05/2023,11000,11000,11000,11000,-,10800
120,19/05/2023,11000,11000,11000,11000,-,10800
121,22/05/2023,11000,11000,11000,11000,-,10800
122,23/05/2023,11000,11000,11000,11000,-,10800
123,24/05/2023,11000,11000,11000,11000,-,10800
124,25/05/2023,11000,11000,11000,11000,-,10800
125,26/05/2023,11000,11000,11000,11000,14,10800
126,29/05/2023,10600,10600,10600,10600,100,10400
127,30/05/2023,10600,10600,10600,10600,-,10400
128,31/05/2023,11100,11000,11100,11000,700,10800
129,01/06/2023,11100,11100,11100,11100,100,10900
130,02/06/2023,12700,10500,10500,12700,1108,12500
131,05/06/2023,12500,12500,12500,12500,-,12300
132,06/06/2023,12500,12500,12500,12500,-,12300
133,07/06/2023,14000,14000,14000,14000,400,13800
134,08/06/2023,14000,14000,14000,14000,1,13800
135,09/06/2023,14200,14200,14200,14200,400,14000
136,12/06/2023,14200,14200,14200,14200,50,14000
137,13/06/2023,14200,14200,14200,14200,-,14000
138,14/06/2023,14800,14400,14800,14400,4400,14200
139,15/06/2023,14500,14500,14500,14400,3,14300
140,16/06/2023,14500,14500,14500,14500,1200,14300
141,19/06/2023,14500,14500,14500,14500,-,14300
142,20/06/2023,12600,12600,12600,12600,5100,12400
143,21/06/2023,12600,12600,12600,12600,-,12400
144,22/06/2023,13300,13300,13300,13300,100,13100
145,23/06/2023,13300,13300,13300,13300,-,13100
146,26/06/2023,13300,13300,13300,13300,10,13100
147,27/06/2023,13600,13500,13600,13500,1100,13300
148,28/06/2023,13500,13500,13500,13500,-,13300
149,29/06/2023,13500,13500,13500,13500,-,13300
150,30/06/2023,13300,13300,13300,13300,-,13300
151,03/07/2023,13300,13300,13300,13300,-,13300
152,04/07/2023,13300,13300,13300,13300,-,13300
153,05/07/2023,13300,13300,13300,13300,-,13300
154,06/07/2023,13300,13300,13300,13300,-,13300
155,07/07/2023,13300,13300,13300,13300,-,13300
156,10/07/2023,12600,12600,12600,12600,101,12600
157,11/07/2023,13500,13500,13500,13500,1100,13500
158,12/07/2023,13500,13500,13500,13500,-,13500
159,13/07/2023,13400,11700,13400,11800,800,11800
160,14/07/2023,11900,11900,11900,11900,-,11900
161,17/07/2023,11900,11900,11900,11900,-,11900
162,18/07/2023,11900,11900,11900,11900,150,11900
163,19/07/2023,11900,11900,11900,11900,3,11900
164,20/07/2023,11900,11900,11900,11900,-,11900
165,21/07/2023,11900,11900,11900,11900,100,11900
166,24/07/2023,11900,11900,11900,11900,-,11900
167,25/07/2023,11900,11900,11900,11900,-,11900
168,26/07/2023,11900,11900,11900,11900,-,11900
169,27/07/2023,11900,11900,11900,11900,-,11900
170,28/07/2023,12400,12300,12300,12400,208,12400
171,31/07/2023,14200,14000,14000,14200,2927,14200
172,01/08/2023,13800,13800,13800,13800,150,13800
173,02/08/2023,12100,12100,12100,12100,600,12100
174,03/08/2023,13900,13900,13900,13900,109,13900
175,04/08/2023,13900,13900,13900,13900,62,13900
176,07/08/2023,15400,13700,13700,14500,500,14500
177,08/08/2023,16300,15500,16300,16000,1200,16000
178,09/08/2023,16100,16100,16100,16000,1,16100
179,10/08/2023,14500,14500,14500,14500,800,14500
180,11/08/2023,14500,14500,14500,14500,1,14500
181,14/08/2023,12700,12600,12600,12600,5907,12600
182,15/08/2023,12700,12700,12700,12700,35112,12700
183,16/08/2023,12700,12700,12700,12700,24,12700
184,17/08/2023,12700,12700,12700,12700,-,12700
185,18/08/2023,12700,12700,12700,12700,103,12700
186,21/08/2023,12700,12700,12700,12700,-,12700
187,22/08/2023,12700,12700,12700,12700,-,12700
188,23/08/2023,12700,12700,12700,12700,-,12700
189,24/08/2023,12700,12700,12700,12700,-,12700
190,25/08/2023,12700,12700,12700,12700,-,12700
191,28/08/2023,13000,12800,12800,13000,2733,13000
192,29/08/2023,12900,12900,12900,12900,-,12900
193,30/08/2023,12900,12900,12900,12900,-,12900
194,31/08/2023,12500,12500,12500,12500,100,12500
195,05/09/2023,13700,13700,13700,13700,1300,13700
196,06/09/2023,13700,13700,13700,13700,200,13700
197,07/09/2023,13800,13700,13800,13700,500,13700
198,08/09/2023,13800,13800,13800,13800,3000,13800
199,11/09/2023,13800,13800,13800,13800,-,13800
200,12/09/2023,14000,13900,13900,14000,900,14000
201,13/09/2023,14000,14000,14000,14000,1300,14000
202,14/09/2023,14000,14000,14000,14000,2707,14000
203,15/09/2023,14000,14000,14000,14000,5,14000
204,18/09/2023,14000,14000,14000,14000,-,14000
205,19/09/2023,14000,14000,14000,14000,400,14000
206,20/09/2023,14000,14000,14000,14000,1100,14000
207,21/09/2023,14000,14000,14000,14000,7,14000
208,22/09/2023,14000,14000,14000,14000,3,14000
209,25/09/2023,14000,14000,14000,14000,14,14000
210,26/09/2023,14000,14000,14000,14000,-,14000
211,27/09/2023,14000,14000,14000,14000,17,14000
212,28/09/2023,14000,14000,14000,14000,-,14000
213,29/09/2023,14000,14000,14000,14000,-,14000
214,02/10/2023,14000,14000,14000,14000,-,14000
215,03/10/2023,14000,14000,14000,14000,-,14000
216,04/10/2023,14000,14000,14000,14000,-,14000
217,05/10/2023,14000,14000,14000,14000,-,14000
218,06/10/2023,14000,14000,14000,14000,-,14000
219,09/10/2023,14000,14000,14000,14000,1,14000
220,10/10/2023,14000,14000,14000,14000,-,14000
221,11/10/2023,14000,14000,14000,14000,-,14000
222,12/10/2023,14000,14000,14000,14000,-,14000
223,13/10/2023,14000,14000,14000,14000,-,14000
224,16/10/2023,14000,14000,14000,14000,-,14000
225,17/10/2023,14000,14000,14000,14000,-,14000
226,18/10/2023,11900,11900,11900,11900,107,11900
227,19/10/2023,11900,11900,11900,11900,-,11900
228,20/10/2023,11900,11900,11900,11900,-,11900
229,23/10/2023,11900,11900,11900,11900,-,11900
230,24/10/2023,11900,11900,11900,11900,-,11900
231,25/10/2023,11900,11900,11900,11900,-,11900
232,26/10/2023,11900,11900,11900,11900,-,11900
233,27/10/2023,11900,11900,11900,11900,-,11900
234,30/10/2023,10200,10200,10200,10200,100,10200
235,31/10/2023,8700,8700,8700,8700,700,8700
236,01/11/2023,8700,8700,8700,8700,-,8700
237,02/11/2023,9700,9500,9500,9500,900,9500
238,03/11/2023,10500,10500,10500,10500,500,10500
239,06/11/2023,11600,11500,11600,11500,300,11500
240,07/11/2023,11500,11500,11500,11500,258277,11500
241,08/11/2023,13200,10000,10000,13200,3300,13200
242,09/11/2023,11700,11700,11700,11700,300,11700
243,10/11/2023,13400,13300,13400,13300,205,13300
244,13/11/2023,15400,15400,15400,15400,2604,15400
245,14/11/2023,17400,13200,17400,13200,1110,13200
246,15/11/2023,15000,13800,13800,15000,3700,15000
247,16/11/2023,16400,16000,16400,16000,300,16000
248,17/11/2023,15500,14000,14000,15000,845,15000
249,20/11/2023,15000,15000,15000,15000,300,15000
