,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,9200,9200,9200,9200,-,8800
1,22/11/2022,9200,9200,9200,9200,-,8800
2,23/11/2022,9200,9200,9200,9200,-,8800
3,24/11/2022,9200,9200,9200,9200,-,8800
4,25/11/2022,10100,8100,8100,9000,21200,8700
5,28/11/2022,9400,9400,9400,9400,-,9000
6,29/11/2022,9400,9400,9400,9400,-,9000
7,30/11/2022,9400,9400,9400,9400,-,9000
8,01/12/2022,9400,9400,9400,9400,-,9000
9,02/12/2022,9700,8100,8100,9400,18615,9000
10,05/12/2022,9000,9000,9000,9000,-,8700
11,06/12/2022,9000,9000,9000,9000,-,8700
12,07/12/2022,9000,9000,9000,9000,-,8700
13,08/12/2022,9000,9000,9000,9000,-,8700
14,09/12/2022,9900,8100,8100,9500,34800,9100
15,12/12/2022,9200,9200,9200,9200,-,8800
16,13/12/2022,9200,9200,9200,9200,-,8800
17,14/12/2022,9200,9200,9200,9200,-,8800
18,15/12/2022,9200,9200,9200,9200,-,8800
19,16/12/2022,10500,9000,9000,9800,82900,9400
20,19/12/2022,9700,9700,9700,9700,-,9300
21,20/12/2022,9700,9700,9700,9700,-,9300
22,21/12/2022,9700,9700,9700,9700,-,9300
23,22/12/2022,9700,9700,9700,9700,-,9300
24,23/12/2022,10800,9400,10800,9400,3600,9000
25,26/12/2022,9500,9500,9500,9500,-,9100
26,27/12/2022,9500,9500,9500,9500,-,9100
27,28/12/2022,9500,9500,9500,9500,-,9100
28,29/12/2022,9500,9500,9500,9500,-,9100
29,30/12/2022,9900,8300,8300,9000,37300,8700
30,03/01/2023,9000,9000,9000,9000,-,8700
31,04/01/2023,9000,9000,9000,9000,-,8700
32,05/01/2023,10300,10300,10300,10300,32630,9900
33,06/01/2023,11800,11600,11800,11800,319900,11300
34,09/01/2023,12000,10600,12000,11000,36100,10600
35,10/01/2023,11500,10500,11500,11300,37200,10900
36,11/01/2023,12500,10800,11100,11300,45000,10900
37,12/01/2023,11400,10900,11400,11100,8000,10700
38,13/01/2023,11400,10700,11400,10900,39500,10500
39,16/01/2023,11300,10500,11300,10500,26300,10100
40,17/01/2023,12000,10800,11300,11500,28400,11100
41,18/01/2023,12000,11200,11400,11900,30900,11400
42,19/01/2023,12200,11400,11600,11700,22300,11200
43,27/01/2023,13300,11400,13000,12500,13300,12000
44,30/01/2023,12100,11300,11700,12000,72900,11500
45,31/01/2023,12700,10900,12000,12300,18800,11800
46,01/02/2023,12300,11300,12300,11900,23500,11400
47,02/02/2023,12100,11400,12100,11500,6700,11100
48,03/02/2023,11800,11200,11500,11200,7500,10800
49,06/02/2023,11900,11900,11900,11900,100,11400
50,07/02/2023,11900,11000,11900,11500,2200,11100
51,08/02/2023,11400,11400,11400,11400,-,11000
52,09/02/2023,11500,11300,11500,11300,400,10900
53,10/02/2023,11400,10600,11400,10800,18800,10400
54,13/02/2023,11400,10600,11400,10600,11300,10200
55,14/02/2023,11300,11300,11300,11300,100,10900
56,15/02/2023,11500,11500,11500,11500,100,11100
57,16/02/2023,11000,11000,11000,11000,2100,10600
58,17/02/2023,11000,10500,10800,11000,14500,10600
59,20/02/2023,11400,11000,11400,11300,3800,10900
60,21/02/2023,11300,10800,11300,10900,12500,10500
61,22/02/2023,12500,10800,11400,11000,1500,10600
62,23/02/2023,11800,11800,11800,11800,100,11300
63,24/02/2023,11800,10500,10500,11800,5200,11300
64,27/02/2023,12700,11000,12700,11000,2600,10600
65,28/02/2023,11600,10500,10800,11600,6801,11200
66,01/03/2023,11900,9600,11900,11300,3600,10900
67,02/03/2023,11200,11000,11200,11000,26100,10600
68,03/03/2023,10600,10100,10100,10600,2400,10200
69,06/03/2023,11200,10500,11200,10600,6800,10200
70,07/03/2023,11800,10400,11800,11500,1300,11100
71,08/03/2023,11500,10700,10700,11500,1300,11100
72,09/03/2023,12400,10400,12400,10800,1800,10400
73,10/03/2023,11300,10700,11300,10900,7300,10500
74,13/03/2023,10900,10800,10800,10900,15400,10500
75,14/03/2023,10800,10300,10500,10800,8000,10400
76,15/03/2023,11300,10500,10500,10800,2400,10400
77,16/03/2023,11700,11700,11700,11700,100,11200
78,17/03/2023,11700,11700,11700,11700,-,11200
79,20/03/2023,11700,11700,11700,11700,73,11200
80,21/03/2023,11700,11700,11700,11700,-,11200
81,22/03/2023,10600,10400,10600,10500,40700,10100
82,23/03/2023,11500,11500,11500,11500,100,11100
83,24/03/2023,10500,10200,10500,10200,2600,9800
84,27/03/2023,11300,11300,11300,11300,100,10900
85,28/03/2023,11500,11300,11300,11500,300,11100
86,29/03/2023,10200,10000,10200,10100,1900,9700
87,30/03/2023,11000,10300,10300,10500,3700,10100
88,31/03/2023,11200,10100,11200,10100,2300,9700
89,03/04/2023,10900,10100,10900,10800,13100,10400
90,04/04/2023,10700,10300,10300,10300,13600,9900
91,05/04/2023,11000,10100,10300,10500,33100,10100
92,06/04/2023,11100,10100,11100,10100,19400,9700
93,07/04/2023,10200,10000,10000,10100,3600,9700
94,10/04/2023,11500,11000,11000,11000,30400,10600
95,11/04/2023,11600,11300,11500,11300,12000,10900
96,12/04/2023,12000,11500,11800,11600,8500,11200
97,13/04/2023,12000,11400,12000,11400,5000,11000
98,14/04/2023,12000,11300,11500,12000,4600,11500
99,17/04/2023,12000,11500,11500,11500,1900,11100
100,18/04/2023,11900,11500,11900,11800,14200,11300
101,19/04/2023,12100,11700,11700,12000,37100,11500
102,20/04/2023,13800,12100,12700,13300,17500,12800
103,21/04/2023,14800,13000,14400,13000,1200,12500
104,24/04/2023,16000,14500,15500,14500,700,13900
105,25/04/2023,15000,13000,15000,13000,24800,12500
106,26/04/2023,13000,12000,13000,13000,12900,12500
107,27/04/2023,13500,12900,13000,12900,2600,12400
108,28/04/2023,13900,12600,12600,13900,500,13400
109,04/05/2023,13900,12600,12600,13900,3901,13400
110,05/05/2023,14000,12600,14000,13600,400,13100
111,08/05/2023,13700,13700,13700,13700,100,13200
112,09/05/2023,14500,13000,14000,13000,700,12500
113,10/05/2023,13600,13000,13000,13000,8300,12500
114,11/05/2023,14000,13200,14000,13300,17700,12800
115,12/05/2023,13900,13400,13400,13500,24800,13000
116,15/05/2023,14100,13100,13500,14000,11000,13500
117,16/05/2023,14000,13500,14000,13900,13800,13400
118,17/05/2023,14000,13300,13300,13800,11600,13300
119,18/05/2023,13400,12800,13100,13100,11715,12600
120,19/05/2023,13300,13200,13200,13200,2900,12700
121,22/05/2023,13900,13800,13900,13900,500,13400
122,23/05/2023,14000,13300,13300,13900,4100,13400
123,24/05/2023,15800,13300,15800,13600,900,13100
124,25/05/2023,15000,13800,14300,13800,5000,13300
125,26/05/2023,14400,13700,13700,14300,40000,13700
126,29/05/2023,14200,13800,14000,14000,29300,13500
127,30/05/2023,14100,13600,14100,14000,5700,13500
128,31/05/2023,15000,14100,14400,15000,41600,14400
129,01/06/2023,15000,14500,14700,15000,23300,14400
130,02/06/2023,15300,14700,15000,14700,10400,14100
131,05/06/2023,15000,14500,14700,14600,12500,14000
132,06/06/2023,15400,14500,14800,15400,18600,14800
133,07/06/2023,16300,15000,15700,15400,29200,14800
134,08/06/2023,16000,15400,15400,15600,11300,15000
135,09/06/2023,16800,15000,16300,15000,2900,14400
136,12/06/2023,17900,15500,15500,16200,700,15600
137,13/06/2023,15400,15000,15400,15000,8100,14400
138,14/06/2023,15000,14300,15000,14300,13000,13700
139,15/06/2023,15000,14300,14300,15000,400,14400
140,16/06/2023,14800,13600,13600,13800,1000,13300
141,19/06/2023,13800,13000,13800,13000,5900,12500
142,20/06/2023,13900,13100,13900,13600,1700,13100
143,21/06/2023,14600,13000,14500,13600,11800,13100
144,22/06/2023,14500,12800,14500,13200,21600,12700
145,23/06/2023,13900,12900,13000,13000,29100,12500
146,26/06/2023,13000,12800,13000,13000,1700,12500
147,27/06/2023,13200,13200,13200,13200,13300,12700
148,28/06/2023,14000,12800,14000,13200,3600,12700
149,29/06/2023,13200,13200,13200,13200,1600,12700
150,30/06/2023,13200,13000,13200,13100,3200,12600
151,03/07/2023,13100,13000,13100,13000,371300,12500
152,04/07/2023,14500,12900,13000,13000,8700,12500
153,05/07/2023,13100,12500,13100,13100,2000,12600
154,06/07/2023,14500,12800,14500,12800,1900,12300
155,07/07/2023,13500,12800,12800,13500,400,13000
156,10/07/2023,13200,12700,12700,13100,27000,12600
157,11/07/2023,13700,12600,12700,12600,20700,12100
158,12/07/2023,13900,13000,13900,13000,700,12500
159,13/07/2023,13000,12500,13000,12900,15700,12400
160,14/07/2023,13300,12600,13000,12600,3000,12100
161,17/07/2023,13200,12600,12700,13000,3600,12500
162,18/07/2023,13100,12500,13100,13000,2300,12500
163,19/07/2023,13000,12600,12700,12900,3400,12400
164,20/07/2023,12900,12100,12900,12100,1100,11600
165,21/07/2023,14000,12900,12900,14000,23900,13500
166,24/07/2023,13900,12500,13900,12600,4200,12100
167,25/07/2023,13100,13100,13100,13100,1300,12600
168,26/07/2023,13100,12600,12600,12800,5300,12300
169,27/07/2023,13200,12700,13000,13000,9900,12500
170,28/07/2023,13000,12400,13000,12900,15400,12400
171,31/07/2023,13900,12500,12500,13900,17000,13400
172,01/08/2023,13200,12700,12700,12700,2100,12200
173,02/08/2023,14500,12700,13800,13000,7600,12500
174,03/08/2023,13000,12700,12700,13000,700,12500
175,04/08/2023,13200,12800,12800,12900,4000,12400
176,07/08/2023,13200,12800,13000,13100,12700,12600
177,08/08/2023,14500,12900,12900,12900,12200,12400
178,09/08/2023,13000,13000,13000,13000,19501,12500
179,10/08/2023,13500,12900,13500,12900,5200,12900
180,11/08/2023,13000,13000,13000,12900,1,13000
181,14/08/2023,13000,12600,12800,12900,1900,12900
182,15/08/2023,12800,12700,12800,12700,5200,12700
183,16/08/2023,12700,12500,12600,12700,1201,12700
184,17/08/2023,13000,12900,12900,13000,6000,13000
185,18/08/2023,12700,12000,12700,12000,6801,12000
186,21/08/2023,12600,12500,12500,12600,6200,12600
187,22/08/2023,12600,11500,11600,12000,6200,12000
188,23/08/2023,12200,11500,11600,11600,15100,11600
189,24/08/2023,12400,12400,12400,12400,403,12400
190,25/08/2023,12300,11500,11500,12300,2500,12300
191,28/08/2023,11800,11500,11800,11500,18400,11500
192,29/08/2023,12400,11100,11500,11200,17300,11200
193,30/08/2023,11400,11400,11400,11400,8700,11400
194,31/08/2023,12300,11400,11400,12300,24200,12300
195,05/09/2023,13000,11800,11800,12200,46200,12200
196,06/09/2023,12700,12200,12200,12700,13400,12700
197,07/09/2023,12900,12000,12000,12100,8800,12100
198,08/09/2023,13000,12200,12900,12200,1304,12200
199,11/09/2023,12400,11900,11900,12000,52600,12000
200,12/09/2023,12300,12200,12300,12300,4701,12300
201,13/09/2023,12400,12000,12400,12300,29800,12300
202,14/09/2023,12700,12300,12300,12700,36600,12700
203,15/09/2023,12800,12500,12500,12600,17100,12600
204,18/09/2023,13200,12600,12600,13200,62600,13200
205,19/09/2023,13200,13000,13200,13100,2300,13100
206,20/09/2023,13200,13100,13200,13100,730,13100
207,21/09/2023,13900,13000,13000,13900,21070,13900
208,22/09/2023,13300,12800,13200,13300,8000,13300
209,25/09/2023,13600,12800,12800,13000,7706,13000
210,26/09/2023,13000,13000,13000,13000,-,13000
211,27/09/2023,12300,11700,12300,12100,2401,12100
212,28/09/2023,13000,13000,13000,13000,105,13000
213,29/09/2023,13000,13000,13000,13000,-,13000
214,02/10/2023,13000,13000,13000,13000,-,13000
215,03/10/2023,12500,12500,12500,12500,801,12500
216,04/10/2023,13000,13000,13000,13000,100,13000
217,05/10/2023,13000,11600,11800,13000,600,13000
218,06/10/2023,13000,13000,13000,13000,100,13000
219,09/10/2023,13000,13000,13000,13000,-,13000
220,10/10/2023,12900,12000,12100,12900,400,12900
221,11/10/2023,13000,13000,13000,13000,100,13000
222,12/10/2023,13000,13000,13000,13000,-,13000
223,13/10/2023,12000,11600,12000,11800,7800,11800
224,16/10/2023,12500,12500,12500,12500,105,12500
225,17/10/2023,12500,12500,12500,12500,-,12500
226,18/10/2023,11900,11900,11900,11900,100,11900
227,19/10/2023,12200,12200,12200,12200,700,12200
228,20/10/2023,12200,12200,12200,12200,-,12200
229,23/10/2023,12200,12200,12200,12200,-,12200
230,24/10/2023,12200,12200,12200,12200,-,12200
231,25/10/2023,12200,12200,12200,12200,-,12200
232,26/10/2023,11100,10400,10400,11100,1200,11100
233,27/10/2023,12100,9100,10600,9300,4800,9300
234,30/10/2023,11700,9500,9500,11700,6900,11700
235,31/10/2023,11800,11800,11800,11800,520,11800
236,01/11/2023,11800,11800,11800,11800,100,11800
237,02/11/2023,11800,11800,11800,11800,-,11800
238,03/11/2023,10500,10200,10300,10500,55400,10500
239,06/11/2023,10600,10500,10600,10600,13700,10600
240,07/11/2023,10500,10300,10500,10300,4800,10300
241,08/11/2023,10400,10100,10400,10100,3000,10100
242,09/11/2023,10700,10500,10500,10700,700,10700
243,10/11/2023,11000,10700,11000,11000,1700,11000
244,13/11/2023,10900,10500,10900,10500,6500,10500
245,14/11/2023,11700,11600,11700,11600,4673600,11600
246,15/11/2023,11700,11500,11700,11500,1791100,11500
247,16/11/2023,11600,11500,11500,11500,900,11500
248,17/11/2023,12000,11100,11300,11100,46910,11100
249,20/11/2023,11300,11300,11300,11300,500,11300
