,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,7700,6800,6800,7700,1500,7700
1,22/11/2022,7700,7700,7700,7700,100,7700
2,23/11/2022,7700,7700,7700,7700,-,7700
3,24/11/2022,7500,7500,7500,7500,100,7500
4,25/11/2022,8200,7700,8200,7700,4600,7700
5,28/11/2022,8700,7700,7700,8700,1900,8700
6,29/11/2022,7800,7800,7800,7800,300,7800
7,30/11/2022,7800,7800,7800,7800,2200,7800
8,01/12/2022,7800,7800,7800,7800,100,7800
9,02/12/2022,7900,7800,7900,7800,500,7800
10,05/12/2022,8800,7800,7800,8800,3800,8800
11,06/12/2022,9700,7400,9000,8800,4000,8800
12,07/12/2022,9100,9100,9100,9100,-,9100
13,08/12/2022,8600,7800,7800,8600,8100,8600
14,09/12/2022,8500,8500,8500,8500,100,8500
15,12/12/2022,8500,8500,8500,8500,-,8500
16,13/12/2022,7300,7300,7300,7300,400,7300
17,14/12/2022,7700,7400,7400,7700,10000,7700
18,15/12/2022,7300,7300,7300,7300,2000,7300
19,16/12/2022,7600,7600,7600,7600,2000,7600
20,19/12/2022,7700,7700,7700,7700,1200,7700
21,20/12/2022,7700,7700,7700,7700,-,7700
22,21/12/2022,7700,7700,7700,7700,-,7700
23,22/12/2022,7000,7000,7000,7000,1500,7000
24,23/12/2022,7400,6000,6800,7100,8100,7100
25,26/12/2022,7100,7100,7100,7100,-,7100
26,27/12/2022,7100,7100,7100,7100,-,7100
27,28/12/2022,7000,6900,6900,6900,1300,6900
28,29/12/2022,6900,6900,6900,6900,200,6900
29,30/12/2022,7000,6200,6200,7000,1000,7000
30,03/01/2023,7400,7000,7000,7400,2200,7400
31,04/01/2023,7500,6500,6500,7500,200,7500
32,05/01/2023,6500,6500,6500,6500,600,6500
33,06/01/2023,6500,6500,6500,6500,-,6500
34,09/01/2023,7400,7400,7400,7400,100,7400
35,10/01/2023,7400,7400,7400,7400,-,7400
36,11/01/2023,7900,7900,7900,7900,100,7900
37,12/01/2023,7900,7900,7900,7900,-,7900
38,13/01/2023,7900,7900,7900,7900,-,7900
39,16/01/2023,7900,7900,7900,7900,-,7900
40,17/01/2023,7900,7900,7900,7900,-,7900
41,18/01/2023,8200,6800,6800,8200,1100,8200
42,19/01/2023,8200,6900,6900,7100,17200,7100
43,27/01/2023,8000,8000,8000,8000,2400,8000
44,30/01/2023,8000,6800,8000,8000,5100,8000
45,31/01/2023,8400,8300,8400,8300,200,8300
46,01/02/2023,8400,8400,8400,8400,-,8400
47,02/02/2023,9500,9500,9500,9500,9500,9500
48,03/02/2023,9500,9500,9500,9500,-,9500
49,06/02/2023,9500,9500,9500,9500,-,9500
50,07/02/2023,9500,9500,9500,9500,-,9500
51,08/02/2023,9500,9500,9500,9500,-,9500
52,09/02/2023,9500,9500,9500,9500,-,9500
53,10/02/2023,9500,9500,9500,9500,-,9500
54,13/02/2023,9500,9500,9500,9500,-,9500
55,14/02/2023,9500,9500,9500,9500,-,9500
56,15/02/2023,8100,8100,8100,8100,3600,8100
57,16/02/2023,7100,7000,7000,7100,1700,7100
58,17/02/2023,7000,7000,7000,7000,-,7000
59,20/02/2023,7000,7000,7000,7000,-,7000
60,21/02/2023,7000,7000,7000,7000,-,7000
61,22/02/2023,7900,6600,7900,6600,600,6600
62,23/02/2023,6800,6800,6800,6800,-,6800
63,24/02/2023,6800,6700,6700,6800,10100,6800
64,27/02/2023,7400,7400,7400,7400,100,7400
65,28/02/2023,6500,6300,6500,6300,87900,6300
66,01/03/2023,6900,6300,6900,6300,66300,6300
67,02/03/2023,6700,6200,6700,6300,87200,6300
68,03/03/2023,6600,5700,5700,6400,84700,6400
69,06/03/2023,6500,6300,6500,6300,19700,6300
70,07/03/2023,6900,6200,6300,6900,17000,6900
71,08/03/2023,6500,6200,6200,6300,39300,6300
72,09/03/2023,6400,6200,6300,6200,29800,6200
73,10/03/2023,6200,5900,6100,6200,24200,6200
74,13/03/2023,6300,6000,6200,6000,12600,6000
75,14/03/2023,6300,5800,6300,5800,23800,5800
76,15/03/2023,5900,5800,5900,5800,12400,5800
77,16/03/2023,6000,5500,6000,5800,8000,5800
78,17/03/2023,6000,5500,5500,5700,14300,5700
79,20/03/2023,6000,5500,6000,5800,24100,5800
