,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,500,500,500,500,-,500
1,22/11/2022,500,500,500,500,-,500
2,23/11/2022,500,500,500,500,-,500
3,24/11/2022,500,500,500,500,-,500
4,25/11/2022,500,500,500,500,-,500
5,28/11/2022,500,500,500,500,-,500
6,29/11/2022,500,500,500,500,-,500
7,30/11/2022,500,500,500,500,-,500
8,01/12/2022,500,500,500,500,-,500
9,02/12/2022,500,500,500,500,-,500
10,05/12/2022,500,500,500,500,-,500
11,06/12/2022,500,500,500,500,-,500
12,07/12/2022,500,500,500,500,-,500
13,08/12/2022,500,500,500,500,-,500
14,09/12/2022,500,500,500,500,-,500
15,12/12/2022,500,500,500,500,-,500
16,13/12/2022,500,500,500,500,-,500
17,14/12/2022,500,500,500,500,-,500
18,15/12/2022,500,500,500,500,-,500
19,16/12/2022,500,500,500,500,-,500
20,19/12/2022,500,500,500,500,-,500
21,20/12/2022,500,500,500,500,-,500
22,21/12/2022,500,500,500,500,-,500
23,22/12/2022,500,500,500,500,-,500
24,23/12/2022,500,500,500,500,-,500
25,26/12/2022,500,500,500,500,-,500
26,27/12/2022,500,500,500,500,-,500
27,28/12/2022,500,500,500,500,-,500
28,29/12/2022,500,500,500,500,-,500
29,30/12/2022,500,500,500,500,-,500
30,03/01/2023,500,500,500,500,-,500
31,04/01/2023,500,500,500,500,-,500
32,05/01/2023,500,500,500,500,-,500
33,06/01/2023,500,500,500,500,-,500
34,09/01/2023,500,500,500,500,-,500
35,10/01/2023,500,500,500,500,-,500
36,11/01/2023,500,500,500,500,-,500
37,12/01/2023,500,500,500,500,-,500
38,13/01/2023,500,500,500,500,-,500
39,16/01/2023,500,500,500,500,-,500
40,17/01/2023,500,500,500,500,-,500
41,18/01/2023,500,500,500,500,-,500
42,19/01/2023,500,500,500,500,-,500
43,27/01/2023,500,500,500,500,-,500
44,30/01/2023,500,500,500,500,-,500
45,31/01/2023,500,500,500,500,-,500
46,01/02/2023,500,500,500,500,-,500
47,02/02/2023,500,500,500,500,-,500
48,03/02/2023,500,500,500,500,-,500
49,06/02/2023,500,500,500,500,-,500
50,07/02/2023,500,500,500,500,-,500
51,08/02/2023,500,500,500,500,-,500
52,09/02/2023,500,500,500,500,-,500
53,10/02/2023,500,500,500,500,-,500
54,13/02/2023,500,500,500,500,-,500
55,14/02/2023,500,500,500,500,-,500
56,15/02/2023,500,500,500,500,-,500
57,16/02/2023,500,500,500,500,-,500
58,17/02/2023,500,500,500,500,-,500
59,20/02/2023,500,500,500,500,-,500
60,21/02/2023,500,500,500,500,-,500
61,22/02/2023,500,500,500,500,-,500
62,23/02/2023,500,500,500,500,-,500
63,24/02/2023,500,500,500,500,-,500
64,27/02/2023,500,500,500,500,-,500
65,28/02/2023,500,500,500,500,-,500
66,01/03/2023,500,500,500,500,-,500
67,02/03/2023,500,500,500,500,-,500
68,03/03/2023,500,500,500,500,-,500
69,06/03/2023,500,500,500,500,-,500
70,07/03/2023,500,500,500,500,-,500
71,08/03/2023,500,500,500,500,-,500
72,09/03/2023,500,500,500,500,-,500
73,10/03/2023,700,700,700,700,100,700
74,13/03/2023,700,700,700,700,6000,700
75,14/03/2023,700,700,700,700,-,700
76,15/03/2023,700,700,700,700,-,700
77,16/03/2023,700,700,700,700,-,700
78,17/03/2023,700,700,700,700,-,700
79,20/03/2023,700,700,700,700,-,700
80,21/03/2023,700,700,700,700,-,700
81,22/03/2023,700,700,700,700,-,700
82,23/03/2023,700,700,700,700,-,700
83,24/03/2023,700,700,700,700,-,700
84,27/03/2023,700,700,700,700,-,700
85,28/03/2023,700,700,700,700,-,700
86,29/03/2023,700,700,700,700,-,700
87,30/03/2023,700,700,700,700,-,700
88,31/03/2023,700,700,700,700,-,700
89,03/04/2023,700,700,700,700,-,700
90,04/04/2023,700,700,700,700,-,700
91,05/04/2023,700,700,700,700,-,700
92,06/04/2023,700,700,700,700,-,700
93,07/04/2023,700,700,700,700,-,700
94,10/04/2023,700,700,700,700,-,700
95,11/04/2023,700,700,700,700,-,700
96,12/04/2023,700,700,700,700,-,700
97,13/04/2023,700,700,700,700,-,700
98,14/04/2023,700,700,700,700,-,700
99,17/04/2023,700,700,700,700,-,700
100,18/04/2023,700,700,700,700,-,700
101,19/04/2023,700,700,700,700,-,700
102,20/04/2023,700,700,700,700,-,700
103,21/04/2023,700,700,700,700,-,700
104,24/04/2023,700,700,700,700,-,700
105,25/04/2023,700,700,700,700,-,700
106,26/04/2023,700,700,700,700,-,700
107,27/04/2023,700,700,700,700,-,700
108,28/04/2023,700,700,700,700,-,700
109,04/05/2023,700,700,700,700,-,700
110,05/05/2023,700,700,700,700,-,700
111,08/05/2023,700,700,700,700,-,700
112,09/05/2023,700,700,700,700,-,700
113,10/05/2023,700,700,700,700,-,700
114,11/05/2023,700,700,700,700,-,700
115,12/05/2023,700,700,700,700,-,700
116,15/05/2023,700,700,700,700,-,700
117,16/05/2023,700,700,700,700,-,700
118,17/05/2023,700,700,700,700,-,700
119,18/05/2023,700,700,700,700,-,700
120,19/05/2023,900,900,900,900,200,900
121,22/05/2023,900,900,900,900,-,900
122,23/05/2023,900,900,900,900,-,900
123,24/05/2023,900,900,900,900,-,900
124,25/05/2023,900,900,900,900,-,900
125,26/05/2023,900,900,900,900,-,900
126,29/05/2023,900,900,900,900,-,900
127,30/05/2023,900,900,900,900,-,900
128,31/05/2023,900,900,900,900,-,900
129,01/06/2023,900,900,900,900,-,900
130,02/06/2023,900,900,900,900,-,900
131,05/06/2023,900,900,900,900,-,900
132,06/06/2023,900,900,900,900,-,900
133,07/06/2023,900,900,900,900,-,900
134,08/06/2023,900,900,900,900,-,900
135,09/06/2023,900,900,900,900,-,900
136,12/06/2023,900,900,900,900,-,900
137,13/06/2023,900,900,900,900,-,900
138,14/06/2023,900,900,900,900,-,900
139,15/06/2023,900,900,900,900,-,900
140,16/06/2023,900,900,900,900,-,900
141,19/06/2023,900,900,900,900,-,900
142,20/06/2023,900,900,900,900,-,900
143,21/06/2023,900,900,900,900,-,900
144,22/06/2023,900,900,900,900,-,900
145,23/06/2023,900,900,900,900,-,900
146,26/06/2023,900,900,900,900,-,900
147,27/06/2023,900,900,900,900,-,900
148,28/06/2023,900,900,900,900,-,900
149,29/06/2023,900,900,900,900,-,900
150,30/06/2023,900,900,900,900,-,900
151,03/07/2023,900,900,900,900,-,900
152,04/07/2023,900,900,900,900,-,900
153,05/07/2023,900,900,900,900,-,900
154,06/07/2023,900,900,900,900,-,900
155,07/07/2023,900,900,900,900,-,900
156,10/07/2023,900,900,900,900,-,900
157,11/07/2023,900,900,900,900,-,900
158,12/07/2023,900,900,900,900,-,900
159,13/07/2023,900,900,900,900,-,900
160,14/07/2023,900,900,900,900,-,900
161,17/07/2023,900,900,900,900,-,900
162,18/07/2023,900,900,900,900,-,900
163,19/07/2023,900,900,900,900,-,900
164,20/07/2023,900,900,900,900,-,900
165,21/07/2023,900,900,900,900,-,900
166,24/07/2023,900,900,900,900,-,900
