,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,1600,1600,1600,1600,-,1600
1,22/11/2022,1600,1600,1600,1600,-,1600
2,23/11/2022,1600,1600,1600,1600,-,1600
3,24/11/2022,1600,1600,1600,1600,-,1600
4,25/11/2022,1700,1500,1700,1500,31787,1500
5,28/11/2022,1600,1600,1600,1600,-,1600
6,29/11/2022,1600,1600,1600,1600,-,1600
7,30/11/2022,1600,1600,1600,1600,-,1600
8,01/12/2022,1600,1600,1600,1600,-,1600
9,02/12/2022,1800,1700,1700,1800,93630,1800
10,05/12/2022,1800,1800,1800,1800,-,1800
11,06/12/2022,1800,1800,1800,1800,-,1800
12,07/12/2022,1800,1800,1800,1800,-,1800
13,08/12/2022,1800,1800,1800,1800,-,1800
14,09/12/2022,1900,1600,1900,1600,54066,1600
15,12/12/2022,1700,1700,1700,1700,-,1700
16,13/12/2022,1700,1700,1700,1700,-,1700
17,14/12/2022,1700,1700,1700,1700,-,1700
18,15/12/2022,1700,1700,1700,1700,-,1700
19,16/12/2022,1600,1600,1600,1600,163300,1600
20,19/12/2022,1600,1600,1600,1600,-,1600
21,20/12/2022,1600,1600,1600,1600,-,1600
22,21/12/2022,1600,1600,1600,1600,-,1600
23,22/12/2022,1600,1600,1600,1600,-,1600
24,23/12/2022,1600,1500,1600,1500,90400,1500
25,26/12/2022,1500,1500,1500,1500,-,1500
26,27/12/2022,1500,1500,1500,1500,-,1500
27,28/12/2022,1500,1500,1500,1500,-,1500
28,29/12/2022,1500,1500,1500,1500,-,1500
29,30/12/2022,1600,1300,1600,1300,123700,1300
30,03/01/2023,1300,1300,1300,1300,-,1300
31,04/01/2023,1300,1300,1300,1300,-,1300
32,05/01/2023,1300,1300,1300,1300,-,1300
33,06/01/2023,1400,1400,1400,1400,42000,1400
34,09/01/2023,1400,1400,1400,1400,-,1400
35,10/01/2023,1400,1400,1400,1400,-,1400
36,11/01/2023,1400,1400,1400,1400,-,1400
37,12/01/2023,1400,1400,1400,1400,-,1400
38,13/01/2023,1600,1400,1600,1500,33400,1500
39,16/01/2023,1400,1400,1400,1400,-,1400
40,17/01/2023,1400,1400,1400,1400,-,1400
41,18/01/2023,1400,1400,1400,1400,-,1400
