,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,4600,4600,4600,4600,-,4600
1,22/11/2022,4600,4600,4600,4600,-,4600
2,23/11/2022,4600,4600,4600,4600,-,4600
3,24/11/2022,4600,4600,4600,4600,-,4600
4,25/11/2022,4500,4000,4500,4200,209700,4200
5,28/11/2022,4200,4200,4200,4200,-,4200
6,29/11/2022,4200,4200,4200,4200,-,4200
7,30/11/2022,4200,4200,4200,4200,-,4200
8,01/12/2022,4200,4200,4200,4200,-,4200
9,02/12/2022,4500,3900,4500,4300,144000,4300
10,05/12/2022,4200,4200,4200,4200,-,4200
11,06/12/2022,4200,4200,4200,4200,-,4200
12,07/12/2022,4200,4200,4200,4200,-,4200
13,08/12/2022,4200,4200,4200,4200,-,4200
14,09/12/2022,4200,3600,3800,4200,508800,4200
15,12/12/2022,3900,3900,3900,3900,-,3900
16,13/12/2022,3900,3900,3900,3900,-,3900
17,14/12/2022,3900,3900,3900,3900,-,3900
18,15/12/2022,3900,3900,3900,3900,-,3900
19,16/12/2022,4000,3800,3800,3900,355700,3900
20,19/12/2022,3900,3900,3900,3900,-,3900
21,20/12/2022,3900,3900,3900,3900,-,3900
22,21/12/2022,3900,3900,3900,3900,-,3900
23,22/12/2022,3900,3900,3900,3900,-,3900
24,23/12/2022,4200,3700,4200,3900,123008,3900
25,26/12/2022,4100,4100,4100,4100,-,4100
26,27/12/2022,4100,4100,4100,4100,-,4100
27,28/12/2022,4100,4100,4100,4100,-,4100
28,29/12/2022,4100,4100,4100,4100,-,4100
29,30/12/2022,4500,3900,4500,4100,554400,4100
30,03/01/2023,4200,4200,4200,4200,-,4200
31,04/01/2023,4200,4200,4200,4200,-,4200
32,05/01/2023,4200,4200,4200,4200,-,4200
33,06/01/2023,4200,4000,4000,4100,335500,4100
34,09/01/2023,4100,4100,4100,4100,-,4100
35,10/01/2023,4100,4100,4100,4100,-,4100
36,11/01/2023,4100,4100,4100,4100,-,4100
37,12/01/2023,4100,4100,4100,4100,-,4100
38,13/01/2023,4300,3900,4300,4100,472702,4100
39,16/01/2023,4100,4100,4100,4100,-,4100
40,17/01/2023,4100,4100,4100,4100,-,4100
41,18/01/2023,4100,4100,4100,4100,-,4100
