,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,1200,1200,1200,1200,-,1100
1,22/11/2022,1200,1200,1200,1200,-,1100
2,23/11/2022,1200,1200,1200,1200,-,1100
3,24/11/2022,1200,1200,1200,1200,-,1100
4,25/11/2022,1300,1100,1300,1100,1585,1000
5,28/11/2022,1100,1100,1100,1100,-,1000
6,29/11/2022,1100,1100,1100,1100,-,1000
7,30/11/2022,1100,1100,1100,1100,-,1000
8,01/12/2022,1100,1100,1100,1100,-,1000
9,02/12/2022,1200,1100,1200,1200,19210,1100
10,05/12/2022,1100,1100,1100,1100,-,1000
11,06/12/2022,1100,1100,1100,1100,-,1000
12,07/12/2022,1100,1100,1100,1100,-,1000
13,08/12/2022,1100,1100,1100,1100,-,1000
14,09/12/2022,1200,1200,1200,1200,13266,1100
15,12/12/2022,1200,1200,1200,1200,-,1100
16,13/12/2022,1200,1200,1200,1200,-,1100
17,14/12/2022,1200,1200,1200,1200,-,1100
18,15/12/2022,1200,1200,1200,1200,-,1100
19,16/12/2022,1300,1200,1200,1300,11400,1200
20,19/12/2022,1200,1200,1200,1200,-,1100
21,20/12/2022,1200,1200,1200,1200,-,1100
22,21/12/2022,1200,1200,1200,1200,-,1100
23,22/12/2022,1200,1200,1200,1200,-,1100
24,23/12/2022,1300,1200,1200,1300,2104,1200
25,26/12/2022,1200,1200,1200,1200,-,1100
26,27/12/2022,1200,1200,1200,1200,-,1100
27,28/12/2022,1200,1200,1200,1200,-,1100
28,29/12/2022,1200,1200,1200,1200,-,1100
29,30/12/2022,1200,1200,1200,1200,1800,1100
30,03/01/2023,1200,1200,1200,1200,-,1100
31,04/01/2023,1200,1200,1200,1200,-,1100
32,05/01/2023,1200,1200,1200,1200,-,1100
33,06/01/2023,1300,1200,1200,1300,9007,1200
34,09/01/2023,1200,1200,1200,1200,-,1200
35,10/01/2023,1200,1200,1200,1200,-,1200
36,11/01/2023,1200,1200,1200,1200,-,1200
37,12/01/2023,1200,1200,1200,1200,-,1200
38,13/01/2023,1200,1100,1200,1200,22600,1200
39,16/01/2023,1100,1100,1100,1100,-,1100
40,17/01/2023,1100,1100,1100,1100,-,1100
41,18/01/2023,1100,1100,1100,1100,-,1100
42,19/01/2023,1100,1100,1100,1100,-,1100
43,27/01/2023,1200,1200,1200,1200,11333,1200
44,30/01/2023,1200,1200,1200,1200,-,1200
45,31/01/2023,1200,1200,1200,1200,-,1200
46,01/02/2023,1200,1200,1200,1200,-,1200
47,02/02/2023,1200,1200,1200,1200,-,1200
48,03/02/2023,1300,1200,1300,1300,17480,1300
49,06/02/2023,1300,1300,1300,1300,-,1300
50,07/02/2023,1300,1300,1300,1300,-,1300
51,08/02/2023,1300,1300,1300,1300,-,1300
52,09/02/2023,1300,1300,1300,1300,-,1300
53,10/02/2023,1400,1400,1400,1400,21380,1400
54,13/02/2023,1400,1400,1400,1400,-,1400
55,14/02/2023,1400,1400,1400,1400,-,1400
56,15/02/2023,1400,1400,1400,1400,-,1400
57,16/02/2023,1400,1400,1400,1400,-,1400
58,17/02/2023,1600,1400,1400,1600,25467,1600
59,20/02/2023,1500,1500,1500,1500,-,1500
60,21/02/2023,1500,1500,1500,1500,-,1500
61,22/02/2023,1500,1500,1500,1500,-,1500
62,23/02/2023,1500,1500,1500,1500,-,1500
63,24/02/2023,1700,1700,1700,1700,7000,1700
64,27/02/2023,1700,1700,1700,1700,-,1700
65,28/02/2023,1700,1700,1700,1700,-,1700
66,01/03/2023,1700,1700,1700,1700,-,1700
67,02/03/2023,1700,1700,1700,1700,-,1700
68,03/03/2023,1900,1800,1800,1900,166255,1900
69,06/03/2023,1900,1900,1900,1900,-,1900
70,07/03/2023,1900,1900,1900,1900,-,1900
71,08/03/2023,1900,1900,1900,1900,-,1900
72,09/03/2023,1900,1900,1900,1900,-,1900
73,10/03/2023,2100,2000,2100,2100,47261,2100
74,13/03/2023,2100,2100,2100,2100,-,2100
75,14/03/2023,2100,2100,2100,2100,-,2100
76,15/03/2023,2100,2100,2100,2100,-,2100
77,16/03/2023,2100,2100,2100,2100,-,2100
78,17/03/2023,2400,1800,2400,1800,31352,1800
79,20/03/2023,2200,2200,2200,2200,-,2200
80,21/03/2023,2200,2200,2200,2200,-,2200
81,22/03/2023,2200,2200,2200,2200,-,2200
82,23/03/2023,2200,2200,2200,2200,-,2200
83,24/03/2023,2400,2000,2100,2000,14825,2000
84,27/03/2023,2200,2200,2200,2200,-,2200
85,28/03/2023,2200,2200,2200,2200,-,2200
86,29/03/2023,2200,2200,2200,2200,-,2200
87,30/03/2023,2200,2200,2200,2200,-,2200
88,31/03/2023,2200,1900,2000,2000,16500,2000
89,03/04/2023,1900,1900,1900,1900,-,1900
90,04/04/2023,1900,1900,1900,1900,-,1900
91,05/04/2023,1900,1900,1900,1900,-,1900
92,06/04/2023,1900,1900,1900,1900,-,1900
93,07/04/2023,2000,1700,1900,2000,3633,2000
94,10/04/2023,1800,1800,1800,1800,-,1800
95,11/04/2023,1800,1800,1800,1800,-,1800
96,12/04/2023,1800,1800,1800,1800,-,1800
97,13/04/2023,1800,1800,1800,1800,-,1800
98,14/04/2023,1800,1600,1800,1600,29211,1600
99,17/04/2023,1600,1600,1600,1600,-,1600
100,18/04/2023,1600,1600,1600,1600,-,1600
101,19/04/2023,1600,1600,1600,1600,-,1600
102,20/04/2023,1600,1600,1600,1600,-,1600
103,21/04/2023,1700,1400,1400,1700,8530,1700
104,24/04/2023,1600,1600,1600,1600,-,1600
105,25/04/2023,1600,1600,1600,1600,-,1600
106,26/04/2023,1600,1600,1600,1600,-,1600
107,27/04/2023,1600,1600,1600,1600,-,1600
108,28/04/2023,1700,1400,1400,1700,17733,1700
109,04/05/2023,1500,1500,1500,1500,-,1500
110,05/05/2023,1700,1500,1500,1700,7438,1700
111,08/05/2023,1500,1500,1500,1500,-,1500
112,09/05/2023,1500,1500,1500,1500,-,1500
113,10/05/2023,1500,1500,1500,1500,-,1500
114,11/05/2023,1500,1500,1500,1500,-,1500
115,12/05/2023,1700,1400,1400,1700,18100,1700
