,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,3500,3300,3400,3500,35300,3500
1,22/11/2022,3900,3500,3900,3800,26000,3800
2,23/11/2022,4100,3400,4100,3900,8400,3900
3,24/11/2022,3900,3400,3900,3400,600,3400
4,25/11/2022,4000,3500,4000,3800,4500,3800
5,28/11/2022,4000,3600,3700,3900,13800,3900
6,29/11/2022,4200,3800,3800,4000,40200,4000
7,30/11/2022,4400,4200,4400,4400,7100,4400
8,01/12/2022,4700,4400,4600,4400,37105,4400
9,02/12/2022,4700,4500,4500,4700,5200,4700
10,05/12/2022,5200,4600,4600,4700,8800,4700
11,06/12/2022,4700,4200,4700,4200,6800,4200
12,07/12/2022,4100,4000,4000,4000,5300,4000
13,08/12/2022,4400,4000,4000,4000,3100,4000
14,09/12/2022,4300,3800,4000,4300,6700,4300
15,12/12/2022,4400,4000,4000,4100,10400,4100
16,13/12/2022,4400,4100,4400,4100,15100,4100
17,14/12/2022,4300,4000,4300,4100,8900,4100
18,15/12/2022,4200,4000,4100,4200,2100,4200
19,16/12/2022,4400,4200,4200,4200,2700,4200
20,19/12/2022,4300,4000,4100,4300,8300,4300
21,20/12/2022,4000,3800,4000,3800,22400,3800
22,21/12/2022,4000,3700,3700,3700,4100,3700
23,22/12/2022,4200,3800,3800,4200,13300,4200
24,23/12/2022,4600,4200,4200,4400,13300,4400
25,26/12/2022,4700,4000,4400,4400,18600,4400
26,27/12/2022,4500,4500,4500,4500,2100,4500
27,28/12/2022,4600,4300,4600,4300,3800,4300
28,29/12/2022,4500,4200,4500,4400,3900,4400
29,30/12/2022,4300,4000,4000,4300,2400,4300
30,03/01/2023,4200,4100,4100,4200,8040,4200
31,04/01/2023,4400,4100,4400,4100,1100,4100
32,05/01/2023,4300,4000,4300,4000,7200,4000
33,06/01/2023,4000,3900,3900,3900,2300,3900
34,09/01/2023,4000,4000,4000,4000,1100,4000
35,10/01/2023,4200,4200,4200,4200,100,4200
36,11/01/2023,4200,4000,4200,4200,4100,4200
37,12/01/2023,4000,4000,4000,4000,900,4000
38,13/01/2023,4200,3800,4000,4200,9100,4200
39,16/01/2023,3900,3900,3900,3900,2500,3900
40,17/01/2023,4000,4000,4000,4000,100,4000
41,18/01/2023,4100,4000,4100,4000,2600,4000
42,19/01/2023,4100,3900,3900,4100,1100,4100
43,27/01/2023,4100,3900,4100,4000,800,4000
44,30/01/2023,4000,4000,4000,4000,1800,4000
45,31/01/2023,4200,4000,4000,4000,4300,4000
46,01/02/2023,4100,4000,4000,4100,5100,4100
47,02/02/2023,4000,4000,4000,4000,2400,4000
48,03/02/2023,4000,4000,4000,4000,1800,4000
49,06/02/2023,4000,3900,3900,4000,4100,4000
50,07/02/2023,3900,3900,3900,3900,2100,3900
51,08/02/2023,4100,3800,3800,4100,400,4100
52,09/02/2023,4000,3800,3900,3900,3900,3900
53,10/02/2023,4000,3800,3800,4000,1800,4000
54,13/02/2023,4000,3800,3900,4000,41600,4000
55,14/02/2023,4000,3800,4000,3800,2900,3800
56,15/02/2023,3900,3700,3900,3800,13800,3800
57,16/02/2023,3800,3800,3800,3800,600,3800
58,17/02/2023,4000,4000,4000,4000,100,4000
59,20/02/2023,4100,3900,3900,4000,27100,4000
60,21/02/2023,4200,4100,4200,4100,20001,4100
61,22/02/2023,3900,3900,3900,3900,11500,3900
62,23/02/2023,4100,3800,4100,3800,600,3800
63,24/02/2023,3900,3800,3900,3800,2400,3800
64,27/02/2023,3700,3700,3700,3700,100,3700
65,28/02/2023,3900,3700,3900,3800,700,3800
66,01/03/2023,3900,3700,3900,3700,1410,3700
67,02/03/2023,3800,3800,3800,3800,200,3800
68,03/03/2023,3800,3700,3700,3800,3200,3800
69,06/03/2023,3700,3700,3700,3700,2400,3700
70,07/03/2023,3700,3700,3700,3700,1700,3700
71,08/03/2023,3700,3700,3700,3700,800,3700
72,09/03/2023,4000,3800,4000,3900,16800,3900
73,10/03/2023,3900,3800,3900,3900,4600,3900
74,13/03/2023,3900,3800,3900,3800,7300,3800
75,14/03/2023,3700,3700,3700,3700,400,3700
76,15/03/2023,4000,3700,3700,4000,3100,4000
77,16/03/2023,3700,3700,3700,3700,-,3700
78,17/03/2023,4000,3800,4000,3800,1100,3800
79,20/03/2023,3800,3700,3800,3700,3100,3700
80,21/03/2023,3900,3600,3600,3900,200,3900
81,22/03/2023,3800,3700,3800,3700,500,3700
82,23/03/2023,3800,3800,3800,3800,-,3800
83,24/03/2023,3700,3600,3700,3700,4100,3700
84,27/03/2023,3700,3700,3700,3700,1300,3700
85,28/03/2023,3700,3700,3700,3700,200,3700
86,29/03/2023,3900,3700,3700,3900,1300,3900
87,30/03/2023,4000,3700,3900,3800,12200,3800
88,31/03/2023,3900,3900,3900,3900,-,3900
89,03/04/2023,4000,3900,4000,3900,3300,3900
90,04/04/2023,4000,3900,4000,3900,4700,3900
91,05/04/2023,4000,3900,3900,4000,11000,4000
92,06/04/2023,4000,4000,4000,4000,6200,4000
93,07/04/2023,3900,3700,3800,3900,900,3900
94,10/04/2023,3900,3800,3900,3900,2400,3900
95,11/04/2023,3900,3900,3900,3900,1500,3900
96,12/04/2023,3900,3900,3900,3900,-,3900
97,13/04/2023,4000,3900,3900,3900,4400,3900
98,14/04/2023,3900,3900,3900,3900,1800,3900
99,17/04/2023,4000,4000,4000,4000,100,4000
100,18/04/2023,4000,4000,4000,4000,100,4000
101,19/04/2023,4000,4000,4000,4000,-,4000
