,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,1300,1300,1300,1300,-,1300
1,22/11/2022,1300,1300,1300,1300,-,1300
2,23/11/2022,1300,1300,1300,1300,-,1300
3,24/11/2022,1300,1300,1300,1300,-,1300
4,25/11/2022,1400,1200,1400,1200,8600,1200
5,28/11/2022,1200,1200,1200,1200,-,1200
6,29/11/2022,1200,1200,1200,1200,-,1200
7,30/11/2022,1200,1200,1200,1200,-,1200
8,01/12/2022,1200,1200,1200,1200,-,1200
9,02/12/2022,1300,1200,1200,1300,80128,1300
10,05/12/2022,1300,1300,1300,1300,-,1300
11,06/12/2022,1300,1300,1300,1300,-,1300
12,07/12/2022,1300,1300,1300,1300,-,1300
13,08/12/2022,1300,1300,1300,1300,-,1300
14,09/12/2022,1400,1300,1400,1400,6900,1400
15,12/12/2022,1300,1300,1300,1300,-,1300
16,13/12/2022,1300,1300,1300,1300,-,1300
17,14/12/2022,1300,1300,1300,1300,-,1300
18,15/12/2022,1300,1300,1300,1300,-,1300
19,16/12/2022,1300,1200,1200,1200,83900,1200
20,19/12/2022,1200,1200,1200,1200,-,1200
21,20/12/2022,1200,1200,1200,1200,-,1200
22,21/12/2022,1200,1200,1200,1200,-,1200
23,22/12/2022,1200,1200,1200,1200,-,1200
24,23/12/2022,1300,1100,1100,1200,40800,1200
25,26/12/2022,1200,1200,1200,1200,-,1200
26,27/12/2022,1200,1200,1200,1200,-,1200
27,28/12/2022,1200,1200,1200,1200,-,1200
28,29/12/2022,1200,1200,1200,1200,-,1200
29,30/12/2022,1300,1200,1300,1200,24000,1200
30,03/01/2023,1200,1200,1200,1200,-,1200
31,04/01/2023,1200,1200,1200,1200,-,1200
32,05/01/2023,1200,1200,1200,1200,-,1200
33,06/01/2023,1300,1100,1300,1200,7000,1200
34,09/01/2023,1200,1200,1200,1200,-,1200
35,10/01/2023,1200,1200,1200,1200,-,1200
36,11/01/2023,1200,1200,1200,1200,-,1200
37,12/01/2023,1200,1200,1200,1200,-,1200
38,13/01/2023,1300,1300,1300,1300,400,1300
39,16/01/2023,1300,1300,1300,1300,-,1300
40,17/01/2023,1300,1300,1300,1300,-,1300
41,18/01/2023,1300,1300,1300,1300,-,1300
42,19/01/2023,1300,1300,1300,1300,-,1300
43,27/01/2023,1200,1200,1200,1200,25900,1200
44,30/01/2023,1200,1200,1200,1200,-,1200
45,31/01/2023,1200,1200,1200,1200,-,1200
46,01/02/2023,1200,1200,1200,1200,-,1200
47,02/02/2023,1200,1200,1200,1200,-,1200
48,03/02/2023,1300,1100,1300,1200,5600,1200
49,06/02/2023,1200,1200,1200,1200,-,1200
50,07/02/2023,1200,1200,1200,1200,-,1200
51,08/02/2023,1200,1200,1200,1200,-,1200
52,09/02/2023,1200,1200,1200,1200,-,1200
53,10/02/2023,1300,1200,1300,1300,62500,1300
54,13/02/2023,1300,1300,1300,1300,-,1300
55,14/02/2023,1300,1300,1300,1300,-,1300
56,15/02/2023,1300,1300,1300,1300,-,1300
57,16/02/2023,1300,1300,1300,1300,-,1300
58,17/02/2023,1400,1200,1300,1200,31000,1200
59,20/02/2023,1300,1300,1300,1300,-,1300
60,21/02/2023,1300,1300,1300,1300,-,1300
61,22/02/2023,1300,1300,1300,1300,-,1300
62,23/02/2023,1300,1300,1300,1300,-,1300
63,24/02/2023,1300,1200,1300,1300,107200,1300
64,27/02/2023,1300,1300,1300,1300,-,1300
65,28/02/2023,1300,1300,1300,1300,-,1300
66,01/03/2023,1300,1300,1300,1300,-,1300
67,02/03/2023,1300,1300,1300,1300,-,1300
68,03/03/2023,1300,1200,1200,1300,20600,1300
69,06/03/2023,1300,1300,1300,1300,-,1300
70,07/03/2023,1300,1300,1300,1300,-,1300
71,08/03/2023,1300,1300,1300,1300,-,1300
72,09/03/2023,1300,1300,1300,1300,-,1300
73,10/03/2023,1200,1200,1200,1200,49700,1200
74,13/03/2023,1200,1200,1200,1200,-,1200
75,14/03/2023,1200,1200,1200,1200,-,1200
76,15/03/2023,1200,1200,1200,1200,-,1200
77,16/03/2023,1200,1200,1200,1200,-,1200
78,17/03/2023,1200,1200,1200,1200,4200,1200
79,20/03/2023,1200,1200,1200,1200,-,1200
80,21/03/2023,1200,1200,1200,1200,-,1200
81,22/03/2023,1200,1200,1200,1200,-,1200
82,23/03/2023,1200,1200,1200,1200,-,1200
83,24/03/2023,1200,1200,1200,1200,1000,1200
84,27/03/2023,1200,1200,1200,1200,-,1200
85,28/03/2023,1200,1200,1200,1200,-,1200
86,29/03/2023,1200,1200,1200,1200,-,1200
87,30/03/2023,1200,1200,1200,1200,-,1200
88,31/03/2023,1100,1100,1100,1100,26094,1100
89,03/04/2023,1100,1100,1100,1100,-,1100
90,04/04/2023,1100,1100,1100,1100,-,1100
91,05/04/2023,1100,1100,1100,1100,-,1100
92,06/04/2023,1100,1100,1100,1100,-,1100
93,07/04/2023,1200,1000,1100,1100,26901,1100
94,10/04/2023,1100,1100,1100,1100,-,1100
95,11/04/2023,1100,1100,1100,1100,-,1100
96,12/04/2023,1100,1100,1100,1100,-,1100
97,13/04/2023,1100,1100,1100,1100,-,1100
