,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,23000,23000,23000,23000,-,21400
1,22/11/2022,23000,23000,23000,23000,-,21400
2,23/11/2022,23000,23000,23000,23000,-,21400
3,24/11/2022,23000,23000,23000,23000,-,21400
4,25/11/2022,23000,23000,23000,23000,-,21400
5,28/11/2022,23000,23000,23000,23000,-,21400
6,29/11/2022,23000,23000,23000,23000,-,21400
7,30/11/2022,26000,26000,26000,26000,1300,24200
8,01/12/2022,26000,26000,26000,26000,100,24200
9,02/12/2022,26500,26200,26500,26200,500,24400
10,05/12/2022,26000,26000,26000,26000,500,24200
11,06/12/2022,26000,26000,26000,26000,-,24200
12,07/12/2022,26000,26000,26000,26000,-,24200
13,08/12/2022,26000,26000,26000,26000,-,24200
14,09/12/2022,26000,26000,26000,26000,-,24200
15,12/12/2022,26000,26000,26000,26000,-,24200
16,13/12/2022,26000,26000,26000,26000,-,24200
17,14/12/2022,26000,26000,26000,26000,-,24200
18,15/12/2022,26000,26000,26000,26000,-,24200
19,16/12/2022,26000,26000,26000,26000,-,24200
20,19/12/2022,26000,26000,26000,26000,10,24200
21,20/12/2022,26000,26000,26000,26000,-,24200
22,21/12/2022,26000,26000,26000,26000,-,24200
23,22/12/2022,26000,26000,26000,26000,-,24200
24,23/12/2022,26000,26000,26000,26000,-,24200
25,26/12/2022,26000,26000,26000,26000,-,24200
26,27/12/2022,27200,26900,26900,27200,1200,25300
27,28/12/2022,23200,23200,23200,23200,100,21600
28,29/12/2022,23200,23200,23200,23200,-,21600
29,30/12/2022,26600,26600,26600,26600,100,24800
30,03/01/2023,26000,26000,26000,26000,500,24200
31,04/01/2023,28000,27900,27900,28000,600,26100
32,05/01/2023,28000,27800,27800,28000,1803,26100
33,06/01/2023,27900,27900,27900,27900,-,26000
34,09/01/2023,27900,27900,27900,27900,-,26000
35,10/01/2023,29000,28700,28700,29000,600,27000
36,11/01/2023,29000,29000,29000,29000,1000,27000
37,12/01/2023,29000,29000,29000,29000,-,27000
38,13/01/2023,29000,28700,28700,29000,1300,27000
