,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,18900,14300,18900,14300,200,14300
1,22/11/2022,16900,16900,16900,16900,1400,16900
2,23/11/2022,16800,15800,16800,15800,300,15800
3,24/11/2022,16200,16200,16200,16200,-,16200
4,25/11/2022,16200,16100,16200,16200,1000,16200
5,28/11/2022,16200,13800,16200,16000,600,16000
6,29/11/2022,16000,16000,16000,16000,1000,16000
7,30/11/2022,16000,16000,16000,16000,100,16000
8,01/12/2022,16000,16000,16000,16000,100,16000
9,02/12/2022,16000,16000,16000,16000,-,16000
10,05/12/2022,16000,16000,16000,16000,500,16000
11,06/12/2022,16000,16000,16000,16000,-,16000
12,07/12/2022,16000,16000,16000,16000,700,16000
13,08/12/2022,16000,16000,16000,16000,600,16000
14,09/12/2022,16000,16000,16000,16000,-,16000
15,12/12/2022,18400,18400,18400,18400,1700,18400
16,13/12/2022,21100,20000,21100,20000,3100,20000
17,14/12/2022,24000,20000,24000,20000,1600,20000
18,15/12/2022,27300,27300,27300,27300,1500,27300
19,16/12/2022,30000,30000,30000,30000,1000,30000
20,19/12/2022,34500,34500,34500,34500,1000,34500
21,20/12/2022,39600,34900,39600,35000,1300,35000
22,21/12/2022,36800,33300,33300,36800,1000,36800
23,22/12/2022,35100,35100,35100,35100,-,35100
24,23/12/2022,35100,35100,35100,35100,-,35100
25,26/12/2022,35100,35100,35100,35100,-,35100
26,27/12/2022,35100,35100,35100,35100,-,35100
27,28/12/2022,40000,35000,40000,40000,18500,40000
28,29/12/2022,39000,39000,39000,39000,-,39000
29,30/12/2022,44800,44800,44800,44800,100,44800
30,03/01/2023,44800,44800,44800,44800,-,44800
31,04/01/2023,44800,44800,44800,44800,-,44800
32,05/01/2023,44800,44800,44800,44800,-,44800
33,06/01/2023,44800,44800,44800,44800,-,44800
34,09/01/2023,44800,44800,44800,44800,-,44800
35,10/01/2023,44800,44800,44800,44800,-,44800
36,11/01/2023,44800,44800,44800,44800,-,44800
37,12/01/2023,44800,44800,44800,44800,-,44800
38,13/01/2023,44800,44800,44800,44800,-,44800
39,16/01/2023,44800,44800,44800,44800,-,44800
40,17/01/2023,44800,44800,44800,44800,-,44800
41,18/01/2023,44800,44800,44800,44800,2,44800
42,19/01/2023,44800,44800,44800,44800,-,44800
43,27/01/2023,44800,44800,44800,44800,-,44800
44,30/01/2023,44800,44800,44800,44800,-,44800
45,31/01/2023,44800,44800,44800,44800,-,44800
46,01/02/2023,44800,44800,44800,44800,-,44800
47,02/02/2023,44800,44800,44800,44800,-,44800
