,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,8200,8200,8200,8200,300,7500
1,22/11/2022,8200,8200,8200,8200,200,7500
2,23/11/2022,8100,8000,8000,8100,3036,7400
3,24/11/2022,7900,7900,7900,7900,400,7200
4,25/11/2022,7200,7200,7200,7200,1600,6600
5,28/11/2022,8000,8000,8000,8000,2201,7300
6,29/11/2022,7800,7800,7800,7800,100,7100
7,30/11/2022,8300,8000,8000,8100,4400,7400
8,01/12/2022,8100,8100,8100,8100,200,7400
9,02/12/2022,8100,8100,8100,8100,3,7400
10,05/12/2022,8500,8100,8100,8100,16400,7400
11,06/12/2022,8300,8100,8100,8100,26057,7400
12,07/12/2022,8100,8100,8100,8100,1500,7400
13,08/12/2022,8300,8100,8200,8100,11100,7400
14,09/12/2022,8100,7100,7100,8100,1335,7400
15,12/12/2022,8200,8100,8100,8200,5000,7500
16,13/12/2022,8000,7200,7200,8000,300,7300
17,14/12/2022,8200,8100,8100,8200,6600,7500
18,15/12/2022,8200,8100,8200,8100,200,7400
19,16/12/2022,8100,8100,8100,8100,1000,7400
20,19/12/2022,9000,8100,9000,8100,3200,7400
21,20/12/2022,8200,8100,8100,8200,2700,7500
22,21/12/2022,9000,7000,7000,9000,200,8200
23,22/12/2022,9000,8000,8000,9000,5200,8200
24,23/12/2022,8500,8500,8500,8500,-,7800
25,26/12/2022,8300,8300,8300,8300,4100,7600
26,27/12/2022,8300,8300,8300,8300,150000,7600
27,28/12/2022,8300,8300,8300,8300,-,7600
28,29/12/2022,8000,8000,8000,8000,15700,7300
29,30/12/2022,8000,8000,8000,8000,-,7300
30,03/01/2023,8700,8200,8200,8700,2600,7900
31,04/01/2023,8300,8300,8300,8300,4300,7600
32,05/01/2023,8300,8300,8300,8300,-,7600
33,06/01/2023,8300,8300,8300,8300,21000,7600
34,09/01/2023,8300,8300,8300,8300,100,7600
35,10/01/2023,8100,7900,8100,8100,5100,7400
36,11/01/2023,8000,8000,8000,8000,-,7300
37,12/01/2023,8000,8000,8000,8000,-,7300
38,13/01/2023,8000,8000,8000,8000,-,7300
39,16/01/2023,8000,8000,8000,8000,-,7300
40,17/01/2023,8000,8000,8000,8000,-,7300
41,18/01/2023,9000,8300,8300,9000,1100,8200
42,19/01/2023,8400,8400,8400,8400,2000,7700
43,27/01/2023,9000,9000,9000,9000,100,8200
44,30/01/2023,8800,8500,8500,8800,1100,8000
45,31/01/2023,8800,8500,8500,8800,300,8000
46,01/02/2023,8700,8300,8700,8300,700,7600
47,02/02/2023,8400,8200,8400,8200,1300,7500
48,03/02/2023,8400,8200,8200,8400,1700,7700
49,06/02/2023,8500,8400,8400,8400,302,7700
50,07/02/2023,8400,8200,8400,8300,800,7600
51,08/02/2023,8600,8400,8600,8400,600,7700
52,09/02/2023,8500,8500,8500,8500,-,7800
53,10/02/2023,8500,8500,8500,8500,100,7800
54,13/02/2023,8500,8400,8500,8400,600,7700
55,14/02/2023,8400,8400,8400,8400,-,7700
56,15/02/2023,9200,8400,8400,9200,800,8400
57,16/02/2023,8800,8800,8800,8800,100,8000
58,17/02/2023,8800,8800,8800,8800,500,8000
59,20/02/2023,8800,8200,8800,8500,7400,7800
60,21/02/2023,8400,8400,8400,8400,-,7700
61,22/02/2023,8400,8000,8400,8000,9900,7300
62,23/02/2023,8300,8200,8200,8300,1600,7600
63,24/02/2023,8100,8100,8100,8100,100,7400
64,27/02/2023,8200,8100,8200,8100,500,7400
65,28/02/2023,9300,8200,8200,8200,1301,7500
66,01/03/2023,8200,8200,8200,8200,100,7500
67,02/03/2023,8200,8100,8100,8200,501,7500
68,03/03/2023,8100,8100,8100,8100,-,7400
69,06/03/2023,8200,8100,8100,8100,3000,7400
70,07/03/2023,8100,8100,8100,8100,1200,7400
71,08/03/2023,8100,8100,8100,8100,-,7400
72,09/03/2023,8200,8100,8100,8100,1000,7400
73,10/03/2023,8000,7600,8000,7600,1000,6900
74,13/03/2023,8200,8000,8000,8000,4500,7300
75,14/03/2023,8100,8100,8100,8100,-,7400
76,15/03/2023,8100,8000,8000,8100,2500,7400
77,16/03/2023,8100,8100,8100,8100,100,7400
78,17/03/2023,8100,8100,8100,8100,100,7400
79,20/03/2023,8100,8100,8100,8100,-,7400
80,21/03/2023,8100,8100,8100,8100,-,7400
81,22/03/2023,8100,8100,8100,8100,-,7400
82,23/03/2023,8100,8100,8100,8100,-,7400
83,24/03/2023,8200,8200,8200,8200,500,7500
84,27/03/2023,8200,8200,8200,8200,-,7500
85,28/03/2023,8200,8200,8200,8200,-,7500
86,29/03/2023,8200,8200,8200,8200,-,7500
87,30/03/2023,8200,8200,8200,8200,-,7500
88,31/03/2023,8200,8200,8200,8200,-,7500
89,03/04/2023,8200,8200,8200,8200,-,7500
90,04/04/2023,8200,8200,8200,8200,-,7500
91,05/04/2023,8200,8200,8200,8200,-,7500
92,06/04/2023,8300,8000,8300,8000,600,7300
93,07/04/2023,8100,8100,8100,8100,-,7400
94,10/04/2023,9000,8200,9000,8200,300,7500
95,11/04/2023,8500,8500,8500,8500,-,7800
