,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,20100,18900,19000,19100,2500,17500
1,22/11/2022,20300,19400,19400,19500,6400,17900
2,23/11/2022,20000,20000,20000,20000,100,18300
3,24/11/2022,20200,17000,20200,19500,2300,17900
4,25/11/2022,19800,19000,19000,19800,1000,18100
5,28/11/2022,21000,19400,20000,20000,4700,18300
6,29/11/2022,20900,18000,20900,20100,4700,18400
7,30/11/2022,20500,19500,19500,20500,2371,18800
8,01/12/2022,21300,20000,20100,20700,6700,19000
9,02/12/2022,20900,20300,20800,20500,5221,18800
10,05/12/2022,20500,20100,20500,20500,8100,18800
11,06/12/2022,21200,20400,20400,20800,4500,19100
12,07/12/2022,20800,20300,20800,20300,1300,18600
13,08/12/2022,21500,20500,20500,21500,213,19700
14,09/12/2022,22500,21500,21500,22000,1400,20200
15,12/12/2022,23000,22400,23000,22500,1900,20600
16,13/12/2022,22600,22500,22500,22600,1000,20700
17,14/12/2022,23000,21200,22000,23000,2300,21100
18,15/12/2022,23000,22500,23000,22500,1400,20600
19,16/12/2022,24000,22700,24000,22700,3900,20800
20,19/12/2022,25000,22000,22100,23100,6800,21200
21,20/12/2022,23300,22200,23300,22300,2100,20400
22,21/12/2022,23500,22500,23400,22500,2000,20600
23,22/12/2022,23200,22200,23000,22200,1410,20300
24,23/12/2022,23000,20000,20000,22600,4100,20700
25,26/12/2022,23500,22500,23500,22500,1900,20600
26,27/12/2022,23300,23000,23300,23000,300,21100
27,28/12/2022,23500,23000,23100,23500,3900,21500
28,29/12/2022,23500,22500,23500,22600,1300,20700
29,30/12/2022,22500,22000,22500,22100,8309,20200
30,03/01/2023,24000,22400,22400,24000,2005,22000
31,04/01/2023,24000,23100,24000,23600,2600,21600
32,05/01/2023,23600,23000,23200,23000,600,21100
33,06/01/2023,23400,23000,23400,23400,500,21400
34,09/01/2023,25000,23500,23500,23500,75900,21500
35,10/01/2023,24400,23500,24400,24300,1300,22300
36,11/01/2023,24400,23200,24400,24000,2200,22000
37,12/01/2023,24000,23700,24000,23900,1800,21900
38,13/01/2023,24500,24000,24000,24000,2300,22000
39,16/01/2023,24500,24000,24000,24300,1600,22300
40,17/01/2023,24700,24000,24500,24700,3500,22600
41,18/01/2023,28100,25000,25000,26500,16777,24300
42,19/01/2023,28900,27000,27000,28600,15805,26200
43,27/01/2023,29200,28200,29000,28500,15200,26100
44,30/01/2023,28100,27400,28100,28000,12947,25700
45,31/01/2023,28000,26800,27500,27500,9300,25200
46,01/02/2023,27100,26700,27000,27000,5100,24700
47,02/02/2023,27000,26600,26600,26700,4303,24500
48,03/02/2023,27200,27000,27200,27000,1301,24700
49,06/02/2023,27000,26300,27000,26700,1300,24500
50,07/02/2023,26700,26500,26700,26500,10700,24300
51,08/02/2023,27000,27000,27000,27000,440,24700
52,09/02/2023,28000,27000,27000,27300,8200,25000
53,10/02/2023,27600,26800,26800,27600,3500,25300
54,13/02/2023,27600,26200,26500,26600,1500,24400
55,14/02/2023,27300,26500,26700,27300,1700,25000
56,15/02/2023,28000,27000,27000,27000,1300,24700
57,16/02/2023,27400,26800,26800,27400,220,25100
58,17/02/2023,27800,27000,27100,27500,6400,25200
59,20/02/2023,27100,27000,27000,27000,13320,24700
60,21/02/2023,27500,26900,26900,27500,4650,25200
61,22/02/2023,27800,27300,27400,27300,7300,25000
62,23/02/2023,27800,27500,27800,27500,1500,25200
63,24/02/2023,27800,27600,27800,27600,3600,25300
64,27/02/2023,28000,26500,28000,26500,13100,24300
65,28/02/2023,27500,26100,26100,26500,3600,24300
66,01/03/2023,26800,26600,26600,26800,5601,24600
67,02/03/2023,27000,26800,26800,27000,1505,24700
68,03/03/2023,27000,26200,27000,26200,11000,24000
69,06/03/2023,27300,26200,26200,26900,4400,24600
70,07/03/2023,27000,26200,27000,26400,5400,24200
71,08/03/2023,26300,25800,26000,26300,7600,25100
72,09/03/2023,27900,26700,26700,27400,8021,26100
73,10/03/2023,27500,26500,27400,27000,4901,25800
74,13/03/2023,27000,26600,27000,26600,3300,25400
75,14/03/2023,27400,26400,26400,27000,6300,25800
76,15/03/2023,27200,26900,27000,26900,400,25700
77,16/03/2023,27300,26500,26500,27200,1102,25900
78,17/03/2023,26600,26300,26600,26500,4000,25300
79,20/03/2023,30000,27000,27000,27800,11800,26500
80,21/03/2023,27800,27800,27800,27800,215,26500
81,22/03/2023,27100,27000,27000,27100,505,25900
82,23/03/2023,27500,27500,27500,27500,149,26200
83,24/03/2023,27400,26800,27000,27400,900,26100
84,27/03/2023,26800,26300,26800,26400,936,25200
85,28/03/2023,27500,26500,26500,27500,10000,26200
86,29/03/2023,27500,27000,27500,27300,6200,26000
87,30/03/2023,27400,27100,27300,27100,500,25900
88,31/03/2023,27200,27000,27100,27000,1800,25800
89,03/04/2023,27000,26900,27000,26900,2800,25700
90,04/04/2023,27000,26900,27000,26900,1720,25700
91,05/04/2023,27000,26700,27000,26700,1400,25500
92,06/04/2023,26900,26500,26900,26500,2501,25300
93,07/04/2023,26600,26500,26500,26600,401,25400
94,10/04/2023,27000,26800,27000,26900,7117,25700
95,11/04/2023,27000,27000,27000,27000,500,25800
96,12/04/2023,27000,27000,27000,27000,2501,25800
97,13/04/2023,27000,26700,27000,26900,4300,25700
98,14/04/2023,26900,26500,26900,26500,5100,25300
99,17/04/2023,27200,26500,26500,27200,4006,25900
100,18/04/2023,27100,26900,27000,27000,13803,25800
101,19/04/2023,27000,26700,27000,26700,1400,25500
102,20/04/2023,27200,26600,27000,27100,6700,25900
103,21/04/2023,27400,26900,27200,26900,12400,25700
104,24/04/2023,26900,26600,26900,26700,6800,25500
105,25/04/2023,26600,26100,26500,26100,10900,24900
106,26/04/2023,26100,25800,26000,25900,11700,24700
107,27/04/2023,26100,25800,26100,26000,33403,24800
108,28/04/2023,26000,25800,26000,25900,9800,24700
109,04/05/2023,26700,25900,26000,25900,11359,24700
110,05/05/2023,26000,25300,25500,26000,12700,24800
111,08/05/2023,26300,25500,25600,26300,3600,25100
112,09/05/2023,25900,25500,25500,25900,1500,24700
113,10/05/2023,25900,25500,25900,25600,18912,24400
114,11/05/2023,25600,25500,25600,25600,4904,24400
115,12/05/2023,25700,25400,25600,25700,4300,24500
116,15/05/2023,25500,25300,25500,25500,33300,24300
117,16/05/2023,25300,25200,25300,25200,17000,24000
118,17/05/2023,25300,25000,25300,25000,2301,23800
119,18/05/2023,25300,24800,25100,25300,3035,24100
120,19/05/2023,25300,25000,25000,25300,2616,24100
121,22/05/2023,25300,24800,25200,25300,3400,24100
122,23/05/2023,25500,25000,25500,25000,2700,23800
123,24/05/2023,25100,25100,25100,25100,119,23900
