,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,40000,40000,40000,40000,400,37200
1,22/11/2022,38000,38000,38000,38000,100,35300
2,23/11/2022,38000,38000,38000,38000,-,35300
3,24/11/2022,38000,38000,38000,38000,-,35300
4,25/11/2022,38000,38000,38000,38000,-,35300
5,28/11/2022,38000,38000,38000,38000,-,35300
6,29/11/2022,38000,38000,38000,38000,100,35300
7,30/11/2022,38000,37000,37000,38000,1200,35300
8,01/12/2022,37900,37900,37900,37900,-,35300
9,02/12/2022,37900,37900,37900,37900,-,35300
10,05/12/2022,37900,37900,37900,37900,-,35300
11,06/12/2022,37900,37900,37900,37900,-,35300
12,07/12/2022,38000,38000,38000,38000,800,35300
13,08/12/2022,38000,38000,38000,38000,-,35300
14,09/12/2022,38000,38000,38000,38000,-,35300
15,12/12/2022,38000,38000,38000,38000,-,35300
16,13/12/2022,39000,39000,39000,39000,500,36300
17,14/12/2022,39000,39000,39000,39000,-,36300
18,15/12/2022,39000,39000,39000,39000,1300,36300
19,16/12/2022,39000,39000,39000,39000,200,36300
20,19/12/2022,40000,40000,40000,40000,400,37200
21,20/12/2022,40000,40000,40000,40000,100,37200
22,21/12/2022,40000,40000,40000,40000,200,37200
23,22/12/2022,39000,39000,39000,39000,1300,36300
24,23/12/2022,39000,37000,39000,37000,7000,34400
25,26/12/2022,36000,36000,36000,36000,2100,33500
26,27/12/2022,33000,30600,30600,33000,2400,31100
27,28/12/2022,32900,32900,32900,32900,-,31000
28,29/12/2022,32900,32900,32900,32900,-,31000
29,30/12/2022,32900,32900,32900,32900,-,31000
30,03/01/2023,32900,32900,32900,32900,-,31000
31,04/01/2023,32900,32900,32900,32900,-,31000
32,05/01/2023,32900,32900,32900,32900,-,31000
33,06/01/2023,37800,37800,37800,37800,100,35700
34,09/01/2023,35100,35100,35100,35100,100,33100
35,10/01/2023,35100,35100,35100,35100,-,33100
36,11/01/2023,35100,35100,35100,35100,-,33100
37,12/01/2023,38900,38900,38900,38900,100,36700
38,13/01/2023,38900,38900,38900,38900,-,36700
39,16/01/2023,37100,37000,37100,37000,400,34900
40,17/01/2023,37000,37000,37000,37000,-,34900
41,18/01/2023,37000,37000,37000,37000,-,34900
42,19/01/2023,38900,38900,38900,38900,200,36700
43,27/01/2023,38900,38900,38900,38900,-,36700
44,30/01/2023,39000,39000,39000,39000,100,36800
45,31/01/2023,39000,39000,39000,39000,-,36800
46,01/02/2023,39600,39300,39300,39600,1000,37400
47,02/02/2023,39600,39600,39600,39600,-,37400
48,03/02/2023,42000,40000,40000,42000,6400,39600
