,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,9600,9600,9600,9600,100,8600
1,22/11/2022,9600,9600,9600,9600,-,8600
2,23/11/2022,9600,9600,9600,9600,-,8600
3,24/11/2022,9800,8500,9800,8500,5100,7600
4,25/11/2022,8800,8800,8800,8800,102,7800
5,28/11/2022,9800,9800,9800,9800,100,8700
6,29/11/2022,8900,8600,8600,8900,500,7900
7,30/11/2022,10100,10100,10100,10100,100,9000
8,01/12/2022,9200,8700,9200,8700,2400,7800
9,02/12/2022,9200,8800,8800,9200,55000,8200
10,05/12/2022,9800,9800,9800,9800,100,8700
11,06/12/2022,10700,10700,10700,10700,100,9500
12,07/12/2022,9100,9100,9100,9100,100,8100
13,08/12/2022,10100,10100,10100,10100,100,9000
14,09/12/2022,8600,8600,8600,8600,200,7700
15,12/12/2022,9800,8600,9800,8600,202,7700
16,13/12/2022,9200,9200,9200,9200,-,8200
17,14/12/2022,9200,9200,9200,8600,30,8200
18,15/12/2022,10400,9200,10400,9200,200,8200
19,16/12/2022,10700,10700,10700,10700,100,9500
20,19/12/2022,10700,10700,10700,10700,-,9500
21,20/12/2022,10700,10700,10700,10700,-,9500
22,21/12/2022,10700,10700,10700,10700,-,9500
23,22/12/2022,10700,10700,10700,10700,-,9500
24,23/12/2022,10700,10700,10700,10700,-,9500
25,26/12/2022,10700,10700,10700,10700,-,9500
26,27/12/2022,10700,10700,10700,10700,-,9500
27,28/12/2022,10700,10700,10700,10700,-,9500
28,29/12/2022,10700,10700,10700,10700,-,9500
29,30/12/2022,10700,10700,10700,10700,-,9500
30,03/01/2023,10700,10700,10700,10700,-,9500
31,04/01/2023,10700,10700,10700,10700,-,9500
32,05/01/2023,10700,10700,10700,10700,-,9500
33,06/01/2023,10700,10700,10700,10700,-,9500
34,09/01/2023,10700,10700,10700,10700,-,9500
35,10/01/2023,9500,9500,9500,9500,100,8500
36,11/01/2023,9500,9500,9500,9500,-,8500
37,12/01/2023,9500,9500,9500,9500,-,8500
38,13/01/2023,9800,9800,9800,9800,100,8700
39,16/01/2023,9800,9800,9800,9800,-,8700
40,17/01/2023,10400,10400,10400,10400,100,9300
41,18/01/2023,10400,10400,10400,10400,-,9300
42,19/01/2023,10400,10400,10400,10400,64000,9300
43,27/01/2023,10400,10400,10400,10400,-,9300
44,30/01/2023,10400,10400,10400,10400,-,9300
45,31/01/2023,10400,10400,10400,10400,-,9300
46,01/02/2023,10000,9600,10000,9600,605,8600
47,02/02/2023,9700,9700,9700,9700,-,8600
48,03/02/2023,9700,9700,9700,9700,-,8600
49,06/02/2023,9700,9700,9700,9600,1,8600
50,07/02/2023,10000,10000,10000,10000,300,8900
51,08/02/2023,9800,9800,9800,9800,100,8700
52,09/02/2023,9800,9800,9800,9800,-,8700
53,10/02/2023,9800,9800,9800,9800,3,8700
54,13/02/2023,9800,9800,9800,9800,-,8700
55,14/02/2023,9800,9800,9800,9800,-,8700
56,15/02/2023,9800,9800,9800,9800,-,8700
57,16/02/2023,9800,9800,9800,9800,-,8700
58,17/02/2023,9800,9800,9800,9800,-,8700
59,20/02/2023,9800,9800,9800,9800,-,8700
60,21/02/2023,9400,9400,9400,9400,600,8400
61,22/02/2023,9400,9400,9400,9400,-,8400
62,23/02/2023,9400,9400,9400,9400,-,8400
63,24/02/2023,9400,9400,9400,9400,-,8400
64,27/02/2023,9400,9400,9400,9400,-,8400
65,28/02/2023,9400,9400,9400,9400,-,8400
66,01/03/2023,9000,9000,9000,9000,500,8000
67,02/03/2023,8300,8300,8300,8300,100,7400
68,03/03/2023,8500,8300,8400,8300,3100,7400
69,06/03/2023,8500,8500,8500,8500,400,7600
70,07/03/2023,9600,9600,9600,9600,100,8600
71,08/03/2023,10500,9300,10500,9300,200,8300
72,09/03/2023,9900,9900,9900,9900,-,8800
73,10/03/2023,9900,9900,9900,9900,-,8800
74,13/03/2023,8500,8500,8500,8500,400,7600
75,14/03/2023,8500,8500,8500,8500,5400,7600
76,15/03/2023,9600,8500,9600,8500,65500,7600
77,16/03/2023,8900,8900,8900,8900,100,7900
78,17/03/2023,9000,9000,9000,9000,100,8000
79,20/03/2023,8600,7700,7700,8600,7600,7700
80,21/03/2023,9000,8600,9000,8700,17100,7800
81,22/03/2023,8700,8500,8600,8500,15300,7600
82,23/03/2023,8600,8600,8600,8600,-,7700
83,24/03/2023,8900,8600,8700,8700,21600,7800
84,27/03/2023,8700,8700,8700,8700,1001,7800
85,28/03/2023,8700,8700,8700,8700,5020,7800
86,29/03/2023,8800,8700,8700,8800,14900,7800
87,30/03/2023,9500,9500,9500,9500,100,8500
88,31/03/2023,9500,9500,9500,9500,-,8500
89,03/04/2023,8700,8700,8700,8700,40800,7800
90,04/04/2023,8700,8600,8700,8700,14000,7800
91,05/04/2023,10000,8700,10000,8700,2400,7800
92,06/04/2023,10100,8700,10100,9000,7600,8000
93,07/04/2023,10000,8800,10000,8800,600,7800
94,10/04/2023,9100,9000,9100,9000,4901,8000
95,11/04/2023,8900,8900,8900,8900,100,8400
96,12/04/2023,9400,8900,9400,9000,1800,8500
97,13/04/2023,8900,8900,8900,8900,100,8400
98,14/04/2023,8900,8800,8900,8800,1400,8300
99,17/04/2023,8800,8800,8800,8800,100,8300
100,18/04/2023,8800,8800,8800,8800,1500,8300
101,19/04/2023,10000,10000,10000,10000,107,9400
102,20/04/2023,8800,8800,8800,8800,100,8300
103,21/04/2023,10000,10000,10000,10000,100,9400
104,24/04/2023,8800,8800,8800,8800,800,8300
105,25/04/2023,8900,8700,8800,8900,1500,8400
106,26/04/2023,8800,8800,8800,8800,100,8300
107,27/04/2023,8800,8800,8800,8800,100,8300
108,28/04/2023,8800,8800,8800,8800,900,8300
109,04/05/2023,8700,7500,7700,8700,2732,8200
110,05/05/2023,8700,8700,8700,8700,200,8200
111,08/05/2023,8000,8000,8000,8000,100,7600
112,09/05/2023,8200,8100,8100,8200,9000,7700
113,10/05/2023,9300,8100,9300,8100,22221,7600
114,11/05/2023,8200,8200,8200,8200,228,7700
115,12/05/2023,8400,8400,8400,8400,2200,7900
116,15/05/2023,8400,8400,8400,8400,1821,7900
117,16/05/2023,9200,9200,9200,9200,128,8700
118,17/05/2023,9200,9200,9200,9200,-,8700
119,18/05/2023,9200,9200,9200,9200,-,8700
120,19/05/2023,9100,9000,9000,9000,3600,8500
121,22/05/2023,9100,9000,9100,9000,49600,8500
122,23/05/2023,9500,9000,9500,9000,200,8500
123,24/05/2023,9300,9300,9300,9000,1,8800
124,25/05/2023,10000,8600,10000,8600,620,8100
125,26/05/2023,8600,8600,8600,8600,1100,8100
126,29/05/2023,9000,8800,9000,8800,49400,8300
127,30/05/2023,8800,8800,8800,8800,25210,8300
128,31/05/2023,9000,9000,9000,9000,10200,8500
129,01/06/2023,10000,10000,10000,10000,100,9400
130,02/06/2023,9000,9000,9000,9000,700,8500
131,05/06/2023,9000,9000,9000,9000,-,8500
