,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,8700,8100,8700,8600,17817,8600
1,22/11/2022,8900,8300,8900,8300,1626,8300
2,23/11/2022,8500,8000,8500,8000,15600,8000
3,24/11/2022,8500,8100,8100,8100,2100,8100
4,25/11/2022,9200,9000,9200,9000,510,9000
5,28/11/2022,9800,9000,9000,9700,19510,9700
6,29/11/2022,9900,9400,9700,9400,9100,9400
7,30/11/2022,9700,9500,9600,9600,14410,9600
8,01/12/2022,9900,9500,9600,9500,19220,9500
9,02/12/2022,9700,8600,9700,9100,7600,9100
10,05/12/2022,10200,9100,10200,9200,3820,9200
11,06/12/2022,9200,8800,9200,8800,8373,8800
12,07/12/2022,9500,9400,9500,9400,2560,9400
13,08/12/2022,9300,8100,9100,9200,10100,9200
14,09/12/2022,9200,9100,9100,9100,22000,9100
15,12/12/2022,9100,8800,9100,8900,10290,8900
16,13/12/2022,9200,8800,8900,9200,8000,9200
17,14/12/2022,9500,8900,9000,9500,630,9500
18,15/12/2022,9500,8800,9300,9500,1150,9500
19,16/12/2022,9500,9400,9500,9500,4700,9500
20,19/12/2022,9500,9000,9500,9500,26310,9500
21,20/12/2022,9700,9000,9700,9000,2340,9000
22,21/12/2022,9100,8900,9100,9000,3600,9000
23,22/12/2022,9100,8800,9000,8900,7000,8900
24,23/12/2022,8900,8800,8900,8900,5565,8900
25,26/12/2022,9200,8600,9200,8600,10524,8600
26,27/12/2022,8700,8500,8600,8700,2100,8700
27,28/12/2022,9400,8300,9400,8300,5330,8300
28,29/12/2022,9000,8500,9000,8500,1266,8500
29,30/12/2022,9000,8600,8800,9000,1110,9000
30,03/01/2023,9500,8800,8800,9500,1540,9500
31,04/01/2023,9500,9100,9500,9100,2110,9100
32,05/01/2023,9400,9200,9200,9400,1700,9400
33,06/01/2023,9200,8800,9100,9200,15060,9200
34,09/01/2023,9000,8800,8900,9000,11715,9000
35,10/01/2023,8900,8800,8800,8900,1535,8900
36,11/01/2023,9000,8900,9000,8900,900,8900
37,12/01/2023,9000,9000,9000,9000,4310,9000
38,13/01/2023,10300,9100,9500,9400,25447,9400
39,16/01/2023,9600,9300,9300,9500,9500,9500
40,17/01/2023,9500,9300,9500,9300,8828,9300
41,18/01/2023,9400,9300,9300,9300,9900,9300
42,19/01/2023,9500,9300,9300,9400,11590,9400
43,27/01/2023,10300,8500,8500,9300,5505,9300
44,30/01/2023,9700,9200,9600,9700,38304,9700
45,31/01/2023,9500,9100,9300,9500,10200,9500
46,01/02/2023,9400,9000,9300,9000,28270,9000
47,02/02/2023,9200,8800,8900,9200,5000,9200
48,03/02/2023,9100,8800,9000,8800,22800,8800
49,06/02/2023,9000,8800,9000,8800,2212,8800
50,07/02/2023,9000,8800,9000,8800,7518,8800
51,08/02/2023,8900,8700,8800,8700,9100,8700
52,09/02/2023,8800,8800,8800,8800,7952,8800
53,10/02/2023,8800,8800,8800,8800,10900,8800
54,13/02/2023,8700,8600,8600,8600,20000,8600
55,14/02/2023,8800,8500,8800,8600,14500,8600
56,15/02/2023,8900,8600,8600,8900,300,8900
57,16/02/2023,9800,8500,8500,9400,750,9400
58,17/02/2023,9400,9400,9400,9400,140,9400
59,20/02/2023,9400,9000,9000,9400,1000,9400
60,21/02/2023,9400,8800,8800,9400,1420,9400
61,22/02/2023,8900,8800,8900,8900,12600,8900
62,23/02/2023,8900,8600,8900,8900,19500,8900
63,24/02/2023,8800,8800,8800,8800,18302,8800
64,27/02/2023,9100,8700,8800,8800,22700,8800
65,28/02/2023,9400,8800,9400,8800,9000,8800
66,01/03/2023,8900,8800,8800,8900,10920,8900
67,02/03/2023,9000,8900,8900,8900,8466,8900
68,03/03/2023,9000,8400,9000,8400,31525,8400
69,06/03/2023,9200,8700,9200,8900,11300,8900
70,07/03/2023,9000,8900,9000,9000,17262,9000
71,08/03/2023,9100,8900,9100,9000,19256,9000
72,09/03/2023,10300,9000,9000,10300,69743,10300
73,10/03/2023,11600,10500,10500,11600,108769,11600
74,13/03/2023,11900,10500,11900,10800,14510,10800
75,14/03/2023,11300,10900,10900,10900,9800,10900
76,15/03/2023,11600,11400,11600,11400,9900,11400
77,16/03/2023,12300,11600,11800,11600,28640,11600
78,17/03/2023,11600,11200,11600,11200,15344,11200
79,20/03/2023,12100,10800,11900,10900,31116,10900
80,21/03/2023,10900,10500,10900,10600,22329,10600
81,22/03/2023,11400,11000,11400,11000,5000,11000
82,23/03/2023,11000,11000,11000,11000,5771,11000
83,24/03/2023,11400,10800,10900,10900,4210,10900
84,27/03/2023,11400,11100,11400,11100,300,11100
85,28/03/2023,11200,11100,11100,11200,800,11200
86,29/03/2023,11200,10900,11200,10900,8543,10900
87,30/03/2023,11100,10900,11000,11000,7100,11000
88,31/03/2023,11200,11000,11000,11100,14610,11100
89,03/04/2023,11200,10900,11100,11000,2479,11000
90,04/04/2023,11500,11000,11000,11500,9314,11500
91,05/04/2023,11500,11000,11100,11500,1105,11500
92,06/04/2023,11500,11000,11500,11400,9264,11400
93,07/04/2023,11300,11000,11300,11000,4400,11000
94,10/04/2023,11100,10900,11100,11000,25624,11000
95,11/04/2023,11000,10800,10900,10800,11200,10800
96,12/04/2023,11000,10800,10900,11000,19710,11000
97,13/04/2023,11000,10900,10900,11000,5800,11000
98,14/04/2023,10900,10800,10900,10800,7030,10800
99,17/04/2023,10900,10800,10900,10900,2300,10900
100,18/04/2023,10900,10900,10900,10900,8210,10900
101,19/04/2023,10900,10800,10900,10800,11260,10800
102,20/04/2023,10900,10300,10800,10900,14610,10900
103,21/04/2023,10600,10500,10600,10500,1100,10500
104,24/04/2023,10400,10000,10400,10200,10840,10200
105,25/04/2023,10100,10100,10100,10100,2300,10100
106,26/04/2023,10200,10200,10200,10200,970,10200
107,27/04/2023,11600,10600,11000,10600,4300,10600
108,28/04/2023,10900,10600,10600,10900,2970,10900
109,04/05/2023,11000,10900,10900,11000,4470,11000
110,05/05/2023,11000,10800,11000,10800,1800,10800
111,08/05/2023,11300,10800,10900,11000,11006,11000
112,09/05/2023,11300,10900,11300,11000,12600,11000
113,10/05/2023,11300,10900,11300,10900,5710,10900
114,11/05/2023,11000,10900,11000,10900,12205,10900
115,12/05/2023,11300,10900,10900,11000,11626,11000
116,15/05/2023,11000,10900,10900,11000,7209,11000
117,16/05/2023,11500,11100,11300,11500,16660,11500
118,17/05/2023,11600,11200,11600,11500,4240,11500
119,18/05/2023,11500,11400,11400,11500,4910,11500
120,19/05/2023,11200,11000,11200,11100,5900,11100
121,22/05/2023,11100,11000,11000,11000,12200,11000
122,23/05/2023,11300,11000,11100,11000,30200,11000
123,24/05/2023,11100,11100,11100,11100,100,11100
124,25/05/2023,11100,10900,11100,10900,2600,10900
125,26/05/2023,10900,10700,10900,10800,28400,10800
126,29/05/2023,11200,11000,11000,11000,4330,11000
127,30/05/2023,11000,10900,11000,11000,5150,11000
128,31/05/2023,11800,11000,11300,11000,6303,11000
129,01/06/2023,11500,11300,11300,11500,5300,11500
130,02/06/2023,11500,11200,11500,11400,2427,11400
131,05/06/2023,11700,11200,11700,11300,5813,11300
132,06/06/2023,11500,11200,11300,11200,4520,11200
133,07/06/2023,12500,11800,11800,12100,134400,12100
134,08/06/2023,12800,11900,11900,12200,17080,12200
135,09/06/2023,12400,12000,12200,12400,11930,12400
136,12/06/2023,12300,12100,12300,12300,5350,12300
137,13/06/2023,12400,12000,12200,12200,17933,12200
138,14/06/2023,12600,12200,12200,12600,22520,12600
139,15/06/2023,12600,12300,12400,12400,22203,12400
140,16/06/2023,12500,12500,12500,12500,12500,12500
141,19/06/2023,12400,12000,12000,12400,22300,12400
142,20/06/2023,12300,12100,12300,12300,9647,12300
143,21/06/2023,12400,12200,12400,12400,100500,12400
144,22/06/2023,12400,12200,12400,12300,18400,12300
145,23/06/2023,13900,12500,13900,13300,145750,13300
146,26/06/2023,13500,13000,13300,13500,118000,13500
147,27/06/2023,13500,11300,13500,13000,28701,13000
148,28/06/2023,13400,11600,12000,12600,11700,12600
149,29/06/2023,12900,12500,12600,12700,128100,12700
150,30/06/2023,12800,11600,11700,12800,13948,12800
151,03/07/2023,12500,12000,12200,12300,110503,12300
152,04/07/2023,13000,12000,12100,12300,9438,12300
153,05/07/2023,12800,12300,12400,12500,4200,12500
154,06/07/2023,12600,12200,12600,12200,7540,12200
155,07/07/2023,12900,12300,12300,12800,17101,12800
156,10/07/2023,12900,11700,11800,12700,11900,12700
157,11/07/2023,13000,12600,13000,12700,2940,12700
158,12/07/2023,12800,12700,12700,12700,15400,12700
159,13/07/2023,13100,12600,13100,12600,2700,12600
160,14/07/2023,12800,12700,12700,12700,1800,12700
161,17/07/2023,12800,12600,12700,12800,3900,12800
162,18/07/2023,13200,12600,13000,12700,16800,12700
163,19/07/2023,13000,12600,12900,12800,16320,12800
164,20/07/2023,12700,12600,12600,12700,8400,12700
165,21/07/2023,14600,14400,14600,14600,142940,14600
166,24/07/2023,16600,14000,15200,15000,77640,15000
167,25/07/2023,14800,14300,14700,14500,33110,14500
168,26/07/2023,14800,14400,14500,14800,61420,14800
169,27/07/2023,14700,14100,14100,14400,18327,14400
170,28/07/2023,14600,14000,14300,14600,39026,14600
171,31/07/2023,15000,14400,14400,14900,25410,14900
172,01/08/2023,15100,14800,14800,15000,13440,15000
173,02/08/2023,15200,14900,15000,15000,18600,15000
174,03/08/2023,16200,15000,15100,16000,40274,16000
175,04/08/2023,16300,15800,16000,16300,10533,16300
176,07/08/2023,16500,16200,16200,16500,43590,16500
177,08/08/2023,16400,15600,16400,16000,17010,16000
178,09/08/2023,16000,15800,16000,15800,8000,15800
179,10/08/2023,16500,15100,15100,16400,38480,16400
180,11/08/2023,16500,16200,16400,16400,7200,16400
181,14/08/2023,17400,16400,16400,17000,35440,17000
182,15/08/2023,19000,17000,17000,18600,70100,18600
183,16/08/2023,19000,18500,18600,18500,42268,18500
184,17/08/2023,19000,18000,18600,18400,49520,18400
185,18/08/2023,19000,16200,19000,18000,97868,18000
186,21/08/2023,18500,17700,18500,17800,18197,17800
187,22/08/2023,18900,17300,18900,17800,8329,17800
188,23/08/2023,17900,17700,17900,17800,25170,17800
189,24/08/2023,18100,17900,18000,18000,20249,18000
190,25/08/2023,18200,17800,18200,18000,20470,18000
191,28/08/2023,19000,17900,18100,18700,37896,18700
192,29/08/2023,18600,18400,18600,18500,24626,18500
193,30/08/2023,18900,16600,16600,18200,6701,18200
194,31/08/2023,18900,18200,18900,18300,25100,18300
195,05/09/2023,18700,18200,18200,18700,23705,18700
196,06/09/2023,19100,18800,18900,19000,100526,19000
197,07/09/2023,19900,19000,19900,19000,8004,19000
198,08/09/2023,19000,18500,19000,18700,37040,18700
199,11/09/2023,18700,18400,18700,18400,15915,18400
200,12/09/2023,18900,18500,18600,18900,10512,18900
201,13/09/2023,18900,18300,18900,18500,22300,18500
202,14/09/2023,18600,18300,18600,18300,20332,18300
203,15/09/2023,18400,18000,18400,18400,24810,18400
204,18/09/2023,18600,18100,18100,18600,28977,18600
205,19/09/2023,18600,18500,18500,18600,38300,18600
206,20/09/2023,18600,18500,18500,18600,11600,18600
207,21/09/2023,18600,18500,18600,18500,8251,18500
208,22/09/2023,18600,18300,18600,18500,10930,18500
209,25/09/2023,18700,18000,18600,18000,18620,18000
210,26/09/2023,18000,17700,18000,17700,28302,17700
211,27/09/2023,17900,17800,17900,17800,2700,17800
212,28/09/2023,17900,17600,17700,17900,4620,17900
213,29/09/2023,18200,18000,18000,18000,3000,18000
214,02/10/2023,18600,18000,18600,18000,11000,18000
215,03/10/2023,17900,17600,17900,17600,10400,17600
216,04/10/2023,18000,17600,17700,17800,6307,17800
217,05/10/2023,18100,17700,17900,17700,33401,17700
218,06/10/2023,17700,17600,17700,17700,20201,17700
219,09/10/2023,18500,18200,18500,18200,5500,18200
220,10/10/2023,18800,18400,18800,18700,36928,18700
221,11/10/2023,18700,18200,18200,18500,7110,18500
222,12/10/2023,19800,18500,18600,19400,54838,19400
223,13/10/2023,19500,19300,19500,19500,49859,19500
224,16/10/2023,20000,19300,19500,19600,46548,19600
225,17/10/2023,20800,19400,19600,20800,24380,20800
226,18/10/2023,21200,20300,20300,21200,29018,21200
227,19/10/2023,22500,21400,21400,22000,82966,22000
228,20/10/2023,21900,19500,21900,21000,26100,21000
229,23/10/2023,20800,19600,20800,19700,11101,19700
230,24/10/2023,20000,19500,20000,19900,31102,19900
231,25/10/2023,20000,19900,19900,19900,7010,19900
232,26/10/2023,19900,19000,19900,19500,28359,19500
233,27/10/2023,19500,19000,19000,19500,16941,19500
234,30/10/2023,19500,19000,19500,19000,4613,19000
235,31/10/2023,19600,19000,19200,19600,4012,19600
236,01/11/2023,19500,19000,19100,19500,4300,19500
237,02/11/2023,19500,19400,19400,19500,1103,19500
238,03/11/2023,19500,18500,19400,19000,24900,19000
239,06/11/2023,19000,18700,18700,19000,18600,19000
240,07/11/2023,19200,18700,18700,19200,3500,19200
241,08/11/2023,19500,19200,19500,19500,5800,19500
242,09/11/2023,19400,18700,19000,19200,15230,19200
243,10/11/2023,19200,19000,19200,19000,7300,19000
244,13/11/2023,19300,19100,19100,19300,5801,19300
245,14/11/2023,19300,19200,19200,19300,10000,19300
246,15/11/2023,19500,19300,19300,19400,8500,19400
247,16/11/2023,19600,19500,19500,19500,9241,19500
248,17/11/2023,19300,19100,19300,19100,5700,19100
249,20/11/2023,19300,18600,19200,19100,14800,19100
