,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,10000,10000,10000,10000,100,9500
1,22/11/2022,10000,10000,10000,10000,-,9500
2,23/11/2022,10000,10000,10000,10000,-,9500
3,24/11/2022,10000,10000,10000,10000,-,9500
4,25/11/2022,10000,10000,10000,10000,-,9500
5,28/11/2022,10000,10000,10000,10000,-,9500
6,29/11/2022,10000,10000,10000,10000,-,9500
7,30/11/2022,8500,8500,8500,8500,1000,8100
8,01/12/2022,7300,7300,7300,7300,100,6900
9,02/12/2022,7300,7300,7300,7300,100,6900
10,05/12/2022,6300,6300,6300,6300,1000,6000
11,06/12/2022,7200,6300,7000,7200,8100,6800
12,07/12/2022,7400,7400,7400,7400,100,7000
13,08/12/2022,8400,8400,8400,8400,100,8000
14,09/12/2022,9500,9500,9500,9500,900,9000
15,12/12/2022,9500,9500,9500,9500,-,9000
16,13/12/2022,9500,9500,9500,9500,-,9000
17,14/12/2022,9500,9500,9500,9500,-,9000
18,15/12/2022,9500,9500,9500,9500,-,9000
19,16/12/2022,9500,9500,9500,9500,-,9000
20,19/12/2022,9500,9500,9500,9500,-,9000
21,20/12/2022,9500,9500,9500,9500,-,9000
22,21/12/2022,9500,9500,9500,9500,-,9000
23,22/12/2022,9500,9500,9500,9500,-,9000
24,23/12/2022,9500,9500,9500,9500,-,9000
25,26/12/2022,9500,9500,9500,9500,-,9000
26,27/12/2022,9500,9500,9500,9500,-,9000
27,28/12/2022,9500,9500,9500,9500,-,9000
28,29/12/2022,9500,9500,9500,9500,-,9000
29,30/12/2022,9500,9500,9500,9500,-,9000
30,03/01/2023,9500,9500,9500,9500,-,9000
31,04/01/2023,9500,9500,9500,9500,-,9000
32,05/01/2023,9500,9500,9500,9500,-,9000
33,06/01/2023,9500,9500,9500,9500,-,9000
34,09/01/2023,9500,9500,9500,9500,-,9000
35,10/01/2023,9500,9500,9500,9500,-,9000
36,11/01/2023,9500,9500,9500,9500,-,9000
37,12/01/2023,9500,9500,9500,9500,-,9000
38,13/01/2023,9500,9500,9500,9500,-,9000
39,16/01/2023,9500,9500,9500,9500,-,9000
40,17/01/2023,9500,9500,9500,9500,-,9000
41,18/01/2023,9500,9500,9500,9500,-,9000
42,19/01/2023,9500,9500,9500,9500,-,9000
