,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,3500,3500,3500,3500,100,3500
1,22/11/2022,3700,3600,3600,3700,1600,3700
2,23/11/2022,3800,3400,3800,3400,6814,3400
3,24/11/2022,3400,3400,3400,3400,400,3400
4,25/11/2022,3600,3500,3600,3500,200,3500
5,28/11/2022,3600,3500,3500,3600,2900,3600
6,29/11/2022,3700,3600,3700,3700,6900,3700
7,30/11/2022,3800,3500,3800,3700,2400,3700
8,01/12/2022,3800,3500,3800,3600,12800,3600
9,02/12/2022,3500,3300,3300,3300,54766,3300
10,05/12/2022,3300,3300,3300,3300,-,3300
11,06/12/2022,3300,3300,3300,3300,-,3300
12,07/12/2022,3300,3300,3300,3300,-,3300
13,08/12/2022,3300,3300,3300,3300,-,3300
14,09/12/2022,3100,3000,3000,3000,137200,3000
15,12/12/2022,3000,3000,3000,3000,-,3000
16,13/12/2022,3000,3000,3000,3000,-,3000
17,14/12/2022,3000,3000,3000,3000,-,3000
18,15/12/2022,3000,3000,3000,3000,-,3000
19,16/12/2022,3000,2700,2900,2700,50200,2700
20,19/12/2022,2700,2700,2700,2700,-,2700
21,20/12/2022,2700,2700,2700,2700,-,2700
22,21/12/2022,2700,2700,2700,2700,-,2700
23,22/12/2022,2700,2700,2700,2700,-,2700
24,23/12/2022,2900,2500,2500,2900,9900,2900
25,26/12/2022,2900,2900,2900,2900,-,2900
26,27/12/2022,2900,2900,2900,2900,-,2900
27,28/12/2022,2900,2900,2900,2900,-,2900
28,29/12/2022,2900,2900,2900,2900,-,2900
29,30/12/2022,2800,2700,2800,2800,800,2800
30,03/01/2023,2800,2800,2800,2800,-,2800
31,04/01/2023,2800,2800,2800,2800,-,2800
32,05/01/2023,2800,2800,2800,2800,-,2800
33,06/01/2023,2800,2600,2600,2800,2800,2800
34,09/01/2023,2800,2800,2800,2800,-,2800
35,10/01/2023,2800,2800,2800,2800,-,2800
36,11/01/2023,2800,2800,2800,2800,-,2800
37,12/01/2023,2800,2800,2800,2800,-,2800
38,13/01/2023,3000,2700,2700,2800,16831,2800
39,16/01/2023,2800,2800,2800,2800,-,2800
40,17/01/2023,2800,2800,2800,2800,-,2800
41,18/01/2023,2800,2800,2800,2800,-,2800
42,19/01/2023,2800,2800,2800,2800,-,2800
43,27/01/2023,2800,2600,2600,2800,2100,2800
44,30/01/2023,2800,2800,2800,2800,-,2800
45,31/01/2023,2800,2800,2800,2800,-,2800
46,01/02/2023,2800,2800,2800,2800,-,2800
47,02/02/2023,2800,2800,2800,2800,-,2800
48,03/02/2023,2700,2600,2700,2600,2418,2600
49,06/02/2023,2600,2600,2600,2600,-,2600
50,07/02/2023,2600,2600,2600,2600,-,2600
51,08/02/2023,2600,2600,2600,2600,-,2600
52,09/02/2023,2600,2600,2600,2600,-,2600
53,10/02/2023,2600,2600,2600,2600,9624,2600
54,13/02/2023,2600,2600,2600,2600,-,2600
55,14/02/2023,2600,2600,2600,2600,-,2600
56,15/02/2023,2600,2600,2600,2600,-,2600
57,16/02/2023,2600,2600,2600,2600,-,2600
58,17/02/2023,2700,2500,2600,2700,16000,2700
59,20/02/2023,2700,2700,2700,2700,-,2700
60,21/02/2023,2700,2700,2700,2700,-,2700
61,22/02/2023,2700,2700,2700,2700,-,2700
62,23/02/2023,2700,2700,2700,2700,-,2700
63,24/02/2023,2600,2600,2600,2600,357,2600
64,27/02/2023,2600,2600,2600,2600,-,2600
65,28/02/2023,2600,2600,2600,2600,-,2600
