,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,16200,16200,16200,16200,100,14700
1,22/11/2022,16200,16200,16200,16200,-,14700
2,23/11/2022,16200,16200,16200,16200,-,14700
3,24/11/2022,16200,16200,16200,16200,-,14700
4,25/11/2022,16200,16200,16200,16200,-,14700
5,28/11/2022,16200,16200,16200,16200,-,14700
6,29/11/2022,16200,16200,16200,16200,-,14700
7,30/11/2022,16200,16200,16200,16200,3,14700
8,01/12/2022,16200,16200,16200,16200,-,14700
9,02/12/2022,16200,16200,16200,16200,-,14700
10,05/12/2022,18600,18600,18600,18600,100,16900
11,06/12/2022,18600,18600,18600,18600,-,16900
12,07/12/2022,18600,18600,18600,18600,-,16900
13,08/12/2022,18600,18600,18600,18600,-,16900
14,09/12/2022,18600,18600,18600,18600,-,16900
15,12/12/2022,18600,18600,18600,18600,-,16900
16,13/12/2022,18600,18600,18600,18600,-,16900
17,14/12/2022,18600,18600,18600,18600,-,16900
18,15/12/2022,18600,18600,18600,18600,-,16900
19,16/12/2022,18600,18600,18600,18600,-,16900
20,19/12/2022,21300,21300,21300,21300,100,19300
21,20/12/2022,21300,21300,21300,21300,-,19300
22,21/12/2022,21300,21300,21300,21300,-,19300
23,22/12/2022,21300,21300,21300,21300,-,19300
24,23/12/2022,21300,21300,21300,21300,-,19300
25,26/12/2022,21300,21300,21300,21300,-,19300
26,27/12/2022,18600,18600,18600,18600,100,16900
27,28/12/2022,18600,18600,18600,18600,-,16900
28,29/12/2022,18600,18600,18600,18600,-,16900
29,30/12/2022,18600,18600,18600,18600,-,16900
30,03/01/2023,18600,18600,18600,18600,-,16900
31,04/01/2023,18600,18600,18600,18600,-,16900
32,05/01/2023,18600,18600,18600,18600,-,16900
33,06/01/2023,18700,18700,18700,18700,1000,17000
34,09/01/2023,21300,21300,21300,21300,100,19300
35,10/01/2023,21300,21300,21300,21300,-,19300
36,11/01/2023,24300,24300,24300,24300,200,22000
37,12/01/2023,24300,24300,24300,24300,-,22000
38,13/01/2023,24300,24300,24300,24300,-,22000
39,16/01/2023,24300,24300,24300,24300,-,22000
40,17/01/2023,24300,24300,24300,24300,-,22000
41,18/01/2023,22000,22000,22000,22000,1000,20000
42,19/01/2023,25300,25300,25300,25300,1100,22900
43,27/01/2023,25300,25300,25300,25300,-,22900
44,30/01/2023,25500,25300,25300,25500,200,23100
45,31/01/2023,25500,25500,25500,25500,100,23100
46,01/02/2023,25500,25500,25500,25500,-,23100
47,02/02/2023,25500,21700,25000,25500,300,23100
48,03/02/2023,24100,24100,24100,24100,-,21900
49,06/02/2023,24100,24100,24100,24100,-,21900
50,07/02/2023,24100,24100,24100,24100,-,21900
51,08/02/2023,24500,24500,24500,24500,100,22200
52,09/02/2023,24500,24500,24500,24500,-,22200
53,10/02/2023,24500,24500,24500,24500,-,22200
54,13/02/2023,24500,24500,24500,24500,-,22200
55,14/02/2023,24500,24500,24500,24500,-,22200
56,15/02/2023,24500,24500,24500,24500,-,22200
57,16/02/2023,24500,24500,24500,24500,-,22200
58,17/02/2023,24500,24500,24500,24500,-,22200
59,20/02/2023,26000,25000,25000,25000,300,22700
60,21/02/2023,25300,25300,25300,25300,-,22900
61,22/02/2023,25300,25300,25300,25300,-,22900
62,23/02/2023,25300,25300,25300,25300,-,22900
63,24/02/2023,25300,25300,25300,25300,-,22900
64,27/02/2023,24000,24000,24000,24000,400,21800
65,28/02/2023,22000,22000,22000,22000,400,20000
66,01/03/2023,25200,25200,25200,25200,400,22900
67,02/03/2023,25200,25200,25200,25200,-,22900
68,03/03/2023,25200,25200,25200,25200,-,22900
69,06/03/2023,25200,25200,25200,25200,-,22900
70,07/03/2023,28900,27000,27000,28900,2300,26200
71,08/03/2023,27700,27700,27700,27700,200,25100
72,09/03/2023,26000,26000,26000,26000,1300,23600
73,10/03/2023,26000,26000,26000,26000,-,23600
74,13/03/2023,26000,26000,26000,26000,-,23600
75,14/03/2023,26000,26000,26000,26000,-,23600
76,15/03/2023,26000,26000,26000,26000,-,23600
77,16/03/2023,26000,26000,26000,26000,-,23600
78,17/03/2023,26000,26000,26000,26000,-,23600
79,20/03/2023,26000,26000,26000,26000,-,23600
80,21/03/2023,26200,26200,26200,26200,300,23800
81,22/03/2023,26200,26200,26200,26200,10000,23800
82,23/03/2023,26000,26000,26000,26000,200,23600
83,24/03/2023,26400,26400,26400,26400,200,23900
84,27/03/2023,26400,26400,26400,26400,-,23900
85,28/03/2023,26400,26400,26400,26400,200,23900
86,29/03/2023,26400,22500,26400,22500,900,20400
87,30/03/2023,23400,23400,23400,23400,-,21200
88,31/03/2023,26800,26700,26800,26700,1103,24200
89,03/04/2023,26700,26700,26700,26700,500,24200
90,04/04/2023,26700,26700,26700,26700,-,24200
91,05/04/2023,26700,26700,26700,26700,-,24200
92,06/04/2023,26700,26700,26700,26700,200,24200
93,07/04/2023,26700,26700,26700,26700,300,24200
94,10/04/2023,26700,26700,26700,26700,-,24200
95,11/04/2023,26700,26700,26700,26700,-,24200
96,12/04/2023,26700,26700,26700,26700,-,24200
97,13/04/2023,27500,27500,27500,27500,200,24900
98,14/04/2023,27500,27500,27500,27500,-,24900
99,17/04/2023,27500,27500,27500,27500,-,24900
100,18/04/2023,27500,27500,27500,27500,-,24900
101,19/04/2023,27500,27500,27500,27500,-,24900
102,20/04/2023,27500,27500,27500,27500,-,24900
103,21/04/2023,27500,27500,27500,27500,-,24900
104,24/04/2023,27500,27500,27500,27500,-,24900
105,25/04/2023,27500,27500,27500,27500,-,24900
106,26/04/2023,27500,27500,27500,27500,-,24900
107,27/04/2023,27500,27500,27500,27500,-,24900
108,28/04/2023,27500,27500,27500,27500,-,24900
109,04/05/2023,27500,27500,27500,27500,-,24900
110,05/05/2023,27500,27500,27500,27500,-,24900
111,08/05/2023,27500,27500,27500,27500,-,24900
112,09/05/2023,27500,27500,27500,27500,-,24900
113,10/05/2023,27500,27500,27500,27500,-,24900
114,11/05/2023,27500,27500,27500,27500,-,24900
115,12/05/2023,27500,27500,27500,27500,200,24900
116,15/05/2023,27500,27500,27500,27500,-,24900
117,16/05/2023,27500,27500,27500,27500,-,24900
118,17/05/2023,29900,29900,29900,29900,200,27100
119,18/05/2023,29900,29900,29900,29900,-,27100
120,19/05/2023,29900,29900,29900,29900,-,27100
121,22/05/2023,29900,27500,29900,29000,900,26300
122,23/05/2023,27500,27500,27500,27500,100,24900
123,24/05/2023,27500,27500,27500,27500,-,24900
124,25/05/2023,27500,27000,27500,27000,800,24500
125,26/05/2023,29000,27500,27500,29000,600,26300
126,29/05/2023,28500,28000,28000,28000,900,25400
127,30/05/2023,30000,27100,30000,27500,600,24900
128,31/05/2023,28000,28000,28000,28000,100,25400
129,01/06/2023,29000,28000,28000,29000,1800,26300
130,02/06/2023,28500,28500,28500,28500,-,25900
131,05/06/2023,32500,28600,32000,31500,4400,28600
132,06/06/2023,32500,31500,31500,32500,18100,29500
133,07/06/2023,32400,31900,32400,32200,4700,29200
134,08/06/2023,29000,27800,29000,27800,1900,27800
135,09/06/2023,28000,24300,27800,26600,7400,26600
136,12/06/2023,29600,29600,29600,29600,100,29600
137,13/06/2023,28500,28400,28500,28400,2100,28400
138,14/06/2023,27500,27400,27500,27400,800,27400
139,15/06/2023,27400,27400,27400,27400,3200,27400
140,16/06/2023,27000,27000,27000,27000,1000,27000
141,19/06/2023,27000,27000,27000,27000,-,27000
142,20/06/2023,27000,27000,27000,27000,-,27000
143,21/06/2023,28000,28000,28000,28000,500,28000
144,22/06/2023,28100,28000,28000,28100,300,28100
145,23/06/2023,28100,28100,28100,28100,-,28100
146,26/06/2023,28100,28100,28100,28100,-,28100
147,27/06/2023,28100,28100,28100,28100,-,28100
148,28/06/2023,28100,28100,28100,28100,-,28100
149,29/06/2023,28100,28100,28100,28100,-,28100
150,30/06/2023,28100,28100,28100,28100,-,28100
151,03/07/2023,28100,28100,28100,28100,-,28100
152,04/07/2023,28100,28100,28100,28100,-,28100
153,05/07/2023,28000,28000,28000,28000,100,28000
154,06/07/2023,28000,28000,28000,28000,-,28000
155,07/07/2023,28000,28000,28000,28000,-,28000
156,10/07/2023,28000,28000,28000,28000,-,28000
157,11/07/2023,28000,28000,28000,28000,200,28000
158,12/07/2023,28000,28000,28000,28000,-,28000
159,13/07/2023,27000,27000,27000,27000,200,27000
160,14/07/2023,26600,26600,26600,26600,100,26600
161,17/07/2023,26600,26600,26600,26600,200,26600
