,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,20900,19000,19500,20900,400,20400
1,22/11/2022,21500,20500,20500,21500,10000,21000
2,23/11/2022,23000,23000,23000,23000,5000,22500
3,24/11/2022,23000,23000,23000,23000,393500,22500
4,25/11/2022,19700,19700,19700,19700,100,19200
5,28/11/2022,22000,19800,22000,19800,10400,19300
6,29/11/2022,24000,22500,24000,22500,10100,22000
7,30/11/2022,25000,20500,25000,24000,36300,23500
8,01/12/2022,25500,25000,25000,25500,10000,24900
9,02/12/2022,25300,25300,25300,25300,-,24700
10,05/12/2022,26000,21600,26000,25200,73100,24600
11,06/12/2022,26000,22000,26000,22000,20100,21500
12,07/12/2022,22100,22100,22100,22100,100,21600
13,08/12/2022,24000,19100,24000,19100,23500,18700
14,09/12/2022,23000,23000,23000,23000,200,22500
15,12/12/2022,22900,19600,19700,20000,46000,19500
16,13/12/2022,20500,20500,20500,20500,-,20000
17,14/12/2022,20500,20500,20500,20500,-,20000
18,15/12/2022,20000,20000,20000,20000,200,19500
19,16/12/2022,20000,20000,20000,20000,-,19500
20,19/12/2022,20000,18000,19900,18100,14400,17700
21,20/12/2022,21700,17000,21700,20000,5000,19500
22,21/12/2022,19900,19900,19900,19900,100000,19400
23,22/12/2022,19900,19900,19900,19900,-,19400
24,23/12/2022,20000,18000,18000,20000,4600,19500
25,26/12/2022,20000,20000,20000,20000,10000,19500
26,27/12/2022,21000,17200,20000,17200,10100,16800
27,28/12/2022,21000,18100,20000,19900,18000,19400
28,29/12/2022,21000,18000,21000,18000,12500,17600
29,30/12/2022,21000,18000,21000,18200,100400,17800
30,03/01/2023,21000,18100,20500,20000,8200,19500
31,04/01/2023,20000,19900,19900,20000,600,19500
32,05/01/2023,19900,18200,18200,19900,8900,19400
33,06/01/2023,20000,19000,20000,19000,10200,18600
34,09/01/2023,19800,18000,18000,19800,200,19300
35,10/01/2023,20900,19000,19700,19000,33600,18600
36,11/01/2023,19800,18100,18100,19800,1400,19300
37,12/01/2023,19500,19500,19500,19500,100,19100
38,13/01/2023,20500,18000,20000,18000,11700,17600
