,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,2000,2000,2000,2000,-,2000
1,22/11/2022,2000,2000,2000,2000,-,2000
2,23/11/2022,2000,2000,2000,2000,-,2000
3,24/11/2022,2000,2000,2000,2000,-,2000
4,25/11/2022,2200,1700,2200,2000,1600,2000
5,28/11/2022,2000,2000,2000,2000,-,2000
6,29/11/2022,2000,2000,2000,2000,-,2000
7,30/11/2022,2000,2000,2000,2000,-,2000
8,01/12/2022,2000,2000,2000,2000,-,2000
9,02/12/2022,2200,1900,2000,2200,9357,2200
10,05/12/2022,2000,2000,2000,2000,-,2000
11,06/12/2022,2000,2000,2000,2000,-,2000
12,07/12/2022,2000,2000,2000,2000,-,2000
13,08/12/2022,2000,2000,2000,2000,-,2000
14,09/12/2022,2000,1800,2000,2000,2200,2000
15,12/12/2022,1900,1900,1900,1900,-,1900
16,13/12/2022,1900,1900,1900,1900,-,1900
17,14/12/2022,1900,1900,1900,1900,-,1900
18,15/12/2022,1900,1900,1900,1900,-,1900
19,16/12/2022,2100,2000,2000,2100,38700,2100
20,19/12/2022,2100,2100,2100,2100,-,2100
21,20/12/2022,2100,2100,2100,2100,-,2100
22,21/12/2022,2100,2100,2100,2100,-,2100
23,22/12/2022,2100,2100,2100,2100,-,2100
24,23/12/2022,2200,2000,2100,2200,26800,2200
25,26/12/2022,2100,2100,2100,2100,-,2100
26,27/12/2022,2100,2100,2100,2100,-,2100
27,28/12/2022,2100,2100,2100,2100,-,2100
28,29/12/2022,2100,2100,2100,2100,-,2100
29,30/12/2022,2300,2100,2100,2300,5100,2300
30,03/01/2023,2300,2300,2300,2300,-,2300
31,04/01/2023,2300,2300,2300,2300,-,2300
32,05/01/2023,2300,2300,2300,2300,-,2300
33,06/01/2023,2300,2200,2200,2300,300,2300
34,09/01/2023,2300,2300,2300,2300,-,2300
35,10/01/2023,2300,2300,2300,2300,-,2300
36,11/01/2023,2300,2300,2300,2300,-,2300
37,12/01/2023,2300,2300,2300,2300,-,2300
38,13/01/2023,2500,2300,2400,2400,9900,2400
39,16/01/2023,2400,2400,2400,2400,-,2400
40,17/01/2023,2400,2400,2400,2400,-,2400
41,18/01/2023,2400,2400,2400,2400,-,2400
42,19/01/2023,2400,2400,2400,2400,-,2400
43,27/01/2023,2600,2500,2500,2600,1100,2600
44,30/01/2023,2500,2500,2500,2500,-,2500
45,31/01/2023,2500,2500,2500,2500,-,2500
46,01/02/2023,2500,2500,2500,2500,-,2500
47,02/02/2023,2500,2500,2500,2500,-,2500
48,03/02/2023,2700,2600,2700,2600,2500,2600
49,06/02/2023,2600,2600,2600,2600,-,2600
50,07/02/2023,2600,2600,2600,2600,-,2600
51,08/02/2023,2600,2600,2600,2600,-,2600
52,09/02/2023,2600,2600,2600,2600,-,2600
53,10/02/2023,2500,2300,2400,2300,32900,2300
54,13/02/2023,2300,2300,2300,2300,-,2300
55,14/02/2023,2300,2300,2300,2300,-,2300
56,15/02/2023,2300,2300,2300,2300,-,2300
57,16/02/2023,2300,2300,2300,2300,-,2300
58,17/02/2023,2400,2200,2400,2200,200,2200
59,20/02/2023,2300,2300,2300,2300,-,2300
60,21/02/2023,2300,2300,2300,2300,-,2300
61,22/02/2023,2300,2300,2300,2300,-,2300
62,23/02/2023,2300,2300,2300,2300,-,2300
63,24/02/2023,2200,2000,2000,2000,6200,2000
64,27/02/2023,2000,2000,2000,2000,-,2000
65,28/02/2023,2000,2000,2000,2000,-,2000
66,01/03/2023,2000,2000,2000,2000,-,2000
67,02/03/2023,2000,2000,2000,2000,-,2000
68,03/03/2023,2100,2100,2100,2100,100,2100
69,06/03/2023,2100,2100,2100,2100,-,2100
70,07/03/2023,2100,2100,2100,2100,-,2100
71,08/03/2023,2100,2100,2100,2100,-,2100
72,09/03/2023,2100,2100,2100,2100,-,2100
73,10/03/2023,2200,2200,2200,2200,10800,2200
74,13/03/2023,2200,2200,2200,2200,-,2200
75,14/03/2023,2200,2200,2200,2200,-,2200
76,15/03/2023,2200,2200,2200,2200,-,2200
77,16/03/2023,2200,2200,2200,2200,-,2200
78,17/03/2023,2300,2300,2300,2300,100,2300
79,20/03/2023,2300,2300,2300,2300,-,2300
80,21/03/2023,2300,2300,2300,2300,-,2300
