,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,7900,7900,7900,7900,-,7900
1,22/11/2022,7800,6800,6800,7800,300,7800
2,23/11/2022,8600,7500,7800,7500,1600,7500
3,24/11/2022,8300,8300,8300,8300,300,8300
4,25/11/2022,9500,8300,8300,9400,500,9400
5,28/11/2022,9800,9200,9200,9800,400,9800
6,29/11/2022,9700,9700,9700,9700,-,9700
7,30/11/2022,8800,8300,8300,8800,300,8800
8,01/12/2022,8500,8500,8500,8500,-,8500
9,02/12/2022,7400,7300,7300,7300,5000,7300
10,05/12/2022,8200,8200,8200,8200,400,8200
11,06/12/2022,9200,7000,9200,8900,2400,8900
12,07/12/2022,7200,7200,7200,7200,400,7200
13,08/12/2022,8200,8200,8200,8200,400,8200
14,09/12/2022,8200,8200,8200,8200,-,8200
15,12/12/2022,8000,7000,7100,8000,1900,8000
16,13/12/2022,8500,6300,8500,6300,3600,6300
17,14/12/2022,7000,6900,7000,6900,1700,6900
18,15/12/2022,6200,6000,6100,6100,7200,6100
19,16/12/2022,6800,6000,6800,6800,3000,6800
20,19/12/2022,6400,6400,6400,6400,400,6400
21,20/12/2022,6100,6100,6100,6100,100,6100
22,21/12/2022,6700,6200,6700,6200,800,6200
23,22/12/2022,6800,6000,6000,6800,5200,6800
24,23/12/2022,6800,6800,6800,6800,560,6800
25,26/12/2022,6800,6800,6800,6800,-,6800
26,27/12/2022,6200,6200,6200,6200,100,6200
27,28/12/2022,6600,6200,6600,6200,300,6200
28,29/12/2022,6500,6500,6500,6200,1,6500
29,30/12/2022,6800,6500,6800,6500,359,6500
30,03/01/2023,6200,6200,6200,6200,4600,6200
31,04/01/2023,6100,6100,6100,6100,100,6100
32,05/01/2023,6700,6200,6700,6200,1100,6200
33,06/01/2023,6700,6400,6700,6400,1700,6400
34,09/01/2023,6500,6500,6500,6500,-,6500
35,10/01/2023,6500,6000,6400,6500,4800,6500
36,11/01/2023,6600,6600,6600,6600,500,6600
37,12/01/2023,6600,6600,6600,6600,-,6600
38,13/01/2023,6600,6600,6600,6600,-,6600
39,16/01/2023,6500,6500,6500,6500,1000,6500
40,17/01/2023,6500,6500,6500,6500,-,6500
41,18/01/2023,6900,6900,6900,6900,200,6900
42,19/01/2023,6500,6500,6500,6500,3300,6500
43,27/01/2023,7100,6100,7100,6800,1400,6800
44,30/01/2023,6800,6100,6200,6600,6400,6600
45,31/01/2023,6800,6800,6800,6800,200,6800
46,01/02/2023,6200,6000,6200,6000,5100,6000
47,02/02/2023,6700,6700,6700,6700,300,6700
48,03/02/2023,6700,6700,6700,6700,-,6700
49,06/02/2023,6500,6500,6500,6500,600,6500
50,07/02/2023,6100,6000,6100,6000,10428,6000
51,08/02/2023,6900,6000,6400,6000,24500,6000
52,09/02/2023,6400,6400,6400,6400,-,6400
53,10/02/2023,6900,6000,6900,6000,2500,6000
54,13/02/2023,6700,6000,6700,6000,2100,6000
55,14/02/2023,6500,6500,6500,6500,100,6500
56,15/02/2023,6500,6500,6500,6500,-,6500
57,16/02/2023,6500,6500,6500,6500,-,6500
58,17/02/2023,6500,6500,6500,6500,-,6500
59,20/02/2023,6600,6400,6400,6600,300,6600
60,21/02/2023,6600,6600,6600,6600,100,6600
61,22/02/2023,6600,6600,6600,6600,-,6600
62,23/02/2023,6600,6600,6600,6600,-,6600
63,24/02/2023,6600,6600,6600,6600,-,6600
64,27/02/2023,6600,6600,6600,6600,-,6600
