,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,25900,25600,25600,25900,887,23500
1,22/11/2022,25800,25100,25800,25100,2100,22800
2,23/11/2022,25600,25600,25600,25600,400,23200
3,24/11/2022,25600,25600,25600,25600,103,23200
4,25/11/2022,26100,25300,25300,26100,31400,23700
5,28/11/2022,26700,26000,26000,26400,2703,23900
6,29/11/2022,28000,26200,28000,26200,200,23700
7,30/11/2022,27100,27100,27100,27100,-,24600
8,01/12/2022,26100,26100,26100,26100,3862,23700
9,02/12/2022,27500,25900,27500,25900,200,23500
10,05/12/2022,26500,26000,26000,26300,1800,23800
11,06/12/2022,26700,26100,26100,26700,7900,24200
12,07/12/2022,26100,26100,26100,26100,11900,23700
13,08/12/2022,26400,26100,26100,26300,3300,23800
14,09/12/2022,26200,26000,26000,26100,8500,23700
15,12/12/2022,26400,26200,26200,26200,1200,23700
16,13/12/2022,26100,26100,26100,26100,200,23700
17,14/12/2022,27400,26200,26800,26200,562,23700
18,15/12/2022,28000,28000,28000,28000,200,25400
19,16/12/2022,28000,28000,28000,28000,-,25400
20,19/12/2022,28000,28000,28000,28000,-,25400
21,20/12/2022,28000,28000,28000,28000,-,25400
22,21/12/2022,26100,26000,26000,26100,205,23700
23,22/12/2022,26100,25500,26000,26100,2303,23700
24,23/12/2022,27700,27700,27700,27700,100,25100
25,26/12/2022,27700,27700,27700,27700,-,25100
26,27/12/2022,26200,26100,26100,26200,6902,23700
27,28/12/2022,27200,26100,27200,26100,1100,23700
28,29/12/2022,27200,27200,27200,27200,100,24700
29,30/12/2022,27200,27200,27200,27200,1,24700
30,03/01/2023,26500,26500,26500,26500,100,24000
31,04/01/2023,26700,26500,26500,26700,304,24200
32,05/01/2023,26500,26100,26500,26100,1015,23700
33,06/01/2023,27100,27000,27000,27100,1100,24600
34,09/01/2023,27100,27100,27100,27100,2,24600
35,10/01/2023,26500,26000,26000,26500,901,24000
36,11/01/2023,27000,27000,27000,27000,145,24500
37,12/01/2023,26900,26800,26800,26900,1900,24400
38,13/01/2023,26900,26500,26600,26900,3100,24400
39,16/01/2023,30000,26800,27200,26800,1600,24300
40,17/01/2023,27500,26600,26600,27500,300,24900
41,18/01/2023,27500,26600,26700,27500,5601,24900
42,19/01/2023,29700,27000,29700,27000,200,24500
43,27/01/2023,27500,26800,26800,27200,510,24700
44,30/01/2023,28000,27000,27000,28000,14870,25400
45,31/01/2023,27600,27600,27600,27600,810,25000
46,01/02/2023,27700,27700,27700,27700,3300,25100
47,02/02/2023,27900,27400,27400,27900,1105,25300
48,03/02/2023,27900,27600,27900,27600,1700,25000
49,06/02/2023,30900,27500,29700,27600,9700,25000
50,07/02/2023,29600,27900,29600,29600,5100,26800
51,08/02/2023,30000,28100,30000,28800,2100,26100
52,09/02/2023,28800,28800,28800,28800,44,26100
53,10/02/2023,28800,28800,28800,28800,-,26100
54,13/02/2023,28200,28000,28200,28000,1700,25400
55,14/02/2023,28100,28100,28100,28100,-,25500
56,15/02/2023,28000,28000,28000,28000,1105,25400
57,16/02/2023,29500,29500,29500,29500,100,26700
58,17/02/2023,31000,27600,31000,27600,500,25000
59,20/02/2023,28500,28500,28500,28500,500,25800
60,21/02/2023,28000,27900,27900,28000,2300,25400
61,22/02/2023,27900,27900,27900,27900,-,25300
62,23/02/2023,27900,27900,27900,27900,-,25300
63,24/02/2023,27900,27900,27900,27900,-,25300
64,27/02/2023,27500,27000,27300,27500,4000,24900
65,28/02/2023,28300,28100,28100,28300,2450,25700
66,01/03/2023,28200,28200,28200,28200,200,25600
67,02/03/2023,28600,28200,28200,28600,1400,25900
68,03/03/2023,27500,27500,27500,27500,200,24900
69,06/03/2023,28800,28800,28800,28800,100,26100
70,07/03/2023,28000,28000,28000,28000,300,25400
71,08/03/2023,28000,28000,28000,28000,43000,25400
72,09/03/2023,29000,28000,28000,28500,4500,25800
73,10/03/2023,28700,28700,28700,28700,-,26000
74,13/03/2023,28900,28900,28900,28900,100,26200
75,14/03/2023,26300,26300,26300,26300,200,23800
76,15/03/2023,29000,29000,29000,29000,100,26300
77,16/03/2023,27200,27200,27200,27200,200,24700
78,17/03/2023,28000,27400,27400,28000,1100,25400
79,20/03/2023,28700,27700,27700,28700,1400,26000
80,21/03/2023,28900,28900,28900,28900,149,26200
81,22/03/2023,27800,27800,27800,27800,500,25200
82,23/03/2023,28000,27900,27900,28000,2700,25400
83,24/03/2023,28800,28500,28500,28800,1200,26100
84,27/03/2023,28600,27700,27900,27900,3500,25300
85,28/03/2023,28200,27900,28000,28000,3913,25400
86,29/03/2023,28000,27900,28000,27900,1500,25300
87,30/03/2023,27900,27800,27900,27800,3038,25200
88,31/03/2023,27900,27800,27800,27900,1700,25300
89,03/04/2023,28900,27900,27900,28900,4200,26200
90,04/04/2023,28800,28100,28100,28800,935,26100
91,05/04/2023,30000,28100,30000,28300,600,25700
92,06/04/2023,30000,28500,30000,28500,508,25800
93,07/04/2023,29900,28800,29900,28800,200,26100
94,10/04/2023,29900,28200,29900,28500,600,25800
95,11/04/2023,29300,28700,28700,29300,10200,26600
96,12/04/2023,29000,29000,29000,29000,3505,26300
97,13/04/2023,28900,28700,28900,28900,800,26200
98,14/04/2023,28900,28900,28900,28900,-,26200
99,17/04/2023,29000,28900,29000,28900,600,26200
100,18/04/2023,29000,29000,29000,28900,6,26300
101,19/04/2023,29000,29000,29000,29000,2300,26300
102,20/04/2023,29100,29000,29000,29000,1621,26300
103,21/04/2023,29100,29000,29000,29000,4500,26300
104,24/04/2023,29400,29000,29400,29000,7730,26300
105,25/04/2023,29000,29000,29000,29000,323,26300
106,26/04/2023,29200,29000,29000,29200,3800,26500
107,27/04/2023,29200,29100,29200,29200,20800,26500
108,28/04/2023,30000,29600,29600,30000,15602,27200
109,04/05/2023,29900,29000,29900,29200,7103,26500
110,05/05/2023,29300,29200,29300,29200,6400,26500
111,08/05/2023,29600,29300,29500,29400,23203,26600
112,09/05/2023,29500,29300,29500,29300,32009,26600
113,10/05/2023,29500,29300,29500,29400,13701,26600
114,11/05/2023,29500,29400,29400,29400,20410,26600
115,12/05/2023,29500,29300,29400,29400,25000,26600
116,15/05/2023,29600,29400,29500,29600,9903,26800
117,16/05/2023,29600,29500,29500,29600,26900,26800
118,17/05/2023,29900,29600,29900,29600,6100,26800
119,18/05/2023,29900,29800,29900,29900,2000,27100
120,19/05/2023,29800,29400,29800,29500,34500,26700
121,22/05/2023,30500,30200,30200,30500,9200,27600
122,23/05/2023,31200,29900,31200,29900,7960,27100
123,24/05/2023,30200,29900,29900,30100,9500,27300
124,25/05/2023,32900,30900,30900,31000,54120,28100
125,26/05/2023,31900,31000,31900,31000,3360,28100
126,29/05/2023,31700,31000,31700,31000,5800,28100
127,30/05/2023,31600,30500,30700,31600,38340,28600
128,31/05/2023,32500,30600,31600,32200,117251,29200
129,01/06/2023,33100,32500,32500,32800,60658,29700
130,02/06/2023,33400,32600,33400,32800,18133,29700
131,05/06/2023,32800,32000,32800,32200,70920,29200
132,06/06/2023,30000,29000,30000,29300,19301,29300
133,07/06/2023,29300,28500,29300,28800,39604,28800
134,08/06/2023,29000,27900,29000,28000,36001,28000
135,09/06/2023,28100,27100,28100,27700,32600,27700
136,12/06/2023,28000,27400,28000,27500,33436,27500
137,13/06/2023,27500,27300,27300,27400,45905,27400
138,14/06/2023,27400,26800,27400,27100,101030,27100
139,15/06/2023,28200,27200,27200,27600,70386,27600
140,16/06/2023,28500,27900,27900,28200,30234,28200
141,19/06/2023,28600,28200,28500,28500,12509,28500
142,20/06/2023,30500,28400,28400,29200,42300,29200
143,21/06/2023,29600,29200,29400,29500,12410,29500
144,22/06/2023,29600,29200,29500,29600,24644,29600
145,23/06/2023,29600,29200,29400,29300,18960,29300
146,26/06/2023,29800,29300,29800,29400,50040,29400
147,27/06/2023,29800,29500,29800,29700,11370,29700
148,28/06/2023,30400,29800,30400,29900,13200,29900
149,29/06/2023,30600,30100,30100,30600,43650,30600
150,30/06/2023,31600,30800,31000,30800,10100,30800
151,03/07/2023,31200,31000,31000,31100,6340,31100
152,04/07/2023,31600,30800,31300,31000,15602,31000
153,05/07/2023,31200,31000,31200,31100,22117,31100
154,06/07/2023,31000,30600,31000,31000,14100,31000
155,07/07/2023,30900,30500,30800,30700,21831,30700
156,10/07/2023,31500,30600,30900,31400,45950,31400
157,11/07/2023,32100,31600,31800,32100,28427,32100
158,12/07/2023,32700,31700,32500,32400,17760,32400
159,13/07/2023,33200,32200,32300,33100,20240,33100
160,14/07/2023,34000,33100,33200,33900,99710,33900
161,17/07/2023,35000,33300,34700,33500,64701,33500
162,18/07/2023,34700,32800,34500,33800,72441,33800
163,19/07/2023,34000,33000,33000,34000,6900,34000
164,20/07/2023,34700,33800,33800,34700,13190,34700
165,21/07/2023,34800,34100,34700,34100,7900,34100
166,24/07/2023,34000,33600,34000,33900,12203,33900
167,25/07/2023,34300,33500,33900,33600,4410,33600
168,26/07/2023,33200,32800,33100,32800,8633,32800
169,27/07/2023,33700,32500,33700,32700,9601,32700
170,28/07/2023,33100,32000,33100,32000,11200,32000
171,31/07/2023,32500,31700,32000,32000,18045,32000
172,01/08/2023,32600,31900,32500,32200,41190,32200
173,02/08/2023,33900,32200,32200,33000,32711,33000
174,03/08/2023,33400,32200,33000,33400,14025,33400
175,04/08/2023,33500,33100,33500,33200,3500,33200
176,07/08/2023,33100,32400,33000,33000,4444,33000
177,08/08/2023,33400,32900,33000,33100,18803,33100
178,09/08/2023,33000,32200,32300,33000,11300,33000
179,10/08/2023,33300,32700,32700,33300,8033,33300
180,11/08/2023,33300,32900,33300,33200,3812,33200
181,14/08/2023,33700,33300,33300,33700,11400,33700
182,15/08/2023,34800,33900,33900,34800,31308,34800
183,16/08/2023,34800,34000,34700,34200,16800,34200
184,17/08/2023,34400,34200,34400,34200,11100,34200
185,18/08/2023,34200,33500,34200,33600,11102,33600
186,21/08/2023,33800,33500,33600,33800,15700,33800
187,22/08/2023,34000,33500,33600,34000,6000,34000
188,23/08/2023,34500,34000,34000,34500,22600,34500
189,24/08/2023,35700,34600,34600,35700,19311,35700
190,25/08/2023,36000,35000,35400,35300,12260,35300
191,28/08/2023,35200,34200,35200,35000,8000,35000
192,29/08/2023,35000,34900,35000,35000,4100,35000
193,30/08/2023,35300,34900,35300,35000,8904,35000
194,31/08/2023,35100,34900,35000,35000,10010,35000
195,05/09/2023,35200,34800,35000,35200,22100,35200
196,06/09/2023,40200,35700,35700,40200,277278,40200
197,07/09/2023,46000,41000,42000,42500,63338,42500
198,08/09/2023,44200,38600,44200,39000,68553,39000
199,11/09/2023,40000,37400,39400,37500,47117,37500
200,12/09/2023,39400,38300,38300,38800,9917,38800
201,13/09/2023,39000,38000,39000,38000,32506,38000
202,14/09/2023,38000,36600,38000,37000,21334,37000
203,15/09/2023,37500,36800,37000,37400,27211,37400
204,18/09/2023,38000,37000,37000,38000,18907,38000
205,19/09/2023,38400,37500,38000,38400,6701,38400
206,20/09/2023,39500,37700,37800,39500,12424,39500
207,21/09/2023,40200,39100,39100,40200,14639,40200
208,22/09/2023,40000,38800,38800,40000,14800,40000
209,25/09/2023,41000,39000,40000,39500,21506,39500
210,26/09/2023,39000,38400,39000,38600,10401,38600
211,27/09/2023,39000,38400,39000,38900,8721,38900
212,28/09/2023,38900,37600,38900,38800,5015,38800
213,29/09/2023,40500,38900,38900,40000,19310,40000
214,02/10/2023,40500,39600,40000,40500,18271,40500
215,03/10/2023,40400,38300,40400,40100,6644,40100
216,04/10/2023,40100,39400,40000,40000,10409,40000
217,05/10/2023,40800,39500,39500,40000,18929,40000
218,06/10/2023,41500,40000,40000,41500,8713,41500
219,09/10/2023,42300,40800,40800,42300,15320,42300
220,10/10/2023,42500,41500,42000,41800,31113,41800
221,11/10/2023,42800,42100,42100,42200,10011,42200
222,12/10/2023,42500,41600,41600,41900,8610,41900
223,13/10/2023,41500,41000,41500,41000,10528,41000
224,16/10/2023,41500,41000,41000,41500,6039,41500
225,17/10/2023,41700,41200,41500,41200,6300,41200
226,18/10/2023,41300,40700,41200,41000,7100,41000
227,19/10/2023,41000,40500,40500,41000,2000,41000
228,20/10/2023,40900,40000,40100,40900,10909,40900
229,23/10/2023,40400,40200,40300,40400,2400,40400
230,24/10/2023,41100,39500,40400,41000,7600,41000
231,25/10/2023,42500,40500,41000,42500,16533,42500
232,26/10/2023,41900,39700,41900,40100,23348,40100
233,27/10/2023,41000,39600,40600,40000,4501,40000
234,30/10/2023,40000,39800,39800,40000,8227,40000
235,31/10/2023,40000,38000,40000,39800,11863,39800
236,01/11/2023,39800,39000,39800,39000,1823,39000
237,02/11/2023,40100,39200,39200,40000,7300,40000
238,03/11/2023,40000,40000,40000,40000,1100,40000
239,06/11/2023,40200,39300,40200,40000,8635,40000
240,07/11/2023,40100,40000,40000,40000,1801,40000
241,08/11/2023,41000,39900,40000,41000,9111,41000
242,09/11/2023,41700,40500,41000,41700,9024,41700
243,10/11/2023,41400,40500,40800,41000,11900,41000
244,13/11/2023,43000,41400,41500,43000,18751,43000
245,14/11/2023,45900,43000,43000,44300,41711,44300
246,15/11/2023,50000,45900,45900,49900,45500,49900
247,16/11/2023,50700,45800,50000,48000,21049,48000
248,17/11/2023,48000,46100,47600,48000,14670,48000
249,20/11/2023,47800,47000,47000,47800,8605,47800
