,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,23000,22000,23000,22500,1800,21700
1,22/11/2022,22800,22000,22400,22800,2200,22000
2,23/11/2022,22500,21000,22500,22300,900,21500
3,24/11/2022,22900,20100,22900,22600,400,21800
4,25/11/2022,22900,21000,22900,22500,1000,21700
5,28/11/2022,22800,22000,22000,22800,5500,22000
6,29/11/2022,25400,25400,25400,25400,100,24500
7,30/11/2022,24700,24700,24700,24700,100,23800
8,01/12/2022,24500,22600,24000,22600,5300,21800
9,02/12/2022,24500,22900,23100,24500,2900,23600
10,05/12/2022,25000,24200,24400,24300,4700,23400
11,06/12/2022,22000,21000,22000,21100,3300,20300
12,07/12/2022,21400,21200,21300,21300,4000,20500
13,08/12/2022,22500,22000,22500,22000,8100,21200
14,09/12/2022,22500,22300,22500,22300,1600,21500
15,12/12/2022,23000,22100,22400,22400,7300,21600
16,13/12/2022,23000,22400,22400,23000,7000,22200
17,14/12/2022,23500,23000,23000,23500,2308,22600
18,15/12/2022,24400,23000,23000,24400,7800,23500
19,16/12/2022,23700,23300,23700,23300,3200,22500
20,19/12/2022,24000,22900,24000,22900,3600,22100
21,20/12/2022,23200,22100,23200,22100,8000,21300
22,21/12/2022,22800,21900,21900,22000,22100,21200
23,22/12/2022,22500,22500,22500,22500,300,21700
24,23/12/2022,22700,20300,20300,22700,1800,21900
25,26/12/2022,20900,20900,20900,20900,200,20100
26,27/12/2022,22000,20900,20900,20900,1000,20100
27,28/12/2022,23000,23000,23000,23000,100,22200
28,29/12/2022,23000,23000,23000,23000,100,22200
29,30/12/2022,22900,22800,22800,22900,1101,22100
30,03/01/2023,22800,22800,22800,22800,1200,22000
31,04/01/2023,22800,22700,22800,22800,8100,22000
32,05/01/2023,22800,21900,22800,21900,1100,21100
33,06/01/2023,22700,22500,22700,22700,3800,21900
34,09/01/2023,22400,22400,22400,22400,1000,21600
35,10/01/2023,22400,22000,22200,22400,2200,21600
36,11/01/2023,22500,22500,22500,22500,200,21700
37,12/01/2023,22500,22500,22500,22500,100,21700
38,13/01/2023,23400,22000,22500,23400,3100,22500
39,16/01/2023,22200,22200,22200,22200,-,21400
40,17/01/2023,23700,23500,23500,23700,200,22800
41,18/01/2023,27000,23700,23700,27000,2610,26000
42,19/01/2023,25000,22500,22500,25000,600,24100
43,27/01/2023,24600,24500,24600,24500,200,23600
44,30/01/2023,24600,24600,24600,24600,500,23700
45,31/01/2023,24500,24500,24500,24500,200,23600
46,01/02/2023,25000,24500,24500,24500,8000,23600
47,02/02/2023,24800,24800,24800,24800,-,23900
48,03/02/2023,23000,22600,22600,22600,3200,21800
49,06/02/2023,23000,22700,22700,23000,600,22200
50,07/02/2023,22500,22200,22500,22200,500,21400
51,08/02/2023,23500,22000,23500,23000,2500,22200
52,09/02/2023,22800,22700,22700,22800,1900,22000
53,10/02/2023,23100,23100,23100,23100,500,22300
54,13/02/2023,23100,23100,23100,23100,-,22300
55,14/02/2023,23100,23100,23100,23100,-,22300
56,15/02/2023,22800,22600,22800,22800,9100,22000
57,16/02/2023,22800,22800,22800,22800,2000,22000
58,17/02/2023,23000,22800,23000,23000,800,22200
59,20/02/2023,22800,22600,22800,22800,2200,22000
60,21/02/2023,23600,22500,23000,22500,5400,21700
61,22/02/2023,22600,21800,22600,22600,15400,21800
62,23/02/2023,24800,21800,24800,21800,1600,21000
63,24/02/2023,23200,22500,22500,23100,2200,22300
64,27/02/2023,21500,21000,21500,21200,2800,20400
65,28/02/2023,22500,21100,21100,22500,400,21700
66,01/03/2023,23000,20600,23000,20600,700,19900
67,02/03/2023,21900,20500,21900,20500,6300,19800
68,03/03/2023,21900,21900,21900,21900,1000,21100
69,06/03/2023,22700,20300,22700,21900,2630,21100
70,07/03/2023,21500,20800,21000,21500,6200,20700
71,08/03/2023,21000,21000,21000,21000,900,20200
72,09/03/2023,21200,21200,21200,21200,1100,20400
73,10/03/2023,21500,21500,21500,21500,100,20700
74,13/03/2023,21200,21200,21200,21200,200,20400
75,14/03/2023,21900,21200,21400,21900,28400,21100
76,15/03/2023,22800,20400,21200,21000,3500,20200
77,16/03/2023,21000,21000,21000,21000,4000,20200
78,17/03/2023,21000,21000,21000,21000,2000,20200
79,20/03/2023,21000,21000,21000,21000,200,20200
80,21/03/2023,21700,20300,21000,21400,5400,20600
81,22/03/2023,21600,21400,21600,21400,900,20600
82,23/03/2023,21500,21500,21500,21500,-,20700
83,24/03/2023,21800,20400,20400,21800,600,21000
84,27/03/2023,20600,20500,20600,20600,1100,19900
85,28/03/2023,20600,20200,20500,20200,3600,19500
86,29/03/2023,21900,21900,21900,21900,100,21100
87,30/03/2023,20200,20200,20200,20200,200,19500
88,31/03/2023,21200,20300,20400,21200,3300,20400
89,03/04/2023,21500,20800,20800,21100,3630,20300
90,04/04/2023,21300,20900,21000,21300,2400,20500
91,05/04/2023,21800,21100,21500,21600,4600,20800
92,06/04/2023,21800,21600,21800,21600,10600,20800
93,07/04/2023,21700,21500,21700,21500,2300,20700
94,10/04/2023,21700,20500,20800,21700,11300,20900
95,11/04/2023,21700,20800,21700,21400,16200,20600
96,12/04/2023,22300,21500,21500,22300,14700,21500
97,13/04/2023,24500,21300,24500,21300,2102,20500
98,14/04/2023,22000,21300,22000,21500,3300,20700
99,17/04/2023,21400,21300,21400,21300,1600,20500
100,18/04/2023,23400,21500,21600,23400,802,22500
101,19/04/2023,22600,21000,22200,22600,15512,21800
102,20/04/2023,22000,21300,21300,22000,5600,21200
103,21/04/2023,24400,21800,24400,21800,3200,21000
104,24/04/2023,24200,24200,24200,24200,-,23300
105,25/04/2023,26900,21500,22900,26900,29500,25900
106,26/04/2023,24900,22000,24900,24700,2806,23800
107,27/04/2023,24800,22300,24800,23500,11702,22600
108,28/04/2023,25400,23000,23400,24600,3909,23700
109,04/05/2023,24500,23800,24500,24000,3510,23100
110,05/05/2023,25900,24000,25900,24100,11656,23200
111,08/05/2023,26400,23200,23200,25800,24300,24900
112,09/05/2023,24900,24100,24100,24900,610,24000
113,10/05/2023,25900,24100,25000,25200,4400,24300
114,11/05/2023,25200,24300,24400,25200,3500,24300
115,12/05/2023,26100,22800,22800,25800,2800,24900
116,15/05/2023,24300,24000,24300,24300,2130,23400
117,16/05/2023,25800,23600,25800,24500,4200,23600
118,17/05/2023,25700,24100,24100,24400,3100,23500
119,18/05/2023,24700,24700,24700,24400,3,23800
120,19/05/2023,24400,23800,24000,24400,3100,23500
121,22/05/2023,26800,24400,24400,25200,32410,24300
122,23/05/2023,25200,25100,25200,25100,1800,24200
123,24/05/2023,24900,24200,24200,24900,37106,24000
124,25/05/2023,26000,25000,25000,25000,4815,24100
125,26/05/2023,25300,25000,25000,25200,2600,24300
126,29/05/2023,25300,25100,25100,25300,5600,24400
127,30/05/2023,25800,25000,25300,25000,10300,24100
128,31/05/2023,25100,23400,23400,25100,5400,24200
129,01/06/2023,25000,25000,25000,25000,3700,24100
130,02/06/2023,25000,25000,25000,25000,1100,24100
131,05/06/2023,25200,25000,25000,25200,13700,24300
132,06/06/2023,25700,25200,25700,25500,2201,24600
133,07/06/2023,25300,24900,25300,25100,9009,24200
134,08/06/2023,25700,25000,25500,25100,12000,24200
135,09/06/2023,25100,25000,25000,25000,10500,24100
136,12/06/2023,25600,24900,24900,25000,7800,24100
137,13/06/2023,25000,24800,25000,24800,5000,23900
138,14/06/2023,25100,24800,25000,24800,6100,23900
139,15/06/2023,25000,24900,24900,25000,4400,24100
140,16/06/2023,25000,25000,25000,25000,100,24100
141,19/06/2023,25000,25000,25000,25000,3,24100
142,20/06/2023,26000,24000,26000,24000,5800,23100
143,21/06/2023,25100,23900,24100,25000,16317,24100
144,22/06/2023,24100,24000,24100,24100,10100,23200
145,23/06/2023,24400,24100,24100,24200,11200,23300
146,26/06/2023,24500,24000,24100,24000,5100,23100
147,27/06/2023,25000,24100,24200,25000,4600,24100
148,28/06/2023,24600,24000,24600,24000,9800,23100
149,29/06/2023,24400,23500,24000,24000,4800,23100
150,30/06/2023,24300,23600,24200,23800,5300,22900
151,03/07/2023,24400,23800,24200,23800,3100,22900
152,04/07/2023,24300,23700,24000,24300,1100,23400
153,05/07/2023,24700,23900,24700,24200,8303,23300
154,06/07/2023,24000,24000,24000,24000,-,23100
155,07/07/2023,23800,23500,23600,23800,1400,22900
156,10/07/2023,24600,23900,23900,24600,5900,23700
157,11/07/2023,24700,24400,24400,24600,6400,23700
158,12/07/2023,24700,24300,24500,24700,404,23800
159,13/07/2023,25200,24800,24800,25200,4200,24300
160,14/07/2023,25700,25000,25500,25000,1600,24100
161,17/07/2023,25700,25400,25400,25700,7300,24800
162,18/07/2023,26800,25700,25700,26000,13200,25100
163,19/07/2023,28600,27000,27000,28500,37500,27500
164,20/07/2023,28100,27000,28000,28100,5200,27100
165,21/07/2023,27400,27100,27400,27400,3400,26400
166,24/07/2023,27500,27400,27400,27500,3400,26500
167,25/07/2023,28000,27500,28000,27900,7500,26900
168,26/07/2023,28000,27600,27700,27600,6300,26600
169,27/07/2023,27800,25600,27800,26800,14400,25800
170,28/07/2023,26900,26300,26900,26800,1006,25800
171,31/07/2023,26800,26500,26800,26500,2100,25500
172,01/08/2023,26900,26000,26000,26700,9500,25700
173,02/08/2023,26800,26100,26500,26800,3200,25800
174,03/08/2023,26100,26000,26000,26000,2000,25100
175,04/08/2023,26700,26000,26000,26600,3700,25600
176,07/08/2023,27000,26400,26400,26500,7500,25500
177,08/08/2023,27500,26400,26400,27000,12500,26000
178,09/08/2023,27600,27000,27000,27000,6360,26000
179,10/08/2023,27100,27000,27100,27000,1411,26000
180,11/08/2023,27000,26500,26500,27000,2210,26000
181,14/08/2023,27800,27000,27800,27500,10715,26500
182,15/08/2023,27500,26800,27500,26800,3144,25800
183,16/08/2023,27400,27400,27400,27400,1500,26400
184,17/08/2023,27700,27300,27400,27400,3300,26400
185,18/08/2023,27000,24800,26500,24800,22000,23900
186,21/08/2023,26200,24900,24900,25900,2900,25000
187,22/08/2023,25300,25000,25300,25300,2000,24400
188,23/08/2023,26000,25200,26000,25200,8100,24300
189,24/08/2023,25300,25000,25100,25000,3200,24100
