,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,3100,3100,3100,3100,-,3100
1,22/11/2022,3100,3100,3100,3100,-,3100
2,23/11/2022,3100,3100,3100,3100,-,3100
3,24/11/2022,3100,3100,3100,3100,-,3100
4,25/11/2022,3500,3500,3500,3500,6300,3500
5,28/11/2022,3100,3100,3100,3100,100,3100
6,29/11/2022,3500,3500,3500,3500,200,3500
7,30/11/2022,3800,3800,3800,3800,905,3800
8,01/12/2022,4300,4300,4300,4300,100,4300
9,02/12/2022,4300,4300,4300,4300,-,4300
10,05/12/2022,4900,4900,4900,4900,200,4900
11,06/12/2022,5600,5600,5600,5600,214,5600
12,07/12/2022,6400,6000,6400,6400,2200,6400
13,08/12/2022,7200,7100,7100,7200,2400,7200
14,09/12/2022,8200,7200,7200,7200,2700,7200
15,12/12/2022,7200,6300,7200,6300,3000,6300
16,13/12/2022,6600,5800,5800,6100,3600,6100
17,14/12/2022,7400,6000,6000,7400,4900,7400
18,15/12/2022,8100,6200,6200,8100,6100,8100
19,16/12/2022,8100,7200,8100,7200,700,7200
20,19/12/2022,8600,8100,8100,8600,2490,8600
21,20/12/2022,9700,8500,9700,9700,2000,9700
22,21/12/2022,10900,10800,10800,10900,2130,10900
23,22/12/2022,12000,11900,12000,12000,900,12000
24,23/12/2022,13300,11000,11500,11000,2300,11000
25,26/12/2022,14800,13000,14800,13000,1100,13000
26,27/12/2022,14600,14600,14600,14600,-,14600
27,28/12/2022,14600,14600,14600,14600,-,14600
28,29/12/2022,14600,14600,14600,14600,-,14600
29,30/12/2022,16700,12500,13200,12500,992200,12500
30,03/01/2023,16700,16700,16700,16700,-,16700
31,04/01/2023,14200,14200,14200,14200,2006800,14200
32,05/01/2023,16300,12100,16300,12100,4900,12100
33,06/01/2023,13000,13000,13000,13000,-,13000
34,09/01/2023,11800,11100,11100,11100,1700,11100
35,10/01/2023,9500,9500,9500,9500,100,9500
36,11/01/2023,9500,9500,9500,9500,-,9500
37,12/01/2023,8100,8100,8100,8100,1500,8100
38,13/01/2023,8100,8100,8100,8100,-,8100
39,16/01/2023,8100,8100,8100,8100,440,8100
40,17/01/2023,8100,8100,8100,8100,-,8100
41,18/01/2023,8100,8100,8100,8100,-,8100
42,19/01/2023,8100,8100,8100,8100,-,8100
43,27/01/2023,8100,8100,8100,8100,-,8100
44,30/01/2023,8100,8100,8100,8100,400,8100
45,31/01/2023,8100,8100,8100,8100,-,8100
46,01/02/2023,8100,8100,8100,8100,-,8100
47,02/02/2023,8100,8100,8100,8100,-,8100
48,03/02/2023,7000,6900,6900,7000,500,7000
49,06/02/2023,6900,6900,6900,6900,-,6900
50,07/02/2023,6900,6900,6900,6900,-,6900
51,08/02/2023,6900,6900,6900,6900,-,6900
52,09/02/2023,7900,7900,7900,7900,500,7900
53,10/02/2023,7900,7900,7900,7900,-,7900
54,13/02/2023,7900,7900,7900,7900,-,7900
55,14/02/2023,7900,7900,7900,7900,-,7900
56,15/02/2023,7900,7900,7900,7900,-,7900
57,16/02/2023,7900,7800,7800,7900,610,7900
58,17/02/2023,9000,9000,9000,9000,1100,9000
59,20/02/2023,9000,9000,9000,9000,1200,9000
60,21/02/2023,9000,9000,9000,9000,-,9000
61,22/02/2023,9000,9000,9000,9000,-,9000
62,23/02/2023,9000,9000,9000,9000,-,9000
63,24/02/2023,9000,9000,9000,9000,-,9000
64,27/02/2023,9000,9000,9000,9000,-,9000
65,28/02/2023,9000,9000,9000,9000,1600,9000
66,01/03/2023,7800,7800,7800,7800,100,7800
67,02/03/2023,7800,7800,7800,7800,-,7800
68,03/03/2023,7800,7800,7800,7800,-,7800
69,06/03/2023,7800,7800,7800,7800,-,7800
70,07/03/2023,7800,7800,7800,7800,-,7800
71,08/03/2023,7800,7800,7800,7800,1310,7800
72,09/03/2023,7800,7800,7800,7800,-,7800
73,10/03/2023,8900,8900,8900,8900,900,8900
74,13/03/2023,8900,8900,8900,8900,-,8900
75,14/03/2023,8900,8900,8900,8900,-,8900
76,15/03/2023,8900,8900,8900,8900,-,8900
77,16/03/2023,8900,8900,8900,8900,-,8900
78,17/03/2023,10200,10100,10200,10200,2000,10200
79,20/03/2023,8700,8700,8700,8700,100,8700
80,21/03/2023,8700,8700,8700,8700,-,8700
81,22/03/2023,8700,8700,8700,8700,-,8700
82,23/03/2023,8700,8700,8700,8700,-,8700
83,24/03/2023,8700,8700,8700,8700,1595,8700
84,27/03/2023,10000,10000,10000,10000,800,10000
85,28/03/2023,10000,10000,10000,10000,-,10000
86,29/03/2023,10000,10000,10000,10000,-,10000
87,30/03/2023,9900,8500,8500,9900,300,9900
88,31/03/2023,9000,9000,9000,9000,-,9000
89,03/04/2023,9000,9000,9000,9000,-,9000
90,04/04/2023,9000,9000,9000,9000,-,9000
91,05/04/2023,9000,9000,9000,9000,-,9000
92,06/04/2023,9000,9000,9000,9000,418,9000
93,07/04/2023,9000,9000,9000,9000,-,9000
94,10/04/2023,9000,9000,9000,9000,-,9000
95,11/04/2023,7800,7800,7800,7800,100,7800
96,12/04/2023,7000,7000,7000,7000,2475,7000
97,13/04/2023,7000,7000,7000,7000,1265,7000
98,14/04/2023,7000,7000,7000,7000,-,7000
99,17/04/2023,7000,7000,7000,7000,-,7000
100,18/04/2023,7000,7000,7000,7000,-,7000
101,19/04/2023,7000,7000,7000,7000,-,7000
102,20/04/2023,7000,7000,7000,7000,-,7000
103,21/04/2023,7000,7000,7000,7000,-,7000
104,24/04/2023,7000,7000,7000,7000,-,7000
105,25/04/2023,7000,7000,7000,7000,-,7000
106,26/04/2023,8000,8000,8000,8000,100,8000
107,27/04/2023,9200,9200,9200,9200,200,9200
108,28/04/2023,9200,9200,9200,9200,330,9200
109,04/05/2023,9200,9200,9200,9200,-,9200
110,05/05/2023,9200,9200,9200,9200,-,9200
111,08/05/2023,9200,9200,9200,9200,-,9200
112,09/05/2023,9200,9200,9200,9200,330,9200
113,10/05/2023,9200,9200,9200,9200,-,9200
114,11/05/2023,9200,9200,9200,9200,-,9200
115,12/05/2023,9200,9200,9200,9200,-,9200
116,15/05/2023,9200,9200,9200,9200,1,9200
117,16/05/2023,9200,9200,9200,9200,-,9200
118,17/05/2023,9200,9200,9200,9200,100,9200
119,18/05/2023,9200,9200,9200,9200,-,9200
120,19/05/2023,9200,9200,9200,9200,-,9200
121,22/05/2023,9200,9200,9200,9200,-,9200
122,23/05/2023,10200,10100,10100,10200,1700,10200
123,24/05/2023,10100,10100,10100,10100,120,10100
124,25/05/2023,10000,10000,10000,10000,500,10000
125,26/05/2023,10000,10000,10000,10000,100,10000
126,29/05/2023,10000,10000,10000,10000,-,10000
127,30/05/2023,10000,10000,10000,10000,-,10000
128,31/05/2023,10000,10000,10000,10000,-,10000
129,01/06/2023,10000,10000,10000,10000,-,10000
130,02/06/2023,10000,10000,10000,10000,1500,10000
131,05/06/2023,10000,10000,10000,10000,1500,10000
132,06/06/2023,10000,10000,10000,10000,6900,10000
133,07/06/2023,10000,10000,10000,10000,10,10000
134,08/06/2023,8500,8500,8500,8500,100,8500
135,09/06/2023,8500,8500,8500,8500,990,8500
136,12/06/2023,9700,9700,9700,9700,100,9700
137,13/06/2023,11100,11100,11100,11100,1100,11100
138,14/06/2023,12700,12700,12700,12700,300,12700
139,15/06/2023,12700,12700,12700,12700,-,12700
140,16/06/2023,12700,12700,12700,12700,100,12700
141,19/06/2023,12700,12700,12700,12700,-,12700
142,20/06/2023,12700,12700,12700,12700,300,12700
143,21/06/2023,12700,12700,12700,12700,-,12700
144,22/06/2023,14400,12700,12700,14400,200,14400
145,23/06/2023,15000,15000,15000,15000,100,15000
146,26/06/2023,15000,15000,15000,15000,1914100,15000
147,27/06/2023,15000,15000,15000,15000,-,15000
148,28/06/2023,16400,13000,13000,16400,300,16400
149,29/06/2023,17000,17000,17000,17000,100,17000
150,30/06/2023,19000,17000,17000,19000,500,19000
151,03/07/2023,18600,18600,18600,18600,-,18600
152,04/07/2023,18600,18600,18600,18600,-,18600
153,05/07/2023,21300,20500,20500,21300,1300,21300
154,06/07/2023,21200,21200,21200,21200,-,21200
155,07/07/2023,21100,21100,21100,21100,100,21100
156,10/07/2023,21100,21100,21100,21100,-,21100
157,11/07/2023,18100,18000,18100,18000,200,18000
158,12/07/2023,15500,15500,15500,15500,100,15500
159,13/07/2023,15500,15500,15500,15500,-,15500
160,14/07/2023,15500,15500,15500,15500,-,15500
161,17/07/2023,13300,13300,13300,13300,100,13300
162,18/07/2023,13300,13300,13300,13300,-,13300
163,19/07/2023,11500,11500,11500,11500,100,11500
164,20/07/2023,13200,13200,13200,13200,870,13200
165,21/07/2023,15000,15000,15000,15000,100,15000
166,24/07/2023,15000,15000,15000,15000,-,15000
167,25/07/2023,15000,15000,15000,15000,-,15000
168,26/07/2023,12900,12900,12900,12900,100,12900
169,27/07/2023,14800,11100,14800,11100,400,11100
170,28/07/2023,13800,13800,13800,13800,100,13800
171,31/07/2023,15800,15800,15800,15800,100,15800
172,01/08/2023,15800,15800,15800,15800,-,15800
173,02/08/2023,13500,13500,13500,13500,3000,13500
174,03/08/2023,11600,11600,11600,11600,100,11600
175,04/08/2023,13300,10000,13300,10000,300,10000
176,07/08/2023,11100,11100,11100,11100,-,11100
177,08/08/2023,11100,11100,11100,11100,-,11100
178,09/08/2023,11100,11100,11100,11100,-,11100
179,10/08/2023,11100,11100,11100,11100,-,11100
180,11/08/2023,11100,11100,11100,11100,-,11100
181,14/08/2023,9500,9500,9500,9500,100,9500
182,15/08/2023,9500,9500,9500,9500,-,9500
183,16/08/2023,9500,9500,9500,9500,-,9500
184,17/08/2023,9500,9500,9500,9500,-,9500
185,18/08/2023,9500,9500,9500,9500,-,9500
186,21/08/2023,9500,9500,9500,9500,-,9500
187,22/08/2023,9500,9500,9500,9500,-,9500
188,23/08/2023,9500,9500,9500,9500,-,9500
189,24/08/2023,8100,8100,8100,8100,102,8100
190,25/08/2023,8100,8100,8100,8100,-,8100
191,28/08/2023,8100,8100,8100,8100,-,8100
192,29/08/2023,8100,8100,8100,8100,-,8100
193,30/08/2023,8100,8100,8100,8100,-,8100
194,31/08/2023,8100,8100,8100,8100,-,8100
195,05/09/2023,8100,8100,8100,8100,-,8100
196,06/09/2023,8100,8100,8100,8100,-,8100
197,07/09/2023,8100,8100,8100,8100,-,8100
198,08/09/2023,8100,8100,8100,8100,-,8100
199,11/09/2023,8100,8100,8100,8100,-,8100
200,12/09/2023,8100,8100,8100,8100,-,8100
201,13/09/2023,8100,8100,8100,8100,-,8100
202,14/09/2023,8100,8100,8100,8100,-,8100
203,15/09/2023,8100,8100,8100,8100,-,8100
204,18/09/2023,8100,8100,8100,8100,-,8100
205,19/09/2023,8100,8100,8100,8100,-,8100
206,20/09/2023,8100,8100,8100,8100,-,8100
207,21/09/2023,8100,8100,8100,8100,-,8100
208,22/09/2023,6900,6900,6900,6900,300,6900
209,25/09/2023,6900,6900,6900,6900,-,6900
210,26/09/2023,6900,6900,6900,6900,-,6900
211,27/09/2023,6900,6900,6900,6900,-,6900
212,28/09/2023,6900,6900,6900,6900,-,6900
213,29/09/2023,6900,6900,6900,6900,-,6900
214,02/10/2023,6900,6900,6900,6900,-,6900
215,03/10/2023,6900,6900,6900,6900,-,6900
216,04/10/2023,6900,6900,6900,6900,-,6900
217,05/10/2023,6900,6900,6900,6900,-,6900
218,06/10/2023,6900,6900,6900,6900,-,6900
219,09/10/2023,6900,6900,6900,6900,1,6900
220,10/10/2023,6900,6900,6900,6900,-,6900
221,11/10/2023,7000,7000,7000,7000,1650,7000
222,12/10/2023,7000,7000,7000,7000,-,7000
223,13/10/2023,7000,7000,7000,7000,-,7000
224,16/10/2023,7000,7000,7000,7000,-,7000
225,17/10/2023,7000,7000,7000,7000,-,7000
226,18/10/2023,7000,7000,7000,7000,-,7000
227,19/10/2023,7000,7000,7000,7000,-,7000
228,20/10/2023,7000,7000,7000,7000,-,7000
229,23/10/2023,7000,7000,7000,7000,-,7000
230,24/10/2023,7000,7000,7000,7000,-,7000
231,25/10/2023,7000,7000,7000,7000,-,7000
232,26/10/2023,7000,7000,7000,7000,-,7000
233,27/10/2023,7000,7000,7000,7000,-,7000
234,30/10/2023,7000,7000,7000,7000,-,7000
235,31/10/2023,7000,7000,7000,7000,-,7000
236,01/11/2023,7000,7000,7000,7000,-,7000
237,02/11/2023,7000,7000,7000,7000,-,7000
238,03/11/2023,7000,7000,7000,7000,-,7000
239,06/11/2023,7000,7000,7000,7000,-,7000
240,07/11/2023,7000,7000,7000,7000,-,7000
241,08/11/2023,7000,7000,7000,7000,-,7000
242,09/11/2023,7000,7000,7000,7000,-,7000
243,10/11/2023,7000,7000,7000,7000,-,7000
244,13/11/2023,7000,7000,7000,7000,-,7000
245,14/11/2023,7000,7000,7000,7000,-,7000
246,15/11/2023,7000,7000,7000,7000,-,7000
247,16/11/2023,7000,7000,7000,7000,-,7000
248,17/11/2023,4200,4200,4200,4200,100,4200
249,20/11/2023,4200,4200,4200,4200,-,4200
