,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,4900,4300,4900,4800,600,4800
1,22/11/2022,5400,4500,4800,5100,3200,5100
2,23/11/2022,5300,5100,5300,5200,1500,5200
3,24/11/2022,5200,5200,5200,5200,1000,5200
4,25/11/2022,5100,4500,5000,4900,5000,4900
5,28/11/2022,5200,4200,5200,4900,10400,4900
6,29/11/2022,5100,4500,5100,4500,1300,4500
7,30/11/2022,5000,4700,4800,4900,4800,4900
8,01/12/2022,4800,4300,4300,4700,2400,4700
9,02/12/2022,4800,4700,4800,4800,1800,4800
10,05/12/2022,5100,4800,4800,5000,1100,5000
11,06/12/2022,5100,5000,5100,5000,1700,5000
12,07/12/2022,5100,4300,5000,5000,5300,5000
13,08/12/2022,4600,4600,4600,4600,2000,4600
14,09/12/2022,4800,4600,4600,4700,3200,4700
15,12/12/2022,4800,4700,4800,4800,6700,4800
16,13/12/2022,4800,4600,4800,4800,2000,4800
17,14/12/2022,4600,4600,4600,4600,1000,4600
18,15/12/2022,5100,4700,5100,4700,200,4700
19,16/12/2022,4700,4600,4700,4600,1100,4600
20,19/12/2022,4700,4600,4600,4700,1000,4700
21,20/12/2022,4600,4600,4600,4600,500,4600
22,21/12/2022,4900,4500,4600,4900,1300,4900
23,22/12/2022,4700,4700,4700,4700,100,4700
24,23/12/2022,4500,4500,4500,4500,2200,4500
25,26/12/2022,4600,4500,4500,4500,6300,4500
26,27/12/2022,4500,4500,4500,4500,-,4500
27,28/12/2022,5000,4600,4600,5000,6011,5000
28,29/12/2022,5000,5000,5000,5000,100,5000
29,30/12/2022,5000,4500,4600,5000,1500,5000
30,03/01/2023,4600,4600,4600,4600,400,4600
31,04/01/2023,5000,4600,5000,4700,7400,4700
32,05/01/2023,4600,4600,4600,4600,800,4600
33,06/01/2023,4600,4600,4600,4600,11,4600
34,09/01/2023,5000,4500,5000,4600,13900,4600
35,10/01/2023,4900,4300,4900,4400,3000,4400
36,11/01/2023,4700,4500,4700,4500,1600,4500
37,12/01/2023,4700,4500,4500,4600,4900,4600
38,13/01/2023,4900,4600,4900,4600,400,4600
39,16/01/2023,4600,4600,4600,4600,100,4600
40,17/01/2023,4800,4600,4700,4800,4200,4800
41,18/01/2023,5000,4800,4900,4800,3800,4800
42,19/01/2023,5600,5000,5600,5100,600,5100
43,27/01/2023,5300,4800,5300,4800,500,4800
44,30/01/2023,5000,4500,5000,4500,1900,4500
45,31/01/2023,5300,4900,5300,4900,6800,4900
46,01/02/2023,5400,4600,5400,4800,2100,4800
47,02/02/2023,5100,4600,5100,4600,8200,4600
48,03/02/2023,4900,4600,4900,4600,2400,4600
49,06/02/2023,5000,4600,5000,4600,400,4600
50,07/02/2023,4800,4700,4800,4800,1100,4800
51,08/02/2023,4800,4700,4700,4800,1300,4800
52,09/02/2023,4800,4700,4800,4700,1500,4700
53,10/02/2023,4700,4600,4600,4700,200,4700
54,13/02/2023,4700,4500,4700,4600,2000,4600
55,14/02/2023,4600,4600,4600,4600,-,4600
56,15/02/2023,4600,4600,4600,4600,600,4600
57,16/02/2023,4700,4500,4700,4500,500,4500
58,17/02/2023,4600,4600,4600,4600,-,4600
59,20/02/2023,4600,4500,4600,4600,7000,4600
60,21/02/2023,4700,4500,4700,4500,2200,4500
61,22/02/2023,5100,4600,5100,4700,1500,4700
62,23/02/2023,4600,4300,4500,4600,8600,4600
63,24/02/2023,4700,4500,4700,4500,1300,4500
64,27/02/2023,4500,4500,4500,4500,200,4500
65,28/02/2023,4500,4500,4500,4500,1000,4500
66,01/03/2023,4500,4500,4500,4500,900,4500
67,02/03/2023,4700,4400,4400,4700,3300,4700
68,03/03/2023,5100,4600,4700,4600,900,4600
69,06/03/2023,4700,4500,4500,4700,1400,4700
70,07/03/2023,4700,4700,4700,4700,200,4700
71,08/03/2023,4700,4300,4500,4700,3700,4700
72,09/03/2023,5100,4900,5100,4900,200,4900
73,10/03/2023,4500,4500,4500,4500,813,4500
74,13/03/2023,4400,4400,4400,4400,900,4400
75,14/03/2023,4600,4000,4600,4000,43887,4000
76,15/03/2023,4800,4100,4600,4600,9600,4600
77,16/03/2023,4500,4400,4400,4500,19400,4500
78,17/03/2023,4600,4400,4400,4600,1101,4600
79,20/03/2023,4700,4100,4700,4100,3000,4100
80,21/03/2023,4600,4000,4600,4600,13800,4600
81,22/03/2023,4600,4400,4500,4600,1400,4600
82,23/03/2023,4300,4300,4300,4300,300,4300
83,24/03/2023,4500,4300,4400,4300,21200,4300
84,27/03/2023,4500,4200,4300,4500,6434,4500
85,28/03/2023,4500,4100,4200,4100,6900,4100
86,29/03/2023,4400,4300,4400,4300,1300,4300
87,30/03/2023,4300,4300,4300,4300,800,4300
88,31/03/2023,4300,4300,4300,4300,-,4300
89,03/04/2023,4500,4200,4500,4200,600,4200
90,04/04/2023,4300,4300,4300,4300,5200,4300
91,05/04/2023,4300,4300,4300,4300,-,4300
92,06/04/2023,4400,4300,4400,4300,1100,4300
93,07/04/2023,4400,4300,4400,4300,2400,4300
94,10/04/2023,4300,4100,4100,4300,2436,4300
95,11/04/2023,4400,4300,4300,4400,3000,4400
96,12/04/2023,4500,4300,4500,4300,1400,4300
97,13/04/2023,4300,4300,4300,4300,-,4300
98,14/04/2023,4300,4300,4300,4300,-,4300
99,17/04/2023,4300,4300,4300,4300,900,4300
100,18/04/2023,4300,4200,4200,4300,800,4300
101,19/04/2023,4900,4300,4900,4300,830,4300
102,20/04/2023,4500,4200,4200,4500,1920,4500
103,21/04/2023,4400,3900,4200,3900,5700,3900
104,24/04/2023,4700,4000,4000,4000,8504,4000
105,25/04/2023,4300,4000,4200,4200,1600,4200
106,26/04/2023,4700,4200,4200,4600,17500,4600
107,27/04/2023,4700,4700,4700,4700,100,4700
108,28/04/2023,5400,4300,4300,5100,89800,5100
109,04/05/2023,5100,5100,5100,5100,588,5100
110,05/05/2023,5000,4800,5000,4800,1200,4800
111,08/05/2023,5000,4500,4700,4800,48611,4800
112,09/05/2023,4800,4500,4800,4800,4400,4800
113,10/05/2023,5400,4600,4700,5400,19101,5400
114,11/05/2023,5600,4800,4800,5600,1100,5600
115,12/05/2023,4900,4900,4900,4900,2800,4900
116,15/05/2023,5400,5400,5400,5400,2000,5400
117,16/05/2023,5400,5200,5400,5200,900,5200
118,17/05/2023,5300,5300,5300,5300,-,5300
119,18/05/2023,4900,4700,4700,4900,1500,4900
120,19/05/2023,4800,4800,4800,4800,600,4800
121,22/05/2023,5000,5000,5000,5000,500,5000
122,23/05/2023,5000,5000,5000,5000,200,5000
123,24/05/2023,5000,5000,5000,5000,400,5000
124,25/05/2023,5000,5000,5000,5000,1,5000
125,26/05/2023,5100,5000,5100,5000,1300,5000
126,29/05/2023,5100,5000,5100,5000,900,5000
127,30/05/2023,5000,4500,5000,4500,3101,4500
128,31/05/2023,4700,4600,4600,4700,4001,4700
129,01/06/2023,5100,4900,5100,4900,1466,4900
130,02/06/2023,4900,4500,4700,4900,2100,4900
131,05/06/2023,5200,4700,5200,4700,900,4700
132,06/06/2023,5000,4800,5000,4800,2200,4800
133,07/06/2023,5000,4700,4700,5000,1236,5000
134,08/06/2023,5100,5000,5000,5000,5000,5000
135,09/06/2023,5100,5000,5100,5100,4600,5100
136,12/06/2023,5200,4800,5200,4800,400,4800
137,13/06/2023,5200,4800,5200,5000,2500,5000
138,14/06/2023,5000,4800,5000,4800,2700,4800
139,15/06/2023,5100,4900,5100,4900,2800,4900
140,16/06/2023,5100,4800,4800,5100,800,5100
141,19/06/2023,4900,4500,4900,4500,1100,4500
142,20/06/2023,5000,4700,4700,4900,6000,4900
143,21/06/2023,4900,4800,4900,4800,800,4800
144,22/06/2023,4900,4700,4900,4700,2900,4700
145,23/06/2023,4900,4700,4900,4800,7600,4800
146,26/06/2023,4800,4800,4800,4800,7500,4800
147,27/06/2023,4800,4700,4800,4800,1900,4800
148,28/06/2023,4800,4800,4800,4800,4700,4800
149,29/06/2023,4800,4800,4800,4800,1800,4800
150,30/06/2023,4800,4700,4800,4800,900,4800
151,03/07/2023,4800,4800,4800,4800,210,4800
152,04/07/2023,4800,4700,4800,4700,2300,4700
153,05/07/2023,4700,4700,4700,4700,3100,4700
154,06/07/2023,4800,4600,4700,4800,6100,4800
155,07/07/2023,4800,4600,4600,4800,3701,4800
156,10/07/2023,5200,4800,4800,5000,2700,5000
157,11/07/2023,4900,4600,4900,4900,700,4900
158,12/07/2023,4800,4800,4800,4800,3100,4800
159,13/07/2023,5200,4900,5000,4900,8100,4900
160,14/07/2023,5000,4800,5000,4800,2200,4800
161,17/07/2023,5200,4900,5200,4900,300,4900
162,18/07/2023,5000,5000,5000,5000,600,5000
163,19/07/2023,5000,5000,5000,5000,-,5000
164,20/07/2023,5000,4700,5000,5000,4300,5000
165,21/07/2023,5100,4800,5100,4800,200,4800
166,24/07/2023,4900,4700,4800,4900,15200,4900
167,25/07/2023,4900,4800,4900,4800,1700,4800
168,26/07/2023,5300,5000,5000,5000,19800,5000
169,27/07/2023,5300,5100,5200,5100,11700,5100
170,28/07/2023,5300,5000,5100,5100,14529,5100
171,31/07/2023,5400,5100,5100,5200,5564,5200
172,01/08/2023,5500,5100,5400,5100,8300,5100
173,02/08/2023,5300,5000,5200,5000,9000,5000
174,03/08/2023,5100,5000,5000,5100,1500,5100
175,04/08/2023,5100,5100,5100,5100,1600,5100
