,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,10300,10300,10300,10300,-,10300
1,22/11/2022,10300,10300,10300,10300,-,10300
2,23/11/2022,10300,10300,10300,10300,-,10300
3,24/11/2022,10300,10300,10300,10300,-,10300
4,25/11/2022,10300,10300,10300,10300,-,10300
5,28/11/2022,10300,10300,10300,10300,-,10300
6,29/11/2022,10300,10300,10300,10300,-,10300
7,30/11/2022,10300,10300,10300,10300,-,10300
8,01/12/2022,10300,10300,10300,10300,-,10300
9,02/12/2022,10300,10300,10300,10300,-,10300
10,05/12/2022,10300,10300,10300,10300,-,10300
11,06/12/2022,10300,10300,10300,10300,-,10300
12,07/12/2022,10300,10300,10300,10300,-,10300
13,08/12/2022,10300,10300,10300,10300,-,10300
14,09/12/2022,10300,10300,10300,10300,-,10300
15,12/12/2022,10300,10300,10300,10300,-,10300
16,13/12/2022,10300,10300,10300,10300,-,10300
17,14/12/2022,10300,10300,10300,10300,-,10300
18,15/12/2022,10300,10300,10300,10300,-,10300
19,16/12/2022,10300,10300,10300,10300,-,10300
20,19/12/2022,10300,10300,10300,10300,-,10300
21,20/12/2022,10300,10300,10300,10300,-,10300
22,21/12/2022,10300,10300,10300,10300,-,10300
23,22/12/2022,10300,10300,10300,10300,-,10300
24,23/12/2022,10300,10300,10300,10300,-,10300
25,26/12/2022,10300,10300,10300,10300,-,10300
26,27/12/2022,10300,10300,10300,10300,-,10300
27,28/12/2022,10300,10300,10300,10300,-,10300
28,29/12/2022,10300,10300,10300,10300,-,10300
29,30/12/2022,10300,10300,10300,10300,-,10300
30,03/01/2023,10300,10300,10300,10300,-,10300
31,04/01/2023,10300,10300,10300,10300,-,10300
32,05/01/2023,10300,10300,10300,10300,-,10300
33,06/01/2023,10300,10300,10300,10300,-,10300
34,09/01/2023,10300,10300,10300,10300,-,10300
35,10/01/2023,10300,10300,10300,10300,-,10300
36,11/01/2023,10300,10300,10300,10300,-,10300
37,12/01/2023,10300,10300,10300,10300,-,10300
38,13/01/2023,10300,10300,10300,10300,-,10300
39,16/01/2023,10300,10300,10300,10300,-,10300
40,17/01/2023,10300,10300,10300,10300,-,10300
41,18/01/2023,10300,10300,10300,10300,-,10300
42,19/01/2023,10300,10300,10300,10300,-,10300
43,27/01/2023,10300,10300,10300,10300,-,10300
44,30/01/2023,10300,10300,10300,10300,-,10300
45,31/01/2023,10300,10300,10300,10300,-,10300
46,01/02/2023,10300,10300,10300,10300,-,10300
47,02/02/2023,10300,10300,10300,10300,-,10300
48,03/02/2023,10300,10300,10300,10300,-,10300
49,06/02/2023,10300,10300,10300,10300,-,10300
50,07/02/2023,10300,10300,10300,10300,-,10300
51,08/02/2023,10300,10300,10300,10300,-,10300
52,09/02/2023,10300,10300,10300,10300,-,10300
53,10/02/2023,10300,10300,10300,10300,-,10300
54,13/02/2023,10300,10300,10300,10300,-,10300
55,14/02/2023,10300,10300,10300,10300,-,10300
56,15/02/2023,10300,10300,10300,10300,-,10300
57,16/02/2023,10300,10300,10300,10300,-,10300
58,17/02/2023,10300,10300,10300,10300,-,10300
59,20/02/2023,10300,10300,10300,10300,-,10300
60,21/02/2023,10300,10300,10300,10300,-,10300
61,22/02/2023,10300,10300,10300,10300,-,10300
62,23/02/2023,10300,10300,10300,10300,-,10300
63,24/02/2023,10300,10300,10300,10300,-,10300
64,27/02/2023,10300,10300,10300,10300,-,10300
65,28/02/2023,10300,10300,10300,10300,-,10300
66,01/03/2023,10300,10300,10300,10300,-,10300
67,02/03/2023,10300,10300,10300,10300,-,10300
68,03/03/2023,10300,10300,10300,10300,-,10300
69,06/03/2023,10300,10300,10300,10300,-,10300
70,07/03/2023,10300,10300,10300,10300,-,10300
71,08/03/2023,10300,10300,10300,10300,-,10300
72,09/03/2023,10300,10300,10300,10300,-,10300
73,10/03/2023,10300,10300,10300,10300,-,10300
74,13/03/2023,10300,10300,10300,10300,-,10300
75,14/03/2023,10300,10300,10300,10300,-,10300
76,15/03/2023,10300,10300,10300,10300,-,10300
77,16/03/2023,10300,10300,10300,10300,-,10300
78,17/03/2023,10300,10300,10300,10300,-,10300
79,20/03/2023,10300,10300,10300,10300,-,10300
80,21/03/2023,10300,10300,10300,10300,-,10300
81,22/03/2023,10300,10300,10300,10300,-,10300
82,23/03/2023,10300,10300,10300,10300,-,10300
83,24/03/2023,10300,10300,10300,10300,-,10300
84,27/03/2023,10300,10300,10300,10300,-,10300
85,28/03/2023,10300,10300,10300,10300,-,10300
86,29/03/2023,10300,10300,10300,10300,-,10300
87,30/03/2023,10300,10300,10300,10300,-,10300
88,31/03/2023,10300,10300,10300,10300,-,10300
89,03/04/2023,10300,10300,10300,10300,-,10300
90,04/04/2023,10300,10300,10300,10300,-,10300
91,05/04/2023,10300,10300,10300,10300,-,10300
92,06/04/2023,10300,10300,10300,10300,-,10300
93,07/04/2023,10300,10300,10300,10300,-,10300
94,10/04/2023,10300,10300,10300,10300,-,10300
95,11/04/2023,10300,10300,10300,10300,-,10300
96,12/04/2023,10300,10300,10300,10300,-,10300
97,13/04/2023,10300,10300,10300,10300,-,10300
98,14/04/2023,10300,10300,10300,10300,-,10300
99,17/04/2023,10300,10300,10300,10300,-,10300
100,18/04/2023,10300,10300,10300,10300,-,10300
101,19/04/2023,10300,10300,10300,10300,-,10300
102,20/04/2023,10300,10300,10300,10300,-,10300
103,21/04/2023,10300,10300,10300,10300,-,10300
104,24/04/2023,10300,10300,10300,10300,-,10300
105,25/04/2023,10300,10300,10300,10300,-,10300
106,26/04/2023,10300,10300,10300,10300,-,10300
107,27/04/2023,10300,10300,10300,10300,-,10300
108,28/04/2023,10300,10300,10300,10300,-,10300
109,04/05/2023,10300,10300,10300,10300,-,10300
110,05/05/2023,10300,10300,10300,10300,-,10300
111,08/05/2023,10300,10300,10300,10300,-,10300
112,09/05/2023,10300,10300,10300,10300,-,10300
113,10/05/2023,10300,10300,10300,10300,-,10300
114,11/05/2023,10300,10300,10300,10300,-,10300
115,12/05/2023,10300,10300,10300,10300,-,10300
116,15/05/2023,10300,10300,10300,10300,-,10300
117,16/05/2023,10300,10300,10300,10300,-,10300
118,17/05/2023,10300,10300,10300,10300,-,10300
119,18/05/2023,10300,10300,10300,10300,-,10300
120,19/05/2023,10300,10300,10300,10300,-,10300
121,22/05/2023,10300,10300,10300,10300,-,10300
122,23/05/2023,10300,10300,10300,10300,-,10300
123,24/05/2023,10300,10300,10300,10300,-,10300
