,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,35000,35000,35000,35000,-,35000
1,22/11/2022,35000,35000,35000,35000,-,35000
2,23/11/2022,35000,35000,35000,35000,-,35000
3,24/11/2022,35000,35000,35000,35000,-,35000
4,25/11/2022,35000,35000,35000,35000,-,35000
5,28/11/2022,35000,35000,35000,35000,-,35000
6,29/11/2022,35000,35000,35000,35000,-,35000
7,30/11/2022,35000,35000,35000,35000,-,35000
8,01/12/2022,35000,35000,35000,35000,-,35000
9,02/12/2022,35000,35000,35000,35000,-,35000
10,05/12/2022,35000,35000,35000,35000,-,35000
11,06/12/2022,35000,35000,35000,35000,-,35000
12,07/12/2022,21000,21000,21000,21000,1000,21000
13,08/12/2022,21000,21000,21000,21000,80,21000
14,09/12/2022,24100,24100,24100,24100,100,24100
15,12/12/2022,24100,24100,24100,24100,37,24100
16,13/12/2022,24100,24100,24100,24100,47,24100
17,14/12/2022,24100,24100,24100,24100,-,24100
18,15/12/2022,24100,24100,24100,24100,-,24100
19,16/12/2022,24100,24100,24100,24100,-,24100
20,19/12/2022,24100,24100,24100,24100,-,24100
21,20/12/2022,24100,24100,24100,24100,-,24100
22,21/12/2022,24100,24100,24100,24100,36,24100
23,22/12/2022,24100,24100,24100,24100,-,24100
24,23/12/2022,24100,24100,24100,24100,-,24100
25,26/12/2022,24100,24100,24100,24100,-,24100
26,27/12/2022,24100,24100,24100,24100,-,24100
27,28/12/2022,24100,24100,24100,24100,-,24100
28,29/12/2022,24100,24100,24100,24100,-,24100
29,30/12/2022,24100,24100,24100,24100,-,24100
30,03/01/2023,24100,24100,24100,24100,-,24100
31,04/01/2023,24100,24100,24100,24100,-,24100
32,05/01/2023,24100,24100,24100,24100,-,24100
33,06/01/2023,24100,24100,24100,24100,-,24100
34,09/01/2023,24100,24100,24100,24100,-,24100
35,10/01/2023,24100,24100,24100,24100,-,24100
36,11/01/2023,24100,24100,24100,24100,-,24100
37,12/01/2023,24100,24100,24100,24100,-,24100
38,13/01/2023,24100,24100,24100,24100,-,24100
39,16/01/2023,24100,24100,24100,24100,-,24100
40,17/01/2023,24100,24100,24100,24100,-,24100
41,18/01/2023,24100,24100,24100,24100,-,24100
42,19/01/2023,24100,24100,24100,24100,-,24100
43,27/01/2023,24100,24100,24100,24100,-,24100
44,30/01/2023,24100,24100,24100,24100,-,24100
45,31/01/2023,24100,24100,24100,24100,-,24100
46,01/02/2023,24100,24100,24100,24100,-,24100
47,02/02/2023,24100,24100,24100,24100,-,24100
48,03/02/2023,24100,24100,24100,24100,-,24100
49,06/02/2023,24100,24100,24100,24100,-,24100
50,07/02/2023,24100,24100,24100,24100,-,24100
51,08/02/2023,24100,24100,24100,24100,-,24100
52,09/02/2023,24100,24100,24100,24100,-,24100
53,10/02/2023,24100,24100,24100,24100,-,24100
54,13/02/2023,24100,24100,24100,24100,-,24100
55,14/02/2023,24100,24100,24100,24100,-,24100
56,15/02/2023,24100,24100,24100,24100,-,24100
57,16/02/2023,24100,24100,24100,24100,-,24100
58,17/02/2023,24100,24100,24100,24100,-,24100
59,20/02/2023,24100,24100,24100,24100,-,24100
60,21/02/2023,24100,24100,24100,24100,-,24100
61,22/02/2023,24100,24100,24100,24100,-,24100
62,23/02/2023,24100,24100,24100,24100,-,24100
63,24/02/2023,33700,33700,33700,33700,100,33700
64,27/02/2023,33700,33700,33700,33700,-,33700
65,28/02/2023,33700,33700,33700,33700,-,33700
66,01/03/2023,33700,33700,33700,33700,-,33700
67,02/03/2023,33700,33700,33700,33700,-,33700
68,03/03/2023,37000,37000,37000,37000,100,37000
