,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,3500,3500,3500,3500,1200,3500
1,22/11/2022,4000,4000,4000,4000,300,4000
2,23/11/2022,4600,4600,4600,4600,100,4600
3,24/11/2022,4600,4600,4600,4600,2300,4600
4,25/11/2022,5200,4600,4600,5200,200,5200
5,28/11/2022,5600,4500,4500,5600,2200,5600
6,29/11/2022,4500,4500,4500,4500,500,4500
7,30/11/2022,4300,4100,4300,4100,400,4100
8,01/12/2022,4200,4200,4200,4200,500,4200
9,02/12/2022,4000,3800,4000,3800,301,3800
10,05/12/2022,3900,3900,3900,3900,-,3900
11,06/12/2022,3900,3900,3900,3900,-,3900
12,07/12/2022,3900,3900,3900,3900,-,3900
13,08/12/2022,3900,3900,3900,3900,-,3900
14,09/12/2022,3900,3900,3900,3900,-,3900
15,12/12/2022,3900,3900,3900,3800,13,3900
16,13/12/2022,3900,3900,3900,3900,-,3900
17,14/12/2022,3900,3900,3900,3900,-,3900
18,15/12/2022,3600,3600,3600,3600,600,3600
19,16/12/2022,3600,3600,3600,3600,-,3600
20,19/12/2022,4100,4100,4100,4100,300,4100
21,20/12/2022,4700,4700,4700,4700,1856,4700
22,21/12/2022,4700,4000,4100,4600,1500,4600
23,22/12/2022,4500,4500,4500,4500,-,4500
24,23/12/2022,4800,4800,4800,4800,100,4800
25,26/12/2022,5500,5300,5500,5300,300,5300
26,27/12/2022,5300,5200,5200,5300,1000,5300
27,28/12/2022,5200,5200,5200,5200,200,5200
28,29/12/2022,5200,5200,5200,5200,-,5200
29,30/12/2022,5200,5200,5200,5200,-,5200
30,03/01/2023,5800,5800,5800,5800,100,5800
31,04/01/2023,6500,5000,6500,6200,3900,6200
32,05/01/2023,4500,4500,4500,4500,100,4500
33,06/01/2023,4500,4500,4500,4500,-,4500
34,09/01/2023,4500,4500,4500,4500,-,4500
35,10/01/2023,4500,4500,4500,4500,-,4500
36,11/01/2023,4000,4000,4000,4000,100,4000
37,12/01/2023,4000,4000,4000,4000,-,4000
38,13/01/2023,4600,4600,4600,4600,100,4600
39,16/01/2023,4600,4600,4600,4600,-,4600
40,17/01/2023,4600,4600,4600,4600,-,4600
41,18/01/2023,5000,5000,5000,5000,100,5000
42,19/01/2023,5000,5000,5000,5000,-,5000
43,27/01/2023,5000,5000,5000,5000,-,5000
44,30/01/2023,4400,4300,4400,4300,2900,4300
45,31/01/2023,4300,4300,4300,4300,-,4300
46,01/02/2023,4500,4500,4500,4500,200,4500
47,02/02/2023,4500,4500,4500,4500,-,4500
48,03/02/2023,4500,4500,4500,4500,-,4500
49,06/02/2023,4400,4400,4400,4400,3300,4400
50,07/02/2023,4400,4400,4400,4400,-,4400
51,08/02/2023,4800,4800,4800,4800,100,4800
52,09/02/2023,5000,5000,5000,5000,100,5000
53,10/02/2023,5000,5000,5000,5000,-,5000
54,13/02/2023,5000,5000,5000,5000,-,5000
55,14/02/2023,5000,5000,5000,5000,300,5000
56,15/02/2023,5000,5000,5000,5000,-,5000
57,16/02/2023,5000,5000,5000,5000,-,5000
58,17/02/2023,5000,5000,5000,5000,-,5000
59,20/02/2023,5200,5200,5200,5200,500,5200
60,21/02/2023,5200,5200,5200,5200,-,5200
61,22/02/2023,5200,5200,5200,5200,-,5200
62,23/02/2023,5200,5200,5200,5200,-,5200
63,24/02/2023,5200,5200,5200,5200,-,5200
64,27/02/2023,5200,5200,5200,5200,-,5200
65,28/02/2023,5200,5200,5200,5200,-,5200
66,01/03/2023,5200,5200,5200,5200,-,5200
67,02/03/2023,5200,5200,5200,5200,-,5200
68,03/03/2023,5200,5200,5200,5200,-,5200
69,06/03/2023,5000,5000,5000,5000,300,5000
70,07/03/2023,4500,4500,4500,4500,1200,4500
71,08/03/2023,4500,4500,4500,4500,-,4500
72,09/03/2023,4500,4500,4500,4500,-,4500
73,10/03/2023,4500,4500,4500,4500,-,4500
74,13/03/2023,4500,4500,4500,4500,200,4500
75,14/03/2023,4500,4500,4500,4500,-,4500
76,15/03/2023,4500,4500,4500,4500,-,4500
77,16/03/2023,4800,4800,4800,4800,100,4800
78,17/03/2023,4800,4800,4800,4800,-,4800
79,20/03/2023,4800,4800,4800,4800,-,4800
80,21/03/2023,4800,4800,4800,4800,-,4800
81,22/03/2023,4600,4600,4600,4600,100,4600
82,23/03/2023,4600,4600,4600,4600,-,4600
83,24/03/2023,4600,4600,4600,4600,-,4600
84,27/03/2023,4600,4600,4600,4600,-,4600
85,28/03/2023,4600,4600,4600,4600,-,4600
86,29/03/2023,4600,4600,4600,4600,-,4600
87,30/03/2023,4600,4600,4600,4600,-,4600
88,31/03/2023,4600,4600,4600,4600,-,4600
89,03/04/2023,4600,4600,4600,4600,-,4600
90,04/04/2023,4600,4600,4600,4600,-,4600
91,05/04/2023,4800,4800,4800,4800,200,4800
92,06/04/2023,4100,4100,4100,4100,1000,4100
93,07/04/2023,4700,4700,4700,4700,1400,4700
94,10/04/2023,5100,4700,4700,5100,200,5100
95,11/04/2023,5100,5100,5100,5100,100,5100
96,12/04/2023,5200,5100,5100,5200,200,5200
97,13/04/2023,5400,5200,5200,5400,400,5400
98,14/04/2023,5400,5200,5200,5400,600,5400
99,17/04/2023,5300,5300,5300,5300,-,5300
100,18/04/2023,5300,5300,5300,5300,-,5300
101,19/04/2023,5300,5300,5300,5300,100,5300
102,20/04/2023,5300,5300,5300,5300,-,5300
103,21/04/2023,5300,5300,5300,5300,-,5300
104,24/04/2023,5300,5300,5300,5300,-,5300
105,25/04/2023,5300,5300,5300,5300,-,5300
106,26/04/2023,5300,5300,5300,5300,-,5300
107,27/04/2023,5300,5300,5300,5300,-,5300
108,28/04/2023,5300,5300,5300,5300,-,5300
109,04/05/2023,5300,5200,5200,5300,300,5300
110,05/05/2023,5300,5300,5300,5300,-,5300
111,08/05/2023,5300,5300,5300,5300,1,5300
112,09/05/2023,5300,5300,5300,5300,-,5300
113,10/05/2023,5300,5300,5300,5300,-,5300
114,11/05/2023,6000,5900,6000,5900,500,5900
115,12/05/2023,5100,5100,5100,5100,400,5100
116,15/05/2023,5100,5100,5100,5100,-,5100
117,16/05/2023,5100,5100,5100,5100,-,5100
118,17/05/2023,5100,5100,5100,5100,-,5100
119,18/05/2023,5100,5100,5100,5100,-,5100
120,19/05/2023,5100,5100,5100,5100,-,5100
121,22/05/2023,5100,5100,5100,5100,-,5100
122,23/05/2023,5000,5000,5000,5000,100,5000
123,24/05/2023,5000,5000,5000,5000,100,5000
124,25/05/2023,5000,5000,5000,5000,-,5000
125,26/05/2023,4800,4600,4600,4800,600,4800
126,29/05/2023,5000,4800,4800,5000,2400,5000
127,30/05/2023,5100,5100,5100,5100,100,5100
128,31/05/2023,5100,5100,5100,5100,-,5100
129,01/06/2023,5700,5000,5000,5700,800,5700
130,02/06/2023,6200,6200,6200,6200,200,6200
131,05/06/2023,6200,6200,6200,6200,-,6200
132,06/06/2023,5600,5300,5600,5400,2500,5400
133,07/06/2023,5400,5400,5400,5400,-,5400
134,08/06/2023,5400,5400,5400,5400,-,5400
135,09/06/2023,5400,5400,5400,5400,-,5400
136,12/06/2023,5400,5400,5400,5400,-,5400
137,13/06/2023,5400,5400,5400,5400,-,5400
138,14/06/2023,6000,5400,5400,6000,1211,6000
139,15/06/2023,5700,5700,5700,5700,-,5700
140,16/06/2023,5700,5700,5700,5700,200,5700
141,19/06/2023,6000,5000,6000,5200,1100,5200
142,20/06/2023,5000,4700,5000,4700,2100,4700
143,21/06/2023,4700,4700,4700,4700,200,4700
144,22/06/2023,5400,5200,5200,5400,3911,5400
145,23/06/2023,6200,5600,6000,6200,5700,6200
146,26/06/2023,6200,5600,6200,6000,600,6000
147,27/06/2023,5900,5900,5900,5900,-,5900
148,28/06/2023,5900,5900,5900,5900,100,5900
149,29/06/2023,6200,6000,6000,6200,400,6200
150,30/06/2023,6000,5400,5400,6000,300,6000
151,03/07/2023,5600,5600,5600,5600,200,5600
152,04/07/2023,5500,5400,5500,5400,1911,5400
153,05/07/2023,5500,5500,5500,5500,-,5500
154,06/07/2023,5500,5000,5500,5000,1200,5000
155,07/07/2023,5200,5200,5200,5200,100,5200
156,10/07/2023,5100,5100,5100,5100,200,5100
157,11/07/2023,5500,5500,5500,5500,400,5500
158,12/07/2023,5500,5500,5500,5500,1,5500
159,13/07/2023,5500,5500,5500,5500,-,5500
160,14/07/2023,5500,5500,5500,5500,5,5500
161,17/07/2023,5500,5500,5500,5500,600,5500
162,18/07/2023,5500,5500,5500,5500,-,5500
163,19/07/2023,5500,5500,5500,5500,-,5500
164,20/07/2023,5100,5100,5100,5100,203,5100
165,21/07/2023,5400,5400,5400,5400,100,5400
166,24/07/2023,5400,5400,5400,5400,402,5400
167,25/07/2023,5500,5500,5500,5500,200,5500
168,26/07/2023,5500,5500,5500,5500,1000,5500
169,27/07/2023,5500,5500,5500,5500,700,5500
170,28/07/2023,5000,5000,5000,5000,100,5000
171,31/07/2023,5700,5700,5700,5700,8900,5700
172,01/08/2023,5200,5200,5200,5200,100,5200
173,02/08/2023,5200,5200,5200,5200,-,5200
174,03/08/2023,5200,5200,5200,5200,-,5200
175,04/08/2023,5300,5300,5300,5300,600,5300
176,07/08/2023,5800,5800,5800,5800,100,5800
