,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,55100,55100,55100,55100,-,53400
1,22/11/2022,55100,55100,55100,55100,-,53400
2,23/11/2022,55100,55100,55100,55100,-,53400
3,24/11/2022,55100,55100,55100,55100,-,53400
4,25/11/2022,55100,55100,55100,55100,-,53400
5,28/11/2022,55100,55100,55100,55100,-,53400
6,29/11/2022,55100,55100,55100,55100,-,53400
7,30/11/2022,55100,55100,55100,55100,-,53400
8,01/12/2022,55100,55100,55100,55100,-,53400
9,02/12/2022,55100,55100,55100,55100,-,53400
10,05/12/2022,55100,55100,55100,55100,-,53400
11,06/12/2022,55100,55100,55100,55100,-,53400
12,07/12/2022,55100,55100,55100,55100,-,53400
13,08/12/2022,55100,55100,55100,55100,-,53400
14,09/12/2022,55100,55100,55100,55100,-,53400
15,12/12/2022,55100,55100,55100,55100,-,53400
16,13/12/2022,55100,55100,55100,55100,-,53400
17,14/12/2022,55100,55100,55100,55100,-,53400
18,15/12/2022,55100,55100,55100,55100,-,53400
19,16/12/2022,55100,55100,55100,55100,-,53400
20,19/12/2022,55100,55100,55100,55100,-,53400
21,20/12/2022,55100,55100,55100,55100,-,53400
22,21/12/2022,55100,55100,55100,55100,-,53400
23,22/12/2022,55100,55100,55100,55100,-,53400
24,23/12/2022,55100,55100,55100,55100,-,53400
25,26/12/2022,55100,55100,55100,55100,-,53400
26,27/12/2022,55100,55100,55100,55100,-,53400
27,28/12/2022,55100,55100,55100,55100,-,53400
28,29/12/2022,55100,55100,55100,55100,-,53400
29,30/12/2022,55100,55100,55100,55100,-,53400
30,03/01/2023,55100,55100,55100,55100,-,53400
31,04/01/2023,55100,55100,55100,55100,-,53400
32,05/01/2023,55100,55100,55100,55100,-,53400
33,06/01/2023,55100,55100,55100,55100,-,53400
34,09/01/2023,55100,55100,55100,55100,-,53400
35,10/01/2023,55100,55100,55100,55100,-,53400
36,11/01/2023,55100,55100,55100,55100,-,53400
37,12/01/2023,55100,55100,55100,55100,-,53400
38,13/01/2023,55100,55100,55100,55100,-,53400
39,16/01/2023,55100,55100,55100,55100,-,53400
40,17/01/2023,55100,55100,55100,55100,-,53400
41,18/01/2023,55100,55100,55100,55100,-,53400
42,19/01/2023,55100,55100,55100,55100,-,53400
43,27/01/2023,55100,55100,55100,55100,-,53400
44,30/01/2023,55100,55100,55100,55100,-,53400
45,31/01/2023,55100,55100,55100,55100,-,53400
46,01/02/2023,55100,55100,55100,55100,-,53400
47,02/02/2023,55100,55100,55100,55100,-,53400
48,03/02/2023,55100,55100,55100,55100,-,53400
49,06/02/2023,55100,55100,55100,55100,-,53400
50,07/02/2023,55100,55100,55100,55100,-,53400
51,08/02/2023,55100,55100,55100,55100,-,53400
52,09/02/2023,55100,55100,55100,55100,-,53400
53,10/02/2023,55100,55100,55100,55100,-,53400
54,13/02/2023,55100,55100,55100,55100,-,53400
55,14/02/2023,41000,41000,41000,41000,1700,39700
56,15/02/2023,41000,41000,41000,41000,-,39700
57,16/02/2023,41000,41000,41000,41000,1700,39700
58,17/02/2023,41000,41000,41000,41000,-,39700
59,20/02/2023,41000,41000,41000,41000,-,39700
60,21/02/2023,41000,41000,41000,41000,-,39700
61,22/02/2023,41000,41000,41000,41000,-,39700
62,23/02/2023,41000,41000,41000,41000,-,39700
63,24/02/2023,41000,41000,41000,41000,-,39700
64,27/02/2023,41000,41000,41000,41000,-,39700
65,28/02/2023,41000,41000,41000,41000,-,39700
66,01/03/2023,41000,41000,41000,41000,-,39700
67,02/03/2023,41000,41000,41000,41000,-,39700
