,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,18500,18500,18500,18500,-,18500
1,22/11/2022,18500,18500,18500,18500,-,18500
2,23/11/2022,18500,18500,18500,18500,500,18500
3,24/11/2022,20000,18500,18500,18500,1500,18500
4,25/11/2022,19000,19000,19000,19000,-,19000
5,28/11/2022,19000,19000,19000,19000,-,19000
6,29/11/2022,19000,19000,19000,19000,3000,19000
7,30/11/2022,19000,19000,19000,19000,-,19000
8,01/12/2022,19000,19000,19000,19000,-,19000
9,02/12/2022,19000,19000,19000,19000,900,19000
10,05/12/2022,19000,19000,19000,19000,-,19000
11,06/12/2022,18000,16200,16200,18000,2100,18000
12,07/12/2022,17900,17900,17900,17900,-,17900
13,08/12/2022,17900,17900,17900,17900,-,17900
14,09/12/2022,17900,17900,17900,17900,-,17900
15,12/12/2022,17900,17900,17900,17900,-,17900
16,13/12/2022,17900,17900,17900,17900,-,17900
17,14/12/2022,18000,18000,18000,18000,200,18000
18,15/12/2022,18000,18000,18000,18000,-,18000
19,16/12/2022,18000,18000,18000,18000,900,18000
20,19/12/2022,18000,18000,18000,18000,-,18000
21,20/12/2022,18000,18000,18000,18000,-,18000
22,21/12/2022,18000,18000,18000,18000,-,18000
23,22/12/2022,18000,18000,18000,18000,-,18000
24,23/12/2022,18000,18000,18000,18000,-,18000
25,26/12/2022,18000,18000,18000,18000,-,18000
26,27/12/2022,18000,18000,18000,18000,-,18000
27,28/12/2022,18000,18000,18000,18000,-,18000
28,29/12/2022,18000,18000,18000,18000,-,18000
29,30/12/2022,18000,18000,18000,18000,-,18000
30,03/01/2023,18000,18000,18000,18000,-,18000
31,04/01/2023,18000,18000,18000,18000,-,18000
32,05/01/2023,16500,16500,16500,16500,50000,16500
33,06/01/2023,16500,16500,16500,16500,-,16500
34,09/01/2023,16500,16500,16500,16500,-,16500
35,10/01/2023,16500,16500,16500,16500,-,16500
36,11/01/2023,16500,16500,16500,16500,-,16500
37,12/01/2023,16500,16500,16500,16500,-,16500
38,13/01/2023,16500,16500,16500,16500,-,16500
39,16/01/2023,16500,16500,16500,16500,-,16500
40,17/01/2023,16500,16500,16500,16500,-,16500
41,18/01/2023,16800,16500,16500,16800,500,16800
42,19/01/2023,16700,16700,16700,16700,-,16700
43,27/01/2023,16700,16700,16700,16700,-,16700
44,30/01/2023,16700,16700,16700,16700,-,16700
45,31/01/2023,16700,16700,16700,16700,-,16700
46,01/02/2023,16700,16700,16700,16700,-,16700
47,02/02/2023,16700,16700,16700,16700,-,16700
48,03/02/2023,16700,16700,16700,16700,-,16700
