,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,3700,3700,3700,3700,-,2800
1,22/11/2022,3700,3700,3700,3700,-,2800
2,23/11/2022,3700,3700,3700,3700,-,2800
3,24/11/2022,3700,3700,3700,3700,-,2800
4,25/11/2022,3700,3700,3700,3700,-,2800
5,28/11/2022,3700,3700,3700,3700,-,2800
6,29/11/2022,3700,3700,3700,3700,-,2800
7,30/11/2022,3700,3700,3700,3700,-,2800
8,01/12/2022,3700,3700,3700,3700,-,2800
9,02/12/2022,3700,3700,3700,3700,-,2800
10,05/12/2022,3700,3700,3700,3700,-,2800
11,06/12/2022,3700,3700,3700,3700,-,2800
12,07/12/2022,3700,3700,3700,3700,-,2800
13,08/12/2022,3700,3700,3700,3700,-,2800
14,09/12/2022,3700,3700,3700,3700,-,2800
15,12/12/2022,3700,3700,3700,3700,-,2800
16,13/12/2022,3700,3700,3700,3700,-,2800
17,14/12/2022,3700,3700,3700,3700,-,2800
18,15/12/2022,3700,3700,3700,3700,-,2800
19,16/12/2022,3700,3700,3700,3700,-,2800
20,19/12/2022,3700,3700,3700,3700,-,2800
21,20/12/2022,3700,3700,3700,3700,-,2800
22,21/12/2022,3700,3700,3700,3700,-,2800
23,22/12/2022,3700,3700,3700,3700,-,2800
24,23/12/2022,3700,3700,3700,3700,-,2800
25,26/12/2022,3700,3700,3700,3700,-,2800
26,27/12/2022,3700,3700,3700,3700,-,2800
27,28/12/2022,3700,3700,3700,3700,-,2800
28,29/12/2022,3700,3700,3700,3700,-,2800
29,30/12/2022,3700,3700,3700,3700,-,2800
30,03/01/2023,3700,3700,3700,3700,-,2800
31,04/01/2023,3700,3700,3700,3700,-,2800
32,05/01/2023,3700,3700,3700,3700,-,2800
33,06/01/2023,3700,3700,3700,3700,-,2800
34,09/01/2023,3700,3700,3700,3700,-,2800
35,10/01/2023,3700,3700,3700,3700,-,2800
36,11/01/2023,3700,3700,3700,3700,-,2800
37,12/01/2023,3700,3700,3700,3700,-,2800
38,13/01/2023,3700,3700,3700,3700,-,2800
39,16/01/2023,3700,3700,3700,3700,-,2800
40,17/01/2023,3700,3700,3700,3700,-,2800
41,18/01/2023,3700,3700,3700,3700,-,2800
42,19/01/2023,3700,3700,3700,3700,-,2800
43,27/01/2023,3700,3700,3700,3700,-,2800
44,30/01/2023,3700,3700,3700,3700,-,2800
45,31/01/2023,3700,3700,3700,3700,-,2800
46,01/02/2023,3700,3700,3700,3700,-,2800
47,02/02/2023,3700,3700,3700,3700,-,2800
48,03/02/2023,3700,3700,3700,3700,-,2800
49,06/02/2023,3700,3700,3700,3700,-,2800
50,07/02/2023,3700,3700,3700,3700,-,2800
51,08/02/2023,3700,3700,3700,3700,-,2800
52,09/02/2023,3700,3700,3700,3700,-,2800
53,10/02/2023,3700,3700,3700,3700,-,2800
54,13/02/2023,3700,3700,3700,3700,-,2800
55,14/02/2023,3700,3700,3700,3700,-,2800
56,15/02/2023,3700,3700,3700,3700,-,2800
57,16/02/2023,3700,3700,3700,3700,-,2800
58,17/02/2023,3700,3700,3700,3700,-,2800
59,20/02/2023,3700,3700,3700,3700,-,2800
60,21/02/2023,3700,3700,3700,3700,-,2800
61,22/02/2023,3700,3700,3700,3700,-,2800
62,23/02/2023,3700,3700,3700,3700,-,2800
63,24/02/2023,3700,3700,3700,3700,-,2800
64,27/02/2023,3700,3700,3700,3700,-,2800
65,28/02/2023,3700,3700,3700,3700,-,2800
66,01/03/2023,3700,3700,3700,3700,-,2800
67,02/03/2023,3700,3700,3700,3700,-,2800
68,03/03/2023,3700,3700,3700,3700,-,2800
69,06/03/2023,3700,3700,3700,3700,-,2800
70,07/03/2023,3700,3700,3700,3700,-,2800
71,08/03/2023,3700,3700,3700,3700,-,2800
72,09/03/2023,3700,3700,3700,3700,-,2800
73,10/03/2023,3700,3700,3700,3700,-,2800
74,13/03/2023,3700,3700,3700,3700,-,2800
75,14/03/2023,3700,3700,3700,3700,-,2800
76,15/03/2023,3700,3700,3700,3700,-,2800
77,16/03/2023,3700,3700,3700,3700,-,2800
78,17/03/2023,3700,3700,3700,3700,-,2800
79,20/03/2023,3700,3700,3700,3700,-,2800
80,21/03/2023,3700,3700,3700,3700,-,2800
81,22/03/2023,3700,3700,3700,3700,-,2800
82,23/03/2023,3700,3700,3700,3700,-,2800
83,24/03/2023,3700,3700,3700,3700,-,2800
84,27/03/2023,3700,3700,3700,3700,-,2800
85,28/03/2023,3700,3700,3700,3700,-,2800
86,29/03/2023,3700,3700,3700,3700,-,2800
87,30/03/2023,3700,3700,3700,3700,-,2800
88,31/03/2023,3700,3700,3700,3700,-,2800
89,03/04/2023,3700,3700,3700,3700,-,2800
90,04/04/2023,3700,3700,3700,3700,-,2800
91,05/04/2023,3700,3700,3700,3700,-,2800
92,06/04/2023,3700,3700,3700,3700,-,2800
93,07/04/2023,3700,3700,3700,3700,-,2800
94,10/04/2023,3700,3700,3700,3700,-,2800
95,11/04/2023,3700,3700,3700,3700,-,2800
96,12/04/2023,3700,3700,3700,3700,-,2800
97,13/04/2023,3700,3700,3700,3700,-,2800
98,14/04/2023,3700,3700,3700,3700,-,2800
99,17/04/2023,3700,3700,3700,3700,-,2800
100,18/04/2023,3700,3700,3700,3700,-,2800
101,19/04/2023,3700,3700,3700,3700,-,2800
102,20/04/2023,3700,3700,3700,3700,-,2800
103,21/04/2023,3700,3700,3700,3700,-,2800
104,24/04/2023,3700,3700,3700,3700,-,2800
105,25/04/2023,3700,3700,3700,3700,-,2800
106,26/04/2023,3700,3700,3700,3700,-,2800
107,27/04/2023,3700,3700,3700,3700,-,2800
108,28/04/2023,3700,3700,3700,3700,-,2800
109,04/05/2023,3700,3700,3700,3700,-,2800
110,05/05/2023,3700,3700,3700,3700,-,2800
111,08/05/2023,3700,3700,3700,3700,-,2800
112,09/05/2023,3700,3700,3700,3700,-,2800
113,10/05/2023,3700,3700,3700,3700,-,2800
114,11/05/2023,3700,3700,3700,3700,-,2800
115,12/05/2023,3700,3700,3700,3700,-,2800
116,15/05/2023,3700,3700,3700,3700,-,2800
117,16/05/2023,3700,3700,3700,3700,-,2800
118,17/05/2023,3700,3700,3700,3700,-,2800
119,18/05/2023,3700,3700,3700,3700,-,2800
120,19/05/2023,3700,3700,3700,3700,-,2800
121,22/05/2023,3700,3700,3700,3700,-,2800
122,23/05/2023,3700,3700,3700,3700,-,2800
123,24/05/2023,3700,3700,3700,3700,-,2800
124,25/05/2023,3700,3700,3700,3700,-,2800
125,26/05/2023,3700,3700,3700,3700,-,2800
126,29/05/2023,3700,3700,3700,3700,-,2800
127,30/05/2023,3700,3700,3700,3700,-,2800
128,31/05/2023,3700,3700,3700,3700,-,2800
129,01/06/2023,3700,3700,3700,3700,-,2800
130,02/06/2023,3700,3700,3700,3700,-,2800
131,05/06/2023,3700,3700,3700,3700,-,2800
132,06/06/2023,3700,3700,3700,3700,-,2800
133,07/06/2023,3700,3700,3700,3700,-,2800
134,08/06/2023,3700,3700,3700,3700,-,2800
135,09/06/2023,3700,3700,3700,3700,-,2800
136,12/06/2023,3700,3700,3700,3700,-,2800
137,13/06/2023,3700,3700,3700,3700,-,2800
138,14/06/2023,3700,3700,3700,3700,-,2800
139,15/06/2023,3700,3700,3700,3700,-,2800
140,16/06/2023,3700,3700,3700,3700,-,2800
141,19/06/2023,3700,3700,3700,3700,-,2800
142,20/06/2023,3700,3700,3700,3700,-,2800
143,21/06/2023,3700,3700,3700,3700,-,2800
144,22/06/2023,2800,2800,2800,2800,-,2800
145,23/06/2023,2800,2800,2800,2800,-,2800
146,26/06/2023,2800,2800,2800,2800,-,2800
147,27/06/2023,2800,2800,2800,2800,-,2800
148,28/06/2023,2800,2800,2800,2800,-,2800
149,29/06/2023,2800,2800,2800,2800,-,2800
150,30/06/2023,2800,2800,2800,2800,-,2800
151,03/07/2023,2800,2800,2800,2800,-,2800
152,04/07/2023,2800,2800,2800,2800,-,2800
153,05/07/2023,2800,2800,2800,2800,-,2800
154,06/07/2023,2800,2800,2800,2800,-,2800
155,07/07/2023,2800,2800,2800,2800,-,2800
156,10/07/2023,2800,2800,2800,2800,-,2800
157,11/07/2023,2800,2800,2800,2800,-,2800
158,12/07/2023,2800,2800,2800,2800,-,2800
159,13/07/2023,2800,2800,2800,2800,-,2800
160,14/07/2023,2800,2800,2800,2800,-,2800
161,17/07/2023,2800,2800,2800,2800,-,2800
162,18/07/2023,2800,2800,2800,2800,-,2800
163,19/07/2023,2800,2800,2800,2800,-,2800
164,20/07/2023,2800,2800,2800,2800,-,2800
165,21/07/2023,2800,2800,2800,2800,-,2800
166,24/07/2023,2800,2800,2800,2800,-,2800
167,25/07/2023,2800,2800,2800,2800,-,2800
168,26/07/2023,2800,2800,2800,2800,-,2800
169,27/07/2023,2800,2800,2800,2800,-,2800
170,28/07/2023,2800,2800,2800,2800,-,2800
171,31/07/2023,2800,2800,2800,2800,-,2800
172,01/08/2023,2800,2800,2800,2800,-,2800
173,02/08/2023,2800,2800,2800,2800,-,2800
174,03/08/2023,2800,2800,2800,2800,-,2800
175,04/08/2023,2800,2800,2800,2800,-,2800
176,07/08/2023,2800,2800,2800,2800,-,2800
177,08/08/2023,2800,2800,2800,2800,-,2800
178,09/08/2023,2800,2800,2800,2800,-,2800
179,10/08/2023,2800,2800,2800,2800,-,2800
180,11/08/2023,2800,2800,2800,2800,-,2800
181,14/08/2023,2800,2800,2800,2800,-,2800
182,15/08/2023,2800,2800,2800,2800,-,2800
183,16/08/2023,2800,2800,2800,2800,-,2800
184,17/08/2023,2800,2800,2800,2800,-,2800
185,18/08/2023,2800,2800,2800,2800,-,2800
186,21/08/2023,2800,2800,2800,2800,-,2800
187,22/08/2023,2800,2800,2800,2800,-,2800
188,23/08/2023,2800,2800,2800,2800,-,2800
189,24/08/2023,2800,2800,2800,2800,-,2800
190,25/08/2023,2800,2800,2800,2800,-,2800
191,28/08/2023,2800,2800,2800,2800,-,2800
192,29/08/2023,2800,2800,2800,2800,-,2800
193,30/08/2023,2800,2800,2800,2800,-,2800
194,31/08/2023,2800,2800,2800,2800,-,2800
195,05/09/2023,2800,2800,2800,2800,-,2800
196,06/09/2023,2800,2800,2800,2800,-,2800
197,07/09/2023,2800,2800,2800,2800,-,2800
198,08/09/2023,2800,2800,2800,2800,-,2800
199,11/09/2023,2800,2800,2800,2800,-,2800
200,12/09/2023,2800,2800,2800,2800,-,2800
201,13/09/2023,2800,2800,2800,2800,-,2800
202,14/09/2023,2800,2800,2800,2800,-,2800
203,15/09/2023,2800,2800,2800,2800,-,2800
204,18/09/2023,2800,2800,2800,2800,-,2800
205,19/09/2023,2800,2800,2800,2800,-,2800
206,20/09/2023,2800,2800,2800,2800,-,2800
207,21/09/2023,2800,2800,2800,2800,-,2800
208,22/09/2023,2800,2800,2800,2800,-,2800
209,25/09/2023,2800,2800,2800,2800,-,2800
210,26/09/2023,2800,2800,2800,2800,-,2800
211,27/09/2023,2800,2800,2800,2800,-,2800
212,28/09/2023,2800,2800,2800,2800,-,2800
213,29/09/2023,2800,2800,2800,2800,-,2800
214,02/10/2023,2800,2800,2800,2800,-,2800
215,03/10/2023,2800,2800,2800,2800,-,2800
216,04/10/2023,2800,2800,2800,2800,-,2800
217,05/10/2023,2800,2800,2800,2800,-,2800
218,06/10/2023,2800,2800,2800,2800,-,2800
219,09/10/2023,2800,2800,2800,2800,-,2800
220,10/10/2023,2800,2800,2800,2800,-,2800
221,11/10/2023,2800,2800,2800,2800,-,2800
222,12/10/2023,2800,2800,2800,2800,-,2800
223,13/10/2023,2800,2800,2800,2800,-,2800
224,16/10/2023,2800,2800,2800,2800,-,2800
225,17/10/2023,2800,2800,2800,2800,-,2800
226,18/10/2023,2800,2800,2800,2800,-,2800
227,19/10/2023,2800,2800,2800,2800,-,2800
228,20/10/2023,2800,2800,2800,2800,-,2800
229,23/10/2023,2800,2800,2800,2800,-,2800
230,24/10/2023,2800,2800,2800,2800,-,2800
231,25/10/2023,2800,2800,2800,2800,-,2800
232,26/10/2023,2800,2800,2800,2800,-,2800
233,27/10/2023,2800,2800,2800,2800,-,2800
234,30/10/2023,2800,2800,2800,2800,-,2800
235,31/10/2023,2800,2800,2800,2800,-,2800
236,01/11/2023,2800,2800,2800,2800,-,2800
237,02/11/2023,2800,2800,2800,2800,-,2800
238,03/11/2023,2800,2800,2800,2800,-,2800
239,06/11/2023,2800,2800,2800,2800,-,2800
240,07/11/2023,2800,2800,2800,2800,-,2800
241,08/11/2023,2800,2800,2800,2800,-,2800
242,09/11/2023,2800,2800,2800,2800,-,2800
243,10/11/2023,2800,2800,2800,2800,-,2800
244,13/11/2023,2800,2800,2800,2800,-,2800
