,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,9900,9900,9900,9900,-,9600
1,22/11/2022,9900,9900,9900,9900,-,9600
2,23/11/2022,9900,9900,9900,9900,-,9600
3,24/11/2022,9900,9900,9900,9900,-,9600
4,25/11/2022,9900,9900,9900,9900,-,9600
5,28/11/2022,10500,10500,10500,10500,100,10200
6,29/11/2022,10500,9000,9500,10300,3000,10000
7,30/11/2022,9800,9800,9800,9800,-,9500
8,01/12/2022,10000,8500,10000,8500,2800,8200
9,02/12/2022,10000,9800,9800,9800,1200,9500
10,05/12/2022,10000,9500,9500,9900,2400,9600
11,06/12/2022,9500,9500,9500,9500,1100,9200
12,07/12/2022,9000,8800,9000,9000,3500,8700
13,08/12/2022,10000,9000,10000,9500,1200,9200
14,09/12/2022,9100,9100,9100,9100,-,8800
15,12/12/2022,10000,10000,10000,10000,100,9700
16,13/12/2022,10000,10000,10000,10000,-,9700
17,14/12/2022,10300,10300,10300,10300,100,10000
18,15/12/2022,9900,9000,9900,9000,2600,8700
19,16/12/2022,9100,9100,9100,9100,-,8800
20,19/12/2022,9100,9100,9100,9100,-,8800
21,20/12/2022,9100,9100,9100,9100,-,8800
22,21/12/2022,9900,9100,9900,9100,2600,8800
23,22/12/2022,10000,10000,10000,10000,100,9700
24,23/12/2022,10000,10000,10000,10000,-,9700
25,26/12/2022,10000,10000,10000,10000,-,9700
26,27/12/2022,9900,9800,9800,9900,2400,9600
27,28/12/2022,10100,10100,10100,10100,100,9800
28,29/12/2022,10100,10100,10100,10100,-,9800
29,30/12/2022,10100,10100,10100,10100,-,9800
30,03/01/2023,10100,10100,10100,10100,-,9800
31,04/01/2023,11600,10100,11600,10100,1200,9800
32,05/01/2023,10200,10200,10200,10200,-,9900
33,06/01/2023,10200,10200,10200,10200,-,9900
34,09/01/2023,10200,10200,10200,10200,-,9900
35,10/01/2023,11700,11700,11700,11700,100,11300
36,11/01/2023,11700,10500,10500,11700,400,11300
37,12/01/2023,11100,11100,11100,11100,-,10800
38,13/01/2023,11100,11100,11100,11100,-,10800
39,16/01/2023,11100,11100,11100,11100,100,10800
40,17/01/2023,11100,11100,11100,11100,-,10800
41,18/01/2023,11100,11100,11100,11100,-,10800
42,19/01/2023,11100,11100,11100,11100,-,10800
43,27/01/2023,11100,11100,11100,11100,-,10800
44,30/01/2023,11100,11100,11100,11100,-,10800
45,31/01/2023,11100,10000,11100,10000,2210,9700
46,01/02/2023,11500,10500,11500,10500,1100,10200
47,02/02/2023,10000,10000,10000,10000,1100,9700
48,03/02/2023,10000,10000,10000,10000,-,9700
49,06/02/2023,11200,9200,9400,11200,1636,10900
50,07/02/2023,10000,10000,10000,10000,201,9700
51,08/02/2023,9600,9600,9600,9600,500,9300
52,09/02/2023,9900,9900,9900,9900,100,9600
53,10/02/2023,9900,9900,9900,9900,300,9600
54,13/02/2023,9900,9900,9900,9900,1,9600
55,14/02/2023,9700,9700,9700,9700,1101,9700
56,15/02/2023,9600,9400,9600,9400,2001,9400
57,16/02/2023,10800,10800,10800,10800,100,10800
58,17/02/2023,10800,10800,10800,10800,-,10800
59,20/02/2023,10800,10800,10800,10800,-,10800
60,21/02/2023,10800,10800,10800,10800,-,10800
61,22/02/2023,10800,10800,10800,10800,-,10800
62,23/02/2023,10800,10800,10800,10800,-,10800
63,24/02/2023,10500,10500,10500,10500,200,10500
64,27/02/2023,9500,9000,9500,9000,4000,9000
65,28/02/2023,9400,9400,9400,9400,-,9400
66,01/03/2023,10000,10000,10000,10000,1600,10000
67,02/03/2023,9300,9200,9300,9200,200,9200
68,03/03/2023,9500,9500,9500,9500,1000,9500
69,06/03/2023,9500,9500,9500,9500,-,9500
70,07/03/2023,10000,10000,10000,10000,100,10000
71,08/03/2023,9900,9900,9900,9900,100,9900
72,09/03/2023,9600,9500,9600,9500,400,9500
73,10/03/2023,9500,9500,9500,9500,-,9500
74,13/03/2023,9500,9500,9500,9500,-,9500
75,14/03/2023,9500,9500,9500,9500,10,9500
76,15/03/2023,9500,9500,9500,9500,-,9500
77,16/03/2023,9500,9500,9500,9500,-,9500
78,17/03/2023,9500,9500,9500,9500,-,9500
79,20/03/2023,9500,9500,9500,9500,-,9500
80,21/03/2023,9500,9500,9500,9500,-,9500
81,22/03/2023,9500,9500,9500,9500,100,9500
82,23/03/2023,9500,9500,9500,9500,900,9500
83,24/03/2023,9500,9500,9500,9500,-,9500
84,27/03/2023,9500,9500,9500,9500,-,9500
85,28/03/2023,10000,9300,10000,9500,1600,9500
86,29/03/2023,9500,9500,9500,9500,500,9500
87,30/03/2023,9500,9500,9500,9500,-,9500
88,31/03/2023,9400,9400,9400,9400,1510,9400
89,03/04/2023,9400,9200,9400,9300,3501,9300
90,04/04/2023,9300,8700,9200,8800,8101,8800
91,05/04/2023,8900,8900,8900,8900,-,8900
92,06/04/2023,10000,10000,10000,10000,100,10000
93,07/04/2023,9000,8900,8900,9000,900,9000
94,10/04/2023,9000,9000,9000,9000,100,9000
95,11/04/2023,9000,9000,9000,9000,400,9000
96,12/04/2023,9000,9000,9000,9000,-,9000
97,13/04/2023,9000,9000,9000,9000,900,9000
98,14/04/2023,9100,9000,9000,9100,1238,9100
99,17/04/2023,9000,9000,9000,9000,2000,9000
100,18/04/2023,9000,9000,9000,9000,1400,9000
101,19/04/2023,9000,9000,9000,9000,-,9000
102,20/04/2023,9200,9200,9200,9200,600,9200
103,21/04/2023,9200,9200,9200,9200,5000,9200
104,24/04/2023,9200,9200,9200,9200,-,9200
105,25/04/2023,9800,9800,9800,9800,100,9800
106,26/04/2023,9200,9000,9200,9000,13900,9000
107,27/04/2023,9200,9200,9200,9200,5000,9200
108,28/04/2023,9200,9200,9200,9200,5000,9200
109,04/05/2023,9700,9300,9300,9700,200,9700
110,05/05/2023,9400,9200,9200,9300,20000,9300
111,08/05/2023,9200,9200,9200,9200,6402,9200
112,09/05/2023,9200,9200,9200,9200,9632,9200
113,10/05/2023,8800,8500,8800,8500,2700,8500
114,11/05/2023,9700,9700,9700,9700,100,9700
115,12/05/2023,9700,9700,9700,9700,-,9700
116,15/05/2023,9700,9700,9700,9700,-,9700
117,16/05/2023,9700,9700,9700,9700,-,9700
118,17/05/2023,9700,9700,9700,9700,-,9700
119,18/05/2023,9700,9700,9700,9700,-,9700
120,19/05/2023,9700,9700,9700,9700,31000,9700
121,22/05/2023,9000,8500,9000,9000,5000,9000
122,23/05/2023,9200,9200,9200,9200,300,9200
123,24/05/2023,9200,9200,9200,9200,-,9200
124,25/05/2023,9500,9500,9500,9500,100,9500
125,26/05/2023,8800,8800,8800,8800,100,8800
126,29/05/2023,9500,9400,9500,9400,2200,9400
127,30/05/2023,9200,9100,9200,9100,2300,9100
128,31/05/2023,9100,9100,9100,9100,17600,9100
129,01/06/2023,9100,9100,9100,9100,22,9100
130,02/06/2023,9200,9200,9200,9200,1000,9200
131,05/06/2023,9200,9200,9200,9200,-,9200
132,06/06/2023,9200,9200,9200,9200,-,9200
133,07/06/2023,9200,9200,9200,9200,1000,9200
134,08/06/2023,9400,9400,9400,9400,100,9400
135,09/06/2023,9400,9400,9400,9400,-,9400
136,12/06/2023,9200,9200,9200,9200,600,9200
137,13/06/2023,9400,9200,9200,9400,3600,9400
138,14/06/2023,9300,9300,9300,9300,-,9300
139,15/06/2023,9300,9300,9300,9300,-,9300
140,16/06/2023,9300,9300,9300,9300,-,9300
141,19/06/2023,9300,9300,9300,9300,-,9300
142,20/06/2023,9300,9300,9300,9400,1,9300
143,21/06/2023,9300,9300,9300,9300,-,9300
144,22/06/2023,9300,9300,9300,9300,-,9300
145,23/06/2023,9500,9500,9500,9500,200,9500
146,26/06/2023,9500,9500,9500,9500,300,9500
147,27/06/2023,9500,9500,9500,9500,4,9500
148,28/06/2023,9500,9500,9500,9500,1000,9500
149,29/06/2023,9500,9300,9300,9500,2301,9500
150,30/06/2023,9400,9400,9400,9400,-,9400
151,03/07/2023,9400,9400,9400,9400,300,9400
152,04/07/2023,9200,9200,9200,9200,303,9200
153,05/07/2023,9000,8000,8000,9000,10000,9000
154,06/07/2023,9300,9300,9300,9300,100,9300
155,07/07/2023,10300,10300,10300,10300,327,10300
156,10/07/2023,9100,9100,9100,9100,900,9100
157,11/07/2023,9100,9100,9100,9100,-,9100
158,12/07/2023,9400,9400,9400,9400,100,9400
159,13/07/2023,9400,9400,9400,9400,-,9400
160,14/07/2023,9400,9400,9400,9400,-,9400
161,17/07/2023,9500,9500,9500,9500,165,9500
162,18/07/2023,9500,9500,9500,9500,400,9500
163,19/07/2023,9400,9400,9400,9400,1000,9400
164,20/07/2023,9300,9000,9000,9300,1300,9300
165,21/07/2023,9300,9100,9300,9100,1500,9100
166,24/07/2023,9200,8500,8500,9200,5200,9200
167,25/07/2023,9000,9000,9000,9000,2000,9000
168,26/07/2023,9000,9000,9000,9000,1000,9000
169,27/07/2023,9000,9000,9000,9000,-,9000
170,28/07/2023,9500,9500,9500,9500,100,9500
171,31/07/2023,9100,9100,9100,9100,1000,9100
