,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,10600,10600,10600,10600,-,9500
1,22/11/2022,10600,10600,10600,10600,-,9500
2,23/11/2022,10600,10600,10600,10600,-,9500
3,24/11/2022,10600,10600,10600,10600,-,9500
4,25/11/2022,10600,10600,10600,10600,-,9500
5,28/11/2022,10600,10600,10600,10600,-,9500
6,29/11/2022,10600,10600,10600,10600,-,9500
7,30/11/2022,10600,10600,10600,10600,-,9500
8,01/12/2022,10600,10600,10600,10600,-,9500
9,02/12/2022,10600,10600,10600,10600,-,9500
10,05/12/2022,10600,10600,10600,10600,-,9500
11,06/12/2022,10600,10600,10600,10600,-,9500
12,07/12/2022,10600,10600,10600,10600,-,9500
13,08/12/2022,10600,10600,10600,10600,-,9500
14,09/12/2022,10600,10600,10600,10600,-,9500
15,12/12/2022,10600,10600,10600,10600,-,9500
16,13/12/2022,10600,10600,10600,10600,-,9500
17,14/12/2022,10600,10600,10600,10600,-,9500
18,15/12/2022,10600,10600,10600,10600,-,9500
19,16/12/2022,10600,10600,10600,10600,-,9500
20,19/12/2022,10600,10600,10600,10600,-,9500
21,20/12/2022,10600,10600,10600,10600,-,9500
22,21/12/2022,10600,10600,10600,10600,-,9500
23,22/12/2022,10600,10600,10600,10600,-,9500
24,23/12/2022,10600,10600,10600,10600,-,9500
25,26/12/2022,10600,10600,10600,10600,-,9500
26,27/12/2022,10600,10600,10600,10600,-,9500
27,28/12/2022,10600,10600,10600,10600,-,9500
28,29/12/2022,10600,10600,10600,10600,-,9500
29,30/12/2022,10600,10600,10600,10600,-,9500
30,03/01/2023,14800,14800,14800,14800,100,13200
31,04/01/2023,14800,14800,14800,14800,-,13200
32,05/01/2023,17000,17000,17000,17000,100,15200
33,06/01/2023,17000,17000,17000,17000,-,15200
34,09/01/2023,17000,17000,17000,17000,-,15200
35,10/01/2023,17000,17000,17000,17000,-,15200
36,11/01/2023,19400,19400,19400,19400,100,17300
37,12/01/2023,19400,19400,19400,19400,-,17300
38,13/01/2023,22300,22300,22300,22300,200,19900
39,16/01/2023,22300,22300,22300,22300,-,19900
40,17/01/2023,22300,22300,22300,22300,-,19900
41,18/01/2023,22300,22300,22300,22300,-,19900
42,19/01/2023,22300,22300,22300,22300,-,19900
43,27/01/2023,22300,22300,22300,22300,-,19900
44,30/01/2023,22300,22300,22300,22300,-,19900
45,31/01/2023,22300,22300,22300,22300,-,19900
