,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,23700,23700,23700,23700,-,23400
1,22/11/2022,23700,23700,23700,23700,-,23400
2,23/11/2022,23700,23700,23700,23700,-,23400
3,24/11/2022,23700,23700,23700,23700,-,23400
4,25/11/2022,15000,15000,15000,15000,200,14800
5,28/11/2022,17200,17200,17200,17200,100,17000
6,29/11/2022,19700,19700,19700,19700,100,19500
7,30/11/2022,19700,19700,19700,19700,-,19500
8,01/12/2022,19700,19700,19700,19700,-,19500
9,02/12/2022,19700,19700,19700,19700,-,19500
10,05/12/2022,19700,19700,19700,19700,-,19500
11,06/12/2022,22600,19000,19000,22600,1400,22400
12,07/12/2022,24000,24000,24000,24000,500,23700
13,08/12/2022,24100,24100,24100,24100,500,23800
14,09/12/2022,24500,24500,24500,24500,1000,24200
15,12/12/2022,28000,24600,24600,28000,500,27700
16,13/12/2022,28000,25400,25400,28000,200,27700
17,14/12/2022,30000,27000,27000,30000,300,29700
18,15/12/2022,28100,28100,28100,28100,100,27800
19,16/12/2022,29500,28500,28500,29500,200,29200
20,19/12/2022,29800,29800,29800,29800,100,29500
21,20/12/2022,29800,29800,29800,29800,-,29500
22,21/12/2022,29800,29800,29800,29800,-,29500
23,22/12/2022,34000,29800,29800,34000,300,33600
24,23/12/2022,32500,32500,32500,32500,100,32100
25,26/12/2022,37000,37000,37000,37000,924900,36600
26,27/12/2022,40000,39000,40000,39000,300,38600
27,28/12/2022,44400,44000,44000,44400,300,43900
28,29/12/2022,44300,44300,44300,44400,1,43800
29,30/12/2022,44300,44300,44300,44300,-,43800
30,03/01/2023,44300,44300,44300,44300,-,43800
31,04/01/2023,44300,44300,44300,44300,-,43800
32,05/01/2023,44300,44300,44300,44300,-,43800
33,06/01/2023,44300,44300,44300,44300,-,43800
34,09/01/2023,44300,44300,44300,44300,-,43800
35,10/01/2023,44300,44300,44300,44300,-,43800
36,11/01/2023,44300,44300,44300,44300,-,43800
37,12/01/2023,44300,44300,44300,44300,-,43800
38,13/01/2023,44300,44300,44300,44300,-,43800
39,16/01/2023,44300,44300,44300,44300,-,43800
40,17/01/2023,44300,44300,44300,44300,-,43800
41,18/01/2023,44300,44300,44300,44300,-,43800
42,19/01/2023,44300,44300,44300,44300,-,43800
43,27/01/2023,44300,44300,44300,44300,-,43800
44,30/01/2023,44300,44300,44300,44300,-,43800
45,31/01/2023,44300,44300,44300,44300,-,43800
46,01/02/2023,44300,44300,44300,44300,-,43800
47,02/02/2023,44300,44300,44300,44300,-,43800
48,03/02/2023,44300,44300,44300,44300,-,43800
49,06/02/2023,44300,44300,44300,44300,-,43800
50,07/02/2023,44300,44300,44300,44300,-,43800
51,08/02/2023,44300,44300,44300,44300,-,43800
52,09/02/2023,44300,44300,44300,44300,-,43800
53,10/02/2023,44300,44300,44300,44300,-,43800
54,13/02/2023,26600,26600,26600,26600,100,26300
55,14/02/2023,22700,22700,22700,22700,100,22500
56,15/02/2023,19300,19300,19300,19300,100,19100
57,16/02/2023,22000,22000,22000,22000,100,21800
58,17/02/2023,22000,22000,22000,22000,-,21800
59,20/02/2023,25200,25100,25100,25200,300,24900
60,21/02/2023,25200,25200,25200,25200,-,24900
61,22/02/2023,25200,25200,25200,25200,-,24900
62,23/02/2023,28500,28500,28500,28500,200,28200
63,24/02/2023,28500,28500,28500,28500,-,28200
64,27/02/2023,32200,25000,32000,25000,300,24700
65,28/02/2023,29700,29700,29700,29700,-,29400
66,01/03/2023,34000,33000,33000,34000,600,33600
67,02/03/2023,33600,33600,33600,33600,-,33200
68,03/03/2023,38500,28600,38500,33600,3000,33200
69,06/03/2023,37700,37700,37700,37700,-,37300
70,07/03/2023,39600,39600,39600,39600,100,39200
71,08/03/2023,39600,39600,39600,39600,1394800,39200
72,09/03/2023,39600,39600,39600,39600,-,39200
73,10/03/2023,39600,39600,39600,39600,2711200,39200
74,13/03/2023,39600,39600,39600,39600,-,39200
75,14/03/2023,39600,39600,39600,39600,-,39200
76,15/03/2023,39600,39600,39600,39600,-,39200
77,16/03/2023,39600,39600,39600,39600,-,39200
78,17/03/2023,39600,39600,39600,39600,950000,39200
79,20/03/2023,39600,39600,39600,39600,-,39200
80,21/03/2023,45500,33700,33700,40000,1900,39600
81,22/03/2023,44600,44600,44600,44600,-,44100
82,23/03/2023,44600,44600,44600,44600,-,44100
83,24/03/2023,44600,44600,44600,44600,-,44100
84,27/03/2023,45500,45500,45500,45500,100,45000
85,28/03/2023,45500,45500,45500,45500,-,45000
86,29/03/2023,45500,45500,45500,45500,-,45000
87,30/03/2023,48000,48000,48000,48000,100,47500
88,31/03/2023,48000,48000,48000,48000,-,47500
89,03/04/2023,48000,48000,48000,48000,-,47500
90,04/04/2023,48000,48000,48000,48000,-,47500
91,05/04/2023,47900,47900,47900,47900,100,47400
92,06/04/2023,47900,47900,47900,47900,-,47400
93,07/04/2023,47900,47900,47900,47900,-,47400
94,10/04/2023,47900,47900,47900,47900,-,47400
95,11/04/2023,47900,47900,47900,47900,-,47400
96,12/04/2023,47900,47900,47900,47900,-,47400
97,13/04/2023,47900,47900,47900,47900,-,47400
98,14/04/2023,47900,47900,47900,47900,-,47400
99,17/04/2023,47900,47900,47900,47900,-,47400
100,18/04/2023,47900,47900,47900,47900,-,47400
101,19/04/2023,47900,47900,47900,47900,-,47400
102,20/04/2023,47900,47900,47900,47900,-,47400
103,21/04/2023,47900,47900,47900,47900,-,47400
104,24/04/2023,47900,47900,47900,47900,-,47400
105,25/04/2023,47900,47900,47900,47900,-,47400
106,26/04/2023,47900,47900,47900,47900,-,47400
107,27/04/2023,47900,47900,47900,47900,-,47400
108,28/04/2023,47900,47900,47900,47900,-,47400
109,04/05/2023,47900,47900,47900,47900,-,47400
110,05/05/2023,47900,47900,47900,47900,-,47400
111,08/05/2023,47900,47900,47900,47900,-,47400
112,09/05/2023,47900,47900,47900,47900,-,47400
113,10/05/2023,47900,47900,47900,47900,-,47400
114,11/05/2023,47900,47900,47900,47900,-,47400
115,12/05/2023,47900,47900,47900,47900,-,47400
116,15/05/2023,47900,47900,47900,47900,-,47400
117,16/05/2023,47900,47900,47900,47900,-,47400
118,17/05/2023,47900,47900,47900,47900,-,47400
119,18/05/2023,47900,47900,47900,47900,-,47400
120,19/05/2023,47900,47900,47900,47900,-,47400
121,22/05/2023,47900,47900,47900,47900,-,47400
122,23/05/2023,47900,47900,47900,47900,-,47400
123,24/05/2023,47900,47900,47900,47900,-,47400
124,25/05/2023,48000,48000,48000,48000,100,47500
125,26/05/2023,48000,48000,48000,48000,-,47500
126,29/05/2023,48000,48000,48000,48000,-,47500
127,30/05/2023,48000,48000,48000,48000,-,47500
128,31/05/2023,48000,48000,48000,48000,-,47500
129,01/06/2023,48000,48000,48000,48000,-,47500
130,02/06/2023,48000,48000,48000,48000,-,47500
131,05/06/2023,48000,48000,48000,48000,-,47500
132,06/06/2023,48000,48000,48000,48000,-,47500
133,07/06/2023,55200,40800,40800,55200,4700,54600
134,08/06/2023,53300,40000,40000,53300,1100,52700
135,09/06/2023,50100,40500,40500,50100,7100,49600
136,12/06/2023,43600,43600,43600,43600,-,43100
137,13/06/2023,43600,43600,43600,43600,-,43100
138,14/06/2023,43600,43600,43600,43600,-,43100
139,15/06/2023,43600,43600,43600,43600,-,43100
140,16/06/2023,43600,43600,43600,43600,-,43100
141,19/06/2023,43600,43600,43600,43600,-,43100
142,20/06/2023,43600,43600,43600,43600,-,43100
143,21/06/2023,43600,43600,43600,43600,-,43100
144,22/06/2023,43600,43600,43600,43600,-,43100
145,23/06/2023,43600,43600,43600,43600,-,43100
146,26/06/2023,43600,43600,43600,43600,-,43100
147,27/06/2023,43600,43600,43600,43600,-,43100
148,28/06/2023,43600,43600,43600,43600,-,43100
149,29/06/2023,43600,43600,43600,43600,-,43100
150,30/06/2023,43600,43600,43600,43600,-,43100
151,03/07/2023,37200,37200,37200,37200,400,36800
152,04/07/2023,32100,32100,32100,32100,1103,31800
153,05/07/2023,33900,27500,27500,33900,200,33500
154,06/07/2023,26300,26300,26300,26300,500,26000
155,07/07/2023,26300,26300,26300,26300,-,26000
156,10/07/2023,26300,26300,26300,26300,1000,26000
157,11/07/2023,23700,23500,23700,23500,500,23200
158,12/07/2023,23500,23500,23500,23500,-,23200
159,13/07/2023,23600,23600,23600,23600,100,23300
160,14/07/2023,23700,23700,23700,23700,200,23400
161,17/07/2023,23700,23700,23700,23700,-,23400
162,18/07/2023,25000,23800,23800,25000,600,24700
163,19/07/2023,24800,24800,24800,24800,-,24500
164,20/07/2023,24800,24800,24800,24800,-,24500
165,21/07/2023,24800,24800,24800,24800,-,24500
166,24/07/2023,24800,24800,24800,24800,-,24500
167,25/07/2023,28100,28100,28100,28100,100,27800
168,26/07/2023,28100,28100,28100,28100,-,27800
169,27/07/2023,28100,28100,28100,28100,-,27800
170,28/07/2023,28100,28100,28100,28100,-,27800
171,31/07/2023,24000,24000,24000,24000,100,23700
172,01/08/2023,24000,24000,24000,24000,-,23700
173,02/08/2023,24000,24000,24000,24000,-,23700
174,03/08/2023,24000,24000,24000,24000,-,23700
175,04/08/2023,24000,24000,24000,24000,-,23700
176,07/08/2023,24000,24000,24000,24000,200,23700
177,08/08/2023,24000,24000,24000,24000,-,23700
178,09/08/2023,24000,24000,24000,24000,-,23700
179,10/08/2023,24900,24900,24900,24900,700,24600
180,11/08/2023,24900,24900,24900,24900,-,24600
181,14/08/2023,27800,27800,27800,27800,100,27500
182,15/08/2023,27800,27800,27800,27800,-,27500
183,16/08/2023,27800,27800,27800,27800,-,27500
184,17/08/2023,27800,27800,27800,27800,-,27500
185,18/08/2023,27800,27800,27800,27800,-,27500
186,21/08/2023,27800,27800,27800,27800,-,27500
187,22/08/2023,27800,27800,27800,27800,200000,27500
188,23/08/2023,27500,27500,27500,27500,-,27500
189,24/08/2023,27500,27500,27500,27500,-,27500
190,25/08/2023,23700,23700,23700,23700,200200,23700
191,28/08/2023,23700,23700,23700,23700,-,23700
192,29/08/2023,23700,23700,23700,23700,-,23700
193,30/08/2023,23700,23700,23700,23700,-,23700
194,31/08/2023,23700,23700,23700,23700,-,23700
195,05/09/2023,23700,23700,23700,23700,-,23700
196,06/09/2023,23700,23700,23700,23700,-,23700
197,07/09/2023,23700,23700,23700,23700,-,23700
198,08/09/2023,23700,23700,23700,23700,-,23700
199,11/09/2023,23600,20200,20200,23600,700,23600
200,12/09/2023,20700,20700,20700,20700,-,20700
201,13/09/2023,20700,20700,20700,20700,-,20700
202,14/09/2023,20700,20700,20700,20700,-,20700
203,15/09/2023,17600,17600,17600,17600,200,17600
204,18/09/2023,19900,19900,19900,19900,100,19900
205,19/09/2023,19900,19900,19900,19900,-,19900
206,20/09/2023,19900,19900,19900,19900,-,19900
207,21/09/2023,19900,19900,19900,19900,-,19900
208,22/09/2023,19900,19900,19900,19900,-,19900
209,25/09/2023,19900,19900,19900,19900,-,19900
210,26/09/2023,19900,19900,19900,19900,-,19900
211,27/09/2023,19900,19900,19900,19900,-,19900
212,28/09/2023,19900,19900,19900,19900,-,19900
213,29/09/2023,22800,20000,22700,22800,5000,22800
214,02/10/2023,22500,22500,22500,22800,1,22500
215,03/10/2023,22500,22500,22500,22500,-,22500
216,04/10/2023,22500,22500,22500,22500,-,22500
217,05/10/2023,22500,22500,22500,22500,-,22500
218,06/10/2023,22500,22500,22500,22500,-,22500
219,09/10/2023,19400,19200,19200,19400,701,19400
220,10/10/2023,19300,19300,19300,19300,-,19300
221,11/10/2023,19300,19300,19300,19400,20,19300
222,12/10/2023,19300,19300,19300,19300,-,19300
223,13/10/2023,19000,19000,19000,19000,500,19000
224,16/10/2023,19000,19000,19000,19000,1,19000
225,17/10/2023,19000,19000,19000,19000,-,19000
226,18/10/2023,21700,19100,19100,21700,741600,21700
227,19/10/2023,19500,19400,19500,19400,1400,19400
228,20/10/2023,19400,19400,19400,19400,-,19400
229,23/10/2023,19400,19400,19400,19400,3,19400
230,24/10/2023,19400,19400,19400,19400,1,19400
231,25/10/2023,19400,19400,19400,19400,-,19400
232,26/10/2023,20000,20000,20000,20000,100,20000
233,27/10/2023,20000,20000,20000,20000,-,20000
234,30/10/2023,20000,20000,20000,20000,-,20000
235,31/10/2023,20000,20000,20000,20000,4,20000
236,01/11/2023,20000,20000,20000,20000,-,20000
237,02/11/2023,20000,20000,20000,20000,-,20000
238,03/11/2023,20000,20000,20000,20000,500,20000
239,06/11/2023,20000,20000,20000,20000,4,20000
240,07/11/2023,20000,20000,20000,20000,-,20000
241,08/11/2023,20000,20000,20000,20000,-,20000
242,09/11/2023,20000,20000,20000,20000,-,20000
243,10/11/2023,20000,20000,20000,20000,-,20000
244,13/11/2023,20300,20300,20300,20300,104,20300
245,14/11/2023,20300,20300,20300,20300,-,20300
246,15/11/2023,20300,20300,20300,20300,-,20300
247,16/11/2023,20300,20300,20300,20300,-,20300
248,17/11/2023,20300,20300,20300,20300,1,20300
249,20/11/2023,23100,23100,23100,23100,100,23100
