,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,44700,44700,44700,44700,-,42800
1,22/11/2022,44700,44700,44700,44700,-,42800
2,23/11/2022,44700,44700,44700,44700,-,42800
3,24/11/2022,44700,44700,44700,44700,-,42800
4,25/11/2022,44700,44700,44700,44700,-,42800
5,28/11/2022,44700,44700,44700,44700,-,42800
6,29/11/2022,44700,44700,44700,44700,-,42800
7,30/11/2022,44700,44700,44700,44700,-,42800
8,01/12/2022,44700,44700,44700,44700,-,42800
9,02/12/2022,44700,44700,44700,44700,-,42800
10,05/12/2022,44700,44700,44700,44700,-,42800
11,06/12/2022,44700,44700,44700,44700,-,42800
12,07/12/2022,44700,44700,44700,44700,-,42800
13,08/12/2022,44700,44700,44700,44700,-,42800
14,09/12/2022,44700,44700,44700,44700,-,42800
15,12/12/2022,44700,44700,44700,44700,-,42800
16,13/12/2022,44700,44700,44700,44700,-,42800
17,14/12/2022,44700,44700,44700,44700,-,42800
18,15/12/2022,44700,44700,44700,44700,-,42800
19,16/12/2022,44700,44700,44700,44700,-,42800
20,19/12/2022,44700,44700,44700,44700,-,42800
21,20/12/2022,51400,51400,51400,51400,100,49200
22,21/12/2022,59100,50100,59000,50100,800,47900
23,22/12/2022,65000,50100,65000,50100,300,47900
24,23/12/2022,69000,51300,65500,51400,1100,49200
25,26/12/2022,64700,64700,64700,64700,-,61900
26,27/12/2022,74000,55000,55500,55100,5600,52700
27,28/12/2022,56300,56300,56300,56300,100,53800
28,29/12/2022,64700,64700,64700,64700,100,61900
29,30/12/2022,73200,54400,70400,55100,9000,53500
30,03/01/2023,75000,61800,61800,61800,300,60000
31,04/01/2023,66200,66200,66200,66200,-,64300
32,05/01/2023,56700,56700,56700,56700,100,55100
33,06/01/2023,65000,64500,65000,65000,2800,63100
34,09/01/2023,74000,65000,74000,65000,2200,63100
35,10/01/2023,74500,65000,73800,73500,5311,71400
36,11/01/2023,84600,65100,78000,65200,10001,63300
37,12/01/2023,82000,69400,81500,69400,400,67400
38,13/01/2023,67000,67000,67000,67000,100,65100
39,16/01/2023,77000,62100,77000,62100,1200,60300
40,17/01/2023,87000,65100,65100,65300,7600,63400
41,18/01/2023,74000,73300,73300,74000,200,71900
42,19/01/2023,84600,70900,70900,71200,300,69200
43,27/01/2023,75600,75600,75600,75600,-,73400
44,30/01/2023,75600,75600,75600,75600,-,73400
45,31/01/2023,65600,65600,65600,65600,100,63700
46,01/02/2023,65600,65600,65600,65600,-,63700
47,02/02/2023,75400,55800,55800,65800,500,63900
48,03/02/2023,75000,75000,75000,75000,100,72900
49,06/02/2023,75000,75000,75000,75000,-,72900
50,07/02/2023,86200,72000,72000,72100,12700,70000
51,08/02/2023,72800,72800,72800,72800,100,70700
52,09/02/2023,72800,72800,72800,72800,-,70700
53,10/02/2023,72800,72800,72800,72800,100,70700
54,13/02/2023,79800,79800,79800,79800,101,77500
55,14/02/2023,80400,80200,80200,80400,200,78100
56,15/02/2023,70000,70000,70000,70000,100,68000
57,16/02/2023,80500,70100,79900,70100,500,68100
58,17/02/2023,72000,72000,72000,72000,100,69900
59,20/02/2023,80000,66100,72000,80000,1200,77700
60,21/02/2023,80000,77000,77000,80000,400,77700
61,22/02/2023,80000,79000,79000,80000,500,77700
62,23/02/2023,68600,68600,68600,68600,100,66600
63,24/02/2023,68600,68600,68600,68600,-,66600
64,27/02/2023,78000,70000,70000,70100,800,68100
65,28/02/2023,79900,68000,68000,70400,400,68400
66,01/03/2023,70200,70100,70200,70100,200,68100
67,02/03/2023,79900,79900,79900,79900,100,77600
68,03/03/2023,70600,70600,70600,70600,100,68600
69,06/03/2023,70600,70600,70600,70600,-,68600
70,07/03/2023,70600,70600,70600,70600,-,68600
71,08/03/2023,70600,70600,70600,70600,-,68600
72,09/03/2023,75500,75500,75500,75500,100,73300
73,10/03/2023,68900,68900,68900,68900,100,66900
74,13/03/2023,79200,75200,79200,75200,600,73100
75,14/03/2023,78500,78500,78500,78500,-,76300
76,15/03/2023,75500,66800,75500,66800,10000,64900
77,16/03/2023,67100,67100,67100,67100,-,65200
78,17/03/2023,77100,67200,77100,75000,601,72900
79,20/03/2023,67100,67100,67100,67100,100,65200
80,21/03/2023,67100,67100,67100,67100,10000,65200
81,22/03/2023,77100,67200,67200,67600,1901,65700
82,23/03/2023,67000,67000,67000,67000,100,65100
83,24/03/2023,67000,67000,67000,67000,-,65100
84,27/03/2023,67000,67000,67000,67000,-,65100
85,28/03/2023,67000,67000,67000,67000,-,65100
86,29/03/2023,67000,67000,67000,67000,-,65100
87,30/03/2023,67000,67000,67000,67000,-,65100
88,31/03/2023,75900,75900,75900,75900,100,73700
89,03/04/2023,67200,67200,67200,67200,100,65300
90,04/04/2023,67200,67200,67200,67200,-,65300
91,05/04/2023,67200,67200,67200,67200,-,65300
92,06/04/2023,67200,67200,67200,67200,-,65300
93,07/04/2023,67500,67500,67500,67500,100,65600
94,10/04/2023,67500,67500,67500,67500,-,65600
95,11/04/2023,67500,67500,67500,67500,-,65600
96,12/04/2023,73000,58600,58600,73000,1000,70900
97,13/04/2023,67200,67200,67200,67200,-,65300
98,14/04/2023,67200,67200,67200,67200,-,65300
99,17/04/2023,70000,70000,70000,70000,100,68000
100,18/04/2023,80500,63100,70000,63100,8002,61300
101,19/04/2023,78800,78800,78800,78800,-,76600
102,20/04/2023,67400,67400,67400,67400,100,65500
103,21/04/2023,67400,67400,67400,67400,-,65500
104,24/04/2023,67400,67400,67400,67400,-,65500
105,25/04/2023,64100,64100,64100,64100,100,62300
106,26/04/2023,64100,64100,64100,64100,-,62300
107,27/04/2023,64100,64100,64100,64100,-,62300
108,28/04/2023,64100,64100,64100,64100,-,62300
109,04/05/2023,64100,64100,64100,64100,-,62300
110,05/05/2023,73700,73700,73700,73700,200,71600
111,08/05/2023,73700,73700,73700,73700,-,71600
112,09/05/2023,75000,75000,75000,75000,200,72900
113,10/05/2023,86000,64600,86000,70200,6200,68200
