,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,7900,7600,7900,7800,32500,7200
1,22/11/2022,7900,7400,7700,7800,35900,7200
2,23/11/2022,7900,7600,7600,7900,21300,7300
3,24/11/2022,7900,7600,7600,7800,21100,7200
4,25/11/2022,8500,7900,7900,8500,29200,7900
5,28/11/2022,8900,8300,8300,8700,30950,8100
6,29/11/2022,9000,8500,8900,8500,20500,7900
7,30/11/2022,8700,8400,8600,8600,28710,8000
8,01/12/2022,8900,8500,8700,8600,14700,8000
9,02/12/2022,8700,8400,8400,8700,10400,8100
10,05/12/2022,8700,8400,8700,8500,13320,7900
11,06/12/2022,8500,7900,8500,7900,30600,7300
12,07/12/2022,8100,7700,8100,7900,8650,7300
13,08/12/2022,8000,7800,7800,7800,10800,7200
14,09/12/2022,8000,7800,7800,8000,600,7400
15,12/12/2022,8000,7800,7900,7800,4217,7200
16,13/12/2022,7900,7500,7800,7800,3703,7200
17,14/12/2022,8000,7700,7800,8000,14250,7400
18,15/12/2022,8100,7700,8100,7700,4500,7100
19,16/12/2022,7800,7800,7800,7800,11100,7200
20,19/12/2022,7900,7600,7800,7700,21200,7100
21,20/12/2022,7900,7600,7700,7800,43500,7200
22,21/12/2022,7900,7600,7900,7800,18500,7200
23,22/12/2022,8200,7700,8000,7800,10400,7200
24,23/12/2022,8100,7700,8000,8000,39501,7400
25,26/12/2022,8900,8000,8100,8200,110300,7600
26,27/12/2022,9000,7700,8300,8300,80000,7700
27,28/12/2022,8300,7600,8300,7900,53700,7300
28,29/12/2022,8200,7600,7900,8000,32211,7400
29,30/12/2022,7900,7500,7900,7600,22200,7000
30,03/01/2023,7800,7600,7600,7800,27200,7200
31,04/01/2023,7900,7600,7800,7700,32700,7100
32,05/01/2023,8100,7700,7800,7700,30200,7100
33,06/01/2023,7800,7500,7800,7600,64500,7000
34,09/01/2023,7600,7600,7600,7600,7000,7000
35,10/01/2023,7700,7500,7600,7500,14130,6900
36,11/01/2023,7600,7400,7500,7500,22400,6900
37,12/01/2023,7500,7400,7500,7400,19300,6800
38,13/01/2023,7600,7400,7400,7400,8250,6800
39,16/01/2023,7500,7400,7400,7500,13904,6900
40,17/01/2023,7600,7400,7400,7500,13700,6900
41,18/01/2023,7600,7400,7500,7500,17400,6900
42,19/01/2023,7600,7500,7500,7500,13600,6900
43,27/01/2023,7800,7600,7800,7700,19449,7100
44,30/01/2023,7900,7700,7700,7900,16800,7300
45,31/01/2023,7900,7800,7800,7900,10500,7300
46,01/02/2023,8600,8000,8000,8100,27900,7500
47,02/02/2023,8200,7900,8100,8200,18150,7600
48,03/02/2023,8300,8000,8100,8000,14682,7400
49,06/02/2023,8500,8200,8200,8500,36700,7900
50,07/02/2023,8600,8000,8600,8000,26500,7400
51,08/02/2023,8400,8000,8200,8400,14000,7800
52,09/02/2023,8500,8200,8200,8500,16400,7900
53,10/02/2023,8400,8100,8400,8200,8002,7600
54,13/02/2023,8200,8100,8100,8100,27300,7500
55,14/02/2023,8100,8000,8100,8100,41700,7500
56,15/02/2023,8300,8100,8100,8200,11800,7600
57,16/02/2023,8300,8200,8200,8300,9200,7700
58,17/02/2023,8300,8200,8300,8300,18200,7700
59,20/02/2023,8400,8200,8300,8200,27000,7600
60,21/02/2023,8500,8000,8400,8200,52108,7600
61,22/02/2023,8200,8100,8200,8200,9100,7600
62,23/02/2023,8900,8100,8100,8300,37100,7700
63,24/02/2023,8600,8300,8400,8600,30500,8000
64,27/02/2023,8400,8200,8400,8400,8749,7800
65,28/02/2023,8400,8100,8400,8200,12723,7600
66,01/03/2023,8300,8100,8200,8300,3600,7700
67,02/03/2023,8300,8300,8300,8300,9472,7700
68,03/03/2023,8500,8100,8300,8200,38300,7600
69,06/03/2023,8300,8100,8100,8300,4200,7700
70,07/03/2023,8300,8100,8300,8300,13200,7700
71,08/03/2023,8400,8200,8300,8400,36100,7800
72,09/03/2023,9200,8400,8400,9100,175009,8400
73,10/03/2023,9300,8900,9100,9200,39000,8500
74,13/03/2023,10300,9000,9400,10000,124500,9300
75,14/03/2023,10100,9700,9700,9800,38200,9100
76,15/03/2023,10200,9600,10000,10000,46000,9300
77,16/03/2023,10100,9200,10100,9500,27100,8800
78,17/03/2023,9600,9300,9600,9600,25800,8900
79,20/03/2023,9600,9000,9600,9200,34900,8500
80,21/03/2023,9300,9200,9300,9200,500,8500
81,22/03/2023,9400,9000,9400,9200,30000,8500
82,23/03/2023,9300,9000,9200,9200,13900,8500
83,24/03/2023,9400,9000,9400,9100,25200,8400
84,27/03/2023,9300,9100,9200,9200,46300,8500
85,28/03/2023,9300,9000,9300,9100,26800,8400
86,29/03/2023,9100,8900,9100,8900,28800,8200
87,30/03/2023,9000,8700,9000,8800,51232,8100
88,31/03/2023,9400,8700,8900,9200,57000,8500
89,03/04/2023,9600,9000,9400,9100,34500,8400
90,04/04/2023,9100,8900,9100,8900,49105,8200
91,05/04/2023,9000,8800,9000,8900,53100,8200
92,06/04/2023,9200,8800,8900,9000,72406,8300
93,07/04/2023,9000,8800,9000,9000,61101,8300
94,10/04/2023,9100,8900,9000,9100,45317,8400
95,11/04/2023,9000,8900,9000,8900,13300,8200
96,12/04/2023,9000,8500,8900,8900,48039,8200
97,13/04/2023,8900,8800,8900,8900,17106,8200
98,14/04/2023,8900,8700,8900,8900,19000,8200
99,17/04/2023,8900,8700,8900,8700,12100,8100
100,18/04/2023,8700,8700,8700,8700,6100,8100
101,19/04/2023,8700,8600,8700,8700,23500,8100
102,20/04/2023,8800,8600,8700,8600,14100,8000
103,21/04/2023,8700,8500,8700,8500,9517,7900
104,24/04/2023,8600,8400,8600,8500,18700,7900
105,25/04/2023,9000,8500,8600,8700,34617,8100
106,26/04/2023,8800,8800,8800,8800,7516,8100
107,27/04/2023,8800,8600,8800,8700,15412,8100
108,28/04/2023,8700,8600,8600,8700,4415,8100
109,04/05/2023,8700,8500,8700,8600,17400,8000
110,05/05/2023,8600,8500,8600,8600,11010,8000
111,08/05/2023,8800,8700,8700,8700,38271,8100
112,09/05/2023,8800,8700,8800,8700,15653,8100
113,10/05/2023,8900,8600,8800,8900,50303,8200
114,11/05/2023,8800,8700,8700,8800,22800,8100
115,12/05/2023,9000,8800,8900,8900,35197,8200
116,15/05/2023,9100,8900,9100,8900,21400,8200
117,16/05/2023,9000,8600,9000,8600,25810,8000
118,17/05/2023,8800,8600,8800,8700,36720,8100
119,18/05/2023,8700,8500,8700,8700,151910,8100
120,19/05/2023,8700,8500,8600,8600,28400,8000
121,22/05/2023,8600,8500,8600,8500,147200,7900
122,23/05/2023,8700,8500,8600,8600,15800,8000
123,24/05/2023,8700,8500,8600,8600,149700,8000
124,25/05/2023,8700,8500,8600,8700,23900,8100
125,26/05/2023,8800,8600,8700,8700,159000,8100
126,29/05/2023,9000,8700,8700,9000,57030,8300
127,30/05/2023,9200,8900,9200,9000,170405,8300
128,31/05/2023,9300,9000,9000,9200,74170,8500
129,01/06/2023,9500,9100,9200,9500,191327,8800
130,02/06/2023,9600,9300,9300,9500,57300,8800
131,05/06/2023,9600,9200,9400,9400,162612,8700
132,06/06/2023,9500,9300,9400,9400,31000,8700
133,07/06/2023,9400,9200,9400,9300,162946,8600
134,08/06/2023,9300,9100,9300,9200,61259,8500
135,09/06/2023,9300,9100,9200,9300,19102,8600
136,12/06/2023,9300,9200,9300,9300,24600,8600
137,13/06/2023,9800,9200,9300,9500,88032,8800
138,14/06/2023,9700,9400,9600,9700,33701,9000
139,15/06/2023,9800,9500,9600,9500,46071,8800
140,16/06/2023,9700,9400,9600,9400,62313,8700
141,19/06/2023,9600,9200,9600,9400,25506,8700
142,20/06/2023,9400,9000,9000,9400,37731,8700
143,21/06/2023,9400,9100,9200,9400,44903,8700
144,22/06/2023,9500,9300,9300,9400,32115,8700
145,23/06/2023,9300,8700,9200,9000,62300,9000
146,26/06/2023,8900,8400,8900,8500,151225,8500
147,27/06/2023,8800,8300,8700,8700,138410,8700
148,28/06/2023,8800,8600,8700,8700,61800,8700
149,29/06/2023,8800,8600,8800,8700,48000,8700
150,30/06/2023,8600,8500,8600,8600,129590,8600
151,03/07/2023,8700,8400,8600,8500,80030,8500
152,04/07/2023,8700,8400,8400,8700,64050,8700
153,05/07/2023,8700,8500,8700,8600,69100,8600
154,06/07/2023,8600,8200,8600,8400,133626,8400
155,07/07/2023,8400,8200,8400,8400,43142,8400
156,10/07/2023,8500,8200,8300,8300,41692,8300
157,11/07/2023,8500,8300,8500,8400,56000,8400
158,12/07/2023,8400,8300,8400,8300,26100,8300
159,13/07/2023,8400,8300,8400,8300,45814,8300
160,14/07/2023,8300,8200,8300,8300,67300,8300
161,17/07/2023,8400,8300,8300,8400,84500,8400
162,18/07/2023,8500,8300,8300,8500,48936,8500
163,19/07/2023,8500,8300,8500,8500,38915,8500
164,20/07/2023,8500,8200,8400,8300,96110,8300
165,21/07/2023,8400,8100,8200,8400,101518,8400
166,24/07/2023,8600,8200,8400,8500,127800,8500
167,25/07/2023,8600,8500,8500,8600,87005,8600
168,26/07/2023,8600,8500,8600,8600,65200,8600
169,27/07/2023,8500,8400,8500,8500,82800,8500
170,28/07/2023,8900,8600,8600,8800,68100,8800
171,31/07/2023,8900,8700,8800,8800,50800,8800
172,01/08/2023,9000,8700,8900,8800,144000,8800
173,02/08/2023,8900,8600,8900,8700,57000,8700
174,03/08/2023,8800,8500,8700,8500,86500,8500
175,04/08/2023,8600,8500,8600,8600,84420,8600
176,07/08/2023,8600,8400,8500,8600,67550,8600
177,08/08/2023,8700,8400,8700,8500,118200,8500
178,09/08/2023,8900,8500,8600,8900,225456,8900
179,10/08/2023,9100,8800,8800,8900,282800,8900
180,11/08/2023,9000,8700,8900,8800,64929,8800
181,14/08/2023,9400,8800,9000,9300,290318,9300
182,15/08/2023,9300,9000,9200,9100,120902,9100
183,16/08/2023,9100,8800,9100,8900,118403,8900
184,17/08/2023,9000,8800,9000,8900,89835,8900
185,18/08/2023,8900,8000,8900,8000,219404,8000
186,21/08/2023,8400,8000,8000,8300,96050,8300
187,22/08/2023,8300,8000,8200,8200,74900,8200
188,23/08/2023,8400,8200,8300,8300,69512,8300
189,24/08/2023,8400,8200,8300,8300,44930,8300
190,25/08/2023,8300,8200,8300,8300,39100,8300
191,28/08/2023,8400,8200,8200,8300,37345,8300
