,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,35000,35000,35000,35000,109,33400
1,22/11/2022,35000,35000,35000,35000,-,33400
2,23/11/2022,35000,35000,35000,35000,-,33400
3,24/11/2022,35000,35000,35000,35000,1,33400
4,25/11/2022,35000,35000,35000,35000,-,33400
5,28/11/2022,35000,35000,35000,35000,-,33400
6,29/11/2022,35000,35000,35000,35000,-,33400
7,30/11/2022,35000,35000,35000,35000,-,33400
8,01/12/2022,35000,35000,35000,35000,-,33400
9,02/12/2022,35000,35000,35000,35000,-,33400
10,05/12/2022,35000,35000,35000,35000,-,33400
11,06/12/2022,35000,35000,35000,35000,-,33400
12,07/12/2022,35000,35000,35000,35000,-,33400
13,08/12/2022,35000,35000,35000,35000,-,33400
14,09/12/2022,34000,34000,34000,34000,105,32500
15,12/12/2022,34000,34000,34000,34000,-,32500
16,13/12/2022,34000,34000,34000,34000,-,32500
17,14/12/2022,34000,34000,34000,34000,-,32500
18,15/12/2022,34000,34000,34000,34000,-,32500
19,16/12/2022,34000,34000,34000,34000,-,32500
20,19/12/2022,34000,34000,34000,34000,-,32500
21,20/12/2022,29000,29000,29000,29000,600,27700
22,21/12/2022,29000,29000,29000,29000,-,27700
23,22/12/2022,29000,29000,29000,29000,-,27700
24,23/12/2022,29000,29000,29000,29000,-,27700
25,26/12/2022,29000,29000,29000,29000,-,27700
26,27/12/2022,29000,29000,29000,29000,300,27700
27,28/12/2022,29000,29000,29000,29000,-,27700
28,29/12/2022,29000,29000,29000,29000,-,27700
29,30/12/2022,29000,29000,29000,29000,-,27700
30,03/01/2023,33300,33300,33300,33300,100,31800
31,04/01/2023,33300,33300,33300,33300,-,31800
32,05/01/2023,33000,33000,33000,33000,500,31500
33,06/01/2023,32000,32000,32000,32000,500,30500
34,09/01/2023,32000,32000,32000,32000,-,30500
35,10/01/2023,30000,30000,30000,30000,600,28600
36,11/01/2023,29000,29000,29000,29000,1000,27700
37,12/01/2023,29000,29000,29000,29000,-,27700
38,13/01/2023,29000,29000,29000,29000,-,27700
39,16/01/2023,26000,26000,26000,26000,17500,24800
40,17/01/2023,26000,26000,26000,26000,1500,24800
41,18/01/2023,26000,26000,26000,26000,14512,24800
42,19/01/2023,26000,26000,26000,26000,8100,24800
43,27/01/2023,29900,28000,29900,28000,700,26700
44,30/01/2023,33000,33000,33000,33000,100,31500
45,31/01/2023,37800,37800,37800,37800,100,36100
46,01/02/2023,42000,42000,42000,42000,100,40100
47,02/02/2023,42000,42000,42000,42000,-,40100
48,03/02/2023,42000,42000,42000,42000,-,40100
49,06/02/2023,42000,42000,42000,42000,-,40100
50,07/02/2023,42000,42000,42000,42000,-,40100
51,08/02/2023,42000,42000,42000,42000,-,40100
52,09/02/2023,42000,42000,42000,42000,-,40100
53,10/02/2023,42000,42000,42000,42000,-,40100
54,13/02/2023,42000,42000,42000,42000,-,40100
55,14/02/2023,42000,42000,42000,42000,-,40100
56,15/02/2023,42000,42000,42000,42000,-,40100
57,16/02/2023,42000,42000,42000,42000,-,40100
58,17/02/2023,42000,42000,42000,42000,-,40100
59,20/02/2023,42000,42000,42000,42000,-,40100
60,21/02/2023,42000,42000,42000,42000,-,40100
61,22/02/2023,42000,42000,42000,42000,-,40100
62,23/02/2023,42000,42000,42000,42000,-,40100
63,24/02/2023,42000,42000,42000,42000,-,40100
64,27/02/2023,42000,42000,42000,42000,-,40100
65,28/02/2023,42000,42000,42000,42000,-,40100
66,01/03/2023,42000,42000,42000,42000,-,40100
67,02/03/2023,42000,42000,42000,42000,-,40100
68,03/03/2023,42000,42000,42000,42000,-,40100
69,06/03/2023,42000,42000,42000,42000,-,40100
70,07/03/2023,35700,35700,35700,35700,200,34100
71,08/03/2023,30400,30400,30400,30400,700,29000
72,09/03/2023,30400,30400,30400,30400,-,29000
73,10/03/2023,26900,26900,26900,26900,100,25700
74,13/03/2023,30900,30900,30900,30900,100,29500
75,14/03/2023,30900,30900,30900,30900,-,29500
76,15/03/2023,27400,27400,27400,27400,100,26200
77,16/03/2023,27400,27400,27400,27400,-,26200
78,17/03/2023,27400,27400,27400,27400,-,26200
79,20/03/2023,24100,24100,24100,24100,100,23000
80,21/03/2023,24100,24100,24100,24100,8,23000
81,22/03/2023,24100,24100,24100,24100,-,23000
82,23/03/2023,24100,24100,24100,24100,-,23000
83,24/03/2023,24100,24100,24100,24100,-,23000
84,27/03/2023,24100,24100,24100,24100,-,23000
85,28/03/2023,24100,24100,24100,24100,-,23000
86,29/03/2023,24100,24100,24100,24100,-,23000
87,30/03/2023,27700,27700,27700,27700,117,26400
88,31/03/2023,28500,23700,23700,28500,1200,27200
89,03/04/2023,28100,28100,28100,28100,-,26800
90,04/04/2023,30900,30900,30900,30900,100,29500
91,05/04/2023,35400,30900,35400,30900,600,29500
92,06/04/2023,31700,30500,30500,31700,1000,30300
93,07/04/2023,27000,27000,27000,27000,700,25800
94,10/04/2023,27600,27200,27200,27500,1900,26200
95,11/04/2023,27400,27400,27400,27400,500,26200
96,12/04/2023,27200,27100,27200,27100,300,25900
97,13/04/2023,27100,27100,27100,27100,300,25900
98,14/04/2023,27000,27000,27000,27000,800,25800
99,17/04/2023,30900,28500,30900,28500,200,27200
100,18/04/2023,29700,29700,29700,29700,-,28300
101,19/04/2023,29700,29500,29500,29500,5400,28200
102,20/04/2023,29900,29900,29900,29900,3100,28500
103,21/04/2023,28100,28000,28100,28100,9117,26800
104,24/04/2023,29800,29700,29700,29800,1872,28400
105,25/04/2023,29800,29800,29800,29800,-,28400
106,26/04/2023,33900,33900,33900,33900,110,32400
107,27/04/2023,33900,33900,33900,33900,-,32400
108,28/04/2023,37900,37900,37900,37900,100,36200
109,04/05/2023,37900,37900,37900,37900,1,36200
110,05/05/2023,37900,37900,37900,37900,-,36200
111,08/05/2023,32300,32300,32300,32300,662,30800
112,09/05/2023,32300,32300,32300,32300,10,30800
113,10/05/2023,32300,32300,32300,32300,-,30800
114,11/05/2023,32300,32300,32300,32300,100,30800
115,12/05/2023,32300,32300,32300,32300,1,30800
116,15/05/2023,30100,30000,30100,30000,5700,28600
117,16/05/2023,29100,29000,29100,29000,1309,27700
118,17/05/2023,31000,31000,31000,31000,104,29600
119,18/05/2023,31000,31000,31000,31000,-,29600
120,19/05/2023,31000,31000,31000,31000,-,29600
121,22/05/2023,35500,32000,35500,32000,604,30500
122,23/05/2023,33000,33000,33000,33000,100,31500
123,24/05/2023,33000,33000,33000,33000,1000,31500
124,25/05/2023,30600,30600,30600,30600,300,30600
125,26/05/2023,30600,30600,30600,30600,-,30600
126,29/05/2023,30600,30600,30600,30600,-,30600
127,30/05/2023,32000,30000,30000,32000,700,32000
128,31/05/2023,31000,31000,31000,31000,300,31000
129,01/06/2023,34900,34900,34900,34900,106,34900
130,02/06/2023,34900,34900,34900,34900,-,34900
131,05/06/2023,34900,34900,34900,34900,-,34900
132,06/06/2023,34900,34900,34900,34900,-,34900
133,07/06/2023,34900,34900,34900,34900,1000,34900
134,08/06/2023,34600,34500,34500,34600,2300,34600
135,09/06/2023,34600,34600,34600,34600,1,34600
136,12/06/2023,34600,34600,34600,34600,3,34600
137,13/06/2023,34600,34600,34600,34600,50,34600
138,14/06/2023,34600,34600,34600,34600,-,34600
139,15/06/2023,34600,34600,34600,34600,6,34600
140,16/06/2023,34600,34600,34600,34600,-,34600
141,19/06/2023,34600,34600,34600,34600,-,34600
142,20/06/2023,34600,34600,34600,34600,-,34600
143,21/06/2023,34600,34600,34600,34600,-,34600
144,22/06/2023,34600,34600,34600,34600,1,34600
145,23/06/2023,34600,34600,34600,34600,7,34600
146,26/06/2023,34600,34600,34600,34600,3000,34600
147,27/06/2023,34600,34600,34600,34600,-,34600
148,28/06/2023,34600,34600,34600,34600,-,34600
149,29/06/2023,34600,34600,34600,34600,-,34600
150,30/06/2023,34600,34600,34600,34600,10,34600
151,03/07/2023,34600,34600,34600,34600,-,34600
152,04/07/2023,34600,34600,34600,34600,10,34600
153,05/07/2023,34600,34600,34600,34600,-,34600
154,06/07/2023,34600,34600,34600,34600,-,34600
155,07/07/2023,34600,34600,34600,34600,-,34600
156,10/07/2023,35900,35900,35900,35900,200,35900
157,11/07/2023,36000,36000,36000,36000,300,36000
158,12/07/2023,36000,36000,36000,36000,-,36000
159,13/07/2023,36000,36000,36000,36000,-,36000
160,14/07/2023,36000,36000,36000,36000,-,36000
161,17/07/2023,36000,36000,36000,36000,-,36000
162,18/07/2023,36000,36000,36000,36000,-,36000
163,19/07/2023,40900,40800,40800,40900,700,40900
164,20/07/2023,40900,40900,40900,40900,-,40900
165,21/07/2023,47000,47000,47000,47000,1010,47000
166,24/07/2023,54000,46900,46900,54000,2501,54000
167,25/07/2023,61000,59800,61000,59900,610,59900
168,26/07/2023,60100,60100,60100,60100,-,60100
169,27/07/2023,52500,52000,52500,52100,1803,52100
170,28/07/2023,52300,52300,52300,52300,-,52300
171,31/07/2023,58000,58000,58000,58000,205,58000
172,01/08/2023,58000,57700,57700,58000,2700,58000
173,02/08/2023,57800,57800,57800,58000,10,57800
174,03/08/2023,57800,57800,57800,57800,-,57800
175,04/08/2023,57800,57800,57800,57800,-,57800
176,07/08/2023,57800,57800,57800,57800,-,57800
177,08/08/2023,57800,57800,57800,57800,-,57800
178,09/08/2023,57800,57800,57800,57800,-,57800
179,10/08/2023,57800,57800,57800,58000,30,57800
180,11/08/2023,57800,57800,57800,57800,-,57800
181,14/08/2023,57800,57800,57800,57800,-,57800
182,15/08/2023,57800,57800,57800,57800,-,57800
183,16/08/2023,57800,57800,57800,57800,-,57800
184,17/08/2023,57800,57800,57800,57800,-,57800
185,18/08/2023,57800,57800,57800,57800,-,57800
186,21/08/2023,57800,57800,57800,57800,-,57800
187,22/08/2023,57800,57800,57800,58000,5,57800
188,23/08/2023,57800,57800,57800,57800,-,57800
189,24/08/2023,57800,57800,57800,57800,-,57800
190,25/08/2023,57800,57800,57800,57800,-,57800
191,28/08/2023,57800,57800,57800,57800,-,57800
192,29/08/2023,57800,57800,57800,57800,-,57800
193,30/08/2023,57800,57800,57800,57800,-,57800
194,31/08/2023,57800,57800,57800,57800,-,57800
195,05/09/2023,57800,57800,57800,57800,-,57800
196,06/09/2023,57800,57800,57800,58000,5,57800
197,07/09/2023,57800,57800,57800,57800,-,57800
198,08/09/2023,57800,57800,57800,57800,-,57800
199,11/09/2023,50000,50000,50000,50000,1000,50000
200,12/09/2023,50000,50000,50000,50000,-,50000
201,13/09/2023,50000,50000,50000,50000,6,50000
202,14/09/2023,50000,50000,50000,50000,-,50000
203,15/09/2023,50000,50000,50000,50000,-,50000
204,18/09/2023,50500,50000,50500,50000,7500,50000
205,19/09/2023,57500,57500,57500,57500,13000,57500
206,20/09/2023,57500,57500,57500,57500,8306,57500
207,21/09/2023,57500,57500,57500,57500,-,57500
208,22/09/2023,57500,57500,57500,57500,1,57500
209,25/09/2023,52000,52000,52000,52000,800,52000
210,26/09/2023,52000,52000,52000,52000,-,52000
211,27/09/2023,52000,52000,52000,52000,-,52000
212,28/09/2023,52000,52000,52000,52000,-,52000
213,29/09/2023,52000,52000,52000,52000,-,52000
214,02/10/2023,52000,52000,52000,52000,-,52000
215,03/10/2023,52000,52000,52000,52000,-,52000
216,04/10/2023,52000,52000,52000,52000,-,52000
217,05/10/2023,51000,51000,51000,51000,200,51000
218,06/10/2023,51000,51000,51000,51000,-,51000
219,09/10/2023,51000,51000,51000,51000,-,51000
220,10/10/2023,43400,43400,43400,43400,105,43400
221,11/10/2023,49900,36900,49900,49900,3004,49900
222,12/10/2023,48800,48800,48800,49900,1,48800
223,13/10/2023,48800,48800,48800,48800,-,48800
224,16/10/2023,48800,48800,48800,48800,-,48800
225,17/10/2023,48800,48800,48800,48800,-,48800
226,18/10/2023,48800,48800,48800,48800,-,48800
227,19/10/2023,48800,48800,48800,48800,-,48800
228,20/10/2023,56100,56100,56100,56100,2527,56100
229,23/10/2023,56100,56100,56100,56100,-,56100
230,24/10/2023,56100,56100,56100,56100,-,56100
231,25/10/2023,56100,56100,56100,56100,-,56100
232,26/10/2023,56100,56100,56100,56100,200,56100
233,27/10/2023,56100,56100,56100,56100,19,56100
234,30/10/2023,56100,56100,56100,56100,-,56100
235,31/10/2023,56100,56100,56100,56100,-,56100
236,01/11/2023,56100,56100,56100,56100,-,56100
237,02/11/2023,56100,56100,56100,56100,-,56100
238,03/11/2023,56100,56100,56100,56100,-,56100
239,06/11/2023,56100,56100,56100,56100,-,56100
240,07/11/2023,56100,56100,56100,56100,-,56100
241,08/11/2023,56100,56100,56100,56100,-,56100
242,09/11/2023,56100,56100,56100,56100,-,56100
243,10/11/2023,56100,56100,56100,56100,-,56100
244,13/11/2023,56100,56100,56100,56100,-,56100
245,14/11/2023,56100,56100,56100,56100,-,56100
246,15/11/2023,56100,56100,56100,56100,-,56100
247,16/11/2023,56100,56100,56100,56100,-,56100
248,17/11/2023,56100,56100,56100,56100,-,56100
249,20/11/2023,56100,56100,56100,56100,-,56100
