,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,19500,19500,19500,19500,-,18700
1,22/11/2022,19500,19500,19500,19500,-,18700
2,23/11/2022,19500,19500,19500,19500,-,18700
3,24/11/2022,19500,19500,19500,19500,-,18700
4,25/11/2022,19500,19500,19500,19500,-,18700
5,28/11/2022,19500,19500,19500,19500,-,18700
6,29/11/2022,19500,19500,19500,19500,-,18700
7,30/11/2022,19500,19500,19500,19500,-,18700
8,01/12/2022,19500,19500,19500,19500,-,18700
9,02/12/2022,19500,19500,19500,19500,-,18700
10,05/12/2022,19500,19500,19500,19500,-,18700
11,06/12/2022,19500,19500,19500,19500,-,18700
12,07/12/2022,19500,19500,19500,19500,-,18700
13,08/12/2022,19500,19500,19500,19500,-,18700
14,09/12/2022,19500,19500,19500,19500,-,18700
15,12/12/2022,19500,19500,19500,19500,-,18700
16,13/12/2022,19500,19500,19500,19500,-,18700
17,14/12/2022,19500,19500,19500,19500,-,18700
18,15/12/2022,19500,19500,19500,19500,-,18700
19,16/12/2022,19500,19500,19500,19500,-,18700
20,19/12/2022,19500,19500,19500,19500,-,18700
21,20/12/2022,19500,19500,19500,19500,-,18700
22,21/12/2022,19500,19500,19500,19500,-,18700
23,22/12/2022,19500,19500,19500,19500,-,18700
24,23/12/2022,11700,11700,11700,11700,2200,11200
25,26/12/2022,13400,13400,13400,13400,2800,12800
26,27/12/2022,15400,15400,15400,15400,500,14800
27,28/12/2022,15400,15400,15400,15400,-,14800
28,29/12/2022,15400,15400,15400,15400,-,14800
29,30/12/2022,15400,15400,15400,15400,-,14800
30,03/01/2023,15400,15400,15400,15400,-,14800
31,04/01/2023,15400,15400,15400,15400,-,14800
32,05/01/2023,15400,15400,15400,15400,-,14800
33,06/01/2023,17700,17700,17700,17700,100,17000
34,09/01/2023,17700,17700,17700,17700,-,17000
35,10/01/2023,17700,17700,17700,17700,-,17000
36,11/01/2023,17700,17700,17700,17700,-,17000
37,12/01/2023,17700,17700,17700,17700,-,17000
38,13/01/2023,17700,17700,17700,17700,-,17000
39,16/01/2023,17700,17700,17700,17700,-,17000
40,17/01/2023,17700,17700,17700,17700,-,17000
41,18/01/2023,17700,17700,17700,17700,-,17000
42,19/01/2023,17700,17700,17700,17700,-,17000
43,27/01/2023,19000,19000,19000,19000,100,18200
44,30/01/2023,16200,16200,16200,16200,600,15500
45,31/01/2023,16200,16200,16200,16200,-,15500
46,01/02/2023,16200,16200,16200,16200,-,15500
47,02/02/2023,16200,16200,16200,16200,-,15500
48,03/02/2023,16200,16200,16200,16200,-,15500
49,06/02/2023,16200,16200,16200,16200,-,15500
50,07/02/2023,16200,16200,16200,16200,-,15500
51,08/02/2023,16200,16200,16200,16200,-,15500
52,09/02/2023,16200,16200,16200,16200,-,15500
53,10/02/2023,16200,16200,16200,16200,-,15500
54,13/02/2023,16200,16200,16200,16200,-,15500
55,14/02/2023,16200,16200,16200,16200,-,15500
56,15/02/2023,16200,16200,16200,16200,-,15500
57,16/02/2023,16200,16200,16200,16200,-,15500
58,17/02/2023,16200,16200,16200,16200,-,15500
59,20/02/2023,16200,16200,16200,16200,-,15500
60,21/02/2023,16200,16200,16200,16200,-,15500
61,22/02/2023,16200,16200,16200,16200,500,15500
62,23/02/2023,16200,16200,16200,16200,1000,15500
63,24/02/2023,16200,16200,16200,16200,-,15500
64,27/02/2023,16200,16200,16200,16200,-,15500
65,28/02/2023,16200,16200,16200,16200,-,15500
66,01/03/2023,18600,18600,18600,18600,100,17800
67,02/03/2023,18600,18600,18600,18600,-,17800
68,03/03/2023,18600,18600,18600,18600,-,17800
69,06/03/2023,18600,18600,18600,18600,-,17800
70,07/03/2023,18600,18600,18600,18600,-,17800
71,08/03/2023,18600,18600,18600,18600,-,17800
72,09/03/2023,18600,18600,18600,18600,-,17800
73,10/03/2023,18600,18600,18600,18600,-,17800
74,13/03/2023,18600,18600,18600,18600,-,17800
75,14/03/2023,18600,18600,18600,18600,-,17800
76,15/03/2023,18600,18600,18600,18600,-,17800
77,16/03/2023,18600,18600,18600,18600,-,17800
78,17/03/2023,18600,18600,18600,18600,-,17800
79,20/03/2023,18600,18600,18600,18600,-,17800
80,21/03/2023,18600,18600,18600,18600,-,17800
81,22/03/2023,18600,18600,18600,18600,-,17800
82,23/03/2023,18600,18600,18600,18600,-,17800
83,24/03/2023,18600,18600,18600,18600,-,17800
84,27/03/2023,18600,18600,18600,18600,900,17800
